名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
E***深,银牌会员,宝贝与描述相符，比我在实体店买便宜九百元！物流很快！,2018-01-31 18:20:39,0,0,5
j***3,银牌会员,手机收到了，用了几天才来评价，手机很好用，颜色漂亮，价格优惠，十分喜欢，好评,2018-03-08 00:37:45,0,0,5
j***o,银牌会员,给老婆买的，用了一段时间，感觉还不错！,2017-08-30 19:01:42,2,0,5
疯***哥,PLUS会员,手感很好，这个价格能买到这样的机子 太超值了,2018-02-01 11:34:30,0,0,5
凌***轻,PLUS会员,麦芒5买了两部了，这是第二部，非常的好。,2018-02-01 21:31:33,0,0,5
s***8,钻石会员,目前看还行，不知道电池耐用不,2018-03-07 17:33:33,0,0,5
j***n,银牌会员,不错，很好，太值了，看人家都送手机壳了，我没捞着。手机好就行。,2018-03-05 10:42:21,0,0,5
壹***6,银牌会员,这款手机我就觉得好好用，手感也很好，又不卡,2018-03-03 23:36:55,0,0,5
j***e,银牌会员,拿旧手机拍的，手机看着不错，包装完整，一下买了两部和老公异色眼一部！用过了再来追评，朋友推荐这个牌子型号，希望能用的住,2018-03-01 18:56:45,0,0,5
静***海,银牌会员,家族里基本上都是用华为，这次是给爸爸买的，这个价钱可以说是物有所值，以后还是会继续支持华为！,2018-02-26 12:30:47,0,0,5
毅***生,PLUS会员,买第二部了，第一部给老婆，第二部给老爸，手机国产还是推荐华为,2018-02-26 07:13:46,0,0,5
s***6,钻石会员,"手机是比较老了，但性能还是可以。可惜该手机没有陀螺仪，这是比较重要的部件。
要求商家开具纸质发票，并且注明了。可是商家还是不开纸质发票！还说是默认！反复去电直至说要退货才同意开纸质发票。",2018-02-07 08:41:59,0,0,5
房***满,金牌会员,给婆买的手机可以不愧是麦芒外观美也好用明年我也换麦芒的。,2018-01-29 20:56:27,0,0,5
j***t,银牌会员,正在开机中，使用后在评,2018-03-04 11:09:06,0,0,5
心***之,PLUS会员,运行速度不错，手感很好！给老婆买的，性价比很高！电池非常耐用！一次非常满意的购物！,2018-02-23 22:02:47,0,0,5
心***图,PLUS会员,一直支持国货，性价比特高，今年的第三部手机，送父母，送亲友，送自己。华为钟爱一生。,2018-02-02 11:57:22,0,0,5
韦***龙,钻石会员,手机质量有问题，不给退货，手机没有任何损伤，说有损伤，明显不给退货,2017-09-17 12:52:09,8,0,1
点***2,PLUS会员,挺不错的，用的京东物流，挺快的，未开封，给别人代买的，应该不错，满意,2018-03-06 14:10:19,0,0,5
文***武,钻石会员,一直相信京东，觉得在京东自营店购买商品质量有保证，物流也快，碰到下雪，雪后京东很快就送到了。,2018-01-30 19:12:38,0,0,5
j***e,PLUS会员,这是姐姐让我帮她买的，已经是第二次购买了，非常好，认证是正品！,2018-03-06 20:05:23,0,0,5
丶***樂,金牌会员,很好 买了第三个了 这次买的没有手机壳跟膜 有点小遗憾 总体还是很喜欢麦芒5的！！！,2018-02-19 18:11:23,0,0,5
j***w,银牌会员,手机是正品的，和我使用的麦芒5一样，我觉得好用，所以丈夫要买手机，就买华为同款手机。,2018-01-27 10:04:40,0,0,5
w***e,银牌会员,京东自营商品还是一直相信，从几元钱的日杂到几千的电器。手机收到，正品，物流速度快。,2018-02-06 22:33:27,0,0,5
l***k,银牌会员,非常好，包装精巧，东西实在，不过希望的就是可以多收点钱，送个全屏的钢化膜,2018-03-03 21:37:56,0,0,5
