名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***e,银牌会员,高端大气上档次，国产机的机皇，速度很快一流。,2017-10-31 13:57:49,29,33,5
j***始,金牌会员,目前看挺好的?过段时间来追评,2017-11-01 21:17:41,54,38,5
s***3,PLUS会员,快递用的京东物流*广东三线城市头尾三天。机子是很不错的，但是明明备注了要开发票，结果只有一张缺了角的不知道能不能生效的保修凭证。而且机子新开封，保护膜在home键右侧等多处有密集的划痕，插着卡针的纸片上面也有折痕，机子没有印象中新机器的那种味道，处女座对瑕疵有点无法忍。不知道华为的品控就是这样，还是卖的是退货机或者返修机或者二手机。不过除此以，外机子本身还是不错的，新机到手正在把玩，但mate7竟然没有type-C的转换头，这点就不如三星贴心了。,2018-01-12 20:56:11,0,2,3
l***4,金牌会员,手感超好，大容量超高性价比，没买错，永远都支持国货,2017-12-06 23:39:55,1,1,5
忧***去,PLUS会员,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。顺商祺！
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience. Shun Kei kei!",2017-11-08 22:35:31,8,11,5
幽***鸣,PLUS会员,可以非常满意喜欢。。。。。。,2017-10-29 01:20:01,5,14,5
j***p,PLUS会员,体积和之前的5.5寸差不多，非常精致，速度也很不错,2017-11-03 19:59:02,4,5,5
j***r,金牌会员,等了一周，终于收到了，正在试用中,2017-12-08 14:59:34,3,1,5
爱***8,PLUS会员,其他的都还可以，就是声音不正常,2017-11-21 11:37:11,4,2,5
j***w,PLUS会员,不错哦！真心的不错?宝贝很喜欢，物流也很给力啊！用过再多追评价吧?,2017-11-26 16:40:08,1,2,5
j***k,PLUS会员,昨天收到货的，目前用着还不错，继续体验,2018-01-05 09:17:37,0,0,5
人***见,PLUS会员,帮同事买的。他感觉挺满意，别的同事也有想法，感觉挺精致的,2017-11-30 12:08:20,2,3,5
w***n,钻石会员,今天一早收到手机，手感一流，摩卡金显档次，这是我第四部华为手机了，一如既往的好用，这回买的最高配，反应速度那叫快！,2018-01-10 11:56:42,1,2,5
黄***5,金牌会员,京东给力 物流快 产品好 原装未开封  非常高大尚  一家人都用华为 下次还来买,2017-12-17 15:09:16,9,3,5
m***0,PLUS会员,物流速度快哦,2017-12-12 09:56:58,1,2,5
怡***瓶,PLUS会员,手机超级棒，屏幕清晰，不愧是国产高端机，旗舰级手机，运行流畅，不发热，电池给力，拍照给力，我拍了几张样片！唯一和苹果抗衡的！现在是mate10的时代，而苹果走向衰落！店家发货也很快，顺丰包邮！是官网原封版！一起买了两台，一台亮黑，一台摩卡！,2017-11-07 16:43:21,18,2,5
胡***购,银牌会员,拿到快递吓我一跳，怎样用这个包装啊，拆开看还好，里面有泡沫，正在试用阶段，总体感觉还好。支持国产！！,2018-01-02 19:33:24,0,1,5
j***岸,银牌会员,手机很棒，就是运气不好买早了，收到的是移动定制机而已，还好我不是移动用户，一直追华为和荣耀,2017-12-11 12:07:42,0,1,5
Z***7,银牌会员,发货速度太慢了，京东快递没有问题，手机运行速度超快手机很好，信号相当不错,2017-12-05 13:51:26,1,1,5
时***浩,PLUS会员,手机收到了，谢谢老板京东商城就是好。挺快的，手机高大尚，大气好用。高端大气上档次，低调奢华有内涵。,2017-11-01 18:54:30,9,2,5
h***a,PLUS会员,很大气，rgbw的颜色虽然还是有问题，但已经不错了，为华为的勇气点赞,2017-11-01 21:43:49,10,3,5
晓***陈,PLUS会员,昨天就收到货了，现在才刚打开，未拆封商家很僵信用。物流也给力 ，期待后面使用,2017-12-13 21:17:36,1,1,5
人***戏,金牌会员,一直想买    终于剁手买了支持国产支持华为,2018-01-22 11:13:39,0,1,5
为***念,钻石会员,续航能力强，屏幕看起来很舒服,2018-01-27 16:44:56,0,1,5
古***秋,金牌会员,"手机拿到后开机居然是显示已经登录了8个软件系统。
恢复出厂设置后一下就少了16个软件。
各位老板帮忙判断一下：这是神马情况？",2018-02-24 13:24:04,0,1,3
空***個,PLUS会员,华为老大哥手机做的不错呦，欢迎大家都来评论，包装盒子上档次，手机更不用吹了,2017-10-28 18:00:08,11,3,5
周***昇,PLUS会员,机器不用讲，比9还是有提升，但因为是新系统，优化还需要时间，不比MATE9流畅和省电，卖家坑，承诺48小时内发货，才加价200买的，结果3天才发，还忽悠消费者讲什么仓库自动审核是否是黄牛之类的话。。。。。。,2017-11-08 22:35:54,7,1,5
j***8,PLUS会员,华为真我品质，快递比我想像的要快，京东就是快值得信赖。,2017-12-01 07:00:29,1,6,5
奶***枪,PLUS会员,你不要太美，第一次用meta系列，真的很美。,2017-11-09 08:07:05,6,1,5
1***p,银牌会员,帮客户买的，客户非常喜欢，包装很结实拆都不好拆，希望手机以后用着没什么问题。,2017-12-17 21:29:28,1,1,5
