名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
c***涯,PLUS会员,质量不错，速度快，手感好，比水果实惠，买手机还送了不少配件。,2018-02-27 13:58:29,0,0,5
E***雲,PLUS会员[试用],除了物流，其他都还是很不错的喔。华为这个品牌一直很信赖,2018-02-24 11:44:15,2,0,5
老***呢,PLUS会员,给老婆的三八节礼物，只是今天才到货，但是老婆也是非常开心，这次支持一下国货，看看国货好用不。用几天再评,2018-03-09 16:42:04,0,0,5
j***l,PLUS会员,还在担心年前收不到货呢，想不到还是如期到达了，给顺丰小哥一个赞，商家服务态度也好，发货快，手机很不错，手感好，上网不卡机很流畅，各方面都不错，很满意。,2018-02-11 14:53:06,0,0,5
j***2,金牌会员,手机不错，小遗憾。手机买的黑色送的外壳不是黑,2018-02-24 00:46:51,0,0,5
j***y,PLUS会员,"双十一早五点下单买的玫瑰金，直到15号追问店发货情况才被告知该颜色发不了，询问原因回答是暂时发不了，说是供货商供不了货。投诉到京东后的第三天店铺才有人打电话协商处理，我无奈接受换金色。手机本来是送给朋友的生日礼物，因为时间耽误太久，所以将物流改发到朋友地址，没想到手机又发到旧地址，店铺把责任又推到物流，说是物流弄错了，又从旧地址转发到新地址。
此单11月11号早5点下单，在我和京东客服，店铺客服，物流客服，以及物流送货员打了无数个电话之后，终于在11月24号下午五点半送到朋友手中。这是我双十一购物的真实经历。
总结下来: 该店铺的客服人员责任心极差，出问题就把责任推到下游，发不了货是供货商的问题，发错地址是物流公司的问题。如果货源不到位，为什么还要在网上销售？每张订单都是一份商业合同，严重说这是欺诈行为，轻了说这是视消费者的权益为儿戏！物流发错地址，通过沟通与跟踪是完全可以避免的。店铺客服推御责任的态度难以接受，最后终于圆满结束，其实很多问题沟通是可以解决的
京东客服态度比较好，一直跟踪到底,  但也暴露出京东对这种店铺缺乏有效的制约，真心希望京东拿出有效的措施和制度加强对店铺的监管！",2017-11-26 18:52:27,1,1,2
j***b,银牌会员,可以，只用了相机和音乐功能，，就是玩一会儿就发热了，其它还没用。原本想换个颜色，收到货后发现黑色也很好啊。,2018-02-17 16:00:36,1,0,5
j***f,PLUS会员,东西刚到手，物流速度还可以?至于产品咱是外行，就是看个热闹。两天一充电，用的还不错?,2018-02-28 20:21:49,0,0,5
z***1,银牌会员,手机不错，价格也适中，还送了不少可用到的附件；相信国产品牌，支持国产品牌，希望国产品牌不断发展。,2018-03-04 16:05:51,0,0,5
楸***4,PLUS会员,性价比高，发货快！选择京东，是品质有保证！快递给力！必须赞一下！,2018-02-12 15:12:27,0,0,5
