名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
_***d,PLUS会员,好用，支持国产，祝老板生意兴隆,2018-03-05 17:37:59,0,0,5
买***钱,钻石会员,速度快，拍照片效果，好还送了很多东西，壳，套，模，自拍杆也很好用。,2018-01-31 19:11:05,2,0,5
j***u,钻石会员,哇哇哇，终于收到啦，激动中，P10到手，店家服务好，发货速度快，包装是白色的很漂亮，手机附件有原厂壳、原厂耳机、原厂数据线和电源，按键手感很好，手机也漂亮，唯一的不足就是既然送原厂壳为什么不送原厂钢化膜呢？,2017-04-08 14:58:24,49,14,5
莫***5,银牌会员,手机外观像iPhone机，比之前的我的手机屏幕要小一点，用后的感受等用一段时间在来评价！,2018-02-04 13:40:17,0,0,5
t***e,企业会员,这款机器，真心不错，很满意的一次购物，跟实体店一样，值得购买,2017-09-27 14:26:05,6,0,5
j***o,银牌会员,很喜欢，速度超快，配置的小件很精致。物流快。,2017-10-17 09:21:13,3,0,5
任***1,银牌会员,发货速度快，手感和做工没的说，真心漂亮，麒麟960速度快，拍照超赞，喜欢！！,2017-04-24 15:33:09,10,1,5
j***0,PLUS会员,帮盆友买的，满意的。,2017-06-20 14:37:06,9,0,5
柴***8,银牌会员,国货给力，很好用，各方面都不错,2017-04-25 16:52:43,10,1,5
欧***G,银牌会员,还不错，买来被我媳妇拿走了，我也没得玩，还好手机多，就是现在就降了点，不过手机拍照还是可以的。,2017-04-25 16:22:13,15,3,5
我***9,PLUS会员,包装很好，赠品也很齐全，物流速度超级快，很愉快的一次购物！,2017-12-04 14:04:45,0,0,5
快***蕤,金牌会员,不用说很好用。拍照清晰、反应速度快，分辨率高，值得拥有,2017-10-13 22:17:13,1,1,5
j***a,金牌会员,"手机收到已用上，用惯了苹果的手机，刚上手多少有点不习惯，用几天后还是感觉功能听强大的，为国产点个赞?
PS：新手机收到居然没有一点电，直接开不了机，不知道有问题不？有点担心，按道理新手机是有虚电的，求解释",2017-08-20 21:37:37,4,0,5
D***_,银牌会员,可以的，除了物流慢，以为是次日达，没想到是隔日达，东西很好，性价比高,2017-08-20 17:48:10,10,0,5
j***2,PLUS会员,性价比高！包装很仔细！很满意！值得点赞！,2018-01-18 17:46:43,0,0,5
