名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
盖世吕侠rln,银牌会员,不错，手机操作什么的都没得说，很方便，很好看，送的小礼品也很多，手机膜都是贴好的，设置和功能都更加人性化，更方便自己平时的使用，细节做的很到位,2018-01-25 12:24:18,2,0,5
p***d,银牌会员,宝贝收到啦，很棒！我很喜欢,2017-12-19 13:26:43,9,13,5
j***t,银牌会员,手机很喜欢，运行速度快，拍照也很好，不愧是国产手机的老大，好评！,2018-01-19 12:49:54,0,0,5
陈***明,PLUS会员,很高大上的手机。运行速度也非常快。,2017-12-01 07:49:20,28,5,5
m***2,银牌会员,还不错，跟朋友买的，他还算喜欢！,2017-12-16 11:13:34,10,1,5
n***r,钻石会员,自强不息的国货精品，做工精致，质量非常棒，大爱！,2017-11-24 10:38:41,41,4,5
j***8,金牌会员,东西给的很多，很实惠，期盼已久的pro，有些小激动啊,2018-02-12 14:24:16,2,0,5
席***人,金牌会员,手机帅爆了，这个深空灰太难买啦。真正拿到手了比在体验店用着好多了。庆幸没买x,2017-12-15 19:28:39,11,2,5
w***h,PLUS会员,第三次在店家买华为手机，绝对好评，正品行货，保装厚实，送的mate10pro原装皮套不错，华为以前mate8是自带皮套，到了10就带了一个塑料透明壳，还是再买个更合适的吧，mate10pro握感比8好很多，整机还是不错，当然价格稍高。,2018-01-23 12:18:02,1,0,5
c***g,PLUS会员,虽然没买到心怡的粉金色，宝蓝色也是第二美颜了。店家发货很快，包装完好，送的蓝牙耳机小巧可用。激活啥的都很顺利。pro比mate10小也轻，手感好（容易吸灰），媲美苹果X（价格也快了???），各种黑科技双4G、情景智能啥的都很实用。电池经用的，不像测评说的耗电。,2017-11-22 22:10:26,29,9,5
水***儿,金牌会员,给爸妈一人买了一个，他们不喜欢苹果，支持华为。,2018-01-14 17:01:01,1,0,5
j***g,银牌会员,不错的，华为手机也没少用，价格高500，但也能尝个鲜吧！习惯好评。,2017-11-30 01:40:05,8,2,5
饵丝饵块,钻石会员,气质高雅，手感舒适，主要是习惯了后置指纹识别，无奈放弃了Mate10选择Pro。个人第5只华为手机了。送货还是很给力的，充气包装非常周到安全。虽然有加价，还是能够理解的，只怪华为供货不足。3D照片挺有意思的。,2017-12-01 10:31:41,32,1,4
j***3,钻石会员,华为手机值得拥有，高端大气上档次，速度快，功能多。尤其华为市场的手机克隆工具，帮我将旧手机内的信息很快克隆到新手机内。卖家很舍得，送了几样实用的赠品。华为手机出厂就有贴膜，赠品也有贴膜，很纠结的是用出厂贴膜还是用赠送的贴膜，请指点。为华为点赞！,2018-02-11 11:30:05,2,0,5
j***2,PLUS会员,华为手机蛮好的，很喜欢,2017-11-23 13:05:46,7,3,5
z***g,PLUS会员,用了几天才晒评，网查了是真货，质量梗梗的，速度很快，电池用足一天没问题，拍照也清，可太美颜了，没苹果8拍的真，总体是不错的，国货华为大有进步，期待尽快超越苹果，三星（后面的照片是苹果8拍的）,2017-12-11 13:45:44,4,1,5
