名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***k,PLUS会员,机子很不错速度超快值得拥用，发货速度也很快，*7P用华为很好，以后再来追加,2017-11-28 17:39:29,34,11,5
快看水里有鱼,银牌会员,手机非常不错，跟预期值一样，不负所望，因为前两天出差家人帮签收的快递，刚回家就上来补评啦???,2017-11-14 17:00:42,41,17,5
我***哥,银牌会员,手机怎样不用我多说，都能看到，就是对于有一点不太理解，就是所谓的光学防抖，拍照的时候还是会模糊，我知道的光学防抖是vivo，一个人跳的时候还能拍下清晰的照片，但是这个mate10，稍微对象动一点就模糊了，不知道是不是我理解错误的问题。还有，新系统装**的面对面快传使用不了，提示无法创建，权限全都给了，还是不行，可能是新系统的问题吧。手机上网很快，很流畅，没发现会卡顿。摩卡金的颜色还是不错的，还有那个小屏模式，要开启虚拟键才可以使用，不然无法单手操作。解锁很快，可以说秒开，屏幕的贴膜，指纹好多，可能是出汗留下的。声音很大声，比我的荣耀8大声，音质不错，听着很有感觉。,2017-10-31 13:13:32,125,53,5
a***2,金牌会员,的，我想知道新手机为什么无线网络慢，4g也**的慢,2017-11-06 19:46:07,32,15,5
j***l,银牌会员,物流三天后发货，高配版容量大，不用每天清理资料。指纹解锁很快，拍照还可以，在研究中。都说后盖有指纹印，是的，不过华为送了个硅胶套，这样可以了。还送了一个蓝牙耳机。标配里有一个二耳机了，有线耳机可以歇歇了。,2017-12-10 12:12:37,12,7,5
j***少,金牌会员,收货后迫不及待的开机装app。一切ok全新。用起来非常顺畅。,2017-11-01 20:11:43,88,47,5
j***9,银牌会员,"这个运行6G的，内存128G的，才4449,送这么多的赠品，产品确实也牛，拍照比苹果还牛，运行速度一个字快，烂苹果这个配置贵几大千哩，使用起来还麻烦",2018-01-07 18:37:17,11,3,5
安***9,PLUS会员,终于抛弃了8年的苹果，在店家加价买了个10，没玩过安卓系统各种不适应，系统是很流畅，手机就外观做工不错，拍照确实是一大亮点，不多说了,2017-11-05 02:42:08,16,8,5
w***q,PLUS会员,还不错吧，就是取卡针的的卡片有折痕，用着还行,2018-01-24 22:39:14,1,2,5
法***S,PLUS会员,总体来说MATE10确实是商务机，不是颜值控的最爱，对于注重性能和手感的男士来说值得入手，建议MATE11的配件特别是耳机能用心点，别送个廉价货；后盖如果不是必须别用玻璃。非常流畅,2017-11-18 08:26:16,19,3,5
g***王,银牌会员,体验很棒啊，真品。还送了自拍杆，蓝牙耳机，两个手机壳，手机打开盒子，里面还有一个华为官方送的耳机和壳。很赞，用几天后再加追评,2018-01-24 13:03:45,0,0,5
j***n,金牌会员,"物流给力，发货晚了一天，买的时候是最低价，感觉挺挺开心。抛弃了iphone7,换的mate10，希望别让我失望，屏幕真的很给力。越看越喜欢",2017-10-26 13:47:07,82,49,5
j***4,金牌会员,第一次用华为，彻底抛弃苹果，用了将近十年，真心震撼到自己了，加油华为，国产手机用的我心里一阵阵的激动，超强的视频效果，超强的处理器！,2017-11-13 07:22:52,58,11,5
美***饰,PLUS会员,前段时间买的mate10Pro，觉得非常赞！又买个mate10，选华为。没问题！太好用了！,2017-12-27 19:53:04,6,3,5
火***芽,金牌会员,京东物流名不虚传就是快，手机手机用了三天很好用，真不错，正品，没让我失望，支持国产，就是降价快刚买两天降了一百多，商家服务很好，这是购物很愉快,2017-12-12 19:37:08,1,0,5
t***8,PLUS会员,厉害我我的华为哥。,2017-10-29 12:31:03,10,3,5
E***i,钻石会员,手机挺好用的，解锁很快，拍照也很好，就是有些软件用起来不方便，像京东app打开，每一次关闭后再次打开，点进我的里面都要很久才有自己的登录信息，还有一些需要load很多图片的交友软件要load很久才有头像出来，很多地方不够好，不够人性化，一直用的苹果，说真的有点后悔了。特别是这个配送的物流忒不给力了，上海到深圳要4天，我的妈！！,2017-11-05 13:02:10,25,9,4
小***7,银牌会员,用了一段时间才来评价 首先机子外形很好看 然后手感也不错 喜欢带hom的 所以才入手的  但是手感会有些滑 这点有点尴尬 也只有手机套才能拯救了 另外说说性能吧 怎么说也是华为家主打 虽然各方面和10p有点小差距 但是在游戏上和app切换上会感到很多的不足处 刚开始用真的是顺畅 然后因为属于重度手机患者 所以这方面还是比较敏感 但是容易接受 毕竟手机都有这个弱点 总的来说整体还是很棒的体验,2018-01-24 12:42:09,0,0,5
j***y,PLUS会员,手机很好，是正品，双十一买的很优惠，男朋友很喜欢。,2017-12-18 10:11:48,4,3,5
四***害,PLUS会员,新机收到，看着还行手感不错，等用用后在说好坏。,2017-11-09 14:34:37,6,0,5
1***好,PLUS会员,用过Mate8和9 ，Mate10绝对是Mate 系列做工最为惊艳的一款。前脸的边框和黑边大大大幅度收窄，黑边 几乎看不到了! 这一下就省了我不少吐槽的口水。额头和下巴也收窄不少，整体紧 凑了 很多。前脸亮屏后，讲真，惊艳!在不同光线下具是流背面的四曲面玻璃， 但是确实是个指纹收手感温润，光溢彩，集器，还在是玻璃，一擦就干净了，但是 总擦也不是个事儿啊!机器出厂自带屏幕贴膜，透光率和灵敏度不错，但是依旧是指纹收集利器。2.5D屏的原因，沒有贴满，但是防护作用是起到了。前置指纹很好的解决了虚拟按键占用空间的问题，一些手势操作熟悉之后很方便。屏幕整体来说显示效果不错，色彩的还原比较具实，亮度表现也不错。系统是安卓8.0EMUI8.0，很流畅，手 机到 手之后就收到了系 统更新，说是优化了夜拍等，具体沒细看，等待后续体验。整体风格和EMU15 系列相似。NPU的加入给Mate10加分不少，但是现在所能表现的地方貌似就是拍照的自动模式选择和优化 期待后续的进一步挖掘其学习能力。店家发货速度很快，有问必答，回复专业。赞,2017-10-29 10:45:38,88,21,5
j***5,金牌会员,很好用，苹果7换这个没有什么不习惯，速度快。下了几个游戏都不卡。,2017-11-29 20:22:05,3,0,5
i***z,银牌会员,手机收到了，非常好看，我非常喜欢，速度运行超快，超乎我的想像，支持华为，支持国产！,2017-12-14 10:21:36,1,0,5
c***森,银牌会员,用了第四张膜了，视频是用本机拍摄的，效果如何自己看吧,2018-01-12 13:05:12,1,0,5
心***么,金牌会员,手机真的很好用。抛弃了之前一直用的苹果。 华为的页面设计很好，一只手就可以操作。另外，手机还可以看剩余没存容量。 手机的拍照也很不错，夜景杠杠的。,2018-02-04 14:09:42,3,0,5
j***e,金牌会员,可以呀老铁    今天刚到朋友看了都说挺好?,2017-11-24 18:44:12,1,0,5
