名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
看***喽,银牌会员,快递挺快的！不错！完美！值得购买！老板还另外送个钢化膜！手机运行很快，外观很好！颜值满分！,2017-12-31 11:53:24,7,6,5
J***j,金牌会员,手机很喜欢，商家也比较认真和关心。美观度和手感都不错，照片也清楚还给了这么多赠品。,2017-12-22 00:06:03,9,2,5
j***敗,金牌会员,使用了一段时间，机器颜值非常漂亮，使用也很喜欢,2018-01-28 23:07:34,2,0,5
马***桦,银牌会员,速度还可以。 就是物流有点慢。,2018-02-05 23:46:32,2,1,5
j***e,银牌会员,给老婆买的，用了几天啦，老婆很满意，给5星,2018-01-15 18:32:10,5,1,5
昨***i,金牌会员,背面玻璃手感超级好不得不说华为品控还是够严格的，没有发现别的毛病，屏幕斜纹没有看到别人说的那样，四摄像头拍照效果也是没谁了。手机出厂就贴膜了还有保护套，耳机子很高端，说实话之前买的荣耀V8就没给我赠耳机子，王者荣耀高帧率那真是纵享丝滑啊，下次还是选择咱家华为。支持国产！,2017-12-25 15:56:47,7,2,5
j***f,银牌会员,哈哈，对于手机的评价我是特意用过之后才来评价的，一个字爽。先不说外观了，这是有目共睹的蓝色款，好看得不要不要的。运行操作很快，都说玩儿游戏是检验手机的唯一标准，还特意去下载了王者，感觉自己都要厉害好多。内存也是大大的，下了好多东西，结果才几个G，剩下的怎么用呀，挺愁的哈。再说像素，给我朋友拍个东西发给她，她第一反应是像素怎么这么好，而且手机很薄，哈哈真心棒，,2018-01-16 20:54:17,4,2,5
j***a,银牌会员,手机收到了，快递很快，包装很好，再谈谈手机，大小适中，拿着很上档次，国产机器现在真是太好了，触屏反映很敏捷，机器运转也快，值得信赖的京东,2018-01-10 16:52:11,3,0,5
HY201786,银牌会员,好评。宝贝相当的给力，是我喜欢的样子，功能特别强大，网速特别的快，像素好，听音乐也很好。总之，超级喜欢，一百个赞！物流也超给力。,2017-12-30 14:04:10,4,1,5
蝶***羽,PLUS会员,机子很好使用了一段时间才来评价的  充电很快  运行方面很快  像素有待提高  配置性价比很高  值得拥有,2018-01-14 00:08:10,1,0,5
j***m,金牌会员,快递非常快，卖家服务态度也很好，送的配件也很不错，前一天下午买的，第二天中午就到了，很棒，手机真的很棒！！！,2018-01-05 17:24:11,1,1,5
天***沉,银牌会员,好的手机他就有他不一样的地方，完美。太喜欢了，不论哪方面都显得逼格满满，不要再犹豫了，买就对了,2017-12-24 07:15:13,4,3,5
爱***后,银牌会员,手机真的很漂亮，而且屏幕特别清晰。很满意  店家送了小礼物,2017-12-28 22:06:35,3,1,5
源***経,钻石会员,除了发货有点慢意外不错，不过发的顺丰也挺快的。蓝色的比黑色的好看，整体性能没的说，支持华为,2018-01-18 16:23:15,1,1,5
j***0,PLUS会员,太漂亮了，选了好几家最终决定这买了，没选错。快递很快。手机也查了是正品。反应快，相机也很给力。总之就是喜欢。还有很多赠品呢。,2018-01-09 12:18:15,3,1,5
j***9,银牌会员,手机昨天买的，今天就回来了，真的超级喜欢这款手机，很好看，而且卖家送了很多东西，手机是正品，喜欢的赶紧买吧,2018-01-02 15:10:48,3,1,5
j***c,银牌会员,物流很快，1号订的，今天就收到了。拿到就上官网做了真伪鉴定，是正品，一颗悬的心可以放下了。客服很耐心的解答我的问题，感谢。领券买还便宜了一百多，开心。还送了赠品，运动手环，自拍杆，钢化膜，手机套，哈哈，都很实用。,2018-01-03 19:00:49,0,1,5
-***g,银牌会员,第一次在网上买这么贵的东西 今天到手了 物流因为雨雪天气耽误了 也是可以理解的 而且卖家客服态度非常好 今天拆了包装 简直美到爆了 高颜值 高配置 手感非常好 室友看了 也说想要买一部 哈哈,2018-01-07 11:34:23,1,0,5
林***-,钻石会员,手机质量很好，用了一个多月了，一点不卡，手机电池还可以，双面玻璃看起来很好看！屏幕是挺大，用着很爽！卖家赠品也送了很多，自拍杆正品很好用，手环还没打开用，正品，手机壳和送的钢化膜都很好！！,2018-02-11 22:40:13,0,1,5
j***7,银牌会员,给女朋友买的，她很喜欢，浅艾蓝颜色很好看，系统也很流畅，麒麟960处理器也比较好，这个价格很值，拍照和音质也很好，五星好评！现在弟弟要买手机，还是推荐他nova2s。,2018-02-13 16:57:25,2,2,5
超***8,银牌会员,真的很好用，支持国产华为，非常流畅，全屏就是酷，非常满意的一次购物，快递也给力，非常友好,2018-01-05 09:16:21,4,1,5
W***T,银牌会员,手机很好，拿到的时候都有点难以置信的感觉，这个手机不论外观还是像素都无可挑剔，建议你们买。,2018-01-09 18:20:55,3,0,5
j***v,银牌会员,颜值真的超高，因为给媳妇买的还没用。但是我拿到手以后真的挺喜欢的。,2018-01-10 09:26:19,11,0,5
微***i,银牌会员,夜空中最亮的星，个人感觉比之前的苹果好用，真是中华有为！用了一段时间才来评论，总之物超所值，快递也很快，到西北才3天！,2018-01-09 00:08:24,2,0,5
1***p,金牌会员,手机收到了，快递很好，包装很好，再谈谈手机，大小适中，拿着很上档次，国产机器现在真是太好了，触屏反应很敏捷，机器运转也快，值得信赖的京东。,2018-02-05 12:55:49,0,0,5
q***5,钻石会员,以前一直用水果机，换安卓机其实是比较犹豫的，在小米，三星，vivo这些品牌里选择了好久，最终选择了新款诺娃2s。事实证明我的选择没有让我失望。拿到手机的第一印象是没有想象中的那么大，和水果5.5差不多，但是外形和运行速度都没让我失望！尤其是指纹键集成了指纹，退出，切换窗口等功能很有特点。对了，脸部识别是需要先升级手机系统的！赠品给的手环，自拍杆很不错，略显高档，大气，赞一个！！,2017-12-27 10:47:28,2,1,5
浔***-,银牌会员,手感超好 还是艺兴代言的 一直都很喜欢华为~支持国产手机~自拍像素棒棒哒 运行速度也不错,2018-01-03 10:51:57,1,0,5
H***吧,银牌会员,宝贝不错，老头子很喜欢，用起来特别顺手，达到了心目中的预期！！！???,2018-02-02 17:04:06,2,0,5
h***1,银牌会员,还可以，不错。,2018-01-09 05:50:12,1,0,5
E***e,银牌会员,东西很不错，超级满意，颜值又高，小礼品也很多，很棒的店家。,2018-01-19 12:47:32,3,0,5
j***0,PLUS会员,看起来还不错，哈哈，还没用呢，京东物流就是快，服务好，送货上门,2018-01-28 12:07:19,0,0,5
二***猫,银牌会员,手机挺好的，物有所值，到货也快，店家送的小礼品也挺实用,2018-01-07 18:54:36,2,0,5
j***e,银牌会员,手机一上手就很喜欢，重量，屏幕都可以，装好机试玩了两把王者荣耀，超级好，一点都不卡，我是特意买来玩游戏的，很满意！商家服务态度很好，还送了几样东西！赞???,2018-01-15 20:35:55,3,3,5
j***3,银牌会员,非常满意！送了充电宝和自拍杆,2018-02-12 14:44:32,3,0,5
j***0,银牌会员,确实不错 用的很好,2018-02-23 18:50:46,1,0,5
贷款结婚,金牌会员,收到手机体验10天还不错，手机还是信赖华为。前后玻璃屏，都可以当镜子用了，6G的运存流畅到要飞起来，很多大型游戏都开的特效最高。拍照是这个手机的最佳选择。图像清晰还有很多模式可以选择,2018-01-17 08:09:02,2,1,5
乱***0,银牌会员,手机到了，就是物流有点慢，手机还不错！,2018-02-06 19:43:45,0,1,5
w***o,银牌会员,礼包很实用，手机使用感，很好，画面清晰，手写畅快，反应快，一直信赖的牌子，一直信赖京东,2018-03-06 15:44:16,0,0,5
