名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***1,银牌会员,用了手机还可以，看视频打电话还可以,2018-02-22 18:03:38,0,0,5
j***j,银牌会员,漂亮，手机拿着很舒服，必须赞,2018-03-01 01:25:17,0,0,5
j***泪,PLUS会员,外观美，实用还比其他牌子同样配置便宜很多，支持华为！,2018-02-23 20:20:10,1,0,5
张***9,铜牌会员,手机收到了，总体上满意，外观没误差比较漂亮，使用也流畅，是正品，老板发货也挺快，服务没的说，就是物流慢了些，跑了三天才到，没有顺丰的快，等的着急。看在手机性价比不错的份上，别的可以忽略了。,2018-02-27 20:06:43,0,0,5
一***8,钻石会员,一分钱一分货，价格适中，学生用比较合适，性能嘛，能用就行。,2018-02-20 16:49:42,0,0,5
怕***拖,银牌会员,手机还好吧，就是双卡单代,2018-02-25 12:38:45,0,0,5
L***妈,金牌会员,不太满意的一次网购经历，承诺的3.6货送到，结果迟了一天，且收到的包装盒没有全透明密封膜，担心开过封，卖家说支持官网和实体店检测勉强接受吧,2018-03-07 20:33:44,0,0,5
j***f,金牌会员,手机不错，很漂亮,2018-02-27 18:20:21,0,0,5
仝***i,银牌会员,"外观很好，手感极佳。
掌柜大大貌似没有解决问题有点小遗憾
话说你们手机玩游戏开黑语音会不会让游戏背景音乐消失。",2018-02-25 20:30:51,0,0,5
j***0,PLUS会员,帮朋友买的，手机电池一般吧毕竟3000，总体感觉不错，过年这样的物流已经很满意了,2018-02-21 17:19:59,0,0,5
林***8,金牌会员,总体还满意！帮婶婶买的 够用了,2018-02-26 00:51:44,0,0,5
常胥春,钻石会员,清晰度很好，信号也很强，外观很漂亮，卖家发货速度很快，比预计的提前一天到达,2018-02-25 10:40:55,0,0,5
j***5,铜牌会员,手机不错，快递虽然拖延了两天，但因为这几天过年，可以理解，快递服务态度很好,2018-02-21 16:38:38,0,0,5
糖***4,钻石会员,手机包装不错，用了一下感觉不错，要是再送个钢化膜就更完美了，京东值得信赖,2018-02-25 07:58:33,0,0,5
飘***6,金牌会员,屏幕大小合适，电池也耐用，冲着蓝光买的。给老人家用，护眼。,2018-03-01 08:53:51,0,0,5
k***a,金牌会员,很不错的手机，买给家人用的，外观开起来没问题，质感不错。,2018-03-04 16:38:45,0,0,5
j***6,金牌会员,速度，挺快的，不到一天就送到，。不错呃，手机运行速度很快,2018-02-22 23:54:47,0,0,5
t***7,铜牌会员,价格浮动太大。。不甘心。两三天就去了一百多。。坑比商家,2018-03-08 13:54:24,0,0,5
j***r,钻石会员,与描述相符  外观很漂亮大气  快递小哥服务态度很好,2018-03-04 10:50:13,0,0,5
g***S,铜牌会员,手机还是不错吧！速度还行，买来就是备用机的，够用！,2018-03-05 21:20:21,0,0,5
j***e,银牌会员,快递很给力   东西不错   下次再买一个自己用,2018-02-22 07:28:27,0,0,5
s***8,PLUS会员,华为手机，值得信赖，不错。,2018-03-01 15:53:04,0,0,5
j***g,铜牌会员,物流快24小时到达我很满意希望下次还在京东上买,2018-02-19 23:39:02,0,0,5
昶***沊,铜牌会员,手机用起来没什么可挑剔的，就是什么都不给送，,2018-03-03 11:10:00,0,0,5
j***k,PLUS会员[试用],手机到了用了几天很好用,2018-02-27 23:26:25,0,0,5
j***2,PLUS会员,手机挺好的，帮朋友买的,2018-02-14 03:00:37,0,0,5
梦***城,银牌会员,手机刚到手玩两天，还不了解，等以后再说,2018-02-14 17:29:57,0,0,5
j***4,银牌会员,感觉很好，屏幕占比感觉也很大……,2018-02-26 10:57:01,0,0,5
左***雷,金牌会员,挺好的，比实体店便宜不少。,2018-03-06 17:28:33,0,0,5
温***心,银牌会员,今天刚到，感觉还不错，喜欢,2018-02-24 22:05:32,0,0,5
j***i,银牌会员,还不错，基本和描述相符,2018-03-08 20:12:51,0,0,5
V***T,银牌会员,还不错！就是没给发票,2018-03-06 12:03:51,0,0,5
B***j,银牌会员,手机收到了，非常满意,2018-02-28 21:23:20,0,0,5
关***跳,铜牌会员,手机特别超值，棒棒哒,2018-02-20 20:01:04,0,0,5
少***行,金牌会员,有点卡。。。有点慢,2018-02-26 10:12:28,0,0,5
那***哦,铜牌会员,宝贝可以，跟喜欢。,2018-02-13 17:57:58,0,0,5
j***a,铜牌会员,机子到手 没毛病,2018-03-09 12:50:13,0,0,5
z***1,银牌会员,很好用，速度快,2018-03-02 10:54:00,0,0,5
e***2,钻石会员,各个方面都不错，但是拍照的像素为啥和我的荣耀8差那么多，所有设置都一样拍出来的照片这款手机从照片大小、像素都差多了，像是假的1200万一样！,2018-03-04 20:37:24,0,0,4
小***z,金牌会员,不错。。。。,2018-02-22 19:03:20,0,0,5
东***拔,金牌会员,电池不怎么样，不耐用，总体一般,2018-03-07 13:13:24,0,0,4
j***w,银牌会员,刚好在过年期间买的，耽误了好长时间。给妈妈买的。,2018-03-05 13:17:08,0,0,5
j***9,钻石会员,优惠力度很大，手机使用没什么问题，很好用，新机子~~~5星好评,2018-02-28 20:30:04,0,0,5
刘***日,金牌会员,给我爸爸买的，新机体验不错。给赞！,2018-03-01 17:49:29,0,0,5
j***j,银牌会员,非常满意，京东物流的速度越来越,2018-03-09 17:56:09,0,0,5
j***1,银牌会员,产品很好，很喜欢，下次还在这买,2018-02-25 16:53:12,0,0,5
1***空,银牌会员,冲着物流给个赞，太棒了！,2018-02-20 15:49:33,0,0,5
k***e,银牌会员,挺好的，是正品,2018-03-06 21:28:42,0,0,5
j***6,铜牌会员,挺不错的,2018-03-03 17:14:54,0,0,5
J***5,钻石会员,手机还行，只是店家服务态度一般。下单时备注了要发票，结果收到后发现没有。去要了两次才给寄出来，拿到之后看了一下发票上面手机型号什么都没有显示。问了下华为售后说只要有三包凭证就行了，不影响售后也就算了吧,2018-02-07 21:46:16,0,0,3
j***9,铜牌会员,东西很不错,2018-02-17 21:47:12,0,0,5
