名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
jd_159104diej,银牌会员,在众多品牌的手机中我选择了华为，今天收到，快递很神速。打开验货，决对正品，做工精细，光亮无比，手感好，运转很灵敏，顺畅，拍摄清晰，音质动听立体感很强。特别是电池容量大，长途开车导航不必担心半路没电了。总之各方面性能都不错，而且价格实惠，感谢卖家的真诚，以后还会光临。华为加油！京东加油！中国加油！,2017-12-30 23:26:14,2,1,5
W***3,铜牌会员,手机收到了！非常好，非常完美！收到之后就迫不及待的打开看看，包装完好，，防震做的非常好。还有很多赠品。就连耳机的包装盒都很精致，很好看。手机非常喜欢，正品。五星好评！！！,2017-12-03 13:39:16,3,4,5
7***7,金牌会员,这是第二次在京东上买华为手机了，相信京东，手机到手后急忙打开看，手机是正品，赠送的东西很满意，声音和照相挺清晰，就是还没有换卡，不知道使用后怎么样，但还是支持国产货，继续支持京东。,2017-11-10 14:03:44,2,2,5
j***l,银牌会员,"第一次买华为手机，屏幕是5点5的，看电子书很方便，运行比较流畅，指纹解锁比iphone灵敏，质量很好，手感极佳。用起来特别顺畅，电池也很耐用。拍照自带美颜，很不错，清楚，手机很薄很轻手感不错。
手机最下面的地方，华为标志那一块黑色的。没有功能性。只是装饰作用。一大块黑色的，不是特别好看。最初以为返回键在logo的区域。只觉得手机就是最下面的黑色的那一块不好看。
这款手机，总体来说来可以的，反应也挺快的，充电也很快，一次可以玩一天了。。很满意的是送了钢化膜还有耳机，很棒，快递也很快，购买体验很好。",2017-10-14 18:40:24,9,1,5
j***t,银牌会员,"原以为第二天就能收到了，结果发现不是京东自营的?
包装的很好，严严实实的，有效防止磕碰，除了手机还送了手机壳钢化膜，耳机好多东西的。有图为证",2018-02-04 14:53:18,0,0,5
g***4,钻石会员,很棒，今天拿到手，迫不及待打开，原来就用畅享7p，这回变成64G，黑色的，我和妻子都用她了,2017-11-21 00:30:18,1,0,5
j***t,铜牌会员,收到了，还不错哦，质感很好，也挺流畅，充电有一点发热，不过整体挺好，很喜欢,2017-12-11 13:22:21,2,0,5
j***v,铜牌会员,"手机买了十多天了，用了一段时间挺好的，手机是正品，商家服务也周到。感觉么么哒





手机买了十多天了，用了一段时间，挺流畅的。手机是正品，商家服务也周到，么么哒",2017-08-20 20:44:15,2,2,5
j***2,铜牌会员,华为畅想7plus，4g+64g，用起来还是很流畅，物流速度也还可以，来的是60的电，从上午十点多用到晚上九点多，才没电，充电的，电池储电量还是很好的，手机外观是香槟金，也很好看，就是刚拿到看手机配置时，男朋友收一滑磕了一下磕出了两道划痕，心痛死我了，不知道能不能补个漆啥的，店家送的东西也很齐全，有耳机，钢化膜，出厂贴了一个，还另外送了一个，取卡针，手机壳，还送了延保一年，手机本身散热性能也比较好的，用久了也不会很烫，4+64这个配置，价位在1500多，性价比还是很高的，推荐大家哦！,2017-09-14 23:15:04,2,2,5
G***a,铜牌会员,手机收到了，查询过了，是正品，并且发票齐全。卖家包装的非常精美，盒子外面还用厚厚的防碰膜包裹着。外观也不错，漂亮的流光金色，美观大方。屏幕足够大，运行速度、画质、音质什么的各方面也都不错，尤其是非常喜欢这款手机的相机功能。使用了一天，没有发现什么毛病。买给妈妈，妈妈非常满意。卖家还送了钢化膜和手机壳。唯一美中不足的是没有送耳机，很不解。不过卖家补偿了五元钱。还是总体好评！物美价廉，非常满意一次网购。,2018-02-01 12:13:21,0,0,5
j***0,银牌会员,双节期后期下单的，昨天收到。价格相对优惠，还有礼品送。看中大运存，大内存，大屏幕，指纹解锁，性价比较高。昨天开机试了，除了屏幕分辨是不是很高，色彩不是最亮丽，其他配置较好了，毕竟是千元机，实惠！相机还没侧试。替家人买的，还没去通讯公司换小卡通话测试。昨晚开机试了系统，界面系统挺适合操作的。相信机子的相机及通话应该没问题。挺好的，好评！,2017-10-12 10:51:02,1,0,5
l***娴,银牌会员,很好，是给妈妈买的，新年可以用的新手机，性能很好，支持平时操作，希望可以用久点，屏幕大，机体薄，感觉很值这个价格，不是特别贵,2018-02-13 17:02:19,0,0,5
z***7,银牌会员,等了好久，今天收到货，试用了一下，还不错，4000毫安的电量够用，玩用了一天还有电，拍照很清晰，内存够大，运行挺快快，打游戏一点也不卡，以前没用过华为的系统，有点不熟悉，慢慢就会熟悉了，送的东西也挺好的，耳机音质。行，听歌什么的没问题，先玩几天，过几天再来评价。不过还是相信国产，相信华为！,2018-02-11 22:43:35,1,0,5
j***7,铜牌会员,华为的忠实粉丝 很好用 屏幕灵敏 反应快 给我爸买的 完全够用。比欧亚签字三百元 客服回复的很及时 还很耐心 以后有需要还会回购的,2017-10-19 16:07:54,1,0,5
一***_,银牌会员,身临感受不错、颜色也非常喜欢过年送母亲礼物、价格实惠网速快、希望用的能长些、支持店主谢谢送来的耳机,2018-02-14 18:00:33,0,0,5
j***1,PLUS会员,昨天晚上拿到手就装上了，很好用，不卡顿，华为的确是不错的，推荐使用,2018-01-28 11:39:24,0,0,5
j***p,银牌会员,手机已经收到，非常好，确定是正品，整体机器性能一流，性价比很高，处理器快，内存很大，特别是还贴心的随机送手机套，高级耳机，钢化膜。良心商家，以后买手机的首选商家。,2017-09-02 11:06:26,6,2,5
j***b,银牌会员,除了物流有点慢，其他的我都很满意，哈哈哈，可以用了，超级开心,2018-02-24 19:01:01,0,0,5
3***羽,PLUS会员,今天刚收到手机，帮朋友买的，费好大的劲帮他装应用软件，手机性能基本够用了，而且价格便宜，选择华为主要是看系统比较稳定。这款机我已经买了两台了，比较满意。,2017-12-04 20:52:48,1,0,5
j***z,铜牌会员,手机今天收到了，可能距离比较远第三天到的。物流师傅服务态度好！手机也不错，包装仔细还送了手机壳和贴膜。今天就打开手机使用了，下载软件快还有安全防护。使用方便，大屏，待机时间长是一款很好的手机。这次是非常满意的购物。给5分。,2017-12-10 17:47:04,2,0,5
d***2,钻石会员,手机大小不错用起来的手感也不错,2018-02-22 08:17:58,0,0,5
t***0,金牌会员,手机挺好，轻薄，屏幕大，比我的8大多了，刚收到货开机，出现系统更新，正在更新，金属后盖，卖家还赠送了耳机，话说这个电话不带耳机，等更新完系统在体验一下，不过现在国产华为手机还是非常好的，其他的等陆续在体验，还送了膜和壳，总体来说还是不错的，满意快递京东配送，没毛病,2017-11-08 10:35:19,1,0,5
j***a,银牌会员,写了半天竟然评论到了另一款手机。第一冲着华为的牌子，第二冲着内存大运行速度快，三就是冲京东有保障。拿到手果然不负所望，机身做工不错，精细，国产大品牌。这个价位也就其他手机标配的配置，这个真算是物超所值了。而且客服服务很好，为了物流慢还不好意思的在一直道歉，比**的某些客服强太多，给客服赞一个,2018-02-11 21:52:01,1,0,5
j***7,金牌会员,华为畅想7plus，4g+64g，用起来还是很流畅，物流速度也还可以，来的是60的电，从上午十点多用到晚上九点多，才没电，充电的，电池储电量还是很好的，手机外观是蓝色，也很好看，就是刚拿到看手机配置时，店家送的东西也很齐全，有耳机，有钢化膜，还有手机套，外加一年的保修，目前用起来还不错的！,2018-02-23 09:32:29,1,0,5
j***旅,钻石会员,质量不错的哦，我感觉很好的，卖家发货速度很快的，感觉很不错的，送货也是很快的，是正品的哦，很好的，以后很继续的，不错不错的，手机的像素很好的，我很喜欢的，赠送的东西很满意，声音和照相挺清晰，就是还没有换卡，不知道使用后怎么样，但还是支持国产货，继续支持京东,2017-11-22 13:32:17,0,1,5
j***a,铜牌会员,刚收到货，物流速度很快，第一次买华为手机，买之前做了思想斗争，到底买什么颜色的，买哪个型号的，后来决定了买黑色，买了华为畅想的。大气，有绅士风度，收到货，现在很算满意，下次继续关注！,2017-12-09 16:40:37,1,0,5
j***2,银牌会员,手机收到后很惊喜，送爸爸的，老人家很喜欢，同事看到了也觉得很不错，让帮忙在买一部呢，手机大小，内存都很满意，还送了很多东西，有延保真是觉得非常合适，满意，而且价格也真是很优惠了,2017-12-13 16:33:16,0,0,5
依***峻,金牌会员,流光金颜色，看上去很高贵大气！4G运行内存确实顺畅多了！指纹锁很灵敏！解锁更省心！通话音质很清晰！拍照效果真棒！店家还送了一些配件礼物，非常实用！,2018-01-24 14:02:47,0,0,5
c***8,金牌会员,还可以，屏幕比较清淡。,2017-09-25 09:22:58,2,0,5
徐***4,银牌会员,我是看见这家店铺基本是好评，才选择这里买手机的，好评多的商家基本是良心商店，这是第二次在京东上买华为手机了，相信这家商店，手机到手后急忙打开看，手机是正品，赠送的东西很满意，声音和照相挺清晰，就是还没有换卡，不知道使用后怎么样，但还是支持国产货，继续支持京东,2017-11-17 14:42:25,1,1,5
j***4,银牌会员,最近老**手机电池量不行，动不动就要充电，内存也不行了，那时买这个手机的时候早，才8个g，存不了多少东西就满了。问了客服，特地 要了电池容量大，内存也大的畅享系列。华为国产大品牌，质量好，性价比高，耐使用，我家三口人都在使用华为手机。国产品牌加油！,2017-12-21 21:42:54,0,0,5
b***i,钻石会员,京东快递的速度无可挑剔，包装盒内有泡沫保护，连配套的贴膜和手机套、耳机都帮你想到了，虽然不值什么钱但提现了商家的服务，有了用心的服务还有什么做不好的呢！非常满意的一次购物体验，手机质量有待使用检测，华为作为国产品牌应该不会失望。,2017-12-25 14:19:38,1,0,5
j***4,银牌会员,宝贝收到了，包装很好，就是物流太慢了，用了几天才来评价，手机外观好看，刚开始用反应挺快的，不错,2017-09-10 19:54:35,3,1,5
吉***e,金牌会员,手机终于到了，物流很快，刚拿回来就赶紧试了试声音、屏幕，都没有问题，也去官网查了，有购买日期，应该是正品的。手机不仅外观大气，内存也很给力，价格也不贵，很适合学生党，而且这家赠品也炒鸡多，非常满意。,2018-01-05 15:07:22,0,0,5
g***2,银牌会员,给家里老人买的智能手机，都是华为的，还是相信华为的品质滴，屏幕比较大，字显示清晰，操作流畅，从存储容量，芯片配置等方面来说也都是性价比非常高的。之前没有使用过智能手机的老人，教一下都很快上手。,2018-02-23 21:34:49,0,0,5
j***S,金牌会员,屏幕有些偏大，系统自带软件太多了还不能卸载，很麻烦。关键是这些软件用不上啊，很无语。电池整体性能还不清楚希望很强大很给力++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,2017-12-27 20:50:13,0,1,4
j***t,金牌会员,手机收到了，京东快递快，包装好，服务也不错。支持国产手机，喜欢华为这个品牌，关注这款手机很久了，手机很薄，屏幕也大，看电视、玩游戏都不错。拍照像素也好，自带美颜功能，照片美美哒，喜欢喜欢喜欢,2018-02-03 22:01:23,0,0,5
j***f,铜牌会员,手机很好，因为第一次在京东买东西，所以有点急 买回家之后查了查是真的 手机锁屏很灵敏 屏幕是5.5的大屏手机 很好 一直用华为 下一次给闺女买手机还在你家买 像素很好适合自拍！好评祝店家生意兴隆,2017-11-28 16:41:11,1,1,5
