名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***t,铜牌会员,宝贝收到了，故意用了一天才来评论，店家服务很好很好，必须点赞，再来说一下手机用了一天手机没毛病，一直支持国产，这是第三个华为了，这次是给老妈买的，很喜欢，这家京东店我一保存，下次再来买！！！,2018-01-15 19:52:55,0,1,5
j***3,铜牌会员,很喜欢华为，感觉魅族华而不实，vivooppo是女孩用的，苹果买不起，小米怎么看怎么low。我第一部智能手机就是t8833.第二部是华为G6.我爸妈都是荣耀，这次其实想买荣耀8青春版，但是荣耀的标志不喜欢。找到华为畅想7就买了，付款之后好多人说这个手机处理器差，屏幕分辨率不高，可是我感觉屏幕分辨率很舒服，绝对没有什么所谓的颗粒感。其实我原来的G6就没有颗粒感。至于处理器，我玩了一下午没感觉卡，装了十来个应用软件。3G内存还剩下2G.32G内存还剩下21G.总之我很满意，一份价格一分货，我始终相信这句话。加油华为??(∗?????∗)??。。感谢店家的优惠，看起来不错?,2017-11-30 22:50:37,3,2,5
浅***3,铜牌会员,京东的发货速度真的是快的没话说，23号中午买的，隔天上午就送到！！手机质量很好，很实用。几百块钱买到质量这么好的手机真是赚啦。昨天试用今天才评价 手机真心不错。支持国产力挺华为！,2017-11-26 09:04:06,0,0,5
j***0,铜牌会员,宝贝收到了，刚刚玩了一会很不错呢！买家又热情的解答这个价位买到这么好的手机真的很值很实惠呀！还送了钢化膜和手机套！指纹解锁实在是太方便了…手机轻松的薄薄的，看电视打王者没问题！画面清晰,2018-01-31 17:45:16,0,1,5
h***g,PLUS会员,"这家店真心不错。来买过几次了，服务新老客户非常周到，以后还会常来！
网上购物这么激烈，没想到店家的服务这么好，手机质量好而价低廉，我太感谢你了！其它也不多说了，给卖家点赞!",2017-12-27 16:17:52,2,2,5
j***i,铜牌会员,与商家描述的一致，质量很好，手机反应速度很快，包装很仔细，赠品也很实用，发货速度也很快，服务态度也很好，送给老妈的，老妈很喜欢，以后有需要的话还会考虑继续购买，支持华为，支持国产!,2018-03-06 15:11:52,0,0,5
j***c,银牌会员,感觉挺不错的，比想象中还要好,2017-12-16 16:05:57,0,0,5
网***人,金牌会员,帮同事购买的华为手机，他说很不错。外观设计，全网通模式，移动，联通，电信都可以使用，系统也很顺畅，最重要的是价格很实惠，对比了几家了还是发现这里很给力。手机目前使用中，很OK，华为的品质还是可以的，你值得拥有一部。,2018-02-06 11:24:46,0,0,5
h***g,PLUS会员,给家里老人买的，就冲着一个手机掉进水中三次都没有坏，质量杠杠的，就认准华为手机了，原来的用了4年了，外形实在太旧了，只能换这个价格实惠的畅享七的了。给买家一个建议哈 →操作比较流畅。充电速度非常快！尾部2个独立扬声器声音很大，户外更不会漏接来电！续航力还可以，正常玩稳妥妥的一大天！和其它手机都差不多吧！信号强度杠杠滴！卖家服务很好！还送了那么多赠品！发货迅猛，32个赞送给卖家！,2017-12-12 13:59:45,1,1,5
贞***妍,PLUS会员,京东物流北京到大连三天还算挺快的。这款老爸用，大姑有看中了也让我买。买手机送透明后壳和手机膜耳机，一套全有不用另购了，挺好。开机一看桌面一百多个app，着实是吓了一跳，运行起来有些卡，以为是二手或者被退货的机器。后来上网查了下，是有些经销商自己往里按软件的，恢复了下出厂设置，这回就顺畅多了，跟老爸用的从移动存话费送的手机一样了，不再卡顿。屏幕分辨率是一般，没用过的p7和荣耀8清晰，毕竟千元机的价位在那，还是可以接受的！,2017-11-08 12:12:39,0,0,5
j***l,金牌会员,手机很超值，运行速度很快，32应该够用了手机外观很圆润，拿在手里上的第一感觉是，小巧轻薄，非常便宜现在家里的所有东西都在京东上买的非常划算，质量很好，送货速度很快，保质，嘻嘻，等以后活动时候继续购买京东的东西手机绝对正品，非常好用，手机质量非常好，嗯处理器也很好，继续加油很喜欢然后，嗯，一直用的华为，质量有保障比说人家还便宜谢谢卖家,2017-11-15 20:22:38,0,0,5
j***g,铜牌会员,"第三部华为手机了了，之前自己用的都是华为，感觉很好用，这次给老妈也买了一个华为手机，品质质量好的没法说，主要是手机又轻又薄，用起来特别的流畅，系统还是最新的，小巧精致，挺喜欢的。
其次，卖家服务态度特别好，还送了手机壳。手机膜等等，晚上拍下，第三天就到了，京东快递速度快的没法说。服务业很到位。",2018-01-17 23:28:34,0,0,5
j***9,铜牌会员,手机今日已经收到了，打开睇左是我喜欢的颜色，我是送给我老公的生日礼物?来的，我老公超喜欢，如果好用下次买手机会再响这里买的。现在开始用着，挺快的，不卡机，真的好喜欢，也好喜欢华为。,2017-10-30 16:14:54,1,0,5
寻***常,PLUS会员,电池有待验证，运动速度比较快，屏幕清晰，应该是正品，买了给家人用的，先试用一下，应该不错，对得起这个价格。附送的保护套很好，贴合又做工不错。不知道机器有没有贴膜，送的钢化膜怎么贴比较好。,2018-03-08 18:31:57,0,0,5
七***鞋,PLUS会员,首先，我几个月前买过此款，觉得很好用，运行畅通无阻。然后手机遗失后，我又重新下单买这款手机，刚开始，手机运行不太快，估计是有很多软件需要更新。然后，打开微信有点卡，我把自带的微信卸载后重新装上就好了。下面按键的左右键跟平时那些手机按键相反的，不过没事，这个可以自己设置的。通话质量暂时觉得没有问题，手机也比较畅通。上网玩游戏的都可以。,2018-01-02 14:38:26,0,0,5
吕***莹,银牌会员,"今天刚收到手机很超值，运行速度很快，32G,应该够用了，首先手机整体外观圆润，拿在手上第一感觉就是小巧轻薄 非常便宜。现在家里的所有东西都在京东上面买了，非常划算。质量好。送货速度快。保质期新。等以后有活动的时候继续购买京东的东西。手机是绝对的正品。非常好。手机质量非常好，骁龙处理器非常好。。继续加油吧。选这家除了价廉外就是看中赠品中的两个保护措施，所以一到手就把膜和软套装上，安全上增加了不少心理安慰。。原本预期按旧习惯root下，不过发现系统预装（我自己删掉了一部分不用的）加上我自己装的一大堆惯用软件后机内剩余空间过半，所以决定就先用默认系统。，各项功能正常。手机都力挺华为。等了两天到货，迫不及待打开，质感非常棒，还随机赠送了钢化膜、手机壳、耳机、还有更重要的一年延保！",2017-11-29 21:04:04,0,0,5
飞***萤,金牌会员,这款华为手机，质量价位都很不错。比其他店铺让利很多，而且送的赠品配件也很实用。香槟金色看起来很大方简约，主要尺寸各方面也很不错，不会很大，占地方。里面自带的软件可很多可以选择性的卸载，不错，对于有些长辈不常用的软件可以适当性的简化卸载。配送很快，货到付款，京东快递配送收款，很安全保障，有需要的可以建议购买。,2018-01-18 18:57:32,0,0,5
T***n,金牌会员,给妈妈买的，金色的挺好看。3g＋32g的高配版玩玩微信，拍拍照片肯定够用了。机身背面经典三段式设计，大面积金属材料，加上柔性喷砂工艺，摸上去手感细腻。包括机身的过度，四角都采用了圆润的处理，让手机显得温润许多，同时带来了舒适的握感。这种圆弧曲线设计能让手机机身显得更薄。物流速度很快，送了耳机，玻璃膜，硅胶套。,2018-01-08 18:02:00,0,0,5
j***m,PLUS会员,商家的客服很耐心的解答各种问题 ，手机刚开包 、手感 外观之类的很满意的， 送了透明手机壳，钢化膜 ，耳机，手机壳很薄软，耳机就是一般的耳机，实体店是没有耳机送的，快递速度也挺好的，地址有个小错误，快递员还是很快送到了?，手机刚打开有可多功能重复的软件，客服说是出厂预设的，很耐心的帮忙提示我怎么删掉，很棒,2017-12-20 10:19:08,0,0,5
天***3,金牌会员,手机?发货很快，收到手机后包装很好，里面是防震气柱，打开后里面物品没有一点受损，先说赠品，店家送的耳机，手机贴膜，手机壳，一应俱全真的很贴心，这样手机到了直接就可以用上了，不用再出去买或网上买，手机开机运行了一下，很快，真的物超所值，这个品牌还是公司网络总监推荐的，很不错，支持国产手机,2018-01-10 09:17:07,0,1,5
