名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
1***0,银牌会员,宝贝很不错，给老爸买的，老妈看了也想用呢，高端大气上档次，配置挺高，反应快，姐姐看了也说好，想着跟老爸换换用呢，性价比很好，清晰度高，照相也很清晰，比老爸现在用的手机强好几倍，大爱，喜欢的朋友赶紧下手吧?,2017-12-08 14:03:10,4,2,5
寒***烨,金牌会员,"这已经是我的第四个华为了。新手机很好，反应很快～很适手！屏幕很清晰～性价比很高～
一开始选了几款手机，就这一个一见钟情了。选了一部蓝色华为荣耀v9play。",2018-03-01 13:05:03,0,0,5
j***7,钻石会员,刚收到自己买的手机，手机使用效果还不错，店家发的物流非常快非常满意，价格也挺便宜的，还赠送好多赠品，在用一段时间追加评论！！！,2018-03-05 16:28:33,0,0,5
j***a,铜牌会员,物流也很快，服务态度也很好，手机用的很顺畅反应也很快，还送了这么小礼物，京东购物值得信赖，以后要买手机就在你店家买，给五个星好评。??????,2018-02-10 14:35:05,0,0,5
j***c,铜牌会员,"首先，华为荣耀v9play这款手机价格大概在1100-1300，这款手机cpu为联发科。
其次，屏幕分辨率为720＊1280，接下来说说性能，运行速度一般，总体还行。
荣耀v9play这款手机各方面表现良好，颜值还行，很漂亮。手感也不错。电耗可以。
电量比较耐用。这样的价格也比较合理。",2018-02-08 08:56:28,0,0,5
明***3,银牌会员,给父亲买的手机，用着手感非常好，父亲说国产手机华为物美价廉，就选了这款手机，收到之后非常满意。卖家服务态度也很好，耐心回答我的问题，考虑了4.5个小时终于下单了，最后还确认了物流位置，订单。物流也非常快，从北京4天就吉林省的某个乡镇地区。非常满意，满分。,2018-02-10 16:36:50,2,0,5
j***7,铜牌会员,手机很不错，外观大气，漂亮，很喜欢，就是发货太慢了，十七号下的单，二十二号才收到，这速度太慢了,2017-12-22 23:00:37,2,0,5
喻***n,银牌会员,手机挺好用的，性能还不错，先用段时间再来加评,2018-02-27 08:18:47,0,0,5
j***f,钻石会员,"手机硬件配置主要是CPU主频、可用内存及运存、摄像头像素、屏幕尺寸，分辨率等方面：设置→关于手机→查看手机的处理器（核数越大越好），内存，分辨率，系统（现在主要是iOS和安卓系统，Windows很少了），像素；

手机材质要防摔，散热性好；

外型则是看自己的爱好。

买手机最好还是选择口碑较好的品牌，选择性价比高的型号。",2018-02-10 22:49:45,0,0,5
动***了,钻石会员,今天手机刚到，小试了一下，挺满意的，这个价位也刚好，之前用过华为的手机，比较喜欢这种简单的设计，这款手机内存也够大，反应也很快，感觉功能还是比较齐全的，拍了拍照感觉很清楚。卖家还送了手机壳和钢化膜，包装很好，快递也很快，一次比较愉快的购物。我只能说，手机不错，也实在说，想得个红急。要不给红包的话，我跟你急,2018-01-31 22:24:58,1,1,5
j***8,钻石会员,外观非常不错好看，各个方面都挺好的，充电器充电特别快，运行基本的程序完全没问题，这是买给女儿用的，女儿用了说好用，女儿用来做作业手机反应也很快，女儿用了说好用很开心，照相也好看,2018-02-02 23:05:50,1,0,5
