名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***g,银牌会员,一般吧,2018-03-08 19:49:41,0,0,5
j***7,金牌会员,买了两部，手机质量很好，孩子学习用,2018-03-06 15:06:37,0,0,5
毛***生,钻石会员,华为荣耀系统好，性格比高，支持国产，物流快，服务好。,2017-11-25 12:37:22,3,0,5
j***b,银牌会员,非常满意，华为荣耀，我爱死你了，么么哒！,2018-01-18 12:37:53,2,0,5
j***w,铜牌会员,手机大小适中，手感也不错，物流稍慢但不影响评价。挺好,2018-03-07 14:42:30,0,0,5
子***8,PLUS会员,手机收到啦，看着样子喜欢死了，用着很舒服，不错的购物,2018-03-05 20:07:51,0,0,5
j***d,铜牌会员,怎么说呢.....暂时还找不出可以说不好的点吧?，快递也是特别快，第二天下午就到了，快递小哥也特别特别特别特别特别特别特别特别的好，没有看到信息没能及时去拿，还特地打电话过来?这可是在学校里遇到过的服务态度最好的快递小哥哥了有没有??????,2018-03-08 12:55:40,0,0,5
j***x,PLUS会员,"很实用 东西好。用起来舒服。看起来大方漂亮。美美美
很实用 东西好。用起来舒服。看起来大方漂亮。美美美
很实用 东西好。用起来舒服。看起来大方漂亮。美美美",2018-03-05 22:03:14,0,0,5
j***f,银牌会员,刚收到还没用，希望质量各方面都好。物流很快给好评,2018-03-06 10:56:04,0,0,5
兔***安,银牌会员,这款手机是我帮姐夫买的，实惠大气，性价比很高。店面有送手机钢化膜和胶套（赠品售完即止）很高兴呢！,2018-03-05 15:36:01,0,0,5
j***6,银牌会员,物流超级烂，一个物品寄8天才到，跟催物流也不给力，发错地方还不悔改，，狗屎物流，体验太差。,2018-03-05 21:29:36,0,0,5
小***萍,PLUS会员,屏幕用了几天就被意外碎屏了，不高兴了，又没有保险只有自己修了,2018-03-08 02:37:21,0,0,5
爱***题,银牌会员,什么玩意，这钢化膜都小好多，贴上去包不严，还超难看，严重怀疑是不是发错给我了,2018-03-06 14:01:52,0,0,5
j***e,铜牌会员,手机还可以，但是物流寄错了，本来用一天就到，要二天才到，快递小哥服务好。,2018-03-05 14:56:29,0,0,5
w***n,钻石会员,手机送妈妈的，个人喜欢蓝色结果妈妈不喜欢不过配置还是够用的，支持国产,2018-03-07 11:15:17,0,0,5
j***u,银牌会员,给老爸买的，老爸跟我说没有耳机，居然没有耳机，是正经手机吗？,2018-03-05 17:32:02,0,0,5
1***p,PLUS会员,手机好看，功能性也好，给老人家用足够了,2018-03-08 08:01:18,0,0,5
j***c,铜牌会员,手机还不错，价格便宜，使用起来没有什么问题，给孩子用足够。,2018-03-05 08:26:32,0,0,5
J***J,PLUS会员,京东物流很快，很不错。力顶！！！,2018-03-07 07:19:08,0,0,5
r***V,铜牌会员,手机刚回来，冲了下电开机还要密码，指纹解锁都不顶用,2018-03-09 15:56:34,0,0,5
j***待,铜牌会员,质量很好物流很快 妈妈很喜欢操作也不复杂 速度很快,2018-03-06 14:02:20,0,0,5
张扬可口可乐了,银牌会员,商品还没看 快递员帅 快递员热情 快递员有责任心,2018-03-06 13:46:20,0,0,5
瓶***0,铜牌会员,少微摔了一下屏幕就碎了，问客服怎么处理也不明确,2018-03-09 07:33:08,0,0,5
刘***丫,钻石会员,给家里老人买的 确实不错 质量好 外观漂亮,2018-03-06 20:28:22,0,0,5
j***d,银牌会员,物流比较快，货跟单一样，等用段时间再追评,2018-03-06 20:45:15,0,0,5
j***5,钻石会员,非常满意的一次购物，手机非常好用。。,2018-03-10 00:15:01,0,0,5
j***生,钻石会员,购买2台了，上次买1千多，这次8百多,2018-03-05 12:41:52,0,0,5
j***m,铜牌会员,挺好的，给老爸买的，用着还不错,2018-03-05 22:26:00,0,0,5
厄***G,金牌会员,还可以呀，挺好用的嘛。哈哈哈,2018-03-09 23:31:16,0,0,5
j***3,钻石会员,东西非常好用，物美价廉,2018-03-06 20:34:20,0,0,5
j***0,注册会员,刚拿到手试了感觉不错,2018-03-09 16:40:12,0,0,5
y***S,银牌会员,质量很好，老爸很喜欢,2018-03-06 17:00:19,0,0,5
j***b,银牌会员,不错?，质量不错,2018-03-06 18:41:33,0,0,5
j***神,金牌会员,还不错很漂亮，虽然反应有点慢不过这个价位已经很不错了,2018-03-07 16:19:18,0,0,5
j***r,银牌会员,手机不错，用起来很流畅，打游戏带劲，,2018-03-05 08:26:47,0,0,5
j***d,银牌会员,手机外观ok，,2018-03-09 18:01:25,0,0,5
相***3,银牌会员,很轻，屏幕控制很灵活,2018-03-05 18:04:23,0,0,5
白***事,银牌会员,手机很不错，物流也很快，但是取快递的时候问我要钱是什么鬼？取快递的时候态度非常差，前一天给我打了电话说让我取取快递，第二天去取的时候非得说没有我的快递，我叫他帮我找一下，就是说没有，怎么说都不给找。最后说了很多才愿意给我找，签收之后问我收钱，这还有没有天理了,2018-03-06 13:03:31,0,0,5
f***t,银牌会员,手机重量很轻，但是屏幕分辨率一般，考虑到价格，还是不错的，其他的话还要再用一段时间看看,2018-03-08 19:21:55,0,0,5
z***5,金牌会员,不满意的一次购物。同时买两个黑色的和金色的。黑色的有被拆封的痕迹、清晰度也有问题。,2018-03-06 13:45:39,0,0,5
w***D,铜牌会员,可以用，不卡,2018-03-09 19:04:48,0,0,5
杨***1,银牌会员,很好用，，，,2018-03-05 15:03:19,0,0,5
小***妹,PLUS会员,还行吧，809买的备用机，可以了,2018-03-05 08:28:29,1,2,5
c***4,金牌会员,价廉物美！,2018-03-08 10:31:47,0,0,5
小***妹,PLUS会员,还行吧，809买的手机，也就这样了,2018-03-05 08:28:09,0,1,5
阿***8,钻石会员,给老爸买的，他非常喜欢，支持国产，支持荣耀,2018-03-07 18:23:15,0,0,5
j***w,金牌会员,刚刚收到，装卡试用了一下，对得起这个价位,2018-03-06 18:01:34,0,0,5
1***1,钻石会员,真心好用，很快样子也很好看，主要是便宜。,2018-03-05 22:33:24,0,0,5
l***3,银牌会员,宝贝用了几天，还不错，值得购买,2018-02-24 13:47:11,1,0,5
j***2,银牌会员,用了一段时间再评的，感觉还可以，反应挺快，电池刚好够用，就是内存买来就不到20g了，快递一般，京东还不如普通快递快,2018-03-07 00:20:21,0,0,5
j***0,银牌会员,物流一颗星都没得，，，一个快递6天才到，龟速呀，我27 号订单我们3号才收到货，打客服就说货物滞留,2018-03-07 08:40:45,0,0,5
谁***乱,钻石会员,这个手机吧。也就这样，手机卖家，客服处理不了问题，解决个事儿都是瞎扯淡。手机还有点卡。,2018-03-09 11:05:36,0,0,5
s***k,PLUS会员,非常实用！物美价廉！送货特别快！小哥服务态度特别好，感谢感谢,2018-03-09 20:56:09,0,0,5
把***H,PLUS会员,3+32买给妈妈用的，足够了，性价比很高，外观也不错。,2018-03-10 00:43:09,0,0,5
j***h,PLUS会员,整体感觉不错，指纹解锁超灵敏，反应比较快，整体比较喜欢,2018-03-09 22:21:05,0,0,5
j***赞,金牌会员,手机款式很不错，运行也好，清晰度也好，唯一不足的是赠送的钢化膜不匹配！,2018-03-09 08:12:27,0,0,5
t***g,PLUS会员,性价比很高的一部手机，运行速度很快，发货也很快,2018-03-07 14:36:17,0,0,5
a***6,PLUS会员,物流很快，服务很好，性价比高，运行快，值得购买,2018-03-05 21:49:17,0,0,5
j***d,银牌会员,这手机是我朋友叫我给他老婆买的，他说用起来很好.下次都在网上买,2018-03-06 20:55:58,0,0,5
j***e,钻石会员,4米闵明明,2018-03-04 23:19:09,0,0,5
练***斋,PLUS会员,赠送的手机壳太次了，送的膜还是型号不对的……,2018-03-05 15:24:23,0,0,5
q***蚁,铜牌会员,"手机还行,就是反应有点慢.不过一分钱一分货,心里还可以接受",2018-03-09 01:23:22,0,0,5
z***I,铜牌会员,手机到了，物流挺快的，两天就收到了，手机挺好的�����,2018-03-09 14:21:20,0,0,5
1***p,PLUS会员,在一起吗！这么好吃呢一个星期六就不是,2018-03-06 13:27:38,0,0,5
_***_,PLUS会员,经常在京东购物，物美价廉，喜欢京东！,2018-03-05 11:57:12,0,0,5
j***c,铜牌会员,手机很好超爱使用很流畅反应好电池耐用很好的一次购物,2018-03-09 21:48:39,0,0,5
j***u,金牌会员,像素还好，就是之前没有介绍这个给同学，他用着很好用,2018-03-08 15:25:28,0,0,5
j***9,金牌会员,手机非常不错，有重量，老人用很合适，黑色很漂亮！,2018-03-07 11:38:27,0,0,5
b***7,银牌会员,屏幕大小合适，系统运行流畅，物美价廉，值得购买！,2018-03-05 09:56:47,0,0,5
j***7,银牌会员,给老婆买的，用了快一月了，没任何问题，非常喜欢,2018-03-07 08:21:20,0,0,5
c***琦,PLUS会员,真心不错，这个价位挺不错,2018-03-09 11:16:29,0,0,5
赵***5,PLUS会员,买来给老人用的，看着不错,2018-03-07 15:51:28,0,0,5
H***L,铜牌会员,商品都一样，就是电池不好用，一天不到就没电了,2018-03-07 12:32:33,0,0,5
j***t,PLUS会员,谢谢商家，给妈妈用实用,2018-03-07 21:41:33,0,0,5
暮***r,银牌会员,用了一段时间了，还是很不错的，支持国产,2018-03-09 20:45:33,0,0,5
無***名,钻石会员,挺不错的一款手机，给妈妈买的，她很喜欢,2018-03-08 16:22:00,0,0,5
海***记,银牌会员,手机已收到，试用过，质量很好！值得买！,2018-03-07 21:09:14,0,0,5
李***8,银牌会员,看起来还可以，但是还是要用了才知道质量,2018-03-07 10:41:12,0,0,5
j***w,铜牌会员,手机还可以，就是掉电不是一般的快 ！！,2018-03-06 21:21:05,0,0,5
L***4,银牌会员,手机很好用！运行内存不错！触屏灵活！,2018-03-08 14:12:39,0,0,5
j***2,银牌会员,赠品钢化膜用不了，不知道是不是搞错了,2018-03-07 10:57:03,0,0,5
j***m,铜牌会员,一般吧，安装微信安了半个小时才安上,2018-03-09 11:53:06,0,0,5
1***p,银牌会员,手机很好，就是送的膜不行，小一圈,2018-03-08 21:29:40,0,0,5
