名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
某***y,银牌会员,昨天收到货，这款电话实在是太轻薄了很漂亮，外观和某果也很像，而且速度超快，我买过华为以后就对华为爱不释手了，之前买的畅想，那个超级耐电，这个手机3000ma应该足够用一天了，不过不喜欢里面的内存占满太多了，这次交易愉快，希望下次能把sd卡脱离出来不要算进卡槽，虽然现在都用nano卡但是还是怀念以前的卡啊……好评，下次还会买的,2017-11-23 09:19:41,2,1,5
j***4,银牌会员,真的很不错，手机刚刚收到，操作顺畅，手感很好，颜色是我要的，包装一如既往的严实，可能是最近两会期间，物流稍微有点慢，不过可以理解，送的很多礼品也都很实用，正规发票，全国联保很靠谱！最主要的是还有优惠券，感觉买手机很实惠！！！！以后有需要还会再来的！,2018-03-05 14:28:36,0,0,5
z***3,PLUS会员,华为的手机性价比很高，大品牌还是值得信赖，运行也很流畅，给长辈买的，能满足基本要求，很不错,2018-02-27 17:26:11,0,0,5
jd常州小,金牌会员,买给父母用的，手机比较大器，老人家比较习惯，运行速度也很快，必须给五星好评，后续用了之后再来追加评论。,2018-03-02 01:07:24,1,0,5
陈***y,金牌会员,这个手机内存大   照片找出来也还比较清楚,2018-02-02 13:36:12,0,0,5
j***3,银牌会员,没想到大过年的也送货。之前下单一台小米，但是卖手机的朋友说华为质量比较好，就退了改下华为，也刚好赶上活动。之前在实体店试过华为荣耀v9，手机外壳的材质摸着特别舒服，流光溢彩，看图可感受出来。还送了气囊型的手机保护壳，不需要再另外买了，还有一张钢化膜，送的都是需要的，超好的卖家。,2018-02-19 19:33:02,0,0,5
j***v,银牌会员,东西很不错，用起来还可以,2018-01-09 21:49:04,0,0,5
沙***0,银牌会员,手机收到后开机就出现死机的情况并且有卡拉卡拉的声音，然后会自己关机，再次开机还会出现同样的问题，根本无法使用,2018-02-26 19:12:01,0,0,5
z***8,银牌会员,华为荣耀手机不错，以前用过一个挺好的，支持国货，快递挺快，,2018-03-01 20:58:42,0,0,5
f***0,金牌会员,华为一直在用的品牌，以前的那只突然罢工，这次还是毫不犹豫选择则它。V9外观造型更优雅，屏幕5.2，看视频更舒畅，卡托设计更人性化，避免了开后盖的尴尬。新加的指纹功能，使得安全保护更为全面。唯一感到美中不足的是缺少了双击解屏功能，稍微有点小遗憾，不过这款的性价比还是很高的，尤其活动期间还有很多礼品赠送哦！,2017-11-13 10:37:07,0,0,5
j***w,银牌会员,今天中午终于收到了，简单看了下，还不错，达到方心里的预期，画面清晰，反应速度还可以，没出现卡顿，就是有二点不如意，1是物流送货速度太慢了，2月18号下的单，2月23号才到货（我同样在京东下单买的投影仪，2月21号下单，2月22号中午就到货了）；2是竞然没有随机配耳机，问客服还说本来就没有，本人又不是第一次买手机，唉~~~,2018-02-24 18:48:31,0,0,5
