名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***r,铜牌会员,手机收到了，和描述的一样，用完再追加评价吧,2018-03-09 14:38:37,0,0,5
j***a,金牌会员,送给老妈的节日礼物。字体大。屏幕也大。老妈也不会玩游戏。喜欢拍个照片上个微信啥的。很喜欢。好评,2018-03-09 13:00:34,0,0,5
jd_135520jtqx,银牌会员,还未使用，整体感觉外观不错，相信华为的品质，支持国货。去年京东买的荣耀5.使用很好，今年又决定买的荣耀6.,2018-03-07 17:21:19,0,0,5
j***u,PLUS会员,好，顺丰就是快，用后追评,2018-03-07 12:13:50,0,0,5
j***5,铜牌会员,感觉不错，实际情况要用了才知道<(｀^´)>，快递也快到送货上门；只可惜没耳机?，。,2018-03-04 15:32:44,0,0,5
j***a,PLUS会员,东西真的很好，主要是京东，物流快服务好，售后服务给力，支持京东，我会一直网购在京东商城的,2018-03-08 06:47:28,0,0,5
K***z,PLUS会员,送给长辈的礼物，老人用着很喜欢很顺手，当作老人机用很合适，微信视频很方便,2018-03-06 11:16:00,0,0,5
j***9,铜牌会员,颜色非常漂亮 运行速度也可以 电池耐用 赞一个,2018-03-07 16:47:53,0,0,5
瑞***雪,铜牌会员,给老人用也还可以，内存小了点,2018-03-06 14:41:53,0,0,5
小***晴,金牌会员,手机可能翻新机，锁屏键不灵光，按了有时没反应，像素极差，手机运行很慢，就几百块不值当和他们计较那么多。反正劝你们不要买,2018-03-05 03:21:29,0,0,5
j***f,铜牌会员,"物流稍慢一些，打开包装里面手机最初的膜也没有。是不是翻新机也不知道。
到货了几天后就降价了，也不退差价",2018-03-08 09:19:30,0,0,5
耳***木,银牌会员,给我老妈买的手机，去年给老爸买了一个5，这次买的6，这个假期老妈基本上都会用这些功能了，性价比不错的,2018-03-08 19:43:38,0,0,5
j***h,银牌会员,外观大方漂亮，待电时间很长，用起来很方便，买给长辈的，通话音量也很大，是物美价廉的商品，值得购买。,2018-03-07 20:49:14,0,0,5
j***h,银牌会员,买给老妈用的，感觉挺好用的，待电时间长，老人也就平时看看电视，发发微信，够用的！,2018-03-07 20:45:20,0,0,5
舟***来,PLUS会员,不错…看着还行……不知道用起来又是怎么样的效果………到后期我在追评吧………,2018-03-09 00:51:11,0,0,5
l***x,银牌会员,大小合适，屏幕有点黑，不过家里人用的挺合适，要是有优惠我还想买几台！,2018-03-06 21:00:54,0,0,5
Q***柠,铜牌会员,手机屏幕不够清晰，反应较慢，特别是上游戏，让人贼不爽了，超卡,2018-03-09 20:33:11,0,0,5
K***o,铜牌会员,手机不错，给老爸用的，挺好用的，要是送个手机壳就更好了。,2018-03-05 19:04:03,0,0,5
想***子,PLUS会员,挺不错的，给爸妈买的，老人很喜欢。,2018-03-06 16:38:30,0,0,5
w***5,PLUS会员,原装正品。声音图片都很清晰,2018-03-06 11:15:35,0,0,5
j***f,钻石会员,帮同事买的，好用，天天看电视上网，电池还可以。,2018-03-04 00:29:01,0,0,5
逐***9,钻石会员,非常好用，给老年人，希望能用的久一些。,2018-03-05 18:33:03,0,0,5
5***夸,钻石会员,不多说，低价购买，超实惠老人备用机了,2018-03-08 08:26:46,0,0,5
j***y,银牌会员,外观大气，塑料感明显，这个价位可以哦,2018-03-04 13:23:08,0,0,5
情***昊,铜牌会员,诶我觉得OK，用起来也不会特别卡。,2018-03-07 00:07:04,0,0,5
j***b,银牌会员,什么都好。就是我要求了发票结果没有,2018-03-04 21:30:59,0,0,5
j***4,金牌会员,是正品手机，老头子比较喜欢！！！,2018-03-07 09:46:27,0,0,5
j***e,铜牌会员,手机挺好的，物流也挺快的,2018-03-09 11:38:13,0,0,5
独***白,金牌会员,还可以╮(￣▽￣)╭,2018-03-06 17:32:44,0,0,5
用***e,PLUS会员,不错京东值得信赖,2018-03-06 10:42:22,0,0,5
我***9,PLUS会员,不错。。。。。。,2018-03-05 07:19:21,0,0,5
有***食,PLUS会员,非常满意，手机很好，是正品，下次还会再来。,2018-03-04 22:23:10,0,0,5
波***东,钻石会员,给父亲买的，不错,2018-03-05 12:44:57,0,0,5
u***g,银牌会员,挺不错的，就是京东送的手机卡，上传不成功，就扔了。,2018-03-07 22:32:08,0,0,5
j***d,金牌会员,卡得不得了，买了了二手货郁闷,2018-03-04 15:38:54,0,0,5
