名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
d***1,银牌会员,手感不错，像素一般。适合老年人用，手机是新的，没有用过。用了在来评价。,2017-11-27 20:28:38,0,0,4
内***你,PLUS会员,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。顺商祺！
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience. Shun Kei kei!",2017-11-07 01:07:04,1,0,5
j***p,银牌会员,华为荣耀畅玩5A性价比还不错，买给家里老人用蛮实惠，店家也蛮诚信，收到货之后说了要送赠品，及时补发了耳机钢化膜手机壳！,2017-05-15 15:00:38,6,1,5
小秀秀啦,银牌会员,手机收到了，还不错很喜欢，给爸妈用，快递小哥服务也很好?,2018-02-07 20:42:31,0,0,5
未***留,PLUS会员,盒子有点脏 给爸爸买的 我没在家 应该可以吧 相信华为品牌,2017-11-16 11:44:14,0,0,5
瓜***虫,PLUS会员,特别不错，买了第三台了，朋友们用的都是这个！运行速度也没得说，性价比高！支持！,2017-10-25 14:16:59,0,0,5
j***b,铜牌会员,快递服务挺好的，给老妈买的手机。手机很好用。,2017-05-21 09:46:29,1,1,5
j***P,银牌会员,手机不错，家里人都用这个牌子的手机，各方面都没什么问题,2018-03-09 09:56:35,0,0,5
hi洪玉,银牌会员,还好用，帮别人买的，身边的人大都是用荣耀手机。,2017-12-09 20:08:18,1,0,5
c***i,PLUS会员,618大促，用券满减入手，比较实惠,2017-06-20 01:10:59,2,0,5
j***m,银牌会员,很不错的手机，很好用，老人很喜欢，目前一切都好，谢谢卖家，物流很快，很给力。大家可以放心购买，等用段时间再来追评,2018-02-07 20:39:50,0,0,5
净***b,金牌会员,给老爸买的！手机大小合适！拍照还可以！内存够用！价格也便宜！物美价廉！用一段时间看看！,2018-01-23 17:27:49,0,0,5
吕***科,PLUS会员,给公司员工买的，一直以来用这个，很不错的手机,2018-01-11 10:45:12,0,0,5
j***2,银牌会员,手机看上去不错，价钱合理，到货速度快，京东服务确实好,2018-02-13 15:32:04,0,0,5
jd_183432kak,铜牌会员,手机是正品，反应快，电池耐用，华为质量真心不错,2018-02-24 22:52:43,0,0,5
j***1,银牌会员,愉快的一次购物，物流给力，原装正品。  支持京东,2018-01-30 15:53:55,0,0,5
英***思,银牌会员,这款手机大屏幕，拍照清晰，是款不错的入门级手机，是正品，买给孩子用，很喜欢，可惜店家连张贴幕都没有送，乞丐版的，只有充电器。,2018-01-09 10:34:24,0,0,5
j***e,银牌会员,收货第二天才来评论，手机很好用，反应速度很快，京东服务态度很好，物流也很快，赞一个……,2018-01-18 16:05:03,0,0,5
o***y,银牌会员,包装不错，京东的快递很快，谢谢卖家，手机屏很大，还没用，后期追评吧！,2018-02-28 18:19:05,0,0,5
j***6,铜牌会员,手机拿到了，这已经是我买的第四个手机了，这次是买给儿子的，电池很耐用,2018-01-31 13:24:38,0,0,5
军***缘,金牌会员,物流很快，收到货用了一天，电池耐用。而且还不发热啊。赞！,2018-02-07 00:10:25,0,0,5
j***i,金牌会员,感觉还不错，，，下回还来买。。。不差。。。。。,2018-02-04 22:20:05,0,0,5
j***n,钻石会员,华为品牌信的过，给老人买的，老爸老妈一人一个。,2018-01-01 10:41:13,0,0,5
Ajie2002,PLUS会员,买了二个 便宜老人机 不过两个老人反应声音不够大声 一直信赖京东 京东购物已经成了我生活的一部分 买什么着急都上京东 第一时间送达非常棒！,2018-02-09 16:11:54,0,0,5
黎***8,金牌会员,性价比高，质量好，大屏膜！┗(＾0＾)┓,2018-01-06 21:36:22,0,0,5
c***7,金牌会员,手机好看，老年人用也好，质量目前看起来不错，颜色也好看，比较轻薄，比老年机轻快多了，看着还蛮好的,2017-10-06 15:27:21,1,0,5
l***3,银牌会员,"很好很好，华为畅玩5a产品质量过硬所以上市来价格一直坚挺.京东购物方便.物流快,小哥态度好.给赞！",2018-02-05 06:40:48,0,0,5
a***7,银牌会员,这款手机非常好用，己经是第三次购买了。,2018-02-02 13:21:16,0,0,5
jd_150621kbr,银牌会员,华为手机质量确实不错，买了几个了，这个手机自带学生模式，把孩子喜欢的游戏时间上给限制了，才好。,2018-03-02 19:15:50,0,0,5
j***i,铜牌会员,收到两天了再来评价手机反应挺快的，店家态度很好，手机倒挺好用的，昨天弟弟也买了一个，快递真超快。,2016-09-29 19:32:37,3,1,5
j***5,金牌会员,优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，手机收到了，还不错很喜欢,2018-02-17 16:59:11,0,0,5
j***航,金牌会员,"给父亲用的，手机已拿到，外包装完好，打开发现手机前上方边框中间有一个小凹位，不知是如何造成的，不影响使用也没关系。
奇怪，没有耳机配置，收音机用不了。
另外感觉1300万的像素相机，感觉不是特别清晰，不知道是不是手机屏幕分辨率的问题",2018-02-08 15:21:44,0,0,4
f***i,钻石会员,服务不错，晚上了还在派送，诡异的是，都 收货了又显示客户要求改期，真心不明白。,2018-02-22 12:35:16,0,0,5
j***v,银牌会员,手机还可以给妈妈的！就是物流慢了点！第二次在这家店买啦！希望能给几张贴膜啊,2018-03-01 14:30:51,0,0,5
187*****716,银牌会员,电池有点不狗用,2018-01-06 12:09:44,0,0,5
g***0,PLUS会员,邻居看见我给我妈买的，觉得很好，就让再帮忙买一个.,2018-02-09 22:18:53,0,0,5
L***p,铜牌会员,手机收了，一直以来都是用华为这牌子的手机，用其它的牌子不那么用多，已成为一种依赖性，华为值得拥有！,2017-10-23 14:09:03,0,0,5
1***p,银牌会员,手机挺好.反应也很快.就是物流这次又点慢.原定7号到搞到今天才收到,2018-02-09 17:50:48,0,0,5
仙***1,金牌会员,买给老人家用的，还不错，这个配置够用了，聊微信，看网页，看视频！,2018-01-20 13:37:27,0,0,5
j***f,金牌会员,手机收到，给别人买的，物美价鹿，还挺好用的，就是物流稍慢些,2018-03-03 14:35:41,0,0,5
j***k,银牌会员,手机第二天就收到了，物流速度快。手机不错老人用很实用，字体大。,2018-01-28 17:13:27,0,0,5
j***d,银牌会员,以前实体店买过，花了八百。这次网购六百五。给老人用还可以。,2018-02-24 23:38:35,0,0,5
j***d,银牌会员,手机没有想象中的好，也没有匹配的耳机。不知道用着怎么样,2018-02-09 13:57:46,0,0,5
爱***拉,钻石会员,妈妈很喜欢手机，就是还不太会用，老人家用还是很高的选择,2018-02-07 13:26:33,0,0,5
g***9,银牌会员,很好用，发货速度快，商品质量好。过了年会再买一台。,2018-02-07 06:01:32,0,0,5
酷***咪,钻石会员,我老公买的，一次买了两台，用了一段时间，还可以,2018-03-03 10:38:48,0,0,5
j***t,PLUS会员,满意 好评 多次购买 购买多多,2018-01-30 14:16:59,0,0,5
X***z,银牌会员,服务态度很好，很快。手机很实用，最主要的还不贵,2018-02-26 12:22:53,0,0,5
j***f,钻石会员,手机不错就是物流比较慢了点，没有送手机套跟膜,2018-03-08 16:55:14,0,0,5
j***i,PLUS会员,颜色比较喜欢，内存小点，备用机,2018-01-09 09:46:08,0,0,5
小***8,金牌会员,妈妈和老婆都是这款手机，这个是朋友买的还不错。,2018-02-06 23:37:51,0,0,5
j***r,金牌会员,第二次购买了，给爸爸一个，给婆婆一个，老人很合用,2018-01-01 21:31:28,0,0,5
L***0,PLUS会员,很好，非常好，还想购买,2018-02-13 11:50:42,0,0,5
h***r,PLUS会员,速度真快。单位搞活动的。,2018-01-28 20:35:33,0,0,5
c***4,银牌会员,非常好，华为5a第二次购买了，一直信赖华为，我们家人全部华为手机……,2017-12-27 09:08:28,0,0,5
x***3,银牌会员,民族品牌，信得过，老年人用，物美价廉。,2018-02-21 20:22:58,0,0,5
j***1,PLUS会员,京东值得信赖。。。,2018-02-13 21:50:28,0,0,5
w***9,银牌会员,东西收到了，给老人用，看着用着都还行！,2018-01-30 13:06:57,0,0,5
w***0,银牌会员,质量挺好，物流非常快，只得性耐的商品。,2018-01-26 20:51:40,0,0,5
c***y,银牌会员,这个手机特别适合年纪大的人用，物美价廉。,2018-01-10 18:08:07,0,0,5
j***e,银牌会员,手机很好用，就是电池有点不耐用,2018-03-07 13:31:26,0,0,5
j***g,银牌会员,能待机两天，速度很快，就是换卡麻烦,2018-02-05 11:52:26,0,0,5
黄***7,银牌会员,这是我买第五台手机了，很好用,2018-03-07 12:54:36,0,0,5
e***0,PLUS会员,给两个老人都买了的，觉得屏幕比较大,2017-12-23 17:00:00,0,0,5
j***f,银牌会员,手机物美价廉，待机时间超级棒,2018-02-21 09:43:52,0,0,5
j***4,银牌会员,物流超快，还有用，用后有追评。,2018-02-05 13:36:12,0,0,5
