名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
亚亚亲亲,PLUS会员,不错?挺好的主要是物流够快，昨天下午备用手机坏了，华为荣耀一直都是我喜欢的类型，果断下单，上午就到手了。,2017-11-14 12:41:31,13,3,5
j***q,银牌会员,外观挺好的，就是不知道耐不耐用，用了在追评,2018-02-05 17:57:06,0,0,5
明***彤,金牌会员,超级好买给老人做生日礼物呢。老人今年67岁给他也时髦一回，他一定会喜欢的。,2018-01-25 08:52:43,1,2,5
j***y,铜牌会员,还不错，对于这个价位已经很满意了，快递也很快头天下单 第二天就到了?,2018-02-06 13:44:18,1,0,5
j***子,铜牌会员,很好买了两部 全5星 第一次在京东购物,2018-01-21 16:14:51,2,0,5
j***c,银牌会员,不错  给妈妈买的,2018-01-09 14:30:19,4,0,5
j***u,银牌会员,妈妈用着说挺不错的。,2018-02-07 08:55:32,0,0,5
卿***8,PLUS会员,手机在试用中，感觉声音较小，调整几次效果不佳，还在试调中，手机外观好。,2018-02-02 16:26:57,1,0,5
天***水,银牌会员,给老爸买的，挺喜欢这款的，外形尺寸刚刚好，老爸视力不好，刚好这款有老人模式，字体可以放大！电池和手机是一体的，不用开后盖，画面清晰，声线也可以，触屏感灵敏，可惜屏保不是钢化膜，还要自己加贴！京东物流不错，扛扛的，昨晚十点半下单，第二天早上十点收到！还是亲自送到手！支持京东正品，支持华为！,2018-01-11 11:19:56,6,1,5
J***宝,PLUS会员,手机还行吧，也算值这个价，目前没发现啥毛病，看包装也是没开封的，送的手机套可以扔了，太差了，跟泡泡糖一样软了吧唧的，也不送个钢化膜，送个指环扣有个屁用，给爸爸买的，凑合用吧，自带软件没用的太多了，卸了不少，期待别有什么问题毛病，不然消协见了。,2018-02-08 12:45:32,3,0,5
j***j,银牌会员,快递非常给力，从武汉发过来的，第二天就拿到了。选择了货到付款，第一次选择这个模式付款，感觉还不错。付款时可以给现金、扫码、刷卡很方便，手机也还不错，已经正常用上了，手机自带软件有一些多，整体还不错吧。先用吧，后续情况在说,2017-12-01 12:38:31,6,0,5
夯***G,PLUS会员,给老人买的手机，要求不高，用着方便就行，没安装什么软件，用着很流畅，外观颜值也不错。京东物流很快，服务没得说，非常棒。,2018-01-05 19:16:47,3,0,5
Y***e,PLUS会员,这个价钱的外观设计还是可以了，一向支持华为，非常不错！不过这一款插卡不是很方便。,2018-03-03 16:35:56,1,0,5
j***t,铜牌会员,这次的物流非常满意，昨天晚上在11点钟前下的单，今天早上大概12点钟左右就到了。手机也不错特别。那个快递哥哥服务态度超级好，她害怕手机弄丢吧。都给我打的电话，亲自叫我下去拿。辛苦了快递哥哥。这次购物非常满意不愧是京东,2018-03-03 11:56:35,0,0,5
j***z,铜牌会员,运行速度非常棒，跟得上市厂上千把块钱的机子。像素也非常不错非常清晰。还有保护套和手指环如果再有保护膜就更好了。,2018-02-10 12:17:41,3,1,5
j***f,银牌会员,手机收到了、还可以、买给爸妈也的、只有有微信、能打电话就可以了,2018-01-17 19:39:29,1,0,5
静***2,PLUS会员,开机起来，屏幕清柝流畅之前给老妈买了一部，现在给老爸也来一步，充当情侣机棒棒的！,2018-02-07 20:59:25,0,0,5
c***a,金牌会员,很不错的了，价格低，功能也很全面，虽然都不算出众，但价格算是很出众了，我喜欢！很不错！！,2018-02-05 18:31:29,0,0,5
文***春,PLUS会员,"给朋友购买的，效果和质量都是很好的！
更感谢京东商城的配送服务态度就是完美！",2017-12-30 03:43:20,1,0,5
美***逃,金牌会员,给老妈买的，性价比不错，老人挺喜欢的，第一次用微信，超级喜欢?,2018-01-14 19:37:35,2,0,5
z***2,金牌会员,京东买电子产品就是快捷，放心，手机还不错，有的字体挺大的，老人能看见，够用,2018-02-04 21:35:16,0,0,5
t***8,银牌会员,手机不错，速度还可以。给老妈用，字体可以没置很大。,2018-01-30 22:26:15,2,0,5
j***利,钻石会员,给老人买的，目前感觉还行吧，不知道用了以后如何！,2018-02-04 13:24:06,1,0,5
b***7,PLUS会员,非常喜欢，非常满意，???,2018-02-21 14:27:50,0,0,5
j***h,银牌会员,今天收到货了 很好用 试了一下相素还可以哦 帮老妈买的,2018-02-01 17:51:55,0,0,5
S***赱,银牌会员,宝贝不错，反应快，貌似声音不大，给老人用的，像素一般啦！,2017-11-14 13:35:13,1,1,5
j***1,银牌会员,还在试用中，对于初学者来说，老年人来说，感觉还可以吧，但是对于我们常用手机的人来说，卡，慢。买给老人家的，就这样吧，将就用。质量好不好，正在试用中,2018-03-03 14:18:18,0,0,5
m***薇,金牌会员,手机还可以，给公公买的，反应稍微慢点，不过对老人来说也可以了，卖家很有耐心，不知道这手机能用多久,2018-02-08 09:20:56,1,0,5
米***e,金牌会员,"刚刚拿到的壳子，不晓得这一坨是什么！还是从包装里面拿出来的，就一坨这个！
一看手机就是别人用过的，盒子也是各种痕迹！商家能不能走点心？！",2017-11-17 21:09:07,1,1,5
i***d,银牌会员,买给老人家用的，昨天试了下感觉还行，就是打开时间表时发现有调好的闹钟时间，怀疑是返修机！,2018-02-27 12:09:50,0,0,5
j***8,钻石会员,给老人买的手机，外观漂亮，机身轻是智能机器，老人很喜欢，微信，视频，拍照功能齐全。,2018-02-19 00:45:19,0,0,5
j***8,银牌会员,手机不错，用了段时间才来评论的。给同事买的，还比较满意。就是送的手机套小了。,2018-02-14 21:22:52,0,0,5
w***6,金牌会员,外观设计挺漂亮，新机运行速度挺快的，小孩和老年人用比较合适。,2018-01-28 20:17:03,0,0,5
j***1,金牌会员,一直都是在京东买手机，手机不错又不卡，很值,2018-02-03 13:05:22,1,0,5
冰***雪,铜牌会员,听身边朋友说，京东买电子产品质量比较有保障。为了送父亲一部触屏老年机，特选了国产品牌里的华为。                                                     头年前几天买的，一直没打开，因为商家说是直接出厂的。过年拿回老家开不了机，充电也没反应。不能用，和客服联系退货，说过了七天免费退货期，好的，那就换货。2月16提交的换货，到今天22号都没人上门取件。我感觉整个人都不好了，有种上当受骗的感觉。现在只希望给换个能用的。质量过关的。,2018-02-22 10:01:22,0,1,2
j***e,金牌会员,很好的手机，速度快。触屏效果好。建议购买。,2018-03-06 13:51:17,0,0,5
j***7,钻石会员,简单实用，老人用很方便。春节送货超快。,2018-02-24 10:42:51,0,0,5
j***4,银牌会员,给老人用的 还行吧 主要用来玩微信的,2018-02-23 00:30:16,0,0,5
花***H,金牌会员,京东快递真给力，15个小时就收到货了！手机买给老妈，字可以放到很大，老年人看着不吃力，价格便宜，操作也不复杂，老妈挺喜欢！华为手机家里人都用着，支持国货！,2018-02-21 15:48:17,0,0,5
悲***喜,金牌会员,手机很好用，系统很流畅。满意,2018-01-27 16:43:28,0,0,5
壹***年,PLUS会员,显示调货，但配送速度还可以，华为手机用过几个都挺好，第一次在第三方商店买手机，相信京东平台。,2018-02-19 19:50:49,0,0,5
j***m,PLUS会员,老爸老妈比较喜欢，可以设置成老人模式，字体都比较大，老妈都开始用微信了，希望用的久点,2018-02-11 15:25:47,0,0,5
j***h,银牌会员,给爸爸买的老人机，用着很不错，就是字体有点小，老爸带老花镜看手机。送的手机膜，没几天被我爸摔坏了。,2018-03-01 20:04:33,0,0,5
张***连,PLUS会员,我家三口人都在用华为的手机，还是非常好的！这款老人智能机是给婆婆买的！挺好～满意！,2017-11-25 15:15:40,1,0,5
z***3,金牌会员,电池续航能力比较强  相机的语音功能也比较好 就是字体不算大 给爷爷买的,2018-02-12 09:06:08,1,0,5
j***8,银牌会员,垃圾，用不到半个月就闪屏，退回去修一次换回来也是垃圾，以后竖决不在网上买手机,2018-02-09 17:17:33,0,1,5
从***尊,金牌会员,给老爸买的，用了一个月才来评价，不错，老爸很喜欢，天天抱着看新闻～,2018-02-18 07:16:54,0,0,5
嗯***g,钻石会员,还不错，给家里老人买的，功能齐全，不过听音乐时音质有待改进,2018-02-12 11:21:30,0,0,5
j***r,银牌会员,宝贝收到了，快递很给力，就是还没有办新卡。过几天再追评。,2018-02-10 16:03:16,0,0,5
j***z,银牌会员,给我四舅卖的，快递速度很快，给快递小哥点赞,2018-02-20 20:00:00,0,1,5
