名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
y***i,PLUS会员,昨天晚上拍的，现在就到手了，非常满意的手机,2018-01-10 16:19:47,2,0,5
j***e,银牌会员,手机挺好用的，电也耐用，就是不知道以后耐不耐用，拍照很清晰，手机套跟按键都不合，没有耳机，其他还行吧！,2017-11-30 11:18:23,2,0,5
快***菲,金牌会员,手机收到了，看着不错，不知道用着怎么样？用用再来追评,2017-11-20 12:24:19,0,0,5
j***4,金牌会员,不错，物有所值。京东配送，有速度!,2017-11-18 16:46:13,0,0,5
j***z,PLUS会员,宝贝收到了！我是给我老爸买的，产品与卖家描述的完全一样，质量很好，功能齐全，操作简单，非常适合老人使用，我爸很喜欢！真是物美价廉，物超所值！,2017-10-29 19:51:27,2,2,5
骆***鑫,金牌会员,很好 适合给爸妈用的一部机 不过反应还好,2017-10-26 13:15:01,4,0,5
贤***子,铜牌会员,感觉给爸妈用，还可以,2018-01-17 20:41:28,0,0,5
Z***飞,银牌会员,给老妈买的，还可以吧，送了壳和钢化膜,2017-11-23 18:41:50,0,0,5
j***f,金牌会员,此用户未及时评价，系统默认好评。,2018-02-14 16:02:09,1,1,5
j***n,银牌会员,手机比想象中更好，手感也不错，送的钢化膜和手机套也很好，已经都用上了，买给公公用的，十一就带给他用。。。,2017-09-28 17:01:29,6,1,5
A***8,金牌会员,京东物流没话说。快…尤其是这个快递小哥。态度超好的…买过好几个华为的。支持国产。款式还可以 刚开机有点慢 开机显示要升级系统。至于好不好用还不知道。,2017-10-28 12:49:39,3,0,5
z***4,银牌会员,买给爸爸的，一分钱一分货，就是屏幕不怎么样，有一点卡。,2017-10-08 14:23:58,2,0,5
偶滴jingdong,钻石会员,信奉国产手机！还行！包装盒那么脏！不知是不是新机？,2017-12-18 15:14:52,1,1,5
幸***机,钻石会员,手机功能及反应速度非常不错，给家里老人买的，非常喜欢,2017-11-10 22:44:28,1,0,5
h***0,银牌会员,收到两天了，今天才打开，看起来不错,2017-09-18 21:01:24,2,1,5
v***q,金牌会员,收到货了还没用，不知怎样,2018-01-19 12:03:25,0,0,4
诺***望,银牌会员,手机很好，给家里长辈买的，用起来很顺手，操作方便，老人很快就学会了，手机像素也可以，这样的价格买到这样的手机很值了,2017-10-06 10:36:38,4,0,5
華***g,钻石会员,很不错的华为荣耀手机，支持国货，性价比很高，只是送过来的保护膜是破烂的，有点遗憾，还好客服答应帮补发一张回来，服务!,2017-11-01 23:37:01,2,0,5
奇***戍,金牌会员,手机已收到，物流挺快的，打开盒子装上卡，感觉反应有点慢，其他都还可以，用一段时间看看在说吧,2017-10-07 20:15:54,1,0,5
