名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***m,银牌会员,还不错哦 性价比挺高的。推荐大家买,2018-03-06 15:49:16,0,0,5
黄***刀,银牌会员,买给老人的 挺好看 很方便携带 屏幕清晰 价格实惠,2018-03-07 09:43:51,0,0,5
y***1,金牌会员,给老人买的，这个手机还是可以的，性价比高。,2018-03-03 09:42:58,0,0,5
j***儿,银牌会员,手机从下单到收到货用了7天，京东物流3天没更新，以为丢了件，看到锅后很惊讶，买的手机竟让就用平常的物流袋子装着，里面虽然有充气泡，但是这京东物流的外包装也太无语了，毕竟是手机，第一次对物流也是醉了，手机今天才收到，希望手机不会令我失望！,2018-03-02 21:06:28,0,0,5
t***4,PLUS会员,感谢派送员的周到服务，东西收到后超级喜欢，发货速度很快，服务也很到位，给京东点个赞，下次还会来购买，永远支持京东！,2018-02-10 19:39:22,1,0,5
z***1,钻石会员,手感不错，用着很顺手，活动价格优惠，不错的，，，，，，，,2018-03-02 21:21:54,0,0,5
捞***涛,金牌会员,挺不错的手机，价格也合适，买了送老侄,2018-03-08 10:00:37,0,0,5
蒋***亮,PLUS会员[试用],嗯，买的第三个了。第一个给老妈买的，第二个给老丈人买的，这个给老婆闺蜜的老爸买的。总体，性价比较高。拍照还挺棒的！,2018-03-06 12:56:16,0,0,5
b***k,PLUS会员,很实惠，重要的是送货非常非常非常的快，头天下单，第二天就到了，手机很漂亮。,2018-03-09 09:57:52,0,0,5
巴掌55,PLUS会员,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢",2018-03-05 20:49:43,0,0,5
R***g,铜牌会员,6天才到时间有些久，不过快递哥态度很满意！机子也好行了。给快递哥一个赞。。,2018-03-04 11:15:15,0,0,5
k***6,铜牌会员,客服太差，没有人回答！物流贼慢！有你这种店在简直是侮辱了，京东的名声。,2018-03-03 09:38:56,0,0,5
j***r,PLUS会员,给老人家用的手机，不需要太花哨的功能，实用就好！,2018-03-06 10:59:38,0,0,5
合***学,PLUS会员,手机还行吧，待机也还行，随便用起来还是可以的,2018-03-09 21:09:45,0,0,5
j***e,PLUS会员,品类多，速度快，质量好，购物省，多快好省。,2018-03-04 11:35:07,0,0,5
八***德,PLUS会员,品类多，速度快，质量好，购物省，多快好省。,2018-03-04 11:28:49,0,0,5
8***8,金牌会员,发货速度快，手机还不错，就是卡装不上，得等晚些再弄好。,2018-03-07 20:51:22,0,0,5
j***p,铜牌会员,已经用一段时间了，没什么问题，相信京东。会一直光顾。,2018-03-09 10:03:51,0,0,5
j***y,金牌会员,手机还没有用.不过包装还是很好的.买来做活动抽奖用的,2018-03-08 10:53:29,0,0,5
j***l,铜牌会员,运行速度快，待机时间也长，买了给老人家用，说是很好用,2018-03-07 17:38:29,0,0,5
j***r,PLUS会员,手机不错，很好，流畅，反应也快,2018-03-03 19:15:27,0,0,5
j***n,PLUS会员,运行速度不错，老妈非常喜欢。,2018-03-09 16:10:58,0,0,5
j***w,PLUS会员,好！买了三台结家人用～～～～,2018-03-04 00:02:27,0,0,5
j***8,银牌会员,帮老爸买的，说不玩手机电池能用4天左右，赞,2018-03-09 21:47:36,0,0,5
jd_182653faq,金牌会员,买了两个，给老人用挺好的，不过外观不喜欢。,2018-03-06 13:01:25,0,0,5
j***r,银牌会员,华为国产龙头！质量好！电池耐用！拍照清新！,2018-03-04 12:09:53,0,0,5
j***v,金牌会员,买给老人用的、这个价位的智能手机不错了,2018-03-04 10:55:48,0,0,5
j***4,银牌会员,手机效果不错，机身和手感舒适，性价高,2018-03-06 11:21:18,0,0,5
P***q,银牌会员,还可以，没有耳机? ，物流也慢，,2018-03-07 13:12:26,0,0,5
倒霉蛋123,金牌会员,此用户未及时评价，系统默认好评。,2018-03-04 16:49:40,0,0,5
j***s,钻石会员,不错，是还是可以的。后面用一下。,2018-03-03 14:04:31,0,0,5
慈***乐,银牌会员,此用户未及时评价，系统默认好评。,2018-03-03 11:13:18,0,0,5
z***l,金牌会员,还好吧，就这个价格，给父母用的,2018-03-07 07:47:01,0,0,5
s***m,银牌会员,给爸爸用的，华为的机子，信得过,2018-03-06 17:40:17,0,0,5
