名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***y,PLUS会员,还不错的机器呢,2018-03-07 10:28:14,0,0,5
jd_152369ehlp,铜牌会员,帮朋友买的，据说感觉很好，一看就是原装正品,2018-03-07 17:33:59,0,0,5
j***d,银牌会员,特别好用，给老人家买的，都说好，推荐,2018-03-07 14:45:19,0,0,5
j***v,PLUS会员,给老人买的，特别好用，速度特别快，现在的华为手机还真是好用，上午速度很快，像素去也挺好的。值得购买。,2018-01-02 13:33:13,1,0,5
j***子,PLUS会员,给自己买的备用机，性价比高，运行流畅，画面细腻，华为老牌子,2018-02-27 16:42:31,0,0,5
屁***爷,PLUS会员,手机收到，有待使用，先习惯五分好评，后续再评。。,2018-03-09 16:57:04,0,0,5
j***k,铜牌会员,刚到手，手机不做评价，还没用，但是送的赠品太差了。手机等用了在来评价,2018-03-01 22:33:07,0,0,5
菜***0,金牌会员,给我老爸买的，用段时间再看，他说好就好，不好再买个价位高点的,2018-03-04 18:03:51,0,0,5
p***q,银牌会员,性价比高送老人家很合用很喜欢就是物流慢了点,2018-03-08 08:23:02,0,0,5
j***b,银牌会员,这个价位的手机，这个很好了！店家服务态度很好，第一次邮寄的时候发票忘一起寄过来了，通知卖家后立即发过来了！好评,2018-03-08 22:22:04,0,0,5
j***7,钻石会员,还是不错哒，跟图片一致，是正品。快递师傅也很给力，送货上门，态度不错。总体好评~\(≧▽≦)/~,2018-02-27 15:14:49,0,0,5
j***1,金牌会员,给妈妈买的，还没有收到就降价，也不给退差价了，但是还是比店里便宜，也不知道好不好用,2018-03-08 21:20:33,0,0,5
j***p,银牌会员,给老爸买的 这个价位的 还行吧 算是给家人的一份心意 只要不要太扯就好 继续再看,2018-02-27 20:09:26,0,0,5
d***6,PLUS会员,手机很棒。系统流畅拍照清晰。价格也很便宜，以后还会来买的。,2018-03-01 04:32:49,0,0,5
j***x,银牌会员,给丈母娘买的、特地用了几天再来评论一下！各方面都还可以还有小礼品赠送不错。,2018-03-05 21:58:44,0,0,5
j***z,银牌会员,买给老妈用的，适合。就是用惯了取卡针插卡突然搞个后盖要抠开，好费劲…客服态度也很好哦,2018-02-28 18:38:49,0,0,5
s***9,银牌会员,爸爸很喜欢，刚开始以为像素不好，后来也挺好的，很满意，价钱还算合计,2018-02-28 11:46:35,0,0,5
g***0,PLUS会员,挺不错的，给妈妈买的，挺喜欢，就是反应慢,2018-03-09 09:23:05,0,0,5
j***m,铜牌会员,首先，它的外盒子是没有用塑料纸或者什么东西包裹起来的，膜是软膜，有防摔软壳，用起来有点卡，不像自己之前刚买来的那种新机子一样畅快。还有，说的是一体机，电池是不可拆卸，嗯……可能是可以拆后盖但不能拆卸电池的一体机吧，我自己用的也是荣耀，还挺信任华为的，给爸爸用的，希望不要有大问题吧，就这样了，最后，我也不想和客服沟通，沟通了又不能退换什么的，中评吧。,2018-01-02 18:48:50,0,1,3
2***5,银牌会员,整体还蛮不错的，感觉吧物有所值，今天把手机寄回老家给老爸用,2018-03-07 07:19:08,0,0,5
jd_185956hnw,铜牌会员,手机今天下午收到的，给妈妈买的，妈妈很是喜欢，款式还好看。,2018-03-06 22:25:37,0,0,5
b***t,PLUS会员,手机不错，给妈妈购买了，字体有点小,2018-03-04 10:22:08,0,0,5
a***f,PLUS会员,速度还可以，除了没有指纹，别的还行,2018-02-27 19:52:09,0,0,5
雨***笑,PLUS会员,手机还行吧。。。用一段时:间再说,2018-03-06 13:18:14,0,0,5
j***b,PLUS会员,很好?很好，便宜又实惠，会回购,2018-03-04 14:26:21,0,0,5
x***2,钻石会员,不错不错老人用着很满意，大小合适，不过入手有点卡顿,2018-03-07 20:39:19,0,0,5
j***4,银牌会员,手机外观很不错，颜色也很好看，手机用了一下还可以。,2018-03-07 14:50:36,0,0,5
j***X,铜牌会员,普通手机卡放不下，需剪卡。太麻烦。给孩子拿着玩了,2018-03-06 08:31:05,0,0,5
k***s,PLUS会员,外观跟漂亮，非常喜欢这个设计,2018-03-04 08:13:23,0,0,5
j***3,PLUS会员,很好，正品，还有赠送配件。,2018-03-09 11:24:43,0,0,5
j***m,PLUS会员[试用],现在怎么京东快递也不行了呢,2018-03-04 14:47:22,0,0,5
T***i,金牌会员,款式很新颖，适合中老年使用，手感很好，很流畅,2018-03-09 22:21:34,0,0,5
j***p,银牌会员,给长辈买的，通话音质很棒，视频聊天也挺好用！,2018-03-04 21:16:50,0,0,5
j***9,金牌会员,手机屏幕效果不错，运行也挺快，给老人用正合适,2018-03-03 21:50:03,0,0,5
t***8,PLUS会员,速度简简单单简简单单就,2018-03-09 13:04:50,0,0,5
c***9,PLUS会员,外观挺好的，用着还行,2018-03-04 09:19:51,0,0,5
酷***b,银牌会员,手机收到   不错   还可以  好评,2018-02-27 21:55:40,0,0,5
x***潇,PLUS会员,产品不错，值得购买,2018-03-08 20:28:14,0,0,5
1***p,银牌会员,手机是正品，给老人买的，用的很满意,2018-03-07 09:40:27,0,0,5
j***x,银牌会员,挺好用的，拍照气息，运行速度也不错,2018-03-06 05:38:03,0,0,5
黎***始,金牌会员,正品，无意外情况发生，老人机较合适,2018-03-03 15:16:50,0,0,5
z***2,金牌会员,商品不错，给父亲买的，很喜欢！,2018-03-06 09:55:07,0,0,5
t***林,金牌会员,给爸爸用，非常好，屏幕大，,2018-03-05 14:58:09,0,0,5
蚱***輈,金牌会员,买给妈妈的，性价比挺高的。,2018-03-05 10:27:56,0,0,5
R***丢,银牌会员,给爸爸买的 用着还可以！,2018-03-08 00:00:44,0,0,5
d***p,铜牌会员,物流很快，手机还没用。,2018-03-07 19:26:58,0,0,5
y***9,铜牌会员,还不错，老人家用很好！,2018-03-06 20:24:11,0,0,5
e***t,金牌会员,满意，比想象中好，，，,2018-03-02 04:32:27,0,0,5
C***R,银牌会员,还可以吧，给老大买的,2018-03-09 09:59:35,0,0,5
j***z,银牌会员,华为大品牌应该还可以,2018-03-07 17:05:04,0,0,5
j***j,铜牌会员,感觉不错，性价比很高……下次再来,2018-03-03 18:39:43,0,0,5
j***b,银牌会员,给老爸的，老爸很开心,2018-02-27 14:10:10,0,0,5
j***i,银牌会员,不错1年了，没毛病,2018-03-02 21:52:33,0,0,5
九***八,PLUS会员,帮朋友买的，发货到货都很快，比较满意。,2018-01-18 09:37:56,0,0,5
b***1,PLUS会员,华为产品真的好,2018-03-07 15:10:43,0,0,5
b***6,PLUS会员,很好用，不错。,2018-03-05 23:57:03,0,0,5
半***2,PLUS会员,手机很好看，背壳是白色磨砂的非常好，屏幕尺寸刚好。买来当老年机用还是很不错的。,2018-02-28 12:43:32,0,0,5
j***2,银牌会员,手机收到了，运行不错，就是字屏小了点，还行吧！,2018-03-06 09:16:43,0,0,5
z***l,铜牌会员,手机收到半月才来评价，本来担心网上买的质量，华为这款学生用还是比较好的，比杂牌子的质量好多了，女儿用的，读书半月才用一次，所以选择老牌子，不错,2018-03-08 15:47:44,0,0,5
蓝***8,金牌会员,手机还行，蛮漂亮的，就是物流有点慢慢的,2018-03-04 11:09:48,0,0,4
流***亻,银牌会员,手机到货了感觉很不错现在用着还行用一段时间追加评价,2018-03-07 18:53:37,0,0,5
w***p,PLUS会员,京东手机超级棒，性价比无敌的,2018-03-06 21:37:22,0,0,5
j***i,铜牌会员,还不错，妈妈很喜欢，比较适合老人基本日常用途。,2018-03-05 10:49:05,0,0,5
j***c,金牌会员,东西收到，感觉很不错，流畅，价实惠，相信京东,2018-03-08 17:03:31,0,0,5
j***v,PLUS会员,性价比高，老人用够了,2018-03-02 19:12:52,0,0,5
z***5,银牌会员,外观漂亮，系统流畅，希望耐用。,2018-03-09 15:58:58,0,0,5
j***1,铜牌会员,手机好用，速度也快，推荐购买,2018-03-05 12:12:29,0,0,5
e***8,钻石会员,星巴克来了姜北不会很纠结,2018-03-06 18:42:55,0,0,5
贾***咻,银牌会员,给老妈买的，用着挺好。,2018-03-10 01:10:01,0,0,5
李***林,金牌会员,未开始使用，不过我对这个手机是否是确定为，华为手机打个问号，为什么没有华为标志。我看又是给骗了，给我搞个华为旗下，华为生产，但它不是华为牌子的手机。,2018-01-26 21:13:36,0,0,3
黑***白,PLUS会员,一般般吧，买给妈妈的，没什么要求。电池很耐用。客服很水，一问三不知,2018-03-03 02:25:24,0,0,4
1***m,钻石会员,挺好的也很快,2018-03-06 14:12:45,0,0,5
a***3,银牌会员,物超所值,2018-03-09 14:30:54,0,0,5
c***8,银牌会员,不错很好,2018-03-08 12:16:57,0,0,5
清***1,银牌会员,屏幕看着有点小，运行也还比较流畅,2018-03-09 15:52:20,0,0,4
