名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***i,银牌会员,京东快运就是快，三十几个小时就收到货了。??新手机试了一下，感觉挺好的，品牌就是品牌，值。唯一就是装Sim卡的位置小了，我还得剪卡才能装进去。其他的等用一段时间再评，希望不会让我失望。,2017-12-28 13:35:10,0,0,5
婷***埈,PLUS会员,正品，机器不错，多谢店家优惠才买到这价位的机，支持店家，超赞！双十一买的，快递比平时慢一点，不过没关系，绝对好评，最后祝店家生意兴隆。,2017-11-16 21:30:08,2,1,5
j***9,银牌会员,5号下单，因为雨雪天气，今天收到手机了?商家态度很好，多送一个透明手机壳。谢谢！,2018-01-07 13:34:43,0,0,5
j***9,PLUS会员,哈哈  不错  前天给妈妈买个红色的   叫我大哥看中    今天又一台黑色的     不错   支持国产,2018-01-23 10:39:11,1,1,5
j***g,PLUS会员,手机不错用的挺好内存大反应快,2017-12-27 21:33:20,1,1,5
jd_bile0,金牌会员,还不错 不知道会不会慢,2018-02-07 18:18:03,1,0,5
j***2,PLUS会员,手机收到了非常满意，我们一直在京东购物，特别家电手机京东质量值得信赖,2018-02-13 17:04:20,0,0,5
康***特,银牌会员,用了几天了，很好，力挺国产机,2017-12-17 17:06:52,0,1,5
h***n,金牌会员,目前用着很不错，手感很好，清晰，反应快，因为是全面屏，没什么合适的手机膜，小郁闷,2018-02-19 11:12:46,1,0,5
好***7,金牌会员,手机收到了，很满意。谢谢商家送的赠品。很漂亮，也很喜欢，用过以后再来追加好评！谢谢谢谢,2018-02-27 17:14:31,0,0,5
迎***翔,PLUS会员,刚到手，手感很好且华润，背面不容易留下指纹。整体感觉很薄。显示抢眼颜色鲜艳。运行速度特快，触摸屏很舒服，播放音乐时的音色还可以,2017-10-31 12:46:45,3,0,5
巴***楼,PLUS会员,荣耀手机，送家里必备之手机，屏幕大，运行速度快。京东物流速度一直辣么快。给力d=(´▽｀)=b！,2018-02-22 01:27:12,0,0,5
适***0,金牌会员,电池续航不错，总体很好，就是通话声音外放小了点，但还是很满意的,2018-03-06 09:14:56,0,0,5
j***6,银牌会员,还不错，运行挺快的。,2018-01-07 10:07:45,1,0,5
l***r,PLUS会员,看了很久，终于选择了性价比相对好的7x。因为给老妈用，所以选择了红色，很喜庆。同时奖励吗六寸的屏幕也是荣耀系列中大的。由于是窄屏，所以并没有因为大而降低视觉效果，屏幕非常好。电池也很给力。,2018-01-29 18:00:18,0,0,5
z***8,金牌会员,非常喜欢，很好用，一直用华为,2017-11-23 07:49:22,2,0,5
c***3,金牌会员,手机很好用，比之前的快太多了。拍照也够清晰，大内存超好。又配了个外壳大爱。,2018-01-10 20:17:09,1,0,5
_***Q,钻石会员,外观比较漂亮，新机反应快,2017-12-09 23:30:07,1,1,5
j***c,金牌会员,反应快，屏幕够大,2018-02-24 10:40:25,0,0,5
c***9,PLUS会员,大气上档次，漂亮，续航能力可以！,2018-03-01 10:45:46,0,0,5
子***7,PLUS会员,速度非常快，价钱也合理，是给东北的哥哥买的，但是不能发往那里，只能邮寄北京中转一下，,2018-03-06 19:35:11,0,0,5
j***奥,钻石会员,京东超级送货速度，晚上11点下单，第二天11点就收到了，入手第二部荣耀畅玩7X。全家都是华为粉。,2018-01-16 21:54:36,1,0,5
雪***3,钻石会员,给朋友买的，还在开始用，朋友说用着还可以。,2018-02-09 18:39:17,0,0,5
x***t,银牌会员,过年了，给老爸买的手机，东西不错，过年了，物流也很快，华为是我一直看好的品牌。一直支持国产。,2018-02-10 15:36:53,0,0,5
啊***t,金牌会员,货真价实！一到手就试机了，没想到还送了保护套，我还多买了个，没关系备用，容量大，速度快，好评！,2018-01-05 15:09:06,0,0,5
j***j,银牌会员,"很好，给老公买的 他比较喜欢 内存大 华为手机真心不错 下次换手机的时候
也要换成华为手机",2018-02-04 20:07:31,0,0,5
面***9,钻石会员,华为的产品都不错，已经买了十几个手机了，都是华为的，这次也是，老丈人点名要，希望好用,2018-02-23 14:47:33,0,0,5
E***F,金牌会员,刚刚买回来就用了，主要看中的是128G的存储。店家服务态度很好，很愉快的一次购物！,2018-03-05 10:42:04,0,0,5
大***山,钻石会员,爸爸很喜欢，说拍照特别清晰，全然满足老爸日常看视频斗地主发红包照相的需求，棒！,2018-02-27 14:31:20,0,0,5
j***呀,银牌会员,非常满意，画质清晰，音效很给力，拍照效果也很好,2017-11-30 14:07:21,0,0,5
j***t,铜牌会员,机子收到了，很不错，使用很流畅，店家给送了小礼品，特别贴心，下次还会选购这家，还会选购华为手机,2017-12-06 21:32:26,0,1,5
j***0,银牌会员,质感不错！最主要的是运行速度超级满意！这个价格、这种质地，满意太满意了！,2018-01-19 13:04:27,0,0,5
j***任,银牌会员,整体使用感不错，期间出了一些小问题，客服很耐心的地给我解决啦！,2018-01-11 11:08:11,1,0,5
j***a,金牌会员,物流很快，服务态度很好，手机各方面都很好，就是屏幕分辨率不是太高,2018-02-11 17:40:48,0,0,5
j***w,金牌会员,手感不错:早上下单下午就到，物流很快，快递小哥直接送上门,2018-03-08 01:14:15,0,0,5
本***语,PLUS会员,给孩子买的，孩子倒是满意，我觉得还可以。,2018-01-29 18:57:53,0,0,5
一***迹,PLUS会员,给家里老人买的手机，相当的不错，好用！,2018-02-07 20:58:23,0,0,5
y***i,PLUS会员,不错挺好的手机，反应速度也快，好评。,2018-02-14 17:34:16,0,0,5
T***W,银牌会员,送货较快，用了一阵，反应速度很快，屏幕大，感觉很不错,2018-03-05 09:19:07,0,0,5
j***e,银牌会员,发货速度很快，手机使用方便，屏幕也比较大 看起来很舒适,2018-02-01 12:47:46,0,0,5
己***回,银牌会员,可以的内存空间大，手机拍照可以。运行不错。支持国产。,2018-02-01 14:54:21,0,0,5
Z***y,银牌会员,还是太着急买了，同样的手机现在降价了那么多还是买贵了点。,2018-01-04 17:54:10,0,0,5
T***8,金牌会员,性价比高，屏幕大，比原使用的 华为机棒多了！,2018-03-05 18:47:35,0,0,5
j***6,银牌会员,此用户未及时评价，系统默认好评。,2018-03-07 16:08:27,1,1,5
