名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
jd_18778348--6,银牌会员,东东已经收到，应该是正品。就是什么赠品都没有，最起配个胶套和手机膜吧,2018-03-04 16:11:26,0,0,5
j***2,金牌会员,预订时间送不到，像蜗牛一慢,2018-03-05 18:24:03,0,0,5
酱***刀,金牌会员,给老人买的，微信什么用的都还行,2018-03-04 22:23:27,0,0,5
菜头老,金牌会员,物美价廉！值得拥有！,2018-03-07 12:26:20,0,0,5
仰***8,银牌会员,给老爸买的，还不错,2018-03-09 08:55:28,0,0,5
j***8,铜牌会员,给我爸买的挺好的,2018-03-06 10:06:55,0,0,5
d***n,金牌会员,买个爸爸用的，对于老人来说已经够用了，只是爸爸觉得声音不够响.,2018-03-06 13:48:51,0,0,5
l***g,PLUS会员,价格实惠，样式也漂亮~性价比比较高~,2018-03-07 11:55:26,0,0,5
w***5,银牌会员,屏幕清晰  给家里人买了两台  效果不错操作简单,2018-03-04 19:18:11,0,0,5
冥***破,银牌会员,敢说本大爷是饿瘦洞，有种放学别走！物流有点慢,2018-03-04 18:31:43,0,0,5
t***慧,企业会员,不错，物美价廉，配送速度很快。,2018-03-08 15:06:33,1,0,5
8***8,银牌会员,用着挺好用的，反应速度也挺快了，也不卡，嗯，无聊啊，来了也快，今天下的单，后天就到了，挺挺好的,2018-03-06 17:33:07,0,0,5
田***馨,银牌会员,手机给长辈买的，挺好的，非常满意,2018-03-07 20:10:21,0,0,5
t***慧,企业会员,不错，物美价廉，配送速度很快。,2018-03-08 15:06:53,0,0,5
徐***君,银牌会员,手机都还好，优惠也挺大的，唯一的缺点就是物流真的慢，从下单到拿到手上一共花了九天时间，什么概念？而且卖家服务态度也是比较差，不咸不淡的，爱买不买的感觉。,2018-03-06 21:13:40,0,0,5
j***f,铜牌会员,不错，老爸很喜欢，价格也很美丽,2018-03-05 16:53:03,0,0,5
赵***兵,金牌会员,偶尔忽然没有声音。,2018-03-04 15:58:43,0,0,5
R***星,PLUS会员[试用],买给婆婆的，手机只安装了微信流畅度不够，不过这个价钱也就这样了。老人用个简单的微信，打电话发短信这个内存应该够了,2018-03-08 11:09:25,0,0,5
j***c,银牌会员,手机是可以的，而且非常的小巧，是我喜欢的类型，装口袋不怕露出来，试用过了，有一边发音音质不是很大声，不过也不影响使用，好评吧,2018-03-09 00:12:34,0,0,5
w***T,银牌会员,首先物流速度挺快的，感觉这款手机有点卡，不过这个价钱真的也不高，适合老年人用，总体感觉还行。,2018-03-06 12:12:23,0,0,5
k***k,PLUS会员,挺好的小机器，性能一般给老人打电话还是可以的。⊙∀⊙！,2018-03-08 07:32:36,0,0,5
T***l,铜牌会员,家里人一直都在用国产手机，华为。这不仅仅是价格问题，更重要的是爱国的一种态度。支持国货。,2018-03-07 11:17:47,0,0,5
j***2,PLUS会员,外观好看，速度可以，产品挺不错的，用着好用，下次还来买，品质值得信赖,2018-03-06 09:21:35,0,0,5
