名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
Y***风,银牌会员,感觉有点卡，之前买了同样价位的小米运行速度比这快点，快递慢了一天，不过快递哥们挺好的，先用着看看吧。,2018-02-23 17:50:26,0,1,5
j***q,银牌会员,总的来说挺好的，还没有用不知道耐不耐用，用了在追评。物流还算快。很满意的一次购物,2018-02-03 14:04:34,1,1,5
峰***4,PLUS会员,手机还是好喜欢的，就是这次物流好慢,2018-02-09 13:07:52,1,0,5
j***0,铜牌会员,"收到了好开心
可是没有手机壳
玩王者不卡
太好了",2018-02-22 17:54:45,0,1,5
j***g,铜牌会员,给婆婆买的，婆婆喜欢！,2018-03-05 20:55:12,0,0,5
雪***石,钻石会员,手机不错，流畅，亮度大，但是夜间拍照噪点明显，其他体验都不错。,2018-02-22 20:40:52,1,0,5
T***冷,钻石会员,很好用，很满意的一台手机,2018-01-03 18:52:24,4,1,5
j***0,银牌会员,手机蛮好的！用了一个月才来评论的，买给妈妈用的,2018-02-22 09:14:05,0,0,5
j***u,银牌会员,非常漂亮！包装很好！京东的送货服务也是没的说！已换好卡，开始用了！给母亲买的，她老人家很喜欢！,2018-02-12 21:21:37,0,0,5
j***b,金牌会员,手机很好，上网速度快，款式也挺好看，就是没有送保护套和耳机。,2018-01-23 09:14:07,1,2,5
一***手,银牌会员,到手商品与网上商品符合，物流也还算可以，配有充电器，颜色也没色差，就是手机固定内存占得有点多，总体上来说，手机也对得上这价格,2018-02-09 23:39:43,0,0,5
j***y,PLUS会员[试用],一直信任华为的品牌，这次的6A性价比高，颜值高，很喜欢，真的是物有所值。会一直支持华为！,2018-03-07 07:07:59,1,0,5
m***b,铜牌会员,手机是正品，外观挺漂亮的，家里人一直用华为的支持华为支持国产，现在用起来感觉不错，等用段时间在追评,2018-02-20 16:25:02,0,0,5
t***6,PLUS会员,给别人买的。不知道怎么样，价格但是不贵。,2018-03-09 08:56:20,0,0,5
j***a,铜牌会员,电池续航一般，运行一般，作为备用机还是可以的。毕竟价格也不高,2018-03-06 19:58:07,0,0,5
量***好,金牌会员,总体来说挺好的，就是还不知道好不好用。,2018-02-12 10:00:59,2,0,5
好***兴,PLUS会员,"手机看不出来是否为正品，没有基本的MEI,送的钢化膜就是应付了事，买东西图个顺心，搞这个，这是想把店给毁了，不建议购买",2018-02-22 06:36:44,3,1,5
f***k,钻石会员,"焚***魄 2017-08-12 09:49:35
几年前逛京东还不是那么的信任京东，现在信赖首选京东，默默哒一直看着它一年一年发展的越来越好，心里也在为京东发展壮大而加油打气。为什么我喜欢京东购物，因为可以当天买自己喜欢的商品，明天就可以到达客户的家中，为什么我所有的评价都相同，因为在京东买的东西太多太多，商品积累的太多没有评价，最佩服的，还是京东物流，有时晚上11点前动动手指，购买的商品，第二天上午就送到单位或者家里，还可以刷卡付款。自营的商品挺有保证，售后，有问题打专属客服热线。客服很赞，一句话的事儿，直接上门取件退，上门更换新商品，家电有价保，一个月退货，半年换货，实体店儿弱爆了，根本没有竞争力与京东相提并论；比老家的商铺街上的价格省了一大截票子哈，宝宝平时基本不逛街，在家逛京东商城就能买到合意的超值商品，有些明显比超市还划算，而且还一模一样的吃喝生活用品哟，小宝贝们快来选购吧！既省钱，又节省时间，永远支持信誉商家《京东》。",2017-08-14 08:31:39,2,0,5
j***a,铜牌会员,给老爸买的手机，第一次用上智能手机，可高兴了，转成体验了京东购物和京东物流，确实不错，满意的体验,2018-03-06 13:01:30,0,0,5
j***a,铜牌会员,手机用着很舒服而且很漂亮,2018-02-20 10:54:17,0,0,5
q***5,银牌会员,还不错，颜色蛮好的,2018-01-28 19:39:46,1,0,5
j***l,银牌会员,很不错的一款手机，外观高大上，刚拿回家就试用了，上网速度挺快的，各方面感觉非常好，支持国货，值得购买，京东快递就是快，快递小哥服务也好，赞。,2018-02-20 19:11:50,0,0,5
雪***石,钻石会员,手机不错，流畅，亮度大，但是夜间拍照噪点明显，其他体验都不错。,2018-02-22 20:41:35,0,0,5
j***b,金牌会员,手机好用，上网速度快，款式也好看，一次买了两部。,2018-01-23 09:16:54,1,0,5
5***明,金牌会员,用了段时间来评价，手机真心不错，包装没谁了很好,2018-01-15 10:26:25,1,0,5
陈***g,铜牌会员,感觉有点小   可能玩大的看惯了,2018-02-06 18:15:57,0,0,5
6***m,金牌会员,作为京东金牌客户。我第一次碰到这种卖家。送壳膜。需假广告吗？第一，客服说以收到实物为准。什么以收到实物为准。那你为什么要打出广告来。第二，收到钢化膜型号都对不上，客服还说是这个。 这种商家，我是第一次碰到。本来想退，嫌麻烦，就不退了。但是我要把事实说出来。 作为京东几年的金牌客户，建议大家以后购买自己想清楚来。,2018-03-02 10:00:16,0,0,5
L***2,银牌会员,手机和手机店买的一样，去年店里买时950，这个就是没有耳麦呢,2018-03-05 15:48:49,0,0,5
j***v,铜牌会员,不错的一次购物一分钱一分货,2018-02-04 19:42:26,3,0,5
b***k,PLUS会员,好评，物流很快，店家态度非常好。,2018-02-10 19:26:44,0,0,5
L***p,铜牌会员,是非常好用的，买给我妹她高兴得不得了,2018-02-27 23:55:53,0,2,5
h***2,银牌会员,手机还好，就是没有配耳机,2018-01-18 12:33:11,1,0,5
杨***0,铜牌会员,手机不错，就是快递慢了点,2018-03-01 17:10:22,0,0,5
j***d,金牌会员,用着呢，挺好反应挺快8月27号到货手机还有增品都符合就是没发票。总的来说还可以没1,2017-08-28 16:24:23,2,1,5
j***s,铜牌会员,"感觉买了个二手手机
手机自带贴膜，还有下载的东西有时间提示",2017-08-07 13:19:21,15,3,5
j***x,PLUS会员,真的挺不错的，京东的东西，一直都很信赖。这次这个手机的超出我想象。好！,2018-02-13 01:21:19,1,0,5
j***w,铜牌会员,手机挺好看的，就是买回来才知道是裸机，其他啥都没有，就一部手机，和充电器，其他没了没了没了?,2018-02-07 14:44:19,0,0,5
j***5,PLUS会员,给京东快递哥两个赞，满意的服务满意的速度现代化的速度！,2018-02-13 23:00:46,0,0,5
天***您,钻石会员,好漂亮的手机，照相也很清晰，这个价值了，一直相信华为，好品质！,2018-02-10 10:58:03,1,0,5
最***3,PLUS会员,非常不错，过年送小朋友真的太合适啦啦啦啦,2018-02-11 20:10:32,1,0,5
jd_183603lfx,铜牌会员,京东购物真是快又好！收到很满意！物流也很给力！态度很好！感谢感谢！,2018-03-04 12:31:42,0,0,5
j***d,PLUS会员,今天才收到，外观感觉很好，不知道运行速度怎么样,2018-02-11 22:40:29,0,1,5
Z***z,铜牌会员,手机不错，流畅，亮度大，但是夜间拍照噪点明显，其他体验都不错。,2018-03-04 11:55:38,0,0,5
j***骏,钻石会员,还不错，毕竟一分钱一分货。这个价钱可以了,2018-02-12 21:41:01,1,1,5
j***4,钻石会员,给老妈买的，超好，音质很好，拍照也不错，满意！,2018-02-22 09:44:47,0,0,5
爱***市,钻石会员,多次购买华为手机，挺满意的，哈哈哈哈哈,2018-03-08 10:58:46,0,0,5
j***8,金牌会员,手机还不错，买了两个了。用着都挺好的,2018-03-06 22:06:30,0,0,5
梦***彩,金牌会员,物流速度快，手机很轻薄，包装得很好！,2018-03-05 17:48:44,0,0,5
秋***燕,金牌会员,手机不错，3天就到了，全新的……,2018-02-09 16:13:18,1,1,5
w***5,铜牌会员,手机是给妈妈买的，，刚收到，看了一下，感觉还挺好的，妈妈也很喜欢，如果用的好，会继续追评的哦，谢谢商家，送货的人说，如果用的不好，手机还可以找他的哦。,2018-03-09 12:12:07,0,0,5
j***l,银牌会员,自用不错很好看相信京东服务,2018-02-15 16:31:11,0,0,5
j***f,金牌会员,华为手机质量信得过支持华为,2018-02-11 00:00:24,0,0,5
j***i,钻石会员,很漂亮很实惠很不错。,2018-02-04 13:36:16,0,0,5
