名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***j,铜牌会员,第一次在京东商城购物，很好！非常满意！货真价实！物流快！快递态度很好，给100个赞！,2017-01-15 19:59:59,44,23,5
g***f,PLUS会员,帮我妈妈买的手机，华为的还是不错的！,2018-02-13 19:30:49,0,0,5
j***e,铜牌会员,"用了好几天才过来评价，从外观等看来都是特别的好的，而且特别薄，颜色也是我喜欢的颜色，比想象中的手感更好。不过快递让我等了特别久，这是让我特别纠心的一件事情。第一次在网上买手机，所以还是有点小担心的。那现在来说下手机吧，机身内存64G，运行内存内存4G,一开始的系统还是旧的那个系统，然后后面升起了变成了5.1的那个版本.虽然说是双摄像头，但是我觉得，其实跟一个摄像头是没有什么太大的差别的。指纹解锁特别快，续航能力也很ok，基本上一天一充就行了，不过充电我感觉有点慢，大概需要两个小时才能充满运行速度也很ok，然后打大型游戏，比如说王者荣耀觉得也不会卡,总之这个价位的这款荣耀6x是值得推荐的,不过我发现有一点点小小的毛病，就是，有的时候信号不太好，有一次我都不能用4G网，后来才发现我没有把它切换好，因为它是双卡的。总之系统升级后，这款手机的功能变得更强大了，是值得一买的，大家可以参考一下",2017-08-13 16:26:50,5,0,5
D***O,钻石会员,以前在京东商城购物不知道写评价可以得京豆，浪费了很多京豆，现在知道了京豆的用处，可以抵现，就不会忘记评价了，把这段话留下来，随时可以评价，走到哪评价到哪，既方便又可以得京豆哦！京东自己的快递还是很快的，而且东西质量也有保障，是正品哦！以后买东西就在京东啦！,2017-03-03 13:32:00,11,5,5
m***u,钻石会员,这款手机性价比好，实用，而且是国产手机，配置也很高，我已经买了好几个系列了，一直都是用华为手机！,2017-06-13 15:06:16,29,1,5
j***c,银牌会员,今天刚收到，很漂亮，很喜欢，感觉挺好的，物美价廉。由于以前用的别的牌子，刚换还有点不适应，用段时间再来评论,2017-11-13 13:35:22,0,0,5
y***6,银牌会员,"5.5英寸的屏幕很适合我们这些工薪阶层，产品完全属于正品，的确是从厂家发的货，这一点，毋庸置疑，手机网速非常快，当然，这个价位还是能够愉快接受的。当初，购买手机也是看了网上几家店，互相比较后才再在此家店下单，主要是店家不仅开了正规发票，还送5样赠品，特别给力！当然，我也是个华为迷，支持国货，这是我本人购买的X6系列，已经是第二次在京东商城上购买手机了。物流速度挺快的，从下单到第三天上午就收到华为这款高档尊享版了，内存4G,机身储存64G,刚开始下单前总感质疑，这个价位其它名称的手机很难达到的，没想到，华为却做到了，网速快，容量大，这个价位也是挺给力的！而且电池也耐用，从今天上午十点收到货后一直玩到下午五点半，还有30%的电量，太给力了。最后，衷心祝愿京东商城、新松联旗舰店、京东物流越做越好，事业蒸蒸日上，值得消费者的信赖！下次，我依然会在京东快乐购物！",2016-11-26 18:04:06,2,1,5
燃***兔,PLUS会员,手机领到手了爸爸觉得很满意。,2016-12-02 20:47:24,5,6,5
云***号,银牌会员,从下单到收货只用了两天，包装完好无破损。开机使用正常，配置与描述一致。第一次用荣耀手机，好评妥妥的！,2017-06-03 09:55:16,9,1,5
j***6,金牌会员,"1.外观轻薄，磨砂处理得很好很舒服，手感很棒。但是女生略大略重
2.扬声器效果很好（比我的破红米3好多了），不会有杂音
3.摄像头像素基本够用，但夜晚噪点很明显，但是突起的设计不是很喜欢
4.EMUI很流畅但是感觉美化和人性化差一点，个人感觉这点MIUI好
5.送的套、耳机、膜、指环都一般，钢化膜留指纹不顺滑，卖家一点心意而已不计较了
6.买给爸爸用的，老人家够用了主要用微信，拍照指纹什么的都没什么用，最主要内存大流畅。",2017-07-28 12:01:19,3,0,5
