名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***子,PLUS会员,给老人买的，目前，为止机器挺不错的，画面清楚，做工精细，照相效果非常好，像素高，清晰度高，华为荣耀一直信赖，支持国产品牌，支持国货！京东，一直信赖，一直支持！,2017-10-12 23:15:12,1,1,5
j***6,铜牌会员,"手机真心好，还有赠品也不卡摄像头也好
希望越做越好但是就差一个耳机然后就完美了。",2018-01-18 19:37:46,0,0,5
j***a,金牌会员,手机是买给妈妈用的。拿到之后玩了一下，感觉很不错，性价比很高。屏幕和内存都够用。美中不足的是快递稍微慢了点，有可能是双十一刚过还没正常吧。具体在后续使用中在评价吧。,2017-11-25 22:28:51,0,0,5
j***l,铜牌会员,双十一买的，物流稍微有点慢，好在手机好，是正品，比我的5X薄，手感很好，大爱，好评?,2017-11-15 12:01:47,1,2,5
木***仑,金牌会员,货收到了，物流很快，服务很好，我在农村都送货上门，手机看着质量不错，跟我和商家说的一样，反应速度也挺快，确实是32G，4G的，。有的人说不好，有的人说发错了，我认为那是你跟商家没说清楚说清楚，再说了人没有不疏忽的时候又都不是神仙，，挺好，我买手机买电器就挺认可京东的，我朋友也是。五星好评。,2017-12-16 09:18:16,0,0,5
J***子,钻石会员,活动时，够的机子！信赖华为。商家送的东西也很实用！,2018-01-02 11:07:17,0,0,5
j***f,铜牌会员,手机已收到是正品行货    大牌子就是不一样   还有卖家服务态度很好,2017-10-19 09:18:29,0,0,5
j***y,铜牌会员,收到了，还没用，看着挺好的,2018-02-27 11:38:21,0,0,5
f***w,PLUS会员,手机非常的好用，玩游戏不至于卡顿，价格也很优惠，在同等价位上配置比别的高出一头，非常的满意。,2017-10-25 08:08:42,1,0,5
j***f,银牌会员,买给妈妈，妈妈特别喜欢，玩游戏非常快速，储存量大，不卡，电池经用，总之，非常不错的一款手机,2018-01-31 21:14:44,0,0,5
t***7,银牌会员,东西收到了，完好无损，给朋友买的，他很满意，手机流畅拍摄效果杠杠滴！另外京东的物流小哥很细心，服务态度超好，赞一个。,2017-10-26 18:01:32,0,0,5
