名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***5,钻石会员,今天收到了，是正品，去官网验证一下，把系统升级一下，7X预装了很多软件，一些是可以删除的，毕竟只买了32G，要多留点空间给自己。原包装有送PU套，但没有膜，各位买的时候还得自己加一个。与客服沟通，把清单一一核对一下。客服质量很满意的。,2017-12-14 16:15:33,7,1,5
jd_236755790,金牌会员,"首先我敬重声明声明本人不是托！！！
买这款手机前也是看过好多牌子手机了，比如小米，oppo，360，三星等系列的机型，最后我还是选择了荣耀华为这类机型，刚好十月新上市的荣耀畅玩7X吸引了我的眼球，给我第一印象就是同样是5.5但是这款机子的屏幕使用率占到了8成左右，毕竟价格上一般用户都能接受！下面我简单说下购机的体验:我是凌晨十二点多完成订单，第二天的中午就收到京东信息可以收货，手机盒子完整无损赠送半塞式耳机，防爆膜，透明原装壳，还有一年的延保，总体感觉赏心悦目，非常满意的一次购物！！！另外说下本人选的是4+64运行内存有3g左右，已经不错了。刚试手机还未能装卡原卡有点大，是那种老式的手机卡等有时间去营业厅换新卡，到时候再给大伙发表用机心得！具体的可以看下面几张图:",2017-11-01 22:50:02,13,14,5
j***t,银牌会员,第一次买华为手机，这款荣耀7X （4+64）在大众价位千元机里感觉还是很不错的一款机型，外观个人觉得还是很漂亮的，做工也很精致，关键还是全面屏，屏比占80%以上，个人还是蛮喜欢的。收到货试了下系统很流畅，色彩显示很清晰靓丽，个人感觉很满意。另外商家还送了很多礼品，服务态度也很好，值得购买。目前手机还没有正式使用，等使用一段时间后再追评吧。,2018-02-03 14:29:11,8,3,5
小***习,PLUS会员,首先感谢商家的赠品，价格也比京东自营实惠。物流用的京东，两天就到了。手机联网后提示升级，升级后除了系统必备其他可以删除。建议使用原装华为的手机壳，原厂的手机壳背后有突起能保护摄像头。赠的移动电源是一万毫安的。手机用喜马拉雅听书，喇叭有点噼，音质不是很好，通话不影响。玩王者荣耀全开特效会卡。手机信号和系统操作都是满意的。如果玩游戏建议买骁龙660、835和麒麟960、970这样的手机。荣耀9和小米note3是我认为目前比较有性价比的两款。,2018-01-27 11:09:25,0,0,5
u***L,银牌会员,屏大，分辨率高，拍照快，像素也挺好。不错的一款机子！,2018-02-26 13:18:22,0,0,5
j***9,铜牌会员,还可以，手感还不错，屏也挺大的，给弟弟买的，弟弟也很喜欢，,2017-12-03 16:10:23,1,1,5
杨***2,PLUS会员[试用],手机收到了非常好，屏幕尺寸够大，手感非常舒服，反应灵敏，内存大，运行速度快，还有好多赠品，延保一年，太赞了，物流速度非常快，快递员态度好，赞,2018-02-19 14:47:23,0,0,5
j***2,金牌会员,一次性买了两个，一个蓝色一个黑色，都非常漂亮，机子一件用了来一天来，情况很不错，商家送了钢化膜，耳机，还有手机套，基本上我也就不需要再花钱买别的东西了，唯一遗憾的是买之前没领店铺优惠券，下面需要的朋友可别忘了，能优惠不少，总而言之，目前很满意，以后有什么情况再追加吧,2017-12-27 14:47:59,3,0,5
一***啊,银牌会员,手机外观很大气，漂亮，手感很光滑，舒适，这么大的屏幕，单手也很容易操作，系统运行很流畅，性价比很高，商家服务很周到，送了很多很实用的赠品，总之，非常满意的一次购物。,2017-10-22 22:11:46,9,8,5
1***德,银牌会员,【第一次使用华为荣耀手机，特意使用俩天才过来评价的！刚拿到手里时，就感觉手感很好，颜值超赞，黑色很适合男生，其次，拍照也很棒，夜景噪点控制也很好，充电2个小时就充满了！性价比很高！真心点赞！】,2018-02-25 18:30:08,1,0,5
