名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
s***6,金牌会员,快递哥态度很好，贵重物品当面交付，手机相素，通话，配置对于千元上的机超值了，一家人都用华为，亲朋好友相继换华为替代美韩电子产品，我国电子产品已经名列前茅了，支持国货，从我们这代人做起,2017-10-23 10:54:36,108,40,5
赤***乌,银牌会员,手机好看，物流太慢。,2017-11-20 13:58:06,13,6,5
j***k,金牌会员,系统速度表现达到预期效果，不要和其它三千以上高端机子相比，这速度对得起售价，光照充足情况下拍照表现非常优秀，毕竟后置双摄的嘛！整体非常满意，是千元级别种非常有竞争的一款手机，为华为良心制造点赞?，为店家热心服务点赞?,2017-10-21 22:16:54,35,6,5
闫***7,银牌会员,很喜欢，屏幕狠大，王者荣耀也不卡团的时候有点掉帧，但是不卡，已经很牛笔了，很原装壳很好，带的钢化膜不怎么样,2017-11-19 17:16:08,7,1,5
f***葉,银牌会员,"新手机
   颜值和杠杠的",2018-02-03 14:07:21,2,0,5
大头___m,银牌会员,还不错呢 感觉很好用国产的就是牛,2017-12-06 11:36:20,1,0,5
j***b,银牌会员,第一次买到这么气，快递给我送到的时候，我没现场拆下来看，等到宿舍的时候才拆，然后就发现了右上角屏幕有点花，申请退货，然后就京东客来电，不是说好七天无理由退货的？怎么不肯退了！我建议大家买手机时先看好店铺再买，还敢卖1399，还送了两个手机壳谢谢哦呸，别人家才1299，否则，像我一样，买个教训.,2018-01-13 21:18:16,2,1,5
杨***琸,铜牌会员,高端大气上档次，价格也挺亲民的！使用了几天感觉不错！上一个手机就是华为的！华为不倒闭以后就用华为系列了！物流快递小哥也挺客气！！！,2017-11-16 20:01:09,12,6,5
j***6,铜牌会员,没有网友所说的屏幕不能全屏播放。。如果不支持5g网是真的是硬伤。,2017-11-14 21:14:46,16,9,5
L***情,金牌会员,手机各方面都不错。。。玩游戏的话，还是会有点点卡。喜欢的朋友。可以购买，手机真心不错?,2017-10-29 19:15:34,5,6,5
j***b,银牌会员,顺丰快递，手机正品，不亏千元旗舰机！！期间有点误会，以为手机是假的，客服态度很棒！！五星，没说的,2017-12-17 14:41:53,5,2,5
j***o,银牌会员,非常漂亮。颜色跟图一样艳。速度超快。价钱合理，值得购买。感谢京东。,2017-11-27 06:32:36,5,4,5
海***1,银牌会员,收到了，物流挺快，手机手感很不错，整体很满意，但不知道用起来怎么样，用几天再追加评论吧,2018-02-03 19:13:21,0,0,5
小***5,钻石会员,黑色的，挺高大上的，手机运行很快，屏幕够大,2017-11-14 14:01:28,5,2,5
此***弄,银牌会员,手机不错，运行也流畅，颜色跟图片基本一样，千元机里面算不错的了,2017-12-09 12:28:53,2,1,5
dabaiji,金牌会员,"先用着，三码合一！看情况，充电不是typec,没快充，屏幕不太灵敏！好多内置软件！盒子无塑料封膜！无使用痕迹！",2018-01-07 17:03:40,1,0,5
j***a,金牌会员,手机还不错漂亮，电池也可以两三天不错。,2018-01-19 17:35:30,0,0,5
p***6,银牌会员,物流速度快，手机也还漂亮，真是物非所值。赞,2017-12-13 12:30:14,0,0,5
w***5,银牌会员,手机性能很好，速度快，发货速度快，店家服务态度好。遗憾的就是货到后，这里的快递送货不及时，货到3天了不送。打电话催了又催。货的包装很结实，店家工作仔细认真。赠品5样，都很好，实用。,2017-11-09 20:08:53,7,6,5
马***陶,金牌会员,手机到了用好几天了。说送的东西也不少。手机嘛其实还可以，玩起来挺流畅。唯一的就是有一点点小发烫。,2017-11-03 03:36:21,13,10,5
jd_136813lmr,钻石会员,手机不错！好用！就是卖家发货不给力！接了订单迟迟不发货！,2017-11-22 18:29:19,4,1,5
j***l,银牌会员,手机太棒了！这是我第一次在网上买手机，感觉真是不一般：从各商家的挑选到各种机型的选定，经历了货多挑花眼的过程，各方比较，最后尘埃落定。当拿到手机后，真真感觉京东的这次购机很值。非常感谢各方运作劳动的你们！顺祝新春吉祥大吉，万事胜意！,2018-02-10 15:43:38,0,0,5
j***d,PLUS会员,支持国货！华为的手机不是第一次买了，用了一年的华为p9感觉很好，很结实，系统稳定，除了截屏速度慢以外没什么毛病。相信华为荣耀也不会差到哪里去，开机感觉了一下，还是不错的，毕竟是全面瓶，屏幕比例看着挺顺眼的，价格也算是经济实惠了。配置指纹解锁，后置双摄。不算出众但送给老人够用了。绝对对的起价格，4+64G才1699元，国产良心之作,2018-01-16 10:20:21,0,0,5
j***a,PLUS会员,包装很好很好！商家很贴心送了手机壳！是荣耀正品，感谢京东提供的平台！,2017-11-03 19:42:10,4,1,5
小***-,铜牌会员,手机是给爸爸买的 用了一段时间才来评论，手机总体还是不错的，屏幕大 还可以 这个价位很值  就是弧形的 膜不好粘  用了白边液弄的,2017-12-28 15:47:17,5,0,5
铮***杨,PLUS会员,很好，手感拿着很舒服！还是全面屏。照相也很不错。反应挺快，信赖京东，信赖华为。,2018-01-05 10:24:43,0,0,5
博***l,PLUS会员,京东发货真快～手机很赞，手感摸上去超薄爽滑，白如玉，亮如镜，还有送手机壳，性价比高，必须好评！,2017-12-03 11:46:03,0,4,5
k***8,PLUS会员,华为机器就是特别的漂亮,2017-11-25 21:54:39,1,1,5
冀***6,钻石会员,这手机好神奇，屏幕竟然连个膜都没有！只有一个塑料袋包裹！受得了吗！外包装还是比较用心的，用了气泡袋防磕碰！感觉没有想象的经验，用着也不算太流畅！,2017-12-04 09:39:18,2,0,5
霸***猪,金牌会员,送的壳质量不好，自己又另外买的，钢化膜不贴边，其他都可以，11.1号拍的，7号发货，送朋友的生日礼物，延迟了太多时间，也是醉了，还是喜欢黑色，假全屏，要不是现实生活中没有现货，我也不能选择网上买，怕买到假货,2017-12-05 14:50:05,0,9,5
土***因,金牌会员,东西是很不错的，不过荣耀居然不是type-c的插口有些失望，还是以前老安卓插口！第二，拿到以后发现安了很多程序，不过果断恢复出厂默认就好了！第三关于内存，恢复出厂设置后，把所有可以卸载的程序删掉后，剩余空间是49.5G，图片是我安装好自己日常使用程序后所剩的空间！整体感受不错,2017-11-05 09:04:08,5,1,5
景观漫游动画设计,金牌会员,手机挺漂亮的，这个价位的手机的颜值已经很好看了。,2018-01-05 16:11:48,7,1,5
j***3,金牌会员,手机质量很好！大厂做工外观非常精细，手感很好,2017-11-22 11:54:01,3,2,5
沉淀的回忆2806382389,金牌会员,帮同学买的，和同学考虑了很久，在红米5plus和这款手机之间对比，同学选了荣耀，感觉荣耀很漂亮，虽然电池和储存空间有点少，但他不太玩游戏，也够用了。,2018-01-07 11:16:26,1,1,5
j***x,金牌会员,帮朋友购买的，手机外观设计漂亮全屏设计，内存够大，功能强大，反应灵敏，朋友喜欢，客服服务态度也很好，感谢商家，还有3件赠品，感谢京东，给5星好评！,2018-01-18 21:18:44,0,0,5
z***4,PLUS会员,五星咯。价格绝对的优势，物流两天就到了。最好的还是手机，颜值安逸哦，工艺不摆咯，送的实用赠品一大堆。,2017-11-05 10:19:34,7,2,5
z***m,金牌会员,使用还可以，是正品，就是电池不怎么耐用。,2017-12-03 11:13:41,0,1,5
胖***头,银牌会员,货拿到就迫不及待的用上了，因为是朋友推荐的。感觉真的是物美价廉～给老爸买的，老爸很喜欢，然后我也感受了哈，真的是很不错的，这个价格让老爸很是满意，而且还是全面屏的，感谢店家送的手机壳，么么哒～,2018-02-07 21:16:08,0,0,5
永***3,PLUS会员,发货速度快，质量不错，好评,2018-01-05 12:24:18,2,0,5
過***龙,银牌会员,速度挺快的，拍照比之前的畅玩4X好很多，手感外观都不错，据说被外媒评为最佳性价比手机。唯一可惜的是移动定制版。,2018-02-24 10:58:05,0,0,5
其***滴,金牌会员,宝贝用几天了，总得来说还是不错的，就是有时候感觉打字不是太灵敏，不知道咋回事。好评吧！,2018-01-12 07:36:02,0,0,5
j***k,铜牌会员,手机手感很好，这个价位很划算，好用。实惠，用起来流畅，打游戏那些都不卡，操作双击666. 外观也很好看，千元机的战斗机！,2018-01-22 10:38:10,0,2,5
関***墨,PLUS会员,不错的，我买的第二部了，这一部给朋友，因为朋友说这个打游戏爽。iPhone太小了，所以送个生日礼物给他。2333,2018-01-05 12:11:00,1,0,5
jd_4c136df9fb4eb,金牌会员,下单第三天中午到货，快递属于比较快的。之前也用过安卓，这个手机物有所值。华为系统流畅，屏幕大，整机尺寸不大，金属机身，手握持感非常好。我还是比较满意的。,2017-10-28 10:03:21,6,2,5
jd_159774bkb,银牌会员,盒子很漂亮。快递也好快，感觉就像今天买明天到！手机跑分8万多，挺好！！,2017-12-17 07:16:48,1,1,5
j***m,银牌会员,给朋友买的，很满意 也关注过这个手机，在这个价位的全面屏性价比还是很高的，如果你性能没有太高的要求，这个手机是不错的选择,2017-12-10 17:40:55,2,0,5
蓝***冰,钻石会员,给老公买的手机，老公很喜欢，很漂亮，华为的手机不错，好评,2017-12-01 12:46:38,2,0,4
正***事,PLUS会员,买的4g 32g版本，这个版本比起其他两个最具性价比，1299元。32g的内存还剩21g，有点偏少，4g运行内存剩3g左右，还不错。18：9的屏幕比起传统的屏幕视觉冲击强，色彩和分辨率都不错，唯一不足的就是华为自带的华为视频看电影时没有体现出“全面屏”的优势，旁边留有黑色区域，可以选择铺满全屏，但是是强行横向拉伸，显得画面有点变形，建议后期优化软件按比例放大铺满全屏，不过用腾讯视频等软件铺满全屏是按比例放大的，效果确实好。系统流畅度表现不错，目前没玩过游戏，不清楚游戏性能。拍照中规中矩,2018-01-27 22:53:47,1,0,5
大***猪,银牌会员,迟迟不评论，就是希望能在7天内用得上手感。果然，不感到失望，以前用过5x感觉整体上变化不大，速度正常，正常的使用，娱乐，游戏，撑得起，没有遇到卡机现象。拍照就是千元机的水平吧，应该跟红米，360的全面屏相差不大，都要求光线充足，至于成像色彩那就是屏幕的差别了，色彩还原虽然不是很真实接近，不过适合我个人。物流还可以，服务也是还可以。,2018-01-13 19:19:32,0,0,5
莫***凡,PLUS会员,手机已经收到货了，看着外观特别的舒服，手机质量也不错，客服服务态度也很好,2017-11-11 22:56:23,2,1,5
百***通,钻石会员,货都收到了，感觉还不错，包装的也挺好的，物流很快，送货师傅态度也不错，活动很优惠，很满意。货都收到了，感觉还不错，包装的也挺好的，物流很快，送货师傅态度也不错，活动很优惠，很满意。货都收到了，感觉还不错，包装的也挺好的，物流很快，送货师傅态度也不错，活动很优惠，很满意。,2017-11-15 11:45:04,1,1,5
流***人,金牌会员,速度太快了！！才几个小时，手机到手了。华为的手机也是很棒的，国货加油！,2018-01-01 20:58:49,1,0,5
J***9,金牌会员,说实话这个手机对这个价格真是不错华为手机真棒卖家服务也可以总之手机确实很好,2017-10-26 12:54:11,9,3,5
j***a,银牌会员,整体还不错，买手机怎么都不配个耳机呢。电量不耐用，对于千元机来说，是非常的好了,2018-01-02 16:46:10,0,1,5
罗***1,PLUS会员,手机还可以买了二个了，一个在**买的一个京东买的，感觉差不多，一千块的全面屏要不巿太高,2017-12-13 19:15:27,5,1,5
s***o,PLUS会员,这个价位内，绝对无敌，运行特别流畅，指纹真的是秒开，太快了，超值,2017-12-06 10:36:28,1,0,5
心***士,PLUS会员,我买的是蓝色，但我买了个红色的壳子，于是，就变成红色啦～正面已经看不出原本的蓝色了，背面还能看出一点点蓝色的痕迹。还行吧！,2018-01-13 13:58:10,1,0,5
爱***兽,PLUS会员,华为手机还不错，质量也很好，看着很大气,2018-01-08 17:15:45,1,0,5
h***0,金牌会员,东西真不错?，下次还回来，用后追加评论。,2017-10-25 18:22:59,5,4,5
jd_139461idqf,银牌会员,手机外观大气、手感好、操作顺畅，千元左右的手机华为还是值得信赖的。,2018-01-03 19:30:29,0,0,5
白***天,PLUS会员,一起买了两部手机，新款上市的，很不错，就是赠的手机壳质量太次了！还没使用，等使用后再来追评吧！,2017-11-15 18:28:03,3,0,5
j***螂,钻石会员,挺好使 做备用机,2017-12-06 12:57:37,0,0,5
j***1,金牌会员,我买的是全网通结果商家发了个移动全网通，你们说这商家良心吗,2017-12-08 12:39:46,10,22,1
h***9,银牌会员,首次在京东非自营店铺买手机，特意用几天后再评论！手机很好妻子很满意，随手机就带有一个保护套，另外还送一个保护套，一张钢化膜，商家诚意满满！大品牌，品质有保证，更重要的是支持国货！支持手机里面的中国芯！这是每个中国人应该有的责任心！,2018-03-05 06:45:45,0,0,5
罗***靖,金牌会员,想买黑色，一直没货。客服换成金色，不过内存给了64G，当备用机挺好。,2017-11-10 17:07:59,1,0,5
j***n,金牌会员,物流很快，包装完好。很不错的一款手机。,2018-02-01 04:49:51,0,0,5
j***1,银牌会员,千元机王牌  支持国产支持华为,2018-01-11 20:39:11,0,0,5
十***哥,银牌会员,这款手机的性价比很高，配置很齐全，外国朋友很喜欢,2017-12-23 10:08:23,0,0,5
j***v,银牌会员,一般般吧,2017-12-05 09:29:09,1,0,4
j***1,银牌会员,手机收到了，很不错的，快递虽然有点慢但是考虑到了大雪的原因，不过最惊艳的还是全面屏。同学见了也说非常霸气很好看，好评。,2018-01-08 21:48:32,1,0,5
j***q,金牌会员,反应快，好，值了。,2017-12-02 08:10:59,1,0,5
凡***恒,银牌会员,非常满意的一次购物，我本以为7X很难抢购，结果在这家店买了一部，非常顺畅，玩游戏不会卡顿，和客服人员反馈的一模一样，非常感谢，手机用久后再追评,2017-10-29 14:58:45,6,1,5
