名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
浊***佳,金牌会员,1500的全面屏手机，你能忍。而且用的那么爽。那么物超所值。我能说什么。32个赞！！！！为自己鼓掌，也为卖家鼓掌，还送了好多东西。最得意的一次购物！！！,2017-10-29 11:18:41,7,3,5
k***m,钻石会员,"双十二的时候，同时买了两部荣耀畅玩7X的手机,  这家京东配送是最快的，另一家，要十天才能发货。本来还担心预装的软件太多，不好用。收到之后呢，恢复出厂设置，速度还是蛮快的。嗯，换手机本来就是想要这个有计步功能的。用的非常好，熄屏也可以计步，这样蚂蚁森林里每天都有能量收啦！这部手机还是非常满意的，送了两个手机壳，非常贴合手机。谢谢，还送的手机支架。之前用的是荣耀畅玩5X，用了两年多，没有出过任何问题，支持国产手机，支持华为。",2017-12-15 16:47:18,4,1,5
温***平,PLUS会员,"做工非常精致
最满意：荣耀畅玩7X手感第一感觉完美，握持感更好，双摄像头照相超清，性能系统流畅，消消乐，王者荣耀，毫无压力。
最不满意：做工非常精致，虽然不敢说赶超ipohn，但是差距已经非常非常微小了。7X说是全面屏，但是还没有完全达到完全的全面屏，只是达到全面屏的理论界限而已。
做工外观：从外观上单独看7X，只是觉得机身和屏幕比较修长，屏幕还是有黑边，但是很细；没有比较就没有伤害，当初觉得6X已经很漂亮了，但是现在拿出6X来和7X摆在一起，就显得太土了，简直不堪入目。
系统流畅度：用时运行百度地图、高德地图、双微信、qq、UC浏览器、京东买单吧、美团、支F宝、360摄像机、工行等多个APP，还打开换机助手克隆过来的上千张相片，系统一样非常流畅，快速刷屏幕的情况下，相片打开的速度基本达到刷屏的速度。
拍照效果：拍照效果好不好？我在窗台上逆光拍了几个蜡笔小新照片，分别是大光圈，人像和动态，不太会拍，随手弄得，你们凑合看看，光线还是很强的",2017-11-01 22:16:41,2,1,5
小***2,PLUS会员,还可以吧，感觉上网不是很快，不知是网络还是手机问题，掉电很快，玩游戏很快就要冲电了，日常玩玩微信，上上网是没问题的，就是快递实在太慢了，五天才到，没试过这么久的,2017-10-31 21:42:48,2,2,5
叶***3,钻石会员,都 ，不卡， 快 ， 清晰 ， 音量清楚……评好,2017-12-05 10:43:32,0,0,5
竟***4,PLUS会员,"首先，机器肯定是正品华为，但不是未拆封，卖家开封过，盒子没有条码，很显然被撕了。
其次，卖家刷过机，系统带了一堆**软件无法卸载，原封机器肯定没有的，不过这个问题好解决，恢复出厂设置就好了，到手必须恢复哦！
这是第三方卖家通病，很不规矩，毕竟这个价格各位认了吧，介意的还是去官方旗舰店抢吧。
讲讲机器，安兔兔跑分7万，很渣的水准，说明处理器性能一般，不过一般够用了。
最大的卖点屏幕，够大，清晰度也确实不错，但是屏幕色彩太锐利，明显不是很好的屏幕，看久了很累，怎么调都有一种别扭感觉。注重大小的朋友，能满足你们需求。
待机，还没体验估计不会很久，大屏幕耗电。
手感厚实，金属做工和6x没啥差，也就是千元以内做工水准。
系统5.1，都出8了还是5.1华为也是厉害！凑合着用吧，该有的功能都有了，毕竟国内ui第三，非常适合老人家使用。
游戏啥的，没测，不过估计打王者荣耀凑合吧。
综述，除了屏幕大点，其他真的没啥亮点，活脱脱一个加长版6x，买个父母长辈还是很合适的，毕竟年纪大了，眼神不好使，需要大大大屏幕！",2017-11-09 17:23:13,7,6,5
j***忧,金牌会员,给女朋友买的！原本定的红米5plus，到货了她不喜欢！用了一天就退了。后来看了7x他很喜欢。原本想定金色。回来他看了说很好看，手机是真的验证过了。手机使用体验确实比红米5p强。发货很快包装严实。华为手机世界第一！,2017-12-16 14:44:56,2,1,5
j***d,银牌会员,手机收到了，很漂亮，比想象中的还好给华为点赞，给东京点赞,2018-02-02 22:04:17,1,0,5
j***p,银牌会员,"很好用的,介绍的质量一样,信号很强",2017-12-17 09:51:25,0,0,5
j***k,银牌会员,外表看着美观大气上档次。一直信任京东。质量不错，送货很快，服务很好！太漂亮，大气，档次高，超喜欢。货比三家，选的也好是辛苦啊?现在除了一碗热气腾腾的拉面，在强哥这里买不到其他的，只有你想不到没有买不到?上午下单，下午到家速度啊！看着还行货品不错，装了实用。质量可以。是值得购买不错不错不错！！！！！！用了还可以，刚开始用有点涩。很干净，质感也不错，价位适中，性价比一般吧。不错物流一天就到了整体感觉很不错，收到就用了，挺喜欢的，这个用的好，还要买多几个。物美价廉，用着看看吧，免去市场购物之劳，推荐答案我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有外表看着美观大气上档次。一直信任京东。质量不错，送货很快，服务很好！太漂亮，大气，档次高，超喜欢。货比三家，买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上，宝贝收到了，非常喜欢，质量很好，卖家热情，物流给力，非常愉快的一次,2017-11-14 11:08:26,1,0,5
百***够,PLUS会员,给妈妈买的，她说特别好，屏幕大，清晰，握着手感好，不卡顿！,2017-11-26 06:51:24,2,1,5
A***A,银牌会员,手机很好，性价比很高，打王者也不会卡，一般一局也就耗百分之三四的电，发过来的配件也还行,2017-11-04 19:59:02,1,1,5
创***5,金牌会员,"刚用了会，感觉畅玩7x是一款性价比高，外观也很惊艳的手机，5.93英寸高清全面屏，与5.5英寸屏幕手机大小相当，大屏幕小机身，金属机身，手感也不错。
18:9的比例更接近影院电影尺寸，采用视频增强技术，层次感鲜明、视频更清晰。在游戏对战中，比使用常规16：9手机的对手看到更多的显示区域，天然优势，胜利更多。
4G大内存，主频高达2.36G的麒麟659 八核高处理器，使用深度优化的EMUI5.1系统，多个APP运行也流畅。不错，值得购买！！！",2017-11-07 19:27:30,5,2,5
j***4,银牌会员,还可以挺喜欢的蛮不错的，全面屏这个价格真的可以了，快递也蛮快的，蛮愉快的一次购物！客服人员也很耐心的为我解答各种问题！祝老板生意兴隆！,2018-02-20 19:20:34,0,0,5
j***h,铜牌会员,很好很满意,2018-03-07 14:08:27,0,0,5
j***d,银牌会员,手机很好，非常喜欢这颜色，怎么没有耳机很遗憾。,2017-11-18 13:38:54,0,0,5
j***2,PLUS会员,手机很漂亮，价格实惠，一千多买这样的手机，值了。华为的大品牌，值得信赖，也比较放心。客户送货也很快，沟通顺畅，有问题立马就给解决。只是价格变化太快，虽然只有几块钱，但感觉不太好。,2017-12-13 12:46:22,0,0,5
