名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
加***草,钻石会员,大爱，看上去真的很有档次，相信哥哥一定喜欢，用几天再追评,2018-01-11 11:24:34,1,0,5
x***8,PLUS会员,这个评价不知怎么给了，作为京东多年的忠实客户，这次打脸了，再也不敢跟身边顽固派吹嘘网购有多安全了！售后折腾来折腾去，就算出售翻新机，盒子总给来个新的，我们傻傻的消费者也看不出猫腻，连这都省了,2018-03-07 14:34:19,0,1,5
一***走,银牌会员,荣耀X7整体设计还好，符合我的审美观，屏幕大是很大，但收到货点亮屏幕后，发现有黑边，完全出乎我意料。请问都是有黑边的吗？？,2018-02-21 10:51:58,0,0,5
富***竹,PLUS会员,全新未拆封，爽歪歪，手机不错，华为越来越厉害了，国产骄傲，可以，卖家的速度很快，值得相信。,2017-11-04 13:40:06,1,0,5
j***6,银牌会员,"1.外观漂亮，感觉舒服；2.电池续航快，一般上网使用时间较长；3.照相图片清晰，色彩鲜明！
第一次用华为，还没用熟，有时感觉触屏不是很灵敏！",2018-02-07 20:49:46,0,0,5
冷***看,金牌会员,手机好看，第一眼看着酒顺溜！开机用起来也不错，卡还没有剪，明天补卡再评！试一试确实挺快的。内存也多，应该可以存不少东西的，用用再来追评，不知道怎样？,2018-01-03 22:47:39,1,0,5
花***墨,PLUS会员,确实不错啊  很满意。很流畅，握着比苹果7p舒服得太多了，拍照也还可以，这图片用7P拍的 感觉一样一样的，还送耳机充电宝啥的。很实用，满分,2017-11-04 21:28:32,1,0,5
jd_何方来,钻石会员,"黑色版本非常好看！卖家又送了一个透明保护壳（华为又自带一个），封条完好！！送的贴膜就不用了，我喜欢裸奔！送的蓝牙耳机还在摸索中。。。
这次华为荣耀7做工很好，很精制，黑色版的真像个艺术品，比较薄，后壳的全金属的拿在手里像握着鹅卵石的感觉。系统运行流畅！32G的存储空间，开机还有20.6G可用，本人又加了一个32G的存储卡，够用了！希望用个二三年后再继续支持华为！！",2017-11-23 17:10:01,3,0,5
j***t,PLUS会员,实用了几天，感觉不错不错，手机运行很流畅，打游戏六的一逼，屏幕也好大，很愉快的一次购物。这个价钱买到这个配置还不错了。低价高配很划算了。虽然在拍照什么有一点点欠缺，比较这是一款千元机。综合评价（5分）：4.6分，ps：评分只针对千元机。,2017-10-31 11:09:28,1,0,5
jd_137938sid,银牌会员,边框很窄，整体握在手里不会感觉太大，单手操作比6x方便，性价比不错,2018-02-25 22:17:33,1,0,5
j***5,银牌会员,真的不错，现在还没发现什么毛病，用一段在评价,2018-02-01 06:08:32,0,0,5
k***2,PLUS会员,不错  发货快 正品,2017-11-05 16:57:38,1,0,5
