名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
F***k,金牌会员,手机很好。卖家态度也很好。快递速度也快。给赞一个。,2017-11-12 12:39:06,1,1,5
购***角,金牌会员,很好很强大，good！,2018-01-20 09:24:41,0,0,5
j***e,银牌会员,手机不错?！京东品牌我信赖！,2018-03-07 10:56:51,0,0,5
爱***W,银牌会员,手到货了 手机很好 跟网上看的一样很满意 物流也挺快的手机也非常漂亮 速度也快,2018-03-08 12:31:19,0,0,5
k***n,金牌会员,手机已经收到，屏幕很惊艳，手机整体做工不错，第一次买荣耀手机，第一感觉很惊艳，后续会有使用评价，特别表扬快递，很给力，外包装完整，送货及时。,2017-11-26 09:25:57,1,0,5
傲***山,银牌会员,在旗舰店购买不到，就在这边1399元就轻松购买到了，今天晚上稍等手机，很好是部值得拥有的手机，虽然是多的一百元不够卖家赠送的很多赠品（充电宝1040毫安，耳机，全屏钢化膜，手机外套，手机指环扣），手机已核实是正品，拆箱是全新了。其他先使用再来评价⊙∀⊙！,2017-11-25 00:11:18,3,0,5
赵***良,PLUS会员,我只想说，全面屏和黑色的手机更搭！店家发货迅速，而且大额的顺丰，好评！手机的确是全新未拆封的。,2018-01-14 19:16:56,1,0,5
z***2,PLUS会员,商家发货很快，顺丰很给力，适中觉得全面屏配黑色的手机才最好看！！好评！,2018-01-14 12:23:04,0,0,5
孙***活,银牌会员,太棒啦！超出我的预料！系统流畅！颜值担当！商铺给送耳机！充电宝 自带的保护套很完美！ 钢化膜客服耐心细致,2017-10-26 16:15:42,5,3,5
j***b,银牌会员,很不错，新机运行很快，手感也很好 机身很薄,2018-03-03 11:28:04,0,0,5
爱***人,金牌会员,屏幕反应慢点半天都没反应   还有26键的输入法打字    Z A Q 都用不了什什么鬼,2017-12-12 18:44:14,3,3,2
s***5,PLUS会员,首先非常感谢京东，这次购物非常愉快，非常满意，无论是从购物发货速度还是售后都是非常满意，感谢京东感谢卖家能让我买到这么特价的宝贝，宝贝性非常棒，性价比超高，运行贼快，打游戏贼6，同学也非常喜欢，送父母送亲戚也是高档大气上档次，值得入手老铁们，速度下单吧，老铁们，没毛病，觉得好记得分享给身边的朋友和亲戚。,2018-03-09 10:32:39,0,0,5
s***n,PLUS会员,全面屏手机，黑色绝对是最好看的，最能体现全面屏的感觉。发货快，手机没问题，好评。,2018-02-22 23:45:07,0,0,5
绿***光,钻石会员,"运行流畅 拍照清晰 手感不错 触屏灵敏 待机时间还满长的
性价比没的说 感觉不错",2018-01-17 07:47:11,0,0,5
T***Y,银牌会员,手感很好 也送了很多东西 超值,2018-03-08 17:15:46,0,0,5
O***S,银牌会员,手机卡得不是一点点啊 感觉不像是新机 在京东买手机这还是第一次这样之前的都特别好用 用了一点年多也不带这样的 失望  但愿是膜的原因吧 不然以后都不敢在京东买了,2018-03-01 23:15:42,0,0,5
j***2,银牌会员,还可以       满意   满意,2018-01-26 10:00:05,0,0,5
大***7,金牌会员,给朋友代购，质量不错，很喜欢,2018-03-04 12:42:23,0,0,5
s***n,PLUS会员,店家发货快，手机是全新未拆封的！下次买手机还会来，好评！,2018-03-02 08:42:08,0,0,5
j***a,铜牌会员,用了这几天，感觉不错，运行速度蛮快的，就是在玩游戏有点卡，上次玩了一个小游戏-我的世界的时候卡，卡卡停停，不知道是怎么了！,2018-02-25 16:52:01,0,0,5
j***9,铜牌会员,刚拆开  看着感觉还行  不错,2018-02-28 15:07:14,0,0,5
j***x,银牌会员,颜值高！升级了8.0系统不错！千元手机内性价比高！终于告别了以前手机的卡顿！,2018-03-03 08:25:02,1,0,5
l***s,PLUS会员,一直在京东买东西，质量都很好，快递也很迅速，购物很满意。,2018-02-26 16:19:52,0,0,5
f***C,金牌会员,还可以吧，虽然没有上个手机荣耀8给我的震撼大，但是也值这个价了。挺好的,2018-03-09 08:57:53,0,0,5
落***x,银牌会员,外观非常新颖，性能也很好，用了一段时间也没什么毛病。大大的赞,2018-02-10 16:45:41,1,0,5
L***生,PLUS会员,质量好，发货快，用的很顺畅，价格比实体店优惠很多,2018-01-23 16:16:32,0,0,5
j***9,银牌会员,手机手感很好！运行速度很快！谢谢老板的赠品！顺丰快递没说的杠杠的！,2018-01-17 11:03:57,0,0,5
j***0,铜牌会员,手机刚到没有损坏，快递很给力，过几天用过好用再给好评,2018-01-30 13:02:17,0,0,5
ozVStUHVltOc,金牌会员,手机挺好看的 用着不错 就是感觉游戏有点不流畅,2018-02-26 00:59:55,0,0,5
