名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
雨***8,金牌会员,发货速度很快，这个价位的手机还是超值的，反应速度挺快的,2017-11-13 20:07:57,10,12,5
天***喜,银牌会员,很不错的一款手机外观也好看实用性价比很好像素清晰电池继航时间也可以给赞！,2018-03-02 00:00:42,1,1,5
j***0,金牌会员,总的感觉还好，刚刚收到物件！,2018-03-09 15:19:23,0,0,5
你***奇,PLUS会员,7X在手天下我有，超**了，屏幕那么大一开始改真不习惯，手机4+64也是一点也没觉着卡顿，物流很快2天到送的小礼物很喜欢正缺电源跟耳机谢谢卖家礼物。,2017-11-05 11:07:16,10,2,5
l***o,银牌会员,手机不错，开始以为屏幕有点黄，调节下亮度就可以了，手机反应灵敏不卡，华为很强大，全家都用。送的东西?，保护盒不错，膜就算了，耳机应该可以吧，充电宝做工很差，打开竟然有污点。,2018-03-07 13:45:59,0,0,5
父多2017,银牌会员,手机不错，已经是我这几年买的第六个华为/荣耀手机了（用得太费，摔得太狠），习惯华为终身花粉。很喜欢，性价比高！双11下的单四天就到了，比想象的快。店家服务和产品一样可靠！,2017-11-16 12:16:33,5,1,5
本少不帅i,PLUS会员,手机还算不错！实际内存不到64G。,2017-10-31 18:28:13,8,8,5
胡***6,金牌会员,这是我在京东买的第6部华为手机了，从华为畅玩4X到现在7x，支持国货，信赖京东，总的来说，华为手机质量还是不错，用了华为，就不想换别的牌子…G9青春板用一会手机就发热，不过7x没发现有发热现象，玩游戏还不错，很快，可能是新机吧!,2018-02-07 12:00:12,1,0,5
h***5,银牌会员,手机用了才评价的，还好，是正品。信奈华为荣耀。,2018-03-02 19:48:53,0,0,5
1***9,PLUS会员[试用],下午刚收到电池续航，还不能确定，要过几天才可以评价。，外观还可以的。,2018-03-04 15:03:20,1,0,5
让***优,铜牌会员,就是喜欢这个颜色，手机运行速度也快。。,2018-03-05 20:36:06,1,0,5
j***a,PLUS会员,京东的服务态度真好，发货很快。商品质量也相当不错。太喜欢了，谢谢！,2017-11-01 21:06:14,1,0,5
j***n,PLUS会员,全面屏很漂亮。华为自己的芯片也很流弊啊。4+64这样的配置很常见，不过玩吃鸡和王者都蛮ok的。冲着这全面屏，这价格很合适。物流也挺快的。OKOKOK。,2018-03-05 20:00:33,0,0,5
j***b,铜牌会员,手机不错，反应很快。照相音乐都挺好，就是电池不够耐用，可能也是用太多吧，不够一天就没有了。充电时间也挺长的。,2018-03-06 20:47:29,0,0,5
贺贺游民,钻石会员,宝宝满足我的期待，你的呢？多谢掌柜送到礼物。五星好评,2017-11-10 22:05:47,1,0,5
煎***8,银牌会员,手机不错。千元机该有的特性，也不能高估了它，总体来说这个价钱差不多，就是用用不知道质量怎么样？边角什么的还是用过才知道，物流很快，就是卖家发货时间有点久。,2017-11-05 22:07:01,1,0,5
p***9,钻石会员,还不错，推荐购买,2018-03-07 13:25:33,0,0,5
b***4,PLUS会员[试用],刚收到第二天，感觉用着不错，电池用了一天还剩一半电量，反应速度也不错，感觉性价比还是满高的。,2018-03-06 19:47:01,0,0,5
j***9,PLUS会员,华为的手机都是很好的，尤其是我们家老胡代言的手机更是好，手机店的客服很好，回答的问题都很全面,2018-03-02 14:41:59,0,0,5
你***哥,PLUS会员,目前看还不错，昨天充满电，一直玩历史巨轮到现在还有电，性能什么的，对得起价钱，够用,2018-03-04 14:38:54,0,0,5
j***h,金牌会员,手机收到了，好用，感謝京東，還會繼續関注,2018-03-07 12:43:49,0,0,5
j***v,PLUS会员,送给老公的生日礼物，这颜色老公很喜欢，感谢店家送了这么多礼品。先试用好用再追评,2018-03-08 20:13:09,0,0,5
j***b,PLUS会员,刚收到货，还在摸索中，不过感觉边角的触感不灵敏！反应快，毕竟是新机子,2018-03-09 21:09:50,0,0,5
L***m,银牌会员,不错的一个手机，特别喜欢全屏,2018-03-04 16:43:54,0,0,5
j***s,银牌会员,第一次用华为手机，拿到手用的第一感觉挺好的，就是物流慢了点，不过快递小哥还挺好的。,2018-03-09 20:24:08,0,0,5
j***k,银牌会员,第二次购买了，不错不错，支持国产爱我大中华。华为手机不错的选择。,2018-03-07 12:31:51,0,0,5
j***p,银牌会员,现在感觉蛮好的，用一段时间看，有什么心得以后再来追评,2018-03-04 23:27:03,0,0,5
马***奔,PLUS会员,此用户未及时评价，系统默认好评。,2018-03-01 21:06:20,0,0,5
j***3,银牌会员,物流很快，二天半就到了，手机反应很快,2018-01-26 12:14:28,1,0,5
东***田,银牌会员,可以，比想像得要好。从4x到7x加油,2018-03-07 15:47:45,0,0,5
大***3,金牌会员,物流很快，东西也不错。上手很不错?,2018-03-06 11:29:06,0,0,5
j***t,金牌会员,我的手机才买一个月不到有点卡了现在在,2018-03-04 13:57:36,0,0,5
j***9,银牌会员,屏幕很滑，手感不错，运行速度一般般,2018-03-07 10:54:46,0,0,5
k***p,PLUS会员,不错，物流速度快，物品质量不错。,2017-12-05 18:21:40,1,0,5
j***p,银牌会员,手机很漂亮，用着很舒服，很喜欢。,2018-03-04 19:42:21,0,0,5
m***9,金牌会员,外观漂亮，给弟弟用的，还不错,2018-03-08 14:50:23,0,0,5
j***e,铜牌会员,还可以，收到货了，挺满意的,2018-03-02 06:57:59,0,0,5
j***a,金牌会员,在农村还3天送到，很快了,2018-03-07 12:32:49,0,0,5
你***i,铜牌会员,手机很漂亮，性价比很高,2018-03-07 14:28:41,0,0,5
j***0,铜牌会员,挺好用的就是有点费电。,2018-03-06 12:59:03,0,0,5
m***n,金牌会员,物流快，手机正品,2018-01-17 22:23:51,1,0,5
d***7,钻石会员,荣耀7X使用全铝合金机身，5.93英寸全面屏。做工精细，外观十分漂亮，黑色显得更加稳重。屏幕饱和度高，分辨率高。视觉效果非常突出。配置高，看视频、拍照与玩游戏都不在话下。系统运行非常流畅，没有任何的卡顿之感。使用起来特别顺手。是一台性价比突出的好手机。,2018-03-09 10:34:30,0,0,5
u***W,铜牌会员,买了一个多月使用还行就是过一个多月他家东西掉价了联系客服没人理当初我要发票也没给发联系客服没有人回,2018-03-04 10:03:06,0,0,5
j***b,铜牌会员,手感细腻好用,2018-03-09 20:57:07,0,0,5
