名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***v,金牌会员,移动定制版啊！哈哈京东物流顶呱呱！客服人好！应该是全新机子吧！没用过荣耀8应该好用吧,2017-11-20 14:03:38,4,3,5
j***罗,金牌会员,性价比高，运行顺畅，值得购买,2018-01-19 20:37:09,2,0,5
j***c,银牌会员,物流很快，客服说要两三天，结果一天多就到啦，激动的打开包装盒，拿出来时灯光照耀着，太耀眼了！太美了！刚拿到，像素太好了。第一次完美的购物！赞！,2017-07-27 12:44:42,21,5,5
施***施,铜牌会员,手机挺好的，没有评论里面的二手机之类的，商家还可以送手机壳跟钢化膜后面再看看吧,2017-09-18 12:52:32,2,0,5
jd_昀菋呒竒旳甡萿,银牌会员,刚到手还没开始用！满满的期待！物流就给个四星吧！虽然天气恶劣七天才到货！也是辛苦了。,2018-01-09 12:55:16,1,3,5
j***h,银牌会员,手机是我想要的哪种，功能强大外表美观。照像清晰，内存大。挺喜欢，京东购物就是放心，下次继续……,2018-01-14 22:30:31,2,0,5
大***1,银牌会员,"刚升了5.0，用起来挺好的，手感不错，我以前用的魅族4pro,老发热。这个手机完美解决。运行非一般的块。",2017-07-19 07:15:45,3,3,5
j***3,PLUS会员,这是买的第三个华为荣耀8了，性价比很好的一部机，等了很久才有货，终于收到宝贝了，唯一感觉耳机不好，手机有点地摊货感觉，总体不错，还没用，等用了再追加,2018-02-02 18:34:50,3,0,5
j***6,银牌会员,外观很好，喜欢，用了一下系统非常流畅，物流快服务好。,2017-12-26 10:37:58,2,0,5
Z***8,银牌会员,手机是正品!试用了下反应灵敏，照相清晰，手感好，支持国产！！！快递也非常给力！五星好评！,2017-12-29 00:33:37,1,0,5
来***风,PLUS会员,荣耀8的颜值还是很高的。特别是后盖。就是比较容易粘指纹。一千四百多。这个价格还是很实惠的。,2017-11-01 15:09:23,3,0,5
沐***l,铜牌会员,快递员态度好，有耐心，手机拿到后要更新，耐耗电，充电快，挺不错哦，包装全新没有用过的痕迹，但刚拿到时手机电量没多少，要自己充电。,2017-08-09 12:19:26,1,0,5
L***G,金牌会员,很不错很棒,2017-09-26 17:41:37,1,3,5
小***欠,银牌会员,给舅妈买的非常的满意，分期购买，还没有利息，京东上买东西方便快捷。,2018-01-27 13:19:23,2,0,5
