名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***虎,PLUS会员,还不错，买给老丈人用的，黑色很大气，指纹灵敏，希望不卡就好。吐槽一下送的东西都太次了，除了软壳勉强用下，特别是钢化膜，贴上之后瞬间好low的即视感。只要手机好用就OK！价格比自营实惠，用的京东快递，第二天就到了。,2017-09-26 11:18:56,16,12,5
m***k,银牌会员,手机钢化收到就来评论了 手机很好颜色很漂亮物流也很好而且还送很多东西我朋友很喜欢。,2017-05-15 12:50:56,64,23,5
A***0,金牌会员,第三次在京东购买华为的手机了，荣耀手机的质量杠杠的，以前买的荣耀3掉在地上很多次一点也没事，华为的手机续航不错，手机拿在手上很轻，手感也不错。希望华为越做越好！,2017-04-09 22:13:45,78,24,5
j***2,铜牌会员,商品也很好就是物流太慢了。我等了五天才到。看着快递员态度好的份上。就给个五星吧。,2018-02-22 19:02:51,0,0,5
d***g,PLUS会员,包装相当简单，颜值还可以，双面玻璃，系统反应还行，因为不怎么玩游戏，普通使用一天左右，有的软件可以删掉，内存20左右，其他还行吧，还送了贴膜，外壳，自拍杆，廉价耳机，性价比较高,2017-04-27 22:25:21,85,18,5
一***乎,PLUS会员,漂亮，真的太值了，千元买到这样的手机。支持国货，中华有为。,2017-12-05 20:02:01,4,1,5
桃***上,PLUS会员,手机比较好用，是一款比较不错的产品，在京东上买东西也很方便。,2018-02-24 16:17:21,0,0,5
望***雨,钻石会员,这个还可以，够薄，挺快。就是送货太慢了！！！手机颜值高,2017-11-25 11:07:20,4,1,5
y***n,金牌会员,挺不错的一款手机，外观挺漂亮的，就是开机运行速度慢，充电时间挺长的,2017-12-12 08:31:25,2,0,5
好***-,金牌会员,颜值 颜值  颜值    重要的事情说三遍,2018-01-27 11:01:18,0,0,5
j***f,铜牌会员,手机用了几天才来评价，性价比很高，爸爸很喜欢,2018-01-08 11:52:43,0,0,5
j***e,金牌会员,第二次购买了，用着还行。适合中国老年人群使用。,2017-11-17 11:04:48,1,2,5
沧***田,银牌会员,"很好用
千元机照样有品味的",2017-10-09 14:00:08,3,1,5
北极狼的传说,金牌会员,帮家里亲人买的，已经买第三台了，机器很不错。,2017-12-29 11:04:50,0,0,5
张***5,金牌会员,刚到手，手机挺漂亮，看看用的怎么样吧,2017-11-21 19:17:00,0,1,5
j***1,银牌会员,质量很好，屏幕显示清晰，反应也不错，收货也快！快递服务态度很好！,2017-03-20 11:38:26,28,7,5
心***n,银牌会员,还行。怎么没有耳机？,2017-08-15 09:51:08,1,0,5
-***-,金牌会员,包装没得说，颜色也挺正，帮工人买的，固件内存占用不小，实际使用情况等回来工人用过再追评吧！,2017-07-04 21:41:34,12,2,5
0***w,金牌会员,已经收到了，这是第三个华为手机了。华为手机感觉一向都不错。,2017-12-09 15:34:03,1,0,5
C***5,金牌会员,2b媳妇用的还可以，朋友见了，也想买个，不晓得买没买,2017-07-03 23:08:10,14,0,5
等***悟,PLUS会员,今天拿到了，很新很不错，这个价格这个质量，幻彩蓝还是不错的，自带送了一个壳，耳机还是改成一张钢化膜吧,2017-11-23 23:26:47,4,0,5
你***8,银牌会员,帮朋友买的华为手机，那天很晚才下单购买的，我自己没有体验手机效果，不过他没来找我，说明手机还是可以的，电池容量也挺大，能够玩一天的手机，颜色外观他也是蛮中意的，就选了这个颜色。,2017-09-28 07:40:58,2,0,5
t***E,银牌会员,非常好，很好用，当然是对于我这种游戏盲而言，还有物流很快，包装完整,2017-08-15 10:54:01,1,2,5
j***r,铜牌会员,刚刚小小的用了一下感觉暂时还可以 就是包装简陋了点用段时间看看再回来追评物流也一般 一分钱一分货嘛 总体还不错 就演讲到这了 谢谢同志们的理解,2017-12-25 12:34:43,3,1,4
c***8,银牌会员,帮别人买的，手机运行速度很快，一直用的华为手机，不错!,2017-03-24 15:54:18,12,4,5
j***c,银牌会员,非常棒， 在各种店铺挑了很久，都没有买到非常高性价比的手机，偶然在京东上看到了 一见钟情 喜欢这个颜色还有设计。 手感特别好，而且价格非常便宜 才1300 多,2017-07-30 13:47:19,5,0,5
飞***州,银牌会员,宝贝收到，非常不错，手感很好，信号好，上网快不卡顿。满满的喜欢。,2017-06-26 00:18:52,2,1,5
M***版,银牌会员,手机收到了，很棒，很快，用着手感也不错，拿捏着质感也很好～,2017-08-14 09:23:11,2,0,5
j***g,银牌会员,物品与图片描述的一样，机身自带软件占20G左右，能用的只有40G.运行起来有点卡！高价钱买低配置的手机不划算啊,2017-06-10 22:28:52,7,2,5
j***5,银牌会员,宝贝已收到.非常不错的一款手机. 非常喜欢. 下次有需要还会继续来光顾此店.,2017-08-07 15:53:14,9,3,5
j***k,银牌会员,看着还行，不知道用了怎么样，，还送了钢化膜和透明手机壳,2017-08-15 16:23:13,2,0,5
l***e,PLUS会员,靓丽的白色，超大的屏幕，指纹感应，双卡双待，36G手机内存，大容量电池，拍照更清晰。总而言之，本次购机很满意 ，好评。,2017-08-22 14:22:59,1,2,5
j***h,银牌会员,jd服务人员非常好.东西也不错.该送的都送啦,2017-06-28 11:59:50,3,1,5
百***0,PLUS会员,指纹解锁比我的5s还快。拍照清晰，超喜欢。还在使用发现中，有惊喜后追评！！,2017-06-28 10:19:50,0,0,5
j***3,银牌会员,暂时还是没出现问题 东西还是很不错毕竟1000多的手机嘛 就别要求太多 已经很不错了 外观漂亮 系统用这给你的感觉不是最好的 到你也不会觉得很差 中规中矩 你肯定不能跟三星56千的高端机比 指纹解锁很快 感觉现在中国的手机能做成这样已经很不错了 加油,2017-03-19 22:30:50,23,2,5
j***d,铜牌会员,给老妈买的手机 用了半个月了才来评价 手机没有任何问题性价比更高  运行速度也很快 老妈玩玩微信打打游戏完全够用了  华为的手机真的很不错  希望华为以后越做越好,2017-06-14 12:17:26,5,0,5
j***a,铜牌会员,帮老妈买的，在京东买比较放心，拿到就用了，速度很快，颜色大气，价格比实体店便宜了好几百，内存32g，好用,2018-02-05 10:09:45,0,0,5
欧***妮,PLUS会员,很好的一款手机，送给即将上大学的学生，超级喜欢。,2017-07-21 10:06:27,1,0,5
