名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***t,金牌会员,总体上对于千元机来说 已经是很不错了，不可能千元机有高端机的性能。但是外观也能比得上那些中端机型了。性能方面玩个王者 开顶配时略卡，流畅度算一般 。拍照方面肯定没有荣耀8的清楚，过的去。 另外最重要的还是要贴钢化膜 ，一个牢考的手机壳。 对于想买中下端机型的人还是可以考虑一下,2017-11-04 16:10:20,23,13,5
j***f,铜牌会员,手机是正品，比之前在那个华为官网上买的青春版，要实惠得多，送的东西超多，给店家五星好评！,2017-11-02 22:58:03,8,1,5
刘***1,金牌会员,不错?，已经在京东买了好几个手机了，都不错，物流也挺快的，赞,2017-11-08 14:52:02,7,0,5
王***7,铜牌会员,手机不错，非常好看，用起来也比较顺手流畅。玩王者荣耀一点都不卡绝不坑队友。物流服务不但快而且态度非常好。,2017-06-04 00:57:04,45,13,5
j***g,银牌会员,手机收到了，很漂亮的梦幻蓝，是正品，发货及时，到货很快，卖家服务态度很好，实体店一般买不到梦幻蓝，网上购买的梦幻蓝不错的。我的家人很喜欢?,2017-10-29 18:20:33,4,2,5
闪***破,金牌会员,拿出来真被惊艳到了，我擦，真好看。使用起来美滋滋。唯一的缺点就是快递晚了一天，无所谓啦，手机这么好。,2018-02-09 19:49:08,0,0,5
j***a,金牌会员,手感不错，给个赞，外型设计美观，符合我的喜好，?用了一小会还算满意，就是自带的软件太多了，用不上的我都卸了，还没有下载游戏什么的，试用几天再来追评,2017-03-21 14:56:44,76,18,5
j***v,铜牌会员,手机很不错，官方正品，价格便宜，虽然吧给我带的指环并没有什么用，因为我是男的他给个粉的,2017-09-24 12:50:13,8,0,5
j***q,铜牌会员,不错，，第一次在京东买手机，，买的时候犹豫了半个月，怕买回来用不了，，结果到货了真的特别的好，给老爸买的，，虽然内存是32的但是老爸还是够用的，，用用过段时间再来评论！现在挺满意的。,2018-01-17 10:54:13,1,0,5
j***辉,钻石会员,说的是京东，后来变成圆通快递拿过来的，手机卡卡槽下方有一道轻微划痕，要的纸质发票怎么没有。是忘了装还是？手机总体挺好对得起这个价格。用几天在做追评。屏幕用鲁大师测左右两个角有一点灌不满，，很小不影响使用。这是在京东买的第十部手机了。,2017-12-08 16:09:00,3,0,5
j***d,银牌会员,手机拿到手了，送的膜和手机套不错，挺好，手机试用了一下，很棒，系统顺畅，手机手感不错，华为手机确实不错，支持国货,2017-12-03 12:24:06,2,0,5
j***5,铜牌会员,手机到货了，首先，快递很给力，挺快的就到货了，手机颜值可以，颜色比我想象中的还深，手机运行简单试试还可以，后面接着用会再评论，准备下载游戏试试，还不知道电池续航能力如何呢，很期待呢。,2017-08-29 19:54:56,5,1,5
张***举,银牌会员,现在活动挺多的，送这么多东西。价格还比官网便宜，而且活动多，支持一下,2017-10-10 12:14:23,2,1,5
j***4,铜牌会员,货刚收到，看着挺漂亮的，比照片还要更好一点看着。,2017-10-16 20:05:54,1,0,5
j***8,金牌会员,挺好的，不错,2018-01-07 16:32:58,0,0,5
喜***兔,金牌会员,"不从恶人的计谋，不站罪人的道路，不坐亵慢人的座位，
惟喜爱耶和华的律法，昼夜思想，这人便为有福。",2017-03-31 07:32:46,111,35,5
看***9,银牌会员,手机前两天收到，手感不错，语音.画面清淅，物流快，服务好,2017-09-09 07:43:55,1,1,5
j***r,银牌会员,挺好看的要是配置在高点就更好了,2017-11-11 21:20:05,3,0,5
玩***走,金牌会员,这价位的手机还贵店里拿货一百多块，算了既然买了就先用着吧，主要是手机要好用，看配置就觉得行，待使用看看,2017-09-22 10:12:01,1,2,5
jd_一个人の↑殇バ,银牌会员,手机今天刚到！迫不及待打开快递，哈哈哈哈，手机摸着质感很不错！买给弟弟的，话说我这种用苹果习惯的都忍不住想入手一台了，指纹解锁简直不要太快，66666！好棒诶！,2017-08-19 10:36:46,3,0,5
z***1,PLUS会员,宝贝收到啦，不错挺好的，赞一个！外观真漂亮，顶一个！,2017-11-10 12:33:09,2,0,5
j***c,金牌会员,用特别好，就是买的配置有点低，不过用特别好，一个月后再来追评，然后续航能力强，不错,2017-11-16 21:13:29,0,1,5
流***夜,钻石会员,买回来做副手机用的、没有想到这么好，手感非常不错，喜欢喜欢加喜欢,2017-12-31 12:54:07,0,0,5
少***狂,银牌会员,拿起来爱不释手，单是颜值就已秒天秒地秒空气。,2018-01-24 18:10:58,0,0,5
j***4,银牌会员,好评，用的很好，快递也很快，这么便宜，赚到了，物流只有京东第一快,2017-12-24 19:20:52,0,0,5
l***7,PLUS会员,不错，性价比很高，手感不错。用段时间再做深评,2017-12-24 18:30:47,0,0,5
j***8,金牌会员,用了这么久才来评价，还可以哈,2018-01-18 11:36:51,0,0,5
j***h,金牌会员,看着很不错，手感很好，物流很快,2017-09-30 10:17:44,2,0,5
蔡***1,PLUS会员[试用],物流速度很快  还赠了好多极品  谢谢店家,2017-10-23 07:52:21,0,0,5
j***8,铜牌会员,真是一个很好的手机给好评还送很多东西,2017-11-30 21:26:11,0,0,5
j***a,铜牌会员,刚到就拿来用了，非常好用,2017-11-01 13:12:03,0,0,5
你***帅,银牌会员,手机买来给我妈用，不贵，颜值挺高，明天拿回去用几天再说,2017-11-02 23:19:09,1,0,5
j***j,铜牌会员,手机拿手已经一周了，开始没评是感觉没有用。经过这几天的试用，真心好啊?！卖家服务真的很贴心，一说贴膜不复，他们直接补发过来了。机器速度快，拿着手感也好，真是物美价廉！?真心推荐！快递员也很负责，全五星赞?,2018-01-10 13:11:44,0,1,5
j***s,金牌会员,首先，我要的是全网通，发的是移动全网通，其次，在我购买期间，没有任何信息显示蓝色的是移动全网通，前期商家承认混发错误，后期商家却一直在推卸责任，狡辩自己没有发错货。虽然退回时有划伤，但是手机才到手里二个小时，无法鉴定划伤到底是不是我们的责任，商家却说这个划伤在阳光下才能看见。但是商家只愿意赔偿50元，可是我想说的是，快递费都花了我28，所以我拒绝接受这样的赔偿。不懂现在的商家怎么想的，作为商户，明显侵犯了消费者知情权，却一直不肯承认错误。这是我第一次遇到这样的商家，不能说无量，但真心无知！,2017-05-17 18:58:39,115,15,5
j***5,银牌会员,收到包裹完好无损，特地试用了几天，很好，很喜欢还送了小礼物很实用,2017-10-08 18:02:00,0,0,5
1***p,银牌会员,提前买给妈妈的母亲节礼物 刚收到手机时包装很严实 里边赠品也很多  感觉青春版的性价比还挺高的 外观也和荣耀8没什么大的区别 处理器比荣耀8的低些 但对于上了年纪的人来说 足够了 能买到这么超值的手机还是很不错的 收货中间产生了些误会 不过还好客服耐心的给解决了,2017-05-16 22:37:55,7,1,5
c***1,银牌会员,首先包装很好很放心，这个必须点赞（不像某米）。送的赠品真的好多啊，颜值更是没得说，真心喜欢，用过一段时间再来评价配置运行！,2017-05-28 12:40:38,6,1,5
j***x,铜牌会员,手机很靓，后面还能当镜子用，运行流畅，5.2的屏大小正好合适,2017-08-20 08:39:24,9,3,5
j***d,银牌会员,手机真的很高大上啊     看着感觉就是好    反应也挺快！棒棒哒,2017-05-20 10:28:40,8,1,5
林***8,银牌会员,京东购物，愉快的一次!,2017-04-03 17:20:45,13,5,5
99999啊,银牌会员,看起来挺好的   也挺轻的   感觉不错   正品    还送了一些小东西  看起来也还可以   手机不错   挺好的,2017-08-29 18:09:54,1,0,5
2***y,PLUS会员,手机很不错，流畅美观，家人非常喜欢，下次还会选择,2017-09-25 08:20:54,0,0,5
袁***曼,PLUS会员,手感不如青春8，摄像头是单摄像头，各个方面千元机里也是很强大的,2017-05-27 09:29:07,3,4,5
j***f,银牌会员,用了两天再评论，手机挺漂亮的，软件下好，感觉内存有点小，手机很滑，背面贼漂亮，可以当镜子用,2017-10-17 18:50:40,0,0,5
M***g,金牌会员,在官网拍了最便宜的等了一个礼拜不发货客服说没货气死人了这家都有现货第二天就拿到了作为一台千元机来说真的很不错新机的流畅度颜值都相当高之前有过一台6X样纸老气系统配置一样拍照我还是觉得6X好一点是双摄像头青春版的大小正好单手比较好操作就是新机在载入微信的时候居然卡住了弄了一个下午都没弄好还是用苹果机登录一下再用新机登录不知道这是手机问题还是系统问题还是微信问题暂时用用不错而且这家店比官网还便宜一开始犹豫了很久收到后放心了不是移动定制版,2017-06-27 01:39:10,3,1,5
v***g,银牌会员,用了一天才来评价，很好，不卡，很满意的一次购物。,2017-07-07 19:57:57,4,0,5
