名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
你***奇,PLUS会员,机器到手话不多说开箱上图，先说说外观继承荣耀8的外观还是非常美丽荣耀可以说是手机行业中颜值非常高的一位玻璃后盖带着光线波纹非常吸晴夏日太阳光下一定是装逼神器，手机开箱全家福这次配件多了一个手机壳非常贴心，再说说性能方面搭载麒麟960处理器EMUI5.1系统1080FHD屏幕后置1200+2000万像素虽然是数码变焦略有遗憾但日常拍照也是比较清晰的配置方面可以说是很不错了与华为P10相同王者荣耀高画质没毛病，还有一点这次音质方面进步非常大本人音乐发烧友很满意！店家发货也还是比较及时的，至于官网旗舰店就没去抢过太麻烦抢不到，总体来说非常满意。,2017-06-17 11:08:27,225,92,5
j***9,PLUS会员,荣耀9手机收到经过几天使用，非常满意屏幕显示清晰色彩缤纷质量不错，好评,2017-12-17 08:43:17,2,0,5
j***h,钻石会员,大家看图把，荣耀手机真坑荣耀6p楞是用了2年多没坏可急死我了途中那么多新机都没法买，荣耀8我就一直想买，这个6p就是不坏还不怎么卡真是服了。这次荣耀9就必须买了那荣耀6p打算等我孩子出生的时候传给他？荣耀9就没得说了性能外观都非常完美希望这次不要用这么久，老板发货快赠品齐全好评。,2017-06-27 11:14:46,171,63,5
盛***6,PLUS会员,一直用华为荣耀的手机，据说是军工产品，是国产手机中最耐用的手机。之前买的华为荣耀plus6用了三年了，还没坏，前几天故意摔了一下，屏幕摔坏了，终于有理由换手机了，华为荣耀9比荣耀6好看多了。,2018-01-04 19:06:41,0,2,5
j***0,金牌会员,大家不在这家店买手机了，我一个月前买了一台荣耀9电池有问题，申请换货，可售后不想给你换却说手机刮花了，还说包装盒少了半个，我返回的都是一件不少的返回去的，卖家给我发的什么我返的什么，他们却说包装盒少了，这明摆着不想给你换找理由的。可京东售后呢在不明真理的情况下帮卖家说话，卖家说大便好吃他们也跟着说好吃，这售后比以前差远了，我看是收了卖家的好处费了吧。手机换了快五十天了还没影给京东售后打了多少电话，伤不起啊我等的好累，这个手机不换了咱时间耗不起再耗也没用人家就不想给你换，，同时在京东买了二斤桑葚干寄回来刚打开包装就有个大虫子，打电话给京东售后让处理，一售后小姐却说我今天买了一瓶可乐里面有虫子喝了也没事啊，这不就是一无赖吗，京东怎么**了一群无赖，难道这就是京东的售后服务吗，刘东你就**一些闲人无赖吗。我这也是最后一次在这个平台购物了，再见刘东。,2017-10-27 16:27:06,53,12,5
j***n,银牌会员,今天刚收到还没有用，整体看着还不错,2017-11-17 18:11:29,3,0,5
j***7,银牌会员,海鸥灰很漂亮，和我想象中的一样，手机质感非常好，店家赠送的礼品很齐全。客服服务态度很好，物流也很快。荣耀9物有所值，值得拥有！,2017-07-22 13:43:26,7,1,5
w***n,PLUS会员,手机不错，帮忙朋友买的，用起来真的不错，，，，，,2017-11-12 11:56:47,2,0,5
表***使,银牌会员,总体上感觉很不错，1:手感柔润但又不像iphone6那么滑，背面的确很漂亮，也不会像镜面那么浮夸，正面home键有点色差，但整体观感影响不大。2:看惯了iphone屏幕的清淡颜色，这次荣耀9的屏幕色彩还是很讨喜的，5.15寸对我来说刚刚好，不像mate那样自己hold不住。3:速度比我的iPhone6快很多（当然不是同一代的东西），充电和玩游戏时发热还是挺明显，尤其边充电边玩游戏的话温度能让手心出汗了，不插电玩游戏的话发热正常，只是有点暖暖的。（还是要比iphone6好点）。4:最后友情提醒：第一次开机使用旧机换新机功能的时候，提示要旧手机安装手机克隆这款软件，但app store是搜不到这个名字的，只能搜英文名“phone clone”。还有就是用这功能前请先把荣耀9的自动息屏关掉，因为手机克隆运行中不能切换应用和关闭屏幕。总的来说这价位买的荣耀9还是物有所值的。,2017-06-30 18:13:01,46,2,5
M***g,银牌会员,用了一段时间了，还不错！,2017-10-29 15:02:07,3,1,5
Z***7,钻石会员,一直在京东商城购物，第二次在京东购买华为手机支持国货，已用一月很好用！比V8性能好多了！这家店比自营店实惠！,2017-10-12 13:35:00,4,1,5
jd_512785275,金牌会员,东西真心不错，抢了好久没有抢到，加钱买了个，送咯好多东西很实用，这个颜色很喜欢,2017-07-08 11:53:12,20,1,5
依***炸,金牌会员,用了一段时间，感觉很好。机子外形好，反应快，电池耐用。手感很好。满意！,2017-08-31 09:20:43,2,0,5
何***L,金牌会员,太经典了，比我的p9还要漂亮华为真的很不错，还未购买的朋友值得入手,2017-06-28 20:50:37,17,6,5
unchmNgEqoWa,银牌会员,挺好的  我挺喜欢蓝色的,2017-08-25 13:28:12,0,1,5
二***7,银牌会员,手机还好，挺闪的，重量比较重，5.15的屏刚好，手机还没用，应该挺好，特别增加了实体键后，以前都不想买。加实体键后才买，米6太难抢了，就这小九九了。之前在手机店看过了才下手，买时没太注意，不是自营的，物流速度确实慢了点，等的那个呀！总体来说，挺好！,2017-09-01 14:45:51,1,3,5
s***u,钻石会员,用了5年小米，犹豫是不是还要继续用小米，看到荣耀9彻底被吸引了，质感、手感、美感、操控感、体积、重量等等挑不出任何不足。唯一不足是这款随机没有耳机，而店家送的耳机不理想。,2017-07-06 16:58:47,9,2,5
肖***嘿,银牌会员,东西很满意！是正品。还未使用，但外观很好看。,2017-08-02 12:34:48,3,0,5
-丑拒,金牌会员,手机挺好看的，正常使用，不知道是不是穿货,2017-11-12 08:35:48,0,0,5
蒋***7,PLUS会员,平时用5.7的屏，换屏了有点不习惯。系统流畅，质量不错呀。,2017-07-08 21:43:07,1,0,5
s***0,银牌会员,海鸥灰很漂亮，很满意。一开始，防爆膜型号给我发错了，但是客服很好，二话不说给我重新发，而且超级快，一天没到就到货了。,2017-07-03 23:44:07,9,5,5
j***w,PLUS会员[试用],送给老婆的生日礼物，漂亮，高端、大气上档次。,2017-09-28 08:58:30,2,1,5
