名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
安***0,银牌会员,送给老妈生日礼物，印象不错，外观大气，系统没有安卓一定卡顿说的那么遭。。  还是很流畅，就是不知道过段时间后，系统状况如何。不过这价位还是很不错。性价比很高,2018-01-06 14:57:09,2,0,5
F***T,PLUS会员,手机挺好的，质量也不错 手机优 点：比上一代更流畅、美观，玩 游戏体验 不是iPhone能比的；缺点：16gb正常来说够用，可是软件都有缓存，建议选择32gb，有时候不至于多任务回到程序会卡，有时候跳出输入法也会卡；总结：性能强悍，又漂亮。性价比很高。,2018-02-10 13:04:16,0,1,5
j***2,PLUS会员,一直在京东购物，价格实惠，物流神速，京东值得信赖，不错为京东点赞,2018-02-16 01:21:49,0,1,5
东***折,PLUS会员,京东商城真是太方便了，越来越离不开了。自己接触到京东商城彻底放弃超市了，介绍身边的朋友们一起买起来。以前几乎没有认真评价过，不知道浪费了多少京豆，听说评论超过一百字送京豆，这个福利简直太棒了太赞很喜欢京东商城了! 超级赞。以后每条都认真评价下赚京豆，超值又方便。京东商城更是超级给力可以买到你意想不到的东西。天天没事就来逛逛逛，看到需要的就买买买，最喜欢买京东商城的东西,2018-03-07 21:18:07,0,0,5
正***8,PLUS会员,收到货了，发的京东快递，次日达，原装正品，以后就在你家买手机了。全5星好评！,2018-02-06 13:21:26,1,0,5
j***z,银牌会员,手机很好用速度很快性价比很高很满意,2018-02-10 13:48:52,0,0,5
快***s,PLUS会员,产品外观设计好看，发货速度快，产品质量好，使用给力。,2018-02-08 21:20:33,1,0,5
j***j,PLUS会员,非常满意的一次购物，东西的质量非常好，很满意，已经推荐给朋友了。非常满意的一次购物，东西的质量非常好，很满意，已经推荐给朋友了。非常满意的一次购物，东西的质量非常好，很满意，已经推荐给朋友了。,2018-02-11 15:05:48,0,0,5
李***s,PLUS会员[试用],很漂亮又很好用啊，而且真的需要为快递打call啊。唯一失望的就是，拆开快递时，钢化膜已经碎了?,2018-02-27 21:04:40,0,0,5
政***o,PLUS会员,虽然快递有点慢   但是手机运行很流畅   外观很漂亮   整体满意,2018-02-06 22:00:23,1,0,5
j***2,PLUS会员,一直在京东购物，价格实惠，物流神速，京东值得信赖，不错为京东点赞,2018-02-16 01:15:24,0,0,5
李***8,PLUS会员[试用],运行速度还可以 完全够长辈使用 手感也不错 全屏幕手机款式比较大方 给爸爸买的 爸爸很喜欢  物美价廉,2018-03-08 01:26:58,0,0,5
j***a,PLUS会员,虽然京东把我黑了但是不可否认京东购物还是很方便的有活动价格也优惠最主要的是经常有银行活动美滋滋,2018-02-07 12:37:44,0,0,5
M***3,PLUS会员,新年送老妈一份礼物，老妈很喜欢。手机质感很好，反应速度都非常灵敏，升级以后还有人脸识别功能。快递也是非常的快。蓝色的颜值很高，比较有个性。支持华为！,2018-02-22 17:42:52,0,0,5
