名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
月***城,银牌会员,手机还行，正面指纹外观很赞。性能也很棒，跑了下分，17万7，虽然还是干不过一加，不过也够用了。缺点就是屏幕拖影，不过我换了个字体，好了很多，还有就是卡槽太脆弱了。蓝色的买了没两天就降价了，虽然只有几十块，但心理还是不舒服！目前三千元档也就v10和一加五t可选了，小米mix2外观太奇葩，不能选，ov两家配置不高，也不行，努比亚系统不行，也不敢买。。一加5t就是后置指纹不太喜欢，因为目前的手机就是后置的，用腻了，所以买了v10。总的来说还可以，能让我用一年半我就满意了，一年半准时换！,2017-12-23 22:16:35,22,22,5
j***g,金牌会员,手机用了三天了，现在来评价一下，拿到手机之后看着还行，外形还是挺喜欢的，全面屏，厚薄也比较适中，我的手比较小，但是拿在手里还是比较舒服，开机挺快，然后跑了一下分，分数也还行，用的这几天没有出任何问题，很流畅，声音也很好听，很多新功能也都尝试了一下，嗯，感觉很多功能还是用不上吧比如说人脸识别呀，然后抬起唤醒呢，敲击截屏，然后还有一些多窗口模式什么的，充满电之后，然后用了一下，大概可以用一天半吧，就是经常使用手机的话，这是第一次用安卓系统，返回，查看运行软件什么的有些不习惯，目前来看没有什么其他的问题，还是非常喜欢的，以后打算一直用用下去，支持国产。,2018-01-01 13:13:12,8,13,5
冷***3,金牌会员,感觉还不错，就是速度太慢了！外包装也有点破了！,2018-02-28 20:27:09,0,1,5
小***i,银牌会员,机子总体还不错，虽然说快递路上慢，但咱们新疆的快递小哥还是给力，打了电话不出2小时就送来了，十分感谢！机子正在用，很流畅。(提个建议，这个机子插卡的小支架有卖的吗，原装是塑料的，我想要个合金的，虽然没什么用?),2018-01-08 19:07:10,8,4,5
jd_158749acu,金牌会员,手机很漂亮手感良好，智能ai现在暂时没有体会到，手机速度很快界面看着很舒服就是屏幕后面容易沾指纹,2017-12-11 10:34:06,11,22,5
j***c,银牌会员,我自己换钢化模上去，不知道为什么边边贴不上是不是手机屏幕是有点突屏的，还有就是订的全网通发的是移动版的手机，其它方面都没问题，撸大师测分很高。,2018-01-24 08:46:08,2,4,5
j***q,银牌会员,用了几天在来评价，手机和说的一样很好反应很快，很满意，,2017-12-29 23:55:25,3,3,5
j***c,银牌会员,手机拿到手电池耐用，运行流畅。没毛病,2017-12-19 10:38:44,3,6,5
纯***子,PLUS会员,物流第一，非常的快，一直信任京东，手机打打开了非常好看，也很好用。,2018-01-05 12:46:34,1,2,5
优***活,PLUS会员,商品已经收到了，快递服务人员态度很好，物流速度非常快，这一点我十分满意，手机运行速度非常快，玩网络游戏一点都不卡顿，网络信号也十分的强，总的来说，非常满意这款手机。,2017-12-17 19:53:44,6,3,5
w***8,PLUS会员,昨天收到货的，店家发货很快，京东快递送的也很快，从下单到收货3天毕竟跨省了算很快了点个赞 。体验了一天刚方面都挺好，没有发现网上说的那些问题，在体验一段时间再来评价……,2017-12-19 10:47:28,3,2,5
j***b,金牌会员,手机还是不错的 970处理器很给力 斜纹还是有点的不过没啥问题。人脸识别真的好用。,2017-12-14 22:12:26,7,3,5
j***4,银牌会员,第一次用华为手机，首先说外观，真心不错超喜欢，上档次，像素不错，再来就是 运行非常到位，连上网都要更快了。玩了一天也没发热还居然还有电，以前用的旧手机早没电了，,2017-12-19 22:22:54,2,1,5
j***n,金牌会员,不错，高端大气上档次，低调奢华有内涵，机身薄，反应快，等降价再入一部,2017-12-26 14:31:35,3,3,5
