名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***m,银牌会员,手机真心不错   就是配的东西  不咋的尤其耳机,2017-12-14 17:20:08,4,4,5
1***p,银牌会员,刚开用 物流慢了点 卖家送充电宝和耳机。,2017-12-17 20:01:13,2,2,5
j***e,银牌会员,手机挺好的，挺喜欢的，除了发货速度慢，其他都还好！数据线有点脏！安兔兔跑分20多万！,2017-12-29 16:06:50,5,1,5
看***啊,PLUS会员,用了快一个礼拜了，感觉还不错。屏幕没有网上说的那么差，还是很清晰的，之前用的荣耀5X，很多程序跑起来吃力所以才换的这个。首先，外观很漂亮，很喜欢。激活后更新系统，用起来很爽。拍照功能也还不错，个人感觉对得起这个价格，可以看看我拍的照片。拍照自动识别场景进行优化，前置摄像头微信视频时感觉很亮，有点过度的感觉，拍照片的话还正常。指纹识别速度飞快。闪存应该是UFS2.1的。非常喜欢前置指纹，轻触是返回，长按是返回桌面，左右滑动是进程管理，虚拟按键可隐藏。超级快充充电很快，而且管理电源很智能，比如开网络热点，如果一定时间没有设备连接就自动关闭热点节约电量。支持双卡同时4G（不能2张都是电信，我是一张联通一张电信卡）。安全性也很好，用指纹解锁每隔3天需要用一次密码，还有支付保护中心软件，可以添加常用支付软件进行保护。,2018-01-05 19:08:59,3,1,5
亚***c,银牌会员,首先说一下手机，荣耀V10确实很喜欢，选了很久，确实没有让我失望，流畅度很好，大屏用着舒服，握在手里也不会显得那么大只，算是刚好；吐槽一下快递，并不是所有的京东快递让我失望，但总能遇到某一个地区不按时送到的，第三天收到手机物流速度也还可以，但是京东的话这速度就不行了，而且盒子上还写着次日达，后来的赠品也是；第二次在这买手机了，还是比较信任这家店的，但是手机这个包装真的不走心，历经沧桑，还好手机没问题，不然我会很失望，另外，赠品的包装都比手机包装好！,2018-03-03 12:32:35,0,0,5
千万少妇的梦,金牌会员,我基本可以说是第一批下单的，服务那是个极差！我买新出的手机为了的就是尽快能体验到新机的功能，可从我下单到我收货 那是九天啊，在我还没收到货手机就降价了一百，这不是最重要的 我也用了好久才来评价 毛病还算挺多的，图片都有一些 我下载了酷狗音乐然后里面就有好几首歌了，但音乐又没显示出来，还有就是我设置的铃声没过几天就有变默认了，这些都有可能解释，可我什么时候问都没收到客服的诚意，我视频中是在找一键锁屏，我问客服都不鸟我，我问客服已经不是一次两次的了 截图我可以发更多的，我为什么不申请退货是我觉得也不是特别阻碍到我用，也闲麻烦 可是你最起码给我个态度啊，我真的可以说一星都不想给，我绝对不是托 我可以不匿名，谨慎下手兄弟们！,2018-01-01 19:54:59,13,1,1
我***界,金牌会员,货到的有点慢，但货看着还行,2018-02-12 08:03:02,0,0,5
i***0,银牌会员,很赞！必须五星好评，红色艳艳的，新年要大红大紫！！手机本身送了一个软胶壳，而且自带屏保。卖家送的还有赠品，包括耳机充电宝等，非常满意！,2018-01-30 18:15:22,3,0,5
诚***z,金牌会员,拍照贼清晰，比我女朋友的苹果8还好一些，，，666啊，她老是拿我手机拍照这点不好?，幸亏没信了贴吧的邪，买之前一直犹豫，哈哈,2017-12-24 12:18:03,7,2,5
j***1,金牌会员,不错，用了两天，感觉棒棒的,2018-01-19 07:25:22,5,1,5
j***g,银牌会员,荣耀V10收到，外观漂亮，性能好，很满意。,2017-12-20 09:42:07,2,1,5
无***K,PLUS会员,运行速度非常快，用券买的超便宜。,2018-02-04 21:51:35,2,2,5
j***e,银牌会员,很不错的一款手机，性价比很高，拍照也非常清晰漂亮，这个价钱买这么高配的手机非常满意，12月份买了台华为P10送朋友，朋友说非常好用，然后这次给自己也买台送给自己的生日礼物，以前一直用三星的 以后我绝对是华为的忠实粉丝???,2018-02-06 19:37:07,1,0,5
z***2,银牌会员,手机收到，特意用了几天才来，手机不错，很流畅，尝试开了十个软件，运行还是很流畅，,2018-02-01 15:52:47,1,0,5
j***b,银牌会员,等待永远都是一种煎熬，刚收到，速度很快保护措施也相当好，给好评。,2017-12-17 13:31:52,3,0,5
小***-,PLUS会员,手机收到了，红色的颜色很鲜艳，外观漂亮，电池续航也可以能满足日常需求，目前用着挺好，物超所值,2018-03-01 20:13:23,0,0,5
斯***类,PLUS会员,老婆喜欢，喜欢就好了，用了很多年华为旗下的手机，总体来说还行，用个两三年没啥问题,2018-02-05 22:01:49,0,0,5
盼***丶,金牌会员,不吹不黑屏幕确实有点斜纹不过不仔细盯很久完全看不出来，游戏运行无压力,2018-02-04 11:22:00,1,0,5
唐***庆,金牌会员,很漂亮，超喜欢后壳，清晰度很高，运行很流畅，新年红红火火，很满意，五星好评！,2018-02-02 10:54:37,0,0,5
L***翔,钻石会员,手机很漂亮，蓝色的，屏幕很大屏占比很不错啊，很惊艳。运行速度也很快啊，照相的话也很好，个人觉得定价2999贵了，6+46定价2699的话性价比还不错。,2017-12-14 16:29:14,6,0,5
