名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***y,银牌会员,质量不行，刚买没多久，从口袋摔下来就破碎了，三千块就这样没了，维修又要自出钱！！！,2018-02-01 16:46:12,13,17,5
天***y,银牌会员,手机比我想象中的还要好，真的是太喜欢了，玩游戏一点儿也不卡，太棒了！指纹开锁就算手指占有水也可以开！人脸解锁只要把手机拿起来就开锁了，真的太喜欢这个手机了,2018-01-25 21:09:03,1,1,5
星***明,银牌会员,"1、分辨率清晰度够用了，但是同样和我之前用的三星A9100也是1080p相比亮度和色彩饱和度差了很远，三星的显示很艳丽也很舒服，这是国产屏最大的缺点，显示暗！
2、其次这个待机马马虎虎，一天不打游戏只是正常使用基本上用到下班就要回去充，还是开的省电模式，要是平时工作业务量大或者晚上加班或者晚上外出聚会肯定就不够用了！因为之前用的三星是5000毫安，这差距一下子接受不了！但是充电速度很快！
3、比较满意的是信号，之所以换掉之前的三星因为同样是双卡待机的三星副卡基本上是摆设，副卡2G信号差的要死更不用说上网，必须要带两个手机。V10两个卡信号都很好都是4G上网，一手机两卡也不会出现漏接电话！
4、全面屏的显示图标比常规宽屏图标小了很多，需要适应一段时间。相机拍照还算满意，背景虚化不错，夜拍一般，没有防抖，晚上拍照色彩还原不是很准！
5、手机轻薄好操控，但是背部颜值一般，摄像头凸起，买个手机壳完美解决，壁纸全部更换！黑色手机配黑色壳，立刻高大上！女生建议红色手机配红色壳，一体感比较好！
6、新手机挺快，但是偶尔也会出现应用无响应的情况，需要退出重新进，内存占用比较大，不过用一两年问题不大！",2017-12-25 12:55:25,23,25,5
j***v,银牌会员,专门用了半个月来评价，感觉还行！外观除了摄像头太突出了，其他还好！运行速度非常快！现在系统升级了，人脸识别也非常快像素也还行！AI人工智能还没有多少感觉，主要是拍照时还有点感受。电池续航还是可以，中度使用一天没得问题，重度使用也可以维持大半天。运行内存6G开机用了之后平均在2.7~3.2G。总的来说V10还是不错的，可以考虑买，主要是性价比还不错哦！,2018-01-17 13:31:11,5,1,5
j***f,银牌会员,系统很流畅  颜值高   v10和一加五t犹豫了好久   因为不喜欢后指纹和虚拟键 所以选择了v10       人脸识别秒开,2018-01-09 23:24:29,11,12,5
田彬冰,银牌会员,手机总体来说真不错就是有点长款式我非常喜欢，大家可以试试支持国产嘛???运行速度也是没话说6666,2017-12-10 22:19:21,47,58,5
是***强,银牌会员,非常完美，home键支持轻触返回，支持面部识别，熄屏解锁，指纹识别很快，像素特别清晰等等，客服非常好，物流也很快，推介购买,2017-12-11 14:13:58,39,21,5
流***感,PLUS会员,感觉还行！但是有很多试用的快捷方式没有了。外观除了摄像头太突出了，其他还好！看个人的喜欢了！运行速度非常快！现在系统升级了，人脸识别也非常快，但是要亮屏才能解锁，这点不怎么好。还不如就用指纹解锁呢！像素也还行和其他手机也不是有多大差别！喇叭声音也不是很好很大声，操作方面还在研究，网络信号不太好，下载东西网速很快在10M每秒左右，看视频有时网会出现卡顿，刷新不了，其他都还行。AI人工智能还没有多少感觉，感觉和华为mate系列和p系列差不多，可能是才用几天吧。没有怎么提现出来。有待研究！运行内存6G开机用了之后平均在2.7~3.2G总的来说V10还是不错的可以考虑买，主要是性价比还不错哦，看个人喜好选择了！应该就是这样的。不说了！,2017-12-10 22:55:34,30,15,5
j***安,PLUS会员,喜欢，外观也好看。发货速度也挺快的。,2017-12-07 10:48:36,35,37,5
我***铝,PLUS会员,这款手机看了好久，喜欢前置指纹解锁，，结果出了一大堆的全面屏全是后置，所以选了这款手机！！用了两天了说说体验吧。可能是新手机，运行速度很快，指纹解锁，人脸识别都是秒开，就是光线不足人脸不好识别，手指按压屏幕上方会有花印。不知道是什么情况？。。至于AI功能还在慢慢摸索中，，就是刚下单第二天就降价了，不过已经下单着急拿新手机耍也不退了，后续,2017-12-23 11:57:47,8,3,5
jd_157293xfk,金牌会员,物流很快，店家服务周到，买之前在纠结是买这个还是买nova2s，后来决定买这个，麒麟970处理器比960更加迅猛，全面屏，手感一级棒，正品无疑，运行速度网速没有丝毫卡顿，第一次那么认真填写评价，王者荣耀高帧模式完美运行，流畅的一比。。。还有商家送的蓝牙耳机也是非常好。满意的一次购物 下次需要就认准你们家了。,2017-12-26 09:40:29,9,1,5
沐***L,金牌会员,很不错，但有一点小瑕疵，不过没啥影响，在可以接受的范围内，还是很满意的，至于性能我也不多说，用过的人最清楚，之前用的就是华为荣耀，最近刚想换手机荣耀v10就发布销售了，了解后很心动，就下单了，现在我心情很愉快，非常愉快。愉快的购物?(?^o^?)?,2017-12-11 20:37:20,23,6,5
快***来,金牌会员,速度杠杠的～不错的选择。好评。。。。。,2017-12-09 19:59:44,19,3,5
j***h,银牌会员,外观漂亮，运行速度非常快，一点都不卡，朋友都说好看，就是后摄像头有点突兀,2017-12-12 18:38:47,15,0,5
UAZtdxTWluAA,银牌会员,玩游戏很流畅   第一把就吃鸡碉堡了 你值得拥有,2017-12-07 20:14:36,43,13,5
l***g,金牌会员,京东就是值得相信，买手机也相信京东！收到宝贝，超级漂亮的一款华为荣耀10 棒棒哒,2018-01-29 18:36:28,2,1,5
天赐1975,PLUS会员,今天到货，上手看看再来评价。,2017-12-11 16:28:37,19,1,5
你***f,银牌会员,快递挺快的，还是挺漂亮的v10速度就是快！,2017-12-15 20:11:35,6,1,5
微***8,金牌会员,反应快，照相清晰，我喜欢用它拍照，摄像头挺吐出的,2018-01-24 12:22:49,3,0,5
李***7,银牌会员,这手机给老婆买的，她非常满意，就是后面摄像头有点突，总体还是满意的，,2017-12-23 07:39:11,3,2,5
李***壮,银牌会员,手机很不错，话不多说，反正就是喜欢喜欢喜欢喜欢喜欢喜欢！,2017-12-31 11:12:00,9,2,5
j***s,银牌会员,终于等到手机了，外观不错，上网速度可以，新手机就是不一样，游戏666的，操作跟?的相似，不错的手机。,2018-02-11 23:32:55,2,3,5
j***g,PLUS会员,这个手真的很超值，3099元减去150的券，3949到手。荣耀v10的智能化程度超出我的想象，小圆点单手操作杠杠的。内置应用长按快捷菜单真的快捷，屏幕根本没江湖传说的斜纹，也不泛黄，亮度很高。我的mate7用了3年终于要退役了，中间曾经因为太卡使用了一阵iphone6s，但iPhone6s的关机问题让我一点没有安全感，没有任何预兆就会自动关机，华为mate7虽然卡，但从不掉链子，稳定得让人找不到换机的理由，但2g的内存实在是跟不上软件的膨胀，只能忍痛割爱了，本来想换个iphone6splus的，但一想到自动关机就心有余悸，而且也过气了。买mate10又囊中羞涩，后来远了荣耀9，但毕竟软件版本，硬件性能，以及屏幕摄像头多个方面和荣耀v10都有较大差距，所以退了改荣耀v10了。这个决定真没让我后悔，外观高端大气上档次，低调奢华有内涵，让人爱不释手，刚拿到在手里反复把玩到凌晨一点半，不忍睡去。性能完全超越了我的预期，指哪打哪，绝不半点含糊，软件打开速度相对我的老mate是宝马VS三轮车，弹指一点，瞬间打开，下载也快很多，这下抢红包有保障了。更超出我预期的是里面的AI功能，语音助手堪比sirr,2018-01-26 20:17:30,1,2,5
j***潇,金牌会员,这手机真不错..喇叭很给力，我都当扩音器用。还有就是探照灯，我下矿现在都不带头灯了，荣耀V10手机一拿出来，整个矿都亮。 信号超给力，记得有一次当时我们矿透水塌了，地下6000多米，500多个工友手机都没信号，我拿出我的荣耀V10打通了求救电话，众工友感动的热泪盈眶。而且荣耀的电池特牛，当搜救员工找到我们时，由于塌方，电全断了，他们用绳索吊上去200多人。可是突然发生二次塌方，如果不快点救人，那就全完了。我掰开我荣耀的电池搭通升降机，当时全矿居然都通电了。升降机轰隆隆的，以前一次拉10个人就不行，用荣耀电池一次拉了50多个，5分钟就救出了所有人。 可是还是有人受伤了，没有救援设施，唯一的交通工具就是一个工友的四轴飞行器，我拿出备用电池，装上了飞行器，下面挂了个升降机的吊栏，一次装了80几个伤员和一个遥控人员，半小时从拉萨飞到北京协和医院。。。医生都感到不可思议。 等救完人，遥控员又从北京飞到拉萨把电池还我，我装上电池，还有98%电,2017-12-08 09:32:53,494,139,5
j***l,PLUS会员,惊艳，没让我失望，本来想卖X的，开机瞬间觉得买V10的决定是对的,2017-12-17 16:20:40,7,1,5
虚***假,金牌会员,看到手机挺惊喜的，还是比较喜欢的，反应挺快的，还可以呼叫手机，不会担心手机放到找不到的地方，还送了蓝牙耳机。,2017-12-31 00:05:29,3,1,5
j***e,银牌会员,东西没毛病,2018-01-27 20:26:47,5,2,5
剁***家,银牌会员,面部识别很鸡肋，但手机是真的不错，属实我吃鸡啊,2018-03-08 09:12:33,0,0,5
X***2,钻石会员,支持国货支持华为！质量也不让人失望！,2018-01-18 13:17:18,0,0,5
waty5210,银牌会员,手机是正品，很多功能很惊艳，很喜欢，反应也很快，送了高清贴膜和手机套，更惊喜的是赠送的运动手环很好用，方便，时刻检测身体健康。很赞，发货也很快！,2018-01-22 14:31:04,3,2,5
j***b,钻石会员,打开包装，惊艳到我了，国产手机里的精品，觉得比我的s7ege还好，很不错,2018-03-06 16:29:37,1,0,5
s***y,钻石会员,手机终于收到了，除了快递慢点，还没发现其他问题，还在进一步体验中。,2017-12-20 13:25:19,2,1,5
