名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
老***羊,银牌会员,用来感觉可以，没有卡顿之类的现象，有人讲的短信问题也没有出现，这个价这个机子，物有所值吧！还是可以买的！,2017-11-08 10:30:57,14,17,5
毛***仂,银牌会员,东西很好，价格实惠，发票怎么没有了，不过东西挺好的,2017-11-02 09:35:32,4,6,5
J***6,铜牌会员,总体来说还行，毕竟是千元机，吃鸡还行，不过有点小卡。,2017-12-08 15:22:13,2,2,5
j***u,铜牌会员,刚拿回来，不知道用着怎么样，发票没有开，过一段时间再回来评论吧,2018-01-08 17:55:47,1,1,5
k***1,钻石会员,不到900的价格买到，还要怎么样呢？绝对超值，三十二个赞！,2017-12-09 12:39:31,1,1,5
j***t,银牌会员,出乎预想，一款高大上的手机，手感好，照相清晰，通话质量好，很满意的宝贝。值得购买。,2017-11-24 13:32:38,3,3,5
家***8,铜牌会员,华为荣耀真的不错,2017-11-30 17:27:57,1,1,5
j***3,铜牌会员,非常好，趁着优惠买了一台，物有所值！,2017-11-18 15:56:01,1,2,5
136*****386_p,金牌会员,很好的手机，确实值得拥有，价格又不贵，实用！支持?(亲亲),2018-03-09 07:01:08,0,1,5
渔***下,PLUS会员,金属外壳，屏幕不是特别大，应该能省电吧，预装的小程序不少，挨个删除，SIM卡是那种小号的，还得去移动公司换新的，总得满意吧,2017-12-17 12:41:59,4,3,5
p***2,PLUS会员,店家发货很快，手机看了是正品！华为手机相当国产机来说信号是非常不错的。。操作流畅性：千元安卓机，华为自家的操作系统也是很舒服的，界面简洁方便。运行不卡顿，不发热。。拍照效果：拍照效果还算可以，毕竟只是千元机，对于学生老人用都是很具性价比的。。充电速度：充电个多小时基本就满了。不错。音质：还不错。。真是给了个大惊喜，昨天发货今天就收住了，拿到手机后又很是欣喜，款式相当漂亮，机身很薄，手感很好甚是喜欢。听朋友说华为不错，前段买了畅玩5A用感觉真的很不错，系统做得很好，很喜欢护眼模式和定时开关机功能，很人性化设计。所以这是我买的第二部荣耀手机。以前在店里买手机都是手写发票，这还是打印出来的正规发票，确信无误是正品。说句实话，在我用过所有牌子的手机中，我还是最喜欢华为荣耀了，一如既往的好。,2017-09-14 10:16:15,15,9,5
j***e,铜牌会员,手机不错 比较有质感,2017-11-14 20:14:44,2,1,5
老***器,银牌会员,宝贝还行，就是价格有点不爽。没两天价格降20。质量可靠吗？试试看吧,2017-11-17 19:47:59,1,1,5
奸***y,金牌会员,手机发货也很快，回来也很好，这个价钱的安卓机，已经很不错了，指纹也很灵敏，相机拍的也不错。,2017-12-28 16:51:36,0,1,5
j***咚,金牌会员,还没开机，老公说手感还可以?,2017-09-29 11:29:13,7,3,5
jd_137859dlo,银牌会员,货已收到，比想象中的精致，爱人很喜欢，要是金色的更好了～,2018-02-07 13:23:44,1,1,5
Y***7,PLUS会员,很好，系统很流畅，也很快，日常使用非常好，买给老爸用的，非常合适！,2017-12-09 18:45:13,0,1,5
青***老,银牌会员,一家人不用两家手机，手机颜值没得说，运行速度也比较快，就是华为的插件太多了，很多用不到。32的内存固件8G其它4G，就剩19G的内存了！有点小桑心π_π！！！联发科的CPU，不玩游戏，平常用也没啥大问题！,2018-02-03 19:01:49,2,1,5
L***子,银牌会员,东西不错！正品！千元机很不错！支持国产手机！,2018-03-07 15:39:51,0,1,5
王***1,PLUS会员,手机挺好的 就是赠品太次 膜不是全屏的 套也不行,2017-12-28 18:06:05,0,1,5
L***封,PLUS会员,不错不错，原来如此，都准备退了的，到了就收货了,2017-12-29 17:24:18,0,1,5
蒙圈的购物,金牌会员,很不错，不过买回来恢复了出厂设置，因为短信没收到，比较满意,2017-11-03 18:49:35,1,3,5
j***2,铜牌会员,也是醉了这?耳机，老年人用的吧，质量太次了,2017-12-07 16:09:04,1,1,5
一***K,金牌会员,没耳机送，一分价钱一分货,2018-01-24 16:39:19,0,1,5
亲***喳,银牌会员,外观没问题，等充电开机后再追加评价,2017-12-25 16:55:56,1,1,5
j***j,铜牌会员,很喜欢，手感不错,2017-11-28 17:33:46,1,1,5
j****,银牌会员,这款手机高光中框、哑光后壳的设计，这使得整部机子显得稳重典雅，5轴机械手高精度打磨抛光，背面则是170#锆砂致密喷砂工艺，5.2英寸显示屏，搭载联发科MT6750八核处理器，辅以4GB RAM+32GB ROM的存储组合，前置摄像头为800万像素，拥有十级美颜，后置摄像头则为1300万像素。另外，荣耀V9play预装镇魂街定制主题简直是完美,2017-09-13 13:38:29,6,5,5
j***5,银牌会员,还行吧！就是手机绑定的软件太多了，光是手机助手手机卫士之类的就四五个还卸载不了。还有就是物流有有点慢吧！寄到老家镇上差不多快半个月。,2018-02-14 22:14:29,0,1,4
丫***鱼,金牌会员,京东放心 物流永远都是一级棒,2017-12-07 09:59:40,2,1,5
V***N,金牌会员,手机不错哦，很合适，比较喜欢，中规中矩，物超所值！希望有新产品，继续购买！,2017-12-19 13:15:52,0,1,5
像***狸,金牌会员,特地使用了几天才来评价的，手机非常好目前没有任何问题，指纹锁秒解，关于打游戏目前仅玩过王者荣耀 很流畅没有卡顿现象，我买的是4+32的，除了存储32有点小之外其他对于我来说已经够用了，总之物美价廉值得推荐。,2018-02-11 13:41:18,1,1,5
j***k,银牌会员,搭载了一块4000mAh大电池，为长续航打下了坚实的基础；使用了低功耗的骁龙625处理器，在保证体验不打折扣的前提下将功耗做到更低；采用了一块5.5英寸的1080P屏幕，并没有为了刻意打造高续航手机而缩水配置。不管是从外观，还是性能，还是手机的保护都特别满意。,2017-09-13 19:32:55,6,20,5
苏***子,PLUS会员,京东上的东西一直很有保障，大家不用担心质量问题，和其他购物平台相比，我更信任信任的是京东，一流的物流服务，和一流的商品质量，给每一个客户提供最优质的服务。,2017-11-25 09:57:10,0,1,5
沉***蛋,金牌会员,给我亲戚买的，很好用，很喜欢。,2017-12-03 21:00:08,2,1,5
你***啊,PLUS会员,送的东西多，京东物流配送的，速度有保证，就是屏幕分辨率低了一些，720p的,2017-12-04 13:36:39,1,1,5
j***k,PLUS会员,帮朋友买的  还不错,2017-12-15 17:03:55,0,1,5
严***_,银牌会员,荣耀V9 play采用铝合金金属机身，光影细腻柔和，带来舒适自然的感官体验。正面5.2英寸高清品目，配合屏幕2.5D经典圆弧曲面设计，与金属的质感融合为一，两种光影浑然天成，充分体现出了极简的设计风格。除高颜值之外，4GB内存、八核处理器，EMUI5.1系统让操作体验更加畅快。后置1300万与前置800万摄像头的组合媲美高端手机的拍照效果，PDAF毫秒级对焦不漏掉任何美好瞬间。荣耀V9 play不光在颜值上让你拥有更美一筹的青春，也在硬件配置上让青春加速度。高颜值、高品质与高性价比的荣耀V9 play，势必要席卷今秋！,2017-09-13 13:41:22,1,1,5
j***l,PLUS会员,手机很喜欢，真的是不错，物流特别快好评，,2018-02-06 13:23:57,0,1,5
郭***华,金牌会员,反应快，触屏灵敏，一直都是在京东购买手机，一直购买华为手机，值得信赖，支持国产！,2017-11-30 22:44:31,0,2,5
j***6,金牌会员,不错，拿着很舒服，也有发票，京东的东西，还是比较靠谱的,2018-01-01 12:55:46,0,1,5
j***f,PLUS会员,作为备用机使用的，挺好的，这个手机，速度很快，内存也大，价格也便宜，最重要的发的是京东物流，有保障，作为备用机来用这个手机，非常的好用，并且卖家还送了，保护膜，好好保护，清水套，马上就能用了，真的挺好的,2018-02-07 18:04:24,0,1,5
j***j,银牌会员,外观不错反映不怎样,2017-12-23 17:57:56,0,1,3
j***7,金牌会员,收到机器很惊艳！包装是蓝色，好美好美！第一印象很好，京东的包装很严实。开机果然没有失望，速度很快，画质清晰，拍照对焦很快，前置摄像头自带美颜柔光效果，不错?。看了几张屏保颜色也不错。从苹果转到华为，作为备用机，安卓系统还需要适应一段时间，总体第一感觉棒棒哒，用段时间再来追评。枭龙625，5.5英尺屏，4000毫安大电池，千元机能买到这个体验的手机真的不想再追苹果了，支持国货！推荐！,2017-09-13 13:32:02,1,9,5
安***姐,PLUS会员,荣耀拿出的V9 play看起来还是很猛，主要是V9 play很大程度上都与目前的旗舰V9有着很大的共同性，金属材质的机身，虽然现在千元机用金属材质已经很常见了，但是依旧提出表扬。用最新版本的EMUI 5.1，与华为P10、Mate 9相同的系统。可以保证的是荣耀V9 play同样拥有人工智能算法，对于一个千元机来说难得可贵，卡顿问题可能是困扰千元机最大的一个问题。EMUI 5.1的加入可以让荣耀V9 play在内存资源上更加得心应手。,2017-09-14 18:31:48,2,1,5
jd_152190jeo,铜牌会员,"很好吖 作为一个大学生完全够用 谁说性价比不高的？？
也不卡 内存有32g作为一个以前用16g手机的人来说绰绰有余了好吗
而且长的也好看啊 又很便宜 一千多点而已 很可以 个人认为很值得 喜欢华为 之前用荣耀7摔了无数次甚至从床上摔下去掉进厕所还是坚强的用了一年 直到上个月掉进河里。。还和女朋友淡定的聊了一个小时才去捞回来 居然还能开机 不过太臭了扔了 所以买了这台 感觉很ok",2017-11-03 23:08:44,0,1,5
阿***5,PLUS会员,过年了给老爸买的，屏幕清晰，反应也快，相信他会很喜欢吧！,2018-02-07 19:21:21,1,1,5
j***d,铜牌会员,手机真的很漂亮  也很实用    这次购物相当满意  物流还快  包装也没破损！,2018-02-12 00:03:32,0,1,5
讨***子,金牌会员,千元机里面的性价比手机，手感不错，系统好用。手机是新品原装大家可以放心购买。,2018-03-07 17:35:56,0,1,5
j***9,钻石会员,买来送朋友的，很好用的。,2017-11-17 11:48:04,0,2,5
离***蔼,铜牌会员,很满意哦，快递也很给力。电池续航也不错，。不玩游戏，平常的使用来说足够了。,2018-02-07 17:57:28,0,1,5
王***星,银牌会员,电池玩王者荣耀差不多可以玩一天。 运行还是可以的  玩王者没有问题 。当然需要和同等价位的手机比较  。 相同价位的 华为手机质量绝对没问题 。 华为首选 大品牌   用了三个月后的评价。,2018-02-27 17:35:27,0,1,5
s***1,金牌会员,挺好的，刚好有活动还便宜了一些，色彩挺好的，内存也挺足的，买给公司用的，目前感觉还不错，手感也很好,2017-11-08 19:57:15,0,5,5
H***x,钻石会员,机子非常漂亮  手感也不错 感觉黑色最好看 京东快递 速度快 价格也不贵  性价比挺高的,2017-11-29 14:25:07,0,1,5
天***9,钻石会员,手机还是挺不错的，不过系统优化不行，4G运存我2G运存还慢。习惯好评！,2017-12-25 15:26:58,1,2,5
j***6,银牌会员,非常完美，很喜欢，拿回来第一时间就上手了，大写的?,2018-02-28 09:22:38,0,1,5
g***s,金牌会员,运行速度够快，外观也很好看，手感舒适，美观大方，支持国产！唯一不足的是没有应用双开功能,2017-10-04 15:51:42,0,2,5
j***6,银牌会员,不错,2017-10-14 14:36:48,2,4,5
j***6,PLUS会员,用了，东西很好，相信华为，不知道电池持续怎么样,2017-11-12 15:01:08,1,1,5
j***d,金牌会员,性价比高国民手机功能齐全分辨率高指纹识别,2018-01-03 13:00:24,0,1,5
联***2,PLUS会员,外形挺好看的，性价比挺好的，感觉挺好用的，华为手机值得拥有。,2017-11-22 00:12:31,4,1,5
晓***学,银牌会员,用了一周才来评论，用着还不错   就是刚拿到的时候收不到短信，因为是晚上 联系不到卖家，然后就去百度搜了一下说恢复出厂设置就好了   我就恢复出厂设置了就ok了，刚拿到的时候手机有点慢  不过换个系统之后就没事了，现在同学看到我的手机也买了一个黑色的,2017-10-13 19:28:24,0,3,5
y***m,PLUS会员,京东自营值得信赖，华为手机质量品质保证，用几个华为了，京东配送速度很满意。,2018-01-06 13:42:12,0,1,5
j***a,铜牌会员,给老爸卖的，他很喜欢，屏幕清晰，反应也快，,2017-12-17 15:38:32,1,3,5
1***e,PLUS会员,手机到手还不错，喜欢黑色的式样，但毕竟千元机没法和两三千多的比，色彩和速度上欠缺。如果不怎么玩游戏的，推荐这款,2018-02-08 22:02:42,0,0,5
q***8,银牌会员,"货已经收到，很不错的手机，手感不错像苹果六呵呵
  美中不足的是钢化膜跟屏幕不怎么合，因为手机四个角都是无棱角的，而钢化膜却大了点儿。总而言之手机非常棒",2017-11-28 16:59:55,0,1,5
花***个,铜牌会员,外形很不错，那在手上也很舒服。,2017-11-14 11:08:31,0,1,5
j***f,铜牌会员,手机不错，我感觉挺好，点个赞,2017-11-16 21:36:14,0,1,5
j***3,银牌会员,手机颜色很满意，运行速度快，拍照清晰，一没满意的购买。,2018-03-06 20:51:18,0,1,5
j***1,铜牌会员,"这个手机后盖，用手指按一下能够听到响声，影响体验。

系统自带很多应用，其中有9个卸载不掉，打开后只有19G的内存，买的是32G的",2018-03-01 12:07:06,0,1,1
曹***国,金牌会员,拿起来相当有手感。做工也比较精细。物超所值。,2018-02-06 13:11:59,0,1,5
a***9,银牌会员,快递包装结实，手机没激活过，完美大爱，超喜欢，比实体店便宜一半！,2017-12-26 19:05:06,0,3,5
罗***好,银牌会员,手机颜值爆表，快递很快，二天就到了，包装很结实，买华为放心。,2017-11-22 10:23:50,0,1,5
奇***怪,PLUS会员,手机很快收到了，京东物流就是快，这个手机是帮同事买的，价格便宜，还送了很多实用的配件，赞一个,2017-12-13 16:17:19,0,1,5
走***默,PLUS会员,送的保护膜是坏的。机子是移动定制的。机身有点脏，不像全新机。,2018-03-08 14:39:01,0,1,5
名***抢,银牌会员,上手了，真的挺好用的，后期再用段时间看看是否会卡,2017-09-17 17:02:37,0,1,5
j***d,银牌会员,手机不错，挺好的，非常满意，京东的手机非常好用。下次还买华为荣耀手机。,2018-03-06 21:01:26,0,1,5
j***a,铜牌会员,手机有一点小卡不过触感还行，手机里已经有很多软件如360，爱奇艺，腾讯视频，浏览器等软件，怀疑是二手机，总体来说还是不错的必经千元机也就这样了，唯一缺点是不给耳机。还得花钱买个耳机郁闷?,2018-02-26 11:49:47,0,1,5
j***w,金牌会员,手机很漂亮拿在手中比较舒服，配件非常齐全不愧国产精品，头一次购买华为手机希望用的时间久些。,2017-12-07 12:17:49,0,1,5
j***信,PLUS会员,给儿子买的，他说不错，速度超快阿，必须好评！,2018-01-05 08:50:41,0,1,5
3***明,钻石会员,不错，机身薄，反应也还挺快，不懒，这里华为好，也不贵,2018-02-24 09:30:25,0,1,5
