名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
c***5,PLUS会员,用券购买的，才七百多，很便宜很划算啦。,2018-01-25 12:09:48,5,8,5
星***2,银牌会员,非常好！使用一段时间再看看效果。一直用华为系列手机很放心。,2018-03-04 18:28:13,0,0,5
j***d,银牌会员,未用，但看上去还可以。,2018-03-07 10:48:20,0,0,5
j***s,银牌会员,还可以吧还可以吧,2018-03-03 11:31:23,0,0,5
铎***儿,钻石会员,价格实惠送货很快挺不错的需要再来噢。,2018-01-23 21:10:33,3,0,5
j***k,银牌会员,手机收到，是正品，京东快递就是给，开心的一次购物,2018-03-04 14:36:07,0,0,5
宁***哥,银牌会员,东西不错，千元以下的手机已经挺好的了,2018-03-05 20:06:05,0,0,5
小江米20161109,银牌会员,手机已收到，麻烦问下耳机?去哪啦,2018-03-08 21:03:50,0,0,5
j***z,铜牌会员,"我的宝贝华为V9手机到了,外观我很满意其导航.微信各个软件运行速度很快.价格比实体店便宜几百元.这款手机我非常 非常满意值的购买.而且物流很快",2018-03-02 12:46:47,0,0,5
KVhJFhPHypdC,铜牌会员,不错，就是一不小心选错了颜色，这个颜色不是很好看,2018-03-07 18:23:09,0,0,5
j***g,铜牌会员,手机蛮好用的，而且卖家态度也挺好，发货的时候漏了耳机跟指环支架，后面也补发了，好评！,2018-03-06 12:03:40,0,0,5
L***t,银牌会员,手机收到二天试用了，还行！最不理想的就是我的华为耳机插上新手机洞洞太浅用不了！,2018-03-05 12:11:14,0,0,5
j***o,PLUS会员,手机收到了，还不错，只是快递有点慢，一个星期才收到货,2018-03-03 19:55:45,0,0,5
j***z,铜牌会员,物流很快，4天我就收到货，产品外观非常漂亮质量也非常好，值得入手。,2018-03-05 14:52:09,0,0,5
j***m,银牌会员,电池可以，不卡.手机好用，直得大家购买，非常好的一款产品直的…………,2018-03-07 23:42:03,0,0,5
I***F,银牌会员,收到货打开一看先是耳机少了一个胶圈还是坏的，手机用用再来评价,2018-03-02 22:20:51,0,0,5
触***X,银牌会员,买给父母用的，很喜欢，物流也快，每天都爱不释手！天天看电影！,2018-03-02 15:41:36,0,0,5
妃LISA,银牌会员,宝贝收到了！物流速度超级快！宝贝们非常喜欢！用后在追加评论！,2018-03-02 15:25:06,0,0,5
j***o,银牌会员,感觉挺不错的，就是寄来的时候包装有点简陋，物流还是挺快的,2018-03-05 19:21:08,0,0,5
k***W,铜牌会员,物流非常快三天就到了，用了非常满意，服务也很好,2018-03-08 12:11:17,0,0,5
m***H,银牌会员,手机收到，刚刚用上，音质好，像素很好，很满意,2018-03-09 19:31:59,0,0,5
g***4,银牌会员,手机很不错，手感很好。运行速度也很快。满意！,2018-03-08 08:08:56,0,0,5
j***s,银牌会员,华为手机一直不错，买了几部了，家人收到也满意,2018-03-01 11:05:12,0,0,5
j***r,银牌会员,很好，非常喜欢，如果能送个手机套就好了?,2018-03-09 10:15:07,0,0,5
h***w,银牌会员,宝贝很好，颜色很正，各项功能齐全网速也挺快,2018-03-07 19:14:44,0,0,5
智***络,PLUS会员,很好，很合适，很喜欢。,2018-03-02 08:45:46,0,0,5
j***8,铜牌会员,手机还不错物流很慢，但是派送员的态度很好,2018-03-09 21:11:54,0,0,5
O***N,铜牌会员,相当不错的一款手机，物流也很快，很喜欢,2018-03-09 11:04:27,0,0,5
j***8,铜牌会员,刚刚到货，好不好用我就不知道了，看看先,2018-03-07 12:28:56,0,0,5
w***0,钻石会员,给亲戚买的  他说很喜欢  京东就是好,2018-03-06 11:33:55,0,0,5
j***m,铜牌会员,用着，还行，就是客服说话太不客气。,2018-03-05 14:55:46,0,0,5
小***舞,钻石会员,很好，非常满意，京东配送，是正品,2018-03-06 12:55:03,0,0,5
黎***好,铜牌会员,货与图片一样。这价格可以的了,2018-03-04 23:37:52,0,0,5
Q***i,铜牌会员,配置很好，帮同学买的，很喜欢,2018-03-04 13:05:19,0,0,5
j***o,铜牌会员,不好，用了一天突然开不开机了,2018-03-01 18:45:39,0,0,5
G***b,银牌会员,很满意，物流和快递都优秀。,2018-03-06 12:39:23,0,0,5
j***y,铜牌会员,刚收到，开机看了下，还不错,2018-03-04 18:40:19,0,0,5
j***8,铜牌会员,还可以，手机没有任何损坏,2018-03-07 06:12:06,0,0,5
c***q,铜牌会员,物美价廉，值得购买,2018-03-07 14:42:33,0,0,5
g***e,银牌会员,手机还不错，，，值,2018-03-06 23:17:00,0,0,5
j***b,银牌会员,一次不错的购物经历,2018-03-06 11:53:33,0,0,5
j***a,铜牌会员,手机挺好的，满意,2018-03-05 17:50:28,0,0,5
j***5,铜牌会员,大气，物流态度好,2018-03-05 16:53:18,0,0,5
j***l,银牌会员,很喜欢，一直支持华为，颜色也是我喜欢的，性价比高,2018-03-03 12:16:28,0,0,5
C***n,银牌会员,有点卡  一般,2018-03-02 22:25:40,0,0,5
妃LISA,银牌会员,几经波折！宝贝终于收到了！快递送大连去了！吓我一跳！还以为弄丢了！?还好已经送到了！还是要谢谢送货的人辛苦啦！用后在追加评论！,2018-03-07 13:55:02,0,0,5
N***X,银牌会员,刚买了几天，快递小哥给力，手机质量目前没问题，手机内存32G，除了固件8G多和其它，可用内存只有21，还有不支持普通的内存卡,2018-03-08 07:37:05,0,0,4
j***4,银牌会员,手机收到了，给老妈买的，特意用了一段时间才来评价，老妈说不错，喜欢的朋友们可以下单了。,2018-03-03 08:28:44,0,0,5
j***r,铜牌会员,服务态度很差,2018-03-08 13:11:25,0,0,5
j***c,银牌会员,这手机还不错,2018-02-28 22:04:10,0,0,5
淡***淡,铜牌会员,手机蛮好的…先用一段时间，然后再追评。,2018-03-05 14:32:05,0,0,5
