名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
雷***际,金牌会员,很轻很薄，32G内存固件用掉了11G！！图是我把手机自带的无用软件全部卸载之后，只下了个微信和酷狗的状态。拍照一般，就算基本满足要求。电池不知道抗不抗用，再来追评吧。,2017-12-14 21:14:03,67,15,5
t***9,金牌会员,第一次买华为的手机，觉得还可以吧，唯一的不足的地方就是屏幕的颗粒感有点重，其他的地方都可以接受，毕竟那个价格摆在那里了,2018-03-05 18:03:33,0,0,5
C***4,PLUS会员[试用],比iPhone轻 颜色挺好看 1008到手,2017-11-19 19:31:38,27,4,5
1***梦,PLUS会员[试用],买给老丈人的，他非常喜欢。超值，朋友都不信才几百块钱。,2017-12-25 03:11:23,10,2,5
叶***新,金牌会员,手机同等情况下，信号差，运行内存正常有2个G，但下载的日历，墨迹天气老是被关闭，想看日历天气还得重新打开，用着比较卡。样子还是比较好看的，价格比较便宜。总体手机一般。,2018-02-14 22:17:00,0,0,3
小***妹,PLUS会员,手机很漂亮，蓝色非常好看，一次就买了两个，物超所值,2018-03-07 21:40:57,0,0,5
jd_374884875,钻石会员,感觉反应不是很快，还可以了将就着用吧，毕竟是千元手机,2018-03-09 09:38:31,0,0,5
j***c,PLUS会员[试用],给男朋友买的，他说挺好的，颜色好看，我用的是荣耀8，感觉两个差不多,2018-03-08 20:37:48,0,0,5
j***n,铜牌会员,很好，老妈喜欢,2018-03-08 14:00:22,0,0,5
c***7,PLUS会员,搞活动买的，已用了，手机质量好，通话质量也很好，满意,2018-03-09 16:53:51,0,0,5
l***林,PLUS会员,非常好，颜色好看，老人用字体也大，我爸爸超级喜欢一个,2018-03-05 18:40:09,0,0,5
I***k,银牌会员,机子用的很好 很好用 而且还漂亮 很漂亮 一直用的都是华为 下次还可还要用 还要用一支香烟华为相信国产品牌 上次用的也是华为 支持国货 支持国货支持国货支持国货支持国货,2018-03-06 18:09:40,1,0,5
大***坚,金牌会员,手机质量挺好，就是快递有点慢哦,2018-03-05 19:29:13,0,0,5
一***2,钻石会员,给力呵呵呵呵呵呵1没想到还真快现在网速还可以看看以后吧,2017-11-29 19:26:21,0,0,5
蒋***8,银牌会员,手机不好，商家的服务态度也不好，外观有划痕还不不退，京东处理大概一个礼拜也没有结果……一次失败的购物，太差了这是,2018-03-07 17:30:50,0,0,5
忘***芳,金牌会员,性价比超高,2018-03-07 14:34:48,0,0,5
烟***7,金牌会员,用了几天还好，就是运行不够快，背后摄像头是突出来的，容易花,2018-03-06 17:27:41,0,0,5
s***g,PLUS会员,给妈妈买的，她挺喜欢的。用着也挺流畅，没什么毛病，还是很不错的，希望能坚持个两年吧！,2018-03-06 19:11:06,0,0,5
凌***飞,PLUS会员,抢购到的，刚好活动，2G的买不到，看看4G的更强大也没贵多少，果断下单了，没有失望,2018-03-07 23:04:35,0,0,5
x***3,金牌会员,手机还好，反应不是很快，给老爸买的，老人家用还可以。就是物流有点坑，给我寄错地方了，晚了三四天才到。,2018-03-08 10:31:34,0,0,5
小***菲,金牌会员,手机看着还行京东快递太给力了。，但是还没有用，等用了再追加评价吧！,2018-03-09 00:23:53,0,0,5
南***家,银牌会员,拍照方面比不上儿子的畅享5s，电池也就一般般啦！毕竟这么薄。,2018-03-07 08:59:38,0,0,5
一***0,PLUS会员,手机给我爸买的，运行速度还可以。。。。。,2018-03-06 18:21:59,0,0,5
j***1,铜牌会员,手机用了一个星期，下了好几个应用一点不卡反应流畅。支持华为。,2018-03-06 18:39:04,0,0,5
t***0,PLUS会员,漂亮美观，手感也很好，颜色也喜欢，超赞！,2018-03-05 18:51:17,0,0,5
c***n,PLUS会员,给我爸买的，时尚，接电话音质不错。,2018-03-09 03:11:07,0,0,5
j***e,PLUS会员,手机还可以，手机膜和手机套不怎么样,2018-03-07 11:12:49,0,0,5
我***间,银牌会员,还行吧。就是好像比我现在用的这台屏幕小。不过小屏幕大作用吧。毕竟配置不一样。这个要比我现在用的这个好。还是新机。,2018-03-07 11:55:17,0,0,5
阿***6,铜牌会员,东西还不错，运行啥的没毛病，给弟买的，还是比较中意的,2018-03-06 11:07:17,0,0,5
j***5,金牌会员,手机虽然内存不大，可也是够用的，也好看，老妈很满意,2018-03-09 11:34:13,0,0,5
t***w,PLUS会员,手机很快，很好用，物流也很快,2018-03-06 19:11:31,0,0,5
d***1,PLUS会员,还不错的小东东还不错的小东东,2018-03-05 22:27:36,0,0,5
g***e,钻石会员,手机很轻薄，手感不错，至于系统还得时间来检验，,2018-03-09 21:33:44,0,0,5
石***3,PLUS会员,华为手机，品质一如既往地好,2018-03-09 09:15:28,0,0,5
永***样,金牌会员,一直支持国产，支持京东，华为手机就是这么好用。,2018-03-09 22:01:20,0,0,5
j***a,银牌会员,手机?非常溜，手感也不错挺满意＼(＾▽＾*),2018-03-07 06:37:59,0,0,5
j***b,铜牌会员,感觉很好   就是手机太轻了  拿起来不习惯,2018-03-06 17:31:42,0,0,5
j***e,铜牌会员,新买的手机用了几天了，感觉还不错，给个好评,2018-03-09 15:10:28,0,0,5
泽***儿,金牌会员,非常不错的一次购物。手机不错，性价比很高！,2018-03-07 14:41:47,0,0,5
爱***旭,钻石会员,价格便宜，华为不错的国产手机，适合老人使用,2018-03-06 11:15:12,0,0,5
j***i,银牌会员,手机是给妈妈买的，很轻薄很好用，物超所值,2018-03-09 11:11:03,0,0,5
j***8,铜牌会员,手机还可以，很好看，物流也快，物美价廉。,2018-03-08 21:10:49,0,0,5
w***2,金牌会员,手机?很好的，颜色很喜欢，大小也正合适,2018-03-08 19:29:47,0,0,5
欧***联,金牌会员,不错，对得起这个价格.......,2018-03-08 16:52:54,0,0,5
C***D,银牌会员,手机刚刚收到，感觉还是挺流畅的,2018-03-07 20:41:20,0,0,5
j***0,金牌会员,颜色很喜欢，华为手机，支持国产,2018-03-06 13:43:05,0,0,5
小***巧,金牌会员,手机非常好，看起来很大方！！,2018-03-08 19:42:48,0,0,5
孤***书,银牌会员,服务到位，质量很好，安装细致,2018-03-08 13:23:28,0,0,5
肖***店,金牌会员,给妈妈买的，非常好用。超喜欢,2018-03-07 18:17:40,0,0,5
r***q,银牌会员,性价比高，直的中年人入手。,2018-03-09 08:46:07,0,0,5
1***p,金牌会员,拍照不错，手机也比较流畅。,2018-03-07 23:15:51,0,0,5
肥***胜,银牌会员,量还不错，内存大，运行流畅,2018-03-06 12:40:30,0,0,5
j***y,钻石会员,一直用荣耀的手机，全家都用,2018-03-05 23:05:56,0,0,5
霖杰123,银牌会员,好用，充电也很快，很喜欢……,2018-03-08 15:29:50,0,0,5
美***情,金牌会员,性价比很高，母亲很喜欢,2018-03-09 22:24:47,0,0,5
醉***帅,金牌会员,款式不错价格公道好评+,2018-03-09 22:25:41,0,0,5
j***1,钻石会员,手机很好，用起来不错。,2018-03-08 16:14:53,0,0,5
j***6,金牌会员,给我爸买的，用着还不错,2018-03-06 13:30:07,0,0,5
1***9,银牌会员,还可以  用起来也不错,2018-03-06 11:28:30,0,0,5
凤***物,银牌会员,帮表弟买的，他说还可以,2018-03-06 08:47:48,0,0,5
谁***强,银牌会员,不错，运行非常流畅。,2018-03-07 23:39:51,0,0,5
玛***麟,金牌会员,给老人家买的 很好用,2018-03-06 15:01:50,0,0,5
