名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***仙,银牌会员,感觉挺不错的，支持华为！挺给力，速度快。好评。,2018-01-23 18:51:16,0,0,5
啊***2,银牌会员,手机很好 给家人和朋友买了4-5部电话了 都是华为的 还是不会叫我失望 快递小哥辛苦了 速度很快,2018-01-13 16:38:53,0,0,5
B***Q,金牌会员,上午收到，试用到现在，电池够用，手机运行快速，马上充电了！,2018-01-15 15:31:40,0,0,5
j***t,金牌会员,一买回来当天就用了一次，确实是十分 方便，这个价格很值，质量也好，后面又用了几次 也还不错，值得购买!至于大小的话，一次可以煮好几袋泡面，吃火锅也刚适合用，非常喜欢... 煮泡面，熬粥，煮个火锅啥的完美了!!煮东 西很快，平时叫上同事涮火锅简直调好了，4-5个人的量够够的，平时煮饺子效果也不错，美味无穷！以后周末休息时想吃海鲜大咖 就不用去外吃了，在外面吃的是环境味道并不好吃，在家自己动手丰衣足食，真的特别特别特别喜欢 没有异味 样子却特别的可爱 和那些便宜的真的很不一样 送的东西也非常好 真的很喜欢，有了这个锅就很少在出去吃了，感觉可以省一大笔钱 太喜欢了 小仙女们就不要再犹豫咯这锅还不错，建议人多使用，平时一个人的话可能会有点大的哦，烧水很快，也没有别人说的烧塑料的味道，直径也挺大，电火锅发货迅速，包装完好，外观简洁大方，做工较好，总体来说这款电火锅做工精细，火力猛，操作简单，非常适合家庭使用。而且容量够大，家庭聚会吃个火锅也足够用，蒸鱼蒸包子都是很好的选择，颜色搭配和实物大小与宝贝描述一样，用着很开,2017-10-10 17:07:49,26,19,5
G***u,铜牌会员,宝贝到了，是我要的颜色，已经用上了，手感不错，4G十32G值得拥有。,2017-10-17 16:06:27,8,1,5
龙***一,金牌会员,给老爸买的。华为大品牌，相信华为，手机外观漂亮。手感精致。系统流暢，老爸很喜欢。,2018-02-15 07:37:59,0,0,5
D***g,PLUS会员,发货很快早上下单下午就送到，质量如描述一样。这个牌子是家人信赖的，老妈一看就喜欢上了。操作速度挺快的，网络速度也挺好。这次送了钢化膜和保护套。价格还可以。发货和送货速度有点慢没在指点第二天到。,2018-01-09 01:10:16,0,0,5
j***来,钻石会员,没有想像中流畅！,2017-11-21 23:20:27,1,2,4
j***g,银牌会员,挺好用的,2018-03-09 15:34:07,0,0,5
j***j,PLUS会员,给老爸买的，充一次电一直上网可以用两天，颜色也很喜欢,2018-02-26 19:17:35,0,0,5
