名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***9,铜牌会员,物流超给力，手机也不错，买了碎屏保，喜欢的可以放心下单哦?,2018-02-23 15:12:45,0,0,5
张***4,金牌会员,可以可以 物美价廉 京东值得信赖,2017-12-20 22:52:53,0,0,5
佤***O,PLUS会员,物流非常给力，快递小哥服务周到，点赞?，一个。手机也不错，客服比较负责任。没毛病，五星好评，全都给！！！,2017-12-26 12:02:44,10,0,5
j***z,金牌会员,手机收到了，给老人买的，很满意！等看看使用效果如何,2018-01-02 19:53:41,0,1,5
y***1,钻石会员,第一次购买华为产品，感觉还行，用后再说……,2018-02-22 18:01:49,0,0,5
j***d,金牌会员,挺好的,2018-02-20 16:01:58,0,0,5
挥***间,PLUS会员,给力，颜值爆表。国产手机真的好棒，大力支持，速度快。赞赞赞。,2017-12-25 10:01:12,0,1,5
j***5,钻石会员,出乎意料的好，质感，手感，色泽都棒棒哒。配有防尘塞，指环，很上档次。,2018-01-11 22:43:55,1,2,5
s***k,钻石会员,一句话物有所值，很 成功的一次购物，京东老会员送上祝福，希望京东越做越好,2017-12-29 09:24:22,0,0,5
s***5,PLUS会员,首先非常感谢京东，这次购物非常愉快，非常满意，无论是从购物发货速度还是售后都是非常满意，感谢京东感谢卖家能让我买到这么特价的宝贝，宝贝性非常棒，性价比超高，运行贼快，打游戏贼6，同学也非常喜欢，送父母送亲戚也是高档大气上档次，值得入手老铁们，速度下单吧，老铁们，没毛病，觉得好记得分享给身边的朋友和亲戚。,2018-01-05 22:18:13,1,0,5
r***J,PLUS会员,首先非常感谢京东，这次购物非常愉快，非常满意，无论是从购物发货速度还是售后都是非常满意，感谢京东感谢卖家能让我买到这么特价的宝贝，宝贝性非常棒，性价比超高，运行贼快，打游戏贼6，同学也非常喜欢，送父母送亲戚也是高档大气上档次，值得入手老铁们，速度下单吧，老铁们，没毛病，觉得好记得分享给身边的朋友和亲戚。,2018-01-12 22:01:01,0,0,5
s***7,PLUS会员,首先非常感谢京东，这次购物非常愉快，非常满意，无论是从购物发货速度还是售后都是非常满意，感谢京东感谢卖家能让我买到这么特价的宝贝，宝贝性非常棒，性价比超高，运行贼快，打游戏贼6，同学也非常喜欢，送父母送亲戚也是高档大气上档次，值得入手老铁们，速度下单吧，老铁们，没毛病，觉得好记得分享给身边的朋友和亲戚。,2018-01-12 21:49:44,0,0,5
Y***C,PLUS会员,手机很好用，价格便宜实惠，给老爸买的新年礼物,2018-02-21 10:23:44,0,0,5
j***u,银牌会员,到货非常快，货物质量非常好，而且还送了个膜，一个壳，非常满意的一次购物,2017-10-23 13:31:18,1,0,5
j***v,银牌会员,手机已收到，物流还算快 ，包装完好手机还没有用，不知道怎么样就是没用配耳机，其他赠品都有,2018-02-06 13:21:00,0,0,5
小***呀,银牌会员,还没试，试了之后才知道，没有耳机，让我单配的，不过有手机壳和指扣,2018-02-15 00:56:48,0,0,5
j***2,铜牌会员,很好的一次购物，手机是正品，质量很好,2018-01-10 06:45:15,1,0,5
j***o,金牌会员,快递速度超快，先用着看看，期待中,2018-01-02 11:34:57,0,0,5
c***z,钻石会员,给父亲买的，目前用着挺好，还比较流畅，字体大小可调。,2018-01-29 09:08:12,0,0,5
j***c,银牌会员,劝大家不要买，像翻新机一样！不是新的，没用几天就各种问题，自己锁屏还会黑屏明明内存大还老是提醒你内存不足,2018-02-28 07:36:47,0,0,5
j***t,银牌会员,发的顺丰，第三天就收到了。手机给老妈买的，功能足够。样子也美美的。卖家处理问题速度也是杠杠的。,2018-01-10 20:18:36,0,0,5
j***5,金牌会员,个人感觉5.2的屏还是蛮适合的，不大不小。入手几天来没发现什么问题，还是蛮流畅的。,2018-01-11 09:46:21,0,0,5
h***6,铜牌会员,还可以，比其他地方便宜。使用也不错。就是不知道怎么导入我以前的手机号码,2018-01-17 15:38:12,1,0,5
j***p,银牌会员,手机还可以，刚回来都不知道用，只有请教客服，客服的态度很好，讲的很细心,2018-03-04 10:16:39,0,0,5
j***n,PLUS会员,很好看很实惠的手机，感谢京东。年底了物流还是这么快！,2018-02-11 18:26:20,0,0,5
j***g,银牌会员,手机到货非常快，从北京到禹城一天就到了，快递小哥也很认真负责。,2018-02-07 05:50:53,0,0,5
J***1,PLUS会员[试用],电池续航时间还算可以  屏显有颗粒感,2018-03-05 10:14:51,0,0,5
j***l,金牌会员,质量挺好，外观也很漂亮，而且用了一段时间才来评价特别好用,2018-02-26 21:34:21,0,0,5
y***9,PLUS会员,非常好，一直信赖大京东，发货快,2018-01-20 23:42:24,1,0,5
花***l,PLUS会员,用起来很流畅，华为手机质量和做工的确很好,2018-01-20 07:10:56,0,0,5
j***h,银牌会员,图片与实物，很满意！,2017-12-16 18:39:27,0,0,5
0***7,钻石会员,很喜欢这个颜色，后置指纹，响应很快，买给父母的，父母很喜欢……,2018-01-22 20:40:38,0,0,5
k***o,铜牌会员,手机感觉还行！不知道用一个月后会不会卡？物流速度有点慢啊！,2018-01-15 18:35:46,0,0,5
愚***粉,PLUS会员,物廉价美，物流不错，比较推荐。,2018-03-09 12:55:02,0,0,5
j***3,金牌会员,手机挺好的，是喜欢的那种，尤其是颜色红得非常漂亮，大气。,2018-01-15 11:31:29,0,0,5
l***8,钻石会员,手机真好用  京东品质值得信赖 继续支持京东,2018-03-05 14:51:19,0,0,5
j***m,银牌会员,手机收到了，物流快，样式还可以，我喜欢的样式新颖。,2018-01-18 21:23:29,0,0,5
j***3,铜牌会员,挺好用的，超实惠，反应也快魅焰红也挺耐看，显眼。,2018-01-26 21:20:20,0,0,5
j***l,铜牌会员,手机用起来很好，网速很快，5.2英寸刚刚好,2018-03-06 19:25:01,0,0,5
杨***哟,金牌会员,手机已经收到，使用很流畅。是给家人买的。,2018-02-25 01:07:58,0,0,5
d***8,钻石会员,手机外观设计理想，操作流畅，国产良心机,2018-03-04 08:48:27,0,0,5
x***R,银牌会员,今天刚到还没有使用，相信华为相信京东。,2018-02-27 22:58:02,0,0,5
但***笑,PLUS会员,骚红，适合我这种骚人,2018-02-10 09:57:08,0,0,5
j***p,银牌会员,手机不错，很好看，手感也很好，很喜欢！,2018-02-05 20:15:47,0,0,5
p***x,银牌会员,母亲大人很喜欢。暂时没有任何毛病,2018-03-02 23:50:26,0,0,5
香***泡,PLUS会员,红色蛮漂亮，很满意,2018-01-19 19:44:41,0,0,5
j***2,银牌会员,手机反应很快，轻便好用,2018-01-31 09:12:06,1,0,5
j***a,铜牌会员,手机很好！物流很快！我给五星,2018-02-28 11:21:47,0,0,5
京***祥,银牌会员,很好！满意！不错发货很快！顺丰快递,2018-01-14 16:40:03,0,0,5
j***q,金牌会员,样子很惊艳，送给妈妈真不错,2018-03-08 11:05:49,0,0,5
j***1,银牌会员,一款很不错的手机，很喜欢。,2018-02-26 10:54:35,0,0,5
j***i,金牌会员,手机很好用快递小哥也很敬业,2018-02-24 11:55:44,0,0,5
j***6,铜牌会员,手机刚拿到，外观还不错！,2018-02-23 11:04:14,0,0,5
j***d,铜牌会员,手机还不错，就是跟在实体店买的不一样，少一副耳机,2017-12-23 13:55:27,0,0,5
E***s,铜牌会员,非常不错，服务也很好！,2018-02-07 19:06:02,0,0,5
j***h,金牌会员,手机跟网上说的一样实在好用,2018-01-01 09:40:18,0,0,5
霸***子,金牌会员,手机上午刚收到就迫不及待用了一下，暂时还很快，不知道用一个阶段后会不会卡，后续再来评价！,2017-12-29 13:52:57,0,0,5
j***x,银牌会员,挺好用的，运行速度快，价格又不贵，颜色又是我喜欢的，一个字：值。,2018-01-17 08:28:29,0,0,5
南***8,银牌会员,刚刚开始用，还行,2018-02-10 23:05:31,0,0,5
z***g,PLUS会员,颜色很好看，照相效果还不错,2018-01-23 00:13:45,0,0,5
心***a,银牌会员,看着不错，颜色还行，不知道使用怎么样,2018-02-27 12:37:09,0,0,5
属***们,银牌会员,这个手机不错，速度快，是个不错的选择,2018-02-20 18:17:21,0,0,5
l***n,钻石会员,运行速度快，屏幕大小刚好，清析。,2018-02-14 21:36:10,0,0,5
y***u,PLUS会员,颜色很美，很喜欢。,2018-01-04 23:36:58,0,0,5
j***2,银牌会员,很喜欢这个颜色,2018-03-06 20:43:16,0,0,5
雨***D,金牌会员,还好 先用着试,2018-02-13 04:10:44,0,0,5
n***L,银牌会员,和介绍一样挺好,2018-01-25 12:49:43,0,0,5
卷***线,银牌会员,用了一段时间，现在来评价一下，说实话还不错。我弟说玩游戏还挺赞的。手机屏幕大小合适。,2018-02-28 19:55:13,0,0,5
鹤***L,银牌会员,一分钱一分货,2018-01-24 10:51:16,1,0,5
聚***品,PLUS会员,不错的购物，速度快，质量好，价格实惠，值得关注，购买！,2018-01-22 03:11:56,0,0,5
j***p,银牌会员,手机收到了，比想象中的还要好很多，外观漂亮，运行速度也很快，很不错！,2018-02-04 18:20:41,0,0,5
j***z,铜牌会员,手机挺好的,2018-02-24 14:06:08,0,0,5
j***f,金牌会员,产品质量很好,2018-01-25 22:15:46,0,0,5
j***4,铜牌会员,用了一星期更新了个系统就开始卡顿了，qq出现无响应,2018-01-18 02:45:15,1,0,5
请***我,银牌会员,客服服务态度好，产品售后耐心，最重要的是手机质量没得说。,2018-01-14 11:19:34,0,0,5
无***性,PLUS会员,质量很好！！速度快，正品,2018-03-04 15:41:48,0,0,5
明***城,钻石会员,听朋友介绍华为手机信号强    用了几天还可以     支持国产加油,2017-12-20 12:09:36,0,0,5
L***晨,铜牌会员,昨天就送到了，今天我才拿上，试了下很满意，用段时间再来追评,2017-12-17 20:22:28,1,1,5
j***b,银牌会员,华为的机子还是不错的，用了很多天了，没发现啥毛病,2018-01-02 04:13:05,0,0,5
亚***5,铜牌会员,手机是给我妈买的。。具体以后用了才知道。但是快递真心不错！！！写的家里地址，但是配送的时候我还没下班。冰天雪地的，快递小哥愣是送到我的单位来了。。真心感谢敬业的快递小哥,2017-12-20 21:01:24,2,0,5
j***1,铜牌会员,刚用手机还不错.不知道用久了怎么样!,2018-01-15 17:56:38,0,0,5
感***根,PLUS会员,还可以啦，这个价格，还是比较值的,2017-12-28 09:58:51,0,0,5
j***f,银牌会员,手机相机不是很好，颜色有点淡，不是原色，还有就是触屏灵敏度不是很好，有时返回键要按几次才有反应，声音不是很理想，其它的没用暂时不知道。我也是听说好才买的,2018-01-05 21:34:33,0,0,5
E***E,银牌会员,手机还不错挺好的，拍照清晰,2018-01-18 03:43:46,0,0,5
Z***5,钻石会员,给儿子买的新年礼物。,2018-02-14 13:05:40,0,0,5
j***5,钻石会员,哈哈，超级喜欢！,2018-01-15 14:45:17,1,0,5
陈***9,银牌会员,快 件 收 到 了 还 没 开 始 用 ! 外 观 好 看 不 知 会 好 用 等 用 了 再 做 评 价 !,2018-01-07 22:03:15,1,0,5
j***m,银牌会员,手机挺好，物流快,2018-01-02 13:12:46,0,0,5
苗***8,PLUS会员,这个价位的机器可以了 非常不错有颜值 速度也快大小合适不错给个赞,2018-02-14 19:36:34,0,0,5
j***e,银牌会员,屏幕清晰，打游戏，上网，功能强大，值得信赖和拥有，将会继续追加，老板态度不错，处理事情积极认真负责!,2017-12-30 22:10:34,0,0,5
美***福,PLUS会员,华为手机国产品牌，值得信赖，一直用华为荣耀的手机。,2018-02-28 00:13:38,0,0,5
j***c,银牌会员,不错！给媳妇买的！挺高兴的！物流很快！快递小哥挺给力！必须要给五星,2018-02-24 17:50:57,0,0,5
j***y,银牌会员,就是太慢了,2018-03-09 08:28:22,0,0,5
公***悯,PLUS会员,老板人很好，物流速度也快，货物质量过关，我非常喜欢，期待下次光临。,2017-12-25 20:57:30,0,0,5
公***悯,PLUS会员,老板人很好，物流速度也快，货物质量过关，我非常喜欢，期待下次光临。,2017-12-25 20:57:04,0,0,5
公***悯,PLUS会员,老板人很好，物流速度也快，货物质量过关，我非常喜欢，期待下次光临。,2017-12-25 20:56:39,0,0,5
凌***华,PLUS会员,老板人很好，物流速度也快，货物质量过关，我非常喜欢，期待下次光临。,2017-12-25 20:56:32,0,0,5
j***2,银牌会员,本来想在京东自营店购买的，可是错点了华信通，比自营店高了10元。而且答应送耳机也没送！,2017-12-19 17:32:10,0,0,5
5***兴,银牌会员,玩了这么多年的机，这个机最让我心神荡漾，支持手机中的战斗机,2018-02-27 20:49:35,0,0,5
j***1,银牌会员,第一次上京东买手机，还没用，这款是装小卡的，用了在追评,2018-02-28 13:48:02,0,0,5
d***7,PLUS会员,非常不错的一款手机，用起来特别流畅。,2018-02-12 20:26:56,0,0,5
j***d,银牌会员,手机刚到手，还在使用中，是正品，等用一段时间在追加评论,2018-02-22 14:01:43,0,0,5
1***9,金牌会员,物流很快，物品与描述相符。给好评。是给老人买的。满意！,2018-02-07 09:11:48,0,0,5
叶***李,PLUS会员,很不错，给我老爸买的，已经用了,2018-02-27 15:49:40,0,0,5
j***9,铜牌会员,才拿到手  还来得及玩  外表还可以  不知道里面怎么样,2018-01-10 23:29:57,0,0,5
1***p,PLUS会员,很 好很 不错的哦   颜色非常喜欢,2018-01-02 00:22:03,0,0,5
购***8,钻石会员,帮朋友买的，反映不错，相信国产，可惜没送保护套。,2018-02-26 11:54:02,0,0,5
c***8,PLUS会员,老太太用的手机，应该还行了。,2018-02-16 23:10:50,0,0,5
卟***y,PLUS会员,手机很不错，买给我妈用她很喜欢。,2018-01-15 16:00:42,0,0,5
庙***哥,PLUS会员,这次一次买了四台，感觉很好，帮朋友带的，很满意,2018-02-28 07:24:10,0,0,5
x***a,PLUS会员,速度很快，商品使用流畅。整体感觉还不错,2018-02-03 11:30:28,1,0,5
庙***哥,PLUS会员,搞活动买的，给妈妈买的继续，很喜欢，价格便宜，值,2018-02-03 09:58:07,0,0,5
b***3,PLUS会员,手机是正品，当备用机非常不错,2018-01-27 21:17:39,0,0,5
j***3,银牌会员,差差差，物流非常差.一个星期先到.笋在人.无语？,2018-01-09 14:58:17,0,0,5
A***x,PLUS会员,还没出现问题，还可以,2018-03-01 09:50:52,0,0,5
j***f,PLUS会员,不错，很喜欢，物美价廉,2018-02-13 14:17:52,0,0,5
j***d,银牌会员,新手机到了，看着还好，这是过年回家给妈妈礼物,2018-01-25 12:50:57,0,0,5
噯***語,银牌会员,物流给力，快递小哥幸苦了。乐在京东商城,2018-03-04 09:30:46,0,0,5
H***H,金牌会员,手机是我喜欢的！非常好用！建议买高配版的。快！,2018-01-01 07:44:38,0,0,5
谁***春,铜牌会员,挺好 和实体店没什么区别,2018-01-14 18:59:27,0,0,5
j***t,铜牌会员,很好哦，特别喜欢，物流快，服务态度也很好,2018-02-07 20:17:15,0,0,5
l***7,金牌会员,不错的手机，使用简单，这红色质感不错,2018-03-07 20:06:18,0,0,5
j***2,金牌会员,很好用，物流很快。今天又买一个给公公,2018-03-04 17:55:36,0,0,5
j***6,银牌会员,挺好的一部手机，就是手机分辨率低了点,2018-03-02 16:02:04,0,0,5
钟***-,PLUS会员,骚红色到哪里都是很亮眼的,2018-01-02 00:31:39,0,0,5
姑***丶,钻石会员,唉，严重卡顿，一脸的忧伤还好工作用的,2018-02-08 18:43:05,0,0,5
默***陌,银牌会员,手机不错，快递也很快，买了送长辈，已经买了两个了，值得购买,2017-12-28 23:41:20,0,0,5
麻***2,PLUS会员,手机是绝对到位的手机,2018-01-06 06:50:39,0,0,5
翁***敏,PLUS会员,骚红色果然就是不一样,2018-01-02 00:35:26,0,0,5
朱***划,银牌会员,漂亮的白色净面，金色外壳，运行快,2018-02-22 18:44:03,0,0,5
j***l,铜牌会员,外观好看，运行不错，这个价位很不错,2018-01-29 15:33:14,0,0,5
Q***哥,钻石会员,送老婆用的，好用一直用荣耀机……,2018-03-08 16:55:00,0,0,5
j***h,铜牌会员,手机还可以吧，赠品不配套太小了，,2018-02-05 14:53:44,0,0,5
小***n,PLUS会员,给朋友买的，也不知道咋样，能用就好,2017-12-21 09:56:02,0,0,5
j***0,金牌会员,给别人买的，没有负面反馈。,2018-03-08 09:43:49,0,0,5
j***b,铜牌会员,还不错，运行还可以，打王者荣耀30真，团有点卡,2017-11-17 22:31:44,1,0,5
