名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
我***区,金牌会员,华为手机不管是华为系列还是荣耀系列设计真的很良心还有红外线功能可以控制电视等家电太赞了?，荣耀v9外观也非常好看我中意,2017-07-01 21:44:33,7,2,5
jd_四眼阿飞,银牌会员,今天收到了！爽就一个字！！！,2017-06-18 16:15:56,9,0,5
非***白,银牌会员,完美，手机很酷，很好看，很好用，不过感觉没有想象中的快……,2018-02-19 22:12:09,1,1,5
1***q,银牌会员,此款产品运行快，外观漂亮，你值得拥有！,2018-02-25 09:34:49,2,0,5
z***0,金牌会员,屏幕挺大，系统很流畅，一点都不卡，拍照很清晰,2018-02-22 09:25:23,1,0,5
j***j,金牌会员,感觉还不错，刚打开包装，正在升级8.0系统。,2018-03-06 19:32:45,0,2,5
j***a,银牌会员,?手机不错  发货速度快  顶一个,2018-03-06 15:03:50,0,1,5
jd_188061nsc,银牌会员,顺丰很给力，手机也真的感觉超赞啊！手感很棒，运行速度也是很快的，颜色简直不要太满意啊！会一如既往支持华为的，国货崛起！！,2018-03-05 15:44:24,0,1,5
S***械,银牌会员,东西收到了 是正品 非常满意 一次还会再来的,2018-03-07 16:59:33,0,1,5
w***e,银牌会员,原装正品，就是从下单到发货的时间太长了。,2018-03-01 18:23:17,0,1,5
j***c,银牌会员,宝贝很好   摸起来手感特别好   速度也很快  喜欢的亲可以购买,2018-03-02 14:31:29,0,1,5
j***起,金牌会员,手机到了，很快！！！自己拆的包！很满意！就等着用了！！用了再来追加,2018-02-26 18:57:22,0,1,5
j***f,银牌会员,手机速度很快我很喜欢，美中不足就是不给配耳机和贴膜。,2018-02-14 06:47:03,1,1,5
招***爸,钻石会员,已经收到了，很好的触感，就是没有送耳机什么的，不然就更好了～,2018-02-28 12:00:12,0,1,5
改***憾,金牌会员,荣耀V9全网通高配版6GB+64GB极光蓝 移动联通电信手机 双卡双待 。初步试用完好，速度快 顺滑 手感好 屏幕棒 大屏特别适合，目前没发现任何瑕疵！,2018-02-04 18:46:10,3,1,5
不***0,金牌会员,手机不错，朋友推荐的，说实在比oppor9p用着流畅多了,2018-03-07 17:28:42,0,1,5
j***y,金牌会员,手机已收到，很大很漂亮，京东物流还算给力吧。,2018-03-03 18:15:34,0,1,5
你***米,银牌会员,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",2018-03-01 14:48:39,0,0,5
j***o,银牌会员,手机不错，送的小礼物也非常喜欢。,2018-03-07 13:55:07,0,1,5
Y***3,银牌会员,Nice感觉很好用,2018-02-27 16:58:01,0,1,5
j***8,银牌会员,手机特别好用,2018-03-04 18:11:44,1,1,5
