名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
q***锁,金牌会员,"5号下的单昨天才到快递不给力,手机整体还不做",2017-12-11 18:40:39,13,10,5
卢***文,铜牌会员,不是卡，畅快，就是没有卡针。,2017-12-07 23:40:48,22,10,5
小周99zhh,铜牌会员,就是快递太慢了   我16好下单   20号才到   京东快递不是很快的嘛？    手机我感觉还是不错的    等用一段时间再来追加评论,2018-01-20 14:39:41,3,1,5
j***b,铜牌会员,手机挺好的，物流也好快的??????,2018-01-13 20:58:11,1,0,5
孤***魂,铜牌会员,手机屏幕大小刚好合适，反应可以,2017-12-11 18:09:37,4,1,5
j***6,钻石会员,手机质量可以，需要进一步了解,2017-11-08 10:32:50,3,1,5
碧***子,铜牌会员,好可以，这价钱值了,2018-02-28 17:40:41,1,0,5
jd_183286ile,银牌会员,很好，用段时间看看,2018-02-19 09:12:23,0,0,5
一***s,银牌会员,手机 颜值好，后置摄像头1300万，前置800万，晚上照也清晰，内存拿回来的话 还剩 21 G左右，买给爸爸 的，他很喜欢。,2018-01-30 11:18:52,0,0,5
j***d,银牌会员,手机挺薄。手感不错，给老婆买的第一次网购手机，受到老婆夸奖。高兴不错的一次购物，给好评。,2018-01-17 18:15:38,2,1,5
朕***哥,金牌会员,不错，给老爸买的,2018-03-01 10:29:33,0,0,5
G***能,银牌会员,京东快递有点慢,2018-02-27 16:58:29,0,0,5
x***e,PLUS会员,华为的手机不用多说，国产的手机里面做的确实不错，这款手机做工挺精细的，支持指纹解锁，速度也快，屏幕分辨率1080p表现还可以，拍照的效果也不错，金属的机身，挺有质感，满意，谢谢京东快递师傅，这么热的温度下还能迅速的把产品送到客户手里，非常满意。,2017-09-27 11:07:43,10,7,5
轩***6,金牌会员,手机太好了，反应快，内存大，质量很好哦，一点都不卡，服务态度好，祝老板2018开门大吉,2018-02-25 09:54:50,0,0,5
b***7,钻石会员,用了一个星期稳定了才能评价。华为的质素OK，虽然不到千元（原价1200，活动减250多），该有的都有，速度也不慢。我没用什么软件来跑分了，只是直观感觉跟以前2千级别的机也差不多。唯一不好的地方时关屏幕后重新开有时要等两秒。还有我以前用的是5.5寸屏，这个其实只小了一点点，刚上手时还真很不习惯，过了一个星期终于好了。看看这个机能用多久，继续支持华为，这是我家人的第三台了。,2018-03-02 21:01:27,0,0,5
j***u,PLUS会员,外观还可以，老人用，运行速度还行，存储空间没太大要求，刚刚好，中规中矩的！,2018-01-31 15:51:30,3,0,5
j***f,金牌会员,刚用还可以,2018-03-09 13:06:31,0,0,5
青***老,银牌会员,一家人不用两家手机，手机颜值没得说，运行速度也比较快，就是华为的插件太多了，很多用不到。32的内存固件8G其它4G，就剩19G的内存了！有点小桑心π_π！！！联发科的CPU，不玩游戏，平常用也没啥大问题！,2018-02-03 19:01:12,0,0,5
j***b,银牌会员,用了几天才给评价，很轻很薄，解锁快，手感好，反应快不卡，电池充满用了3天（没连续用）还有电，拍照也很清晰，价格也合适，还是比较满意。,2018-02-25 15:03:43,0,0,5
j***p,银牌会员,19号下单24号前到，今天快递送到了，预定日期还快三天，,2018-02-21 18:44:20,0,0,5
光***光,铜牌会员,好用，很喜欢，同事也说好看,2018-02-05 13:29:30,0,1,5
j***1,铜牌会员,手机不错，用着很舒心，一开始说下单赠送耳机壳膜，哪去了？邮你们自己家了吗？商家答应补发，希望说到做到，产品给你们一星就不错了，别谢我,2018-01-29 10:34:54,1,0,5
