名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
令***w,钻石会员,"手机拿到了，果然很漂亮，是我喜欢的颜色，配置各方面都不错，卖家服务态度又很好，很开心能买到这款手机！
送了一个白色软壳，很贴伏手机！大写的赞，下次有需要还会再来购买！",2017-12-06 12:42:43,7,4,5
宋正hua,钻石会员,一直喜欢华为的手机，这是第9个荣耀手机了，第6个荣耀旗舰手机了，店家也好沟通，,2017-12-08 11:27:22,6,4,5
j***7,金牌会员,说实话挺不错的，包装小气，机器修长，条子不错，手感好，女孩用就更好了，不过长可能单手不好操作，没有看到网上所说的显示斜纹，但输入时感觉屏幕触摸不太灵敏，也许是刚换手机缘故，优点可以边打电话边上网，黑色一点不比红色差，希望华为对软件优化，大部分软件不能全屏，商家很棒，给的全新手机，无瑕疵，第一次在第三方买手机，愉快购物，期待商家的后续赠品！,2017-12-11 12:14:21,0,4,5
j***6,银牌会员,手机很不错   快递也快   两天就到了,2017-12-08 11:18:39,1,1,5
端***黑,金牌会员,不错很完美，运行速度快，应用都是秒开，一口气装了十几个软件机身都不带发烫的，很满意，京东快递也是非常的快,2017-12-11 19:32:46,1,0,5
莹***y,金牌会员,物流太慢了，1号拍的，5号才收到，第一次发现京东快递也可以这么慢！用了快两天，暂时没发现手机有问题，帮我老公买的，他就喜欢黑色，去实体店说黑色拿不到货，所以才在网上买！,2018-01-06 23:06:45,0,0,5
ss40123,金牌会员,12月6日开售当天在京东抢到的、良心价与官网同步，不说是绝对的最低，起码我没有看到6GB运存比卖家价位更低的。卖家说5–10天按购买先后顺序发货，结果8日早晨手机就到了，还是高大上的京东，点赞！新机子正在熟悉中，我的荣耀8也光荣退伍了！,2017-12-09 07:31:43,4,1,5
小***茹,金牌会员,"第一款手机是荣耀6p,这是第二款v10，非常感谢卖家，包装的很好，感谢京东小哥，那么冷送到家里，非常好用，很喜欢",2017-12-09 13:42:10,3,3,5
j***2,银牌会员,买来送给老公的礼物?、老公很喜欢，特别好用功能完善，送的东西也不错，一直很信任京东，质量一直很好,2018-01-31 15:07:43,1,0,5
j***k,金牌会员,刚收到等了五天就算是迟来的爱吧，商家服务态度给个赞吧，第一次用华为荣耀手机总体来说还挺好的,2017-12-16 12:52:52,2,0,5
jd_176893nev,银牌会员,手机很不错哦，屏幕很大，打游戏也不卡。像素不错，刚拿到第一天，先用几天。就是屏幕边是有幅度的，钢化膜贴不满哦。,2017-12-15 18:40:05,0,0,5
天海岸,钻石会员,昨天到手把玩了一下，挺好的，跟想像的差不多，物有所值，发货很快，次日到货！,2017-12-13 12:56:32,0,0,5
jdjydd,PLUS会员,挺好，不错，有质感,2017-12-12 21:42:14,2,0,5
j***n,钻石会员,屏幕尺寸比我之前用的note8要窄不少，长度方向的视觉面积较大，整体感觉还可以。操作方面，双手操作略显窄了些，容易按错键，单手操作又列宽了些，拇指够不着，可能习惯了note8的操作，v10还需要一段时间适应。速度和流畅性方面略有提升，但没有明显跨越式的感觉。携带比较方便，还有NFC功能。将应用和数据从安卓7迁到安卓8，用华为的手机克隆app，很快搞定，使用上也很正常。电池还是比较给力。,2018-01-06 19:03:25,1,0,5
j***童,PLUS会员,简直不要太好，客服秒在线，发货快，顺丰到货。作为一个17w京享值的老用户，这家店的质量绝对是过得去的，有问题直接问客服就行了，我买来送女友的，结果卡槽是小卡，因为一些原因还没有升级系统体验手机，不过已经很完美了，给店家赞一个。需要拍的赶紧拍吧，顶配的和蓝色貌似好多现货，应该是多仓发货，有需要的别犹豫啦～后续再来追评,2017-12-06 20:28:59,1,1,5
l***b,PLUS会员,速度很快，之前还担心二次塑封机，收到一眼就看出全新的，不错不错，算是第一批红色吧，家里长辈全换华为了，看来中年人还是比较认可这个牌子,2017-12-06 12:54:10,0,2,5
j***a,银牌会员,手机到手了，手感超满意，970处理器超给力，王者荣耀高高帧模式毫无压力，大屏幕无论是看电影，还是玩游戏，超爽。物流比想象中的还快，总评五星好评。。。,2017-12-08 13:35:17,4,1,5
英***师,钻石会员,速度很快，昨天凌晨2点下的单，今天早上10点就收到了。包装很严实。机器颜色漂亮。哈哈哈哈哈哈哈，帅。,2017-12-07 10:23:19,2,2,5
j***j,银牌会员,手机下单后等了两天终于到到手了，拿到手上还是很惊喜的，很薄不重，黑色看起来一体性更好，显得更有质感。拍了张照片试了下，对照片的文字能智能识别并优化，AI智能有体现。重点要说的是屏幕，亮度不高，只有我以前用小米的亮度约一半，冷暖屏各有所爱，但我感觉就是屏幕还是偏暖的，我去实体店仔细对比了样机，样机的屏幕我觉得在观感上显然更好（虽然屏幕的斜纹多少都有只是细微的不仔细看不出来），我很不能接受，没有对比就没有伤害。实际用过后，最新的8.0系统不卡不发热，麒麟970果然不一般，跑分比肩骁835，最新加入的NPU神经处理元可在网络的支持上显然要领先835，是现阶段能买到的最好的安卓处理器，没有之一。所以不太满意的屏幕我也能接受了。这是我中肯客观的评价，不黑不粉ヾ(≧O≦)〃嗷~,2017-12-15 18:39:06,0,0,5
z***9,银牌会员,东西还可以，就是物流有点慢,2017-12-16 10:57:14,0,0,4
令***w,钻石会员,给我老公买的也到了，他很喜欢，蓝色看起来很漂亮，也比较适合男人用，卖家人很不错，下次有需要还是会选择你们家的！,2017-12-09 22:51:45,0,0,5
j***m,PLUS会员,手机总体感觉不错，cup很给力，al有些功能很实用，但手机屏幕太差，有拖影，屏幕偏黄，智能也没有发布会上说的那么好。玩王者荣耀很给力，手机电池耐用，玩一天没问题，但是全屏玩一些网页游戏，反应慢，比如二战风云。华为系统也挺给力的，系统流畅。2999这价位，感觉性价比一般。手感不错，屏幕和手机背面感觉很吸灰，刚用了没多久感觉上面布满灰尘。鲁达师和安兔兔跑分也挺高的。还要在这讲一句，物流也太慢了，从北京到贵州，5天才到手。,2018-01-04 11:54:50,0,0,5
j***c,PLUS会员,手机前天下单，昨天已收到，速度很快，谢谢店家和快递，手机好看漂亮，体验下新手机很流畅，真心感觉不错，值得拥有，物有所值。,2017-12-07 10:09:14,0,1,5
j***d,钻石会员,昨天收到货的，客服很有耐心，快递也很给力，接电话也有耐心，手机大气上档次，颜值很高，运行流畅，功能强大，我就想不明白很多手头并不宽裕的中国人为什么非要买苹果手机，那么贵，当然有钱可以任性。苹果手机的操作性和现在的国产手机没法比，支持国产，支持华为，每个人都值得拥有，五星好评！！！,2017-12-19 12:24:34,2,0,5
j***b,PLUS会员,手机总体感觉不错，等了半天才买到了红色，面部及指纹解锁也很快，用了两天感觉还是对的起这个价格的，支持国产-华为！,2018-01-22 13:24:27,0,0,5
h***f,金牌会员,"第一款手机是荣耀6p,这是第二款v10，手机总体感觉不错，cup很给力，ai有些功能很实用，还有些用不惯，屏幕斜纹近距离看很明显，开机还有3.98G可用内存，对比一下其他颜色，还是黑色面板的看不到黑边屏幕感官好一点。最后就是摄像头太突出了，不带壳不行。",2018-01-04 14:48:29,0,0,5
小***花,银牌会员,让女儿帮忙买的   我要的黑色   给老婆买的红色   女儿说受不了我们两个老都老了还秀恩爱   用情侣机,2018-01-31 11:18:38,2,0,5
小***花,银牌会员,女儿喜欢赵丽颖给我和她老爸推荐的这款手机   一个用红色一个用黑色  小小的晒了一把狗粮,2018-01-31 11:20:03,0,0,5
风***9,金牌会员,总体来说这手机相当不错，运行顺滑流畅，电池耐用，黑色很漂亮，手感比苹果7p要好，特地用了一天再评价的,2017-12-15 10:25:48,2,0,5
y***8,PLUS会员,手机收到了，很不错全面屏的看着视觉效果就是好，还没来得及用，先评价了，两天到货，北京同城发货,2017-12-12 11:46:08,0,0,5
风***一,银牌会员,拍照很清晰，握在手上很舒服，屏幕很合适，一只手玩也适应，自拍也很清楚，值得拥有,2017-12-09 12:14:25,1,1,5
j***y,银牌会员,手机还行,2018-02-22 23:44:01,0,0,5
jd_3765149,金牌会员,屏幕大小刚刚好，物流太快了。挺喜欢的   外观挺漂亮，屏幕显示效果很细腻。第一次用华为手机 支持国产。面部识别记得更新系统就行。挺满意的,2017-12-09 18:27:25,0,0,5
