名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***i,银牌会员,手机收到后验证了一下，是新机子。很轻，能送耳机，支架为什么不能给个膜呢?！像素和分辨率不是太好，一分钱一分货，还凑合吧！,2018-03-07 14:36:42,0,0,5
j***2,银牌会员,很美，和我2016年买的一样价格，但升级了。我主要对摄像有兴趣，高级好多,2018-03-02 21:16:05,0,0,5
绝***r,铜牌会员,"手机全新包装 用起来不错
其他效果后续追评",2018-02-20 20:42:21,0,0,5
路***8,PLUS会员,帮朋友买的，看着还不错，希望各功能都能满意！,2018-02-02 09:30:25,0,0,5
j***e,银牌会员,看起来还可以，女儿很满意。,2018-03-04 14:17:26,0,0,5
j***u,银牌会员,看着还行，小巧，感觉有点小贵，有点卡，想买的看着办。,2018-02-13 16:05:40,0,0,5
G***p,铜牌会员,今天刚拿回来，买给妈妈用的，看上去很好，就是不知电池耐不耐用，先试用几天后再追评。,2018-02-07 22:19:51,1,0,5
j***r,银牌会员,还可以，外观很漂亮适合女孩子用,2017-12-20 10:49:58,1,2,5
j***8,金牌会员,手机很好用。给孩子买的。卖家服务态度很好。,2018-03-05 21:00:50,0,0,5
j***p,金牌会员,用了两天感觉还不错吧，电池蛮好的。,2018-02-04 02:09:47,1,0,5
j***9,PLUS会员,给丈母娘买的新春礼物，性价比很高，外形好看像素很满意，她拿到手很是喜欢，唯一的缺点就是物流慢了点，等了好几天！,2018-02-08 10:49:18,0,0,5
严少华,PLUS会员,东西还不错，收到试了一下，暂时没发现问题,2018-02-11 15:22:40,0,0,5
j***b,铜牌会员,"1.相对来说性能比较偏下。像素非常的不行。
2.其实就是分辨率。也是非常的低。
3.自带的喇叭真的差，声音太尖了。听歌都不行。看视频更别说了。
4.电池方面还是可以的。百分之百的电量。能待机3到5天。
此物品是良心作品。除了个人对手机意见大，父母用还是可以的
（想要购买新手机的还需慎重）",2018-02-09 09:12:00,1,1,5
H***o,银牌会员,手机不错，物美价廉，给老人用挺好的,2018-01-31 19:33:08,1,0,5
王***瑶,银牌会员,挺好的！给我哥买的的！他非常喜欢！,2017-12-14 08:09:38,3,0,5
c***n,PLUS会员,给老爸买的，质量非常好，好用。,2017-09-04 11:26:24,1,0,5
z***7,PLUS会员,给妈妈买的手机，简单点，屏幕大点，妈很喜欢，赞一个!,2018-02-28 11:19:53,0,0,5
赵***峰,PLUS会员,给妈妈买的，屏幕大小合适，使用流畅，价格合适，很好,2018-03-01 19:06:34,0,0,5
X***7,PLUS会员,还不错，快递还是挺速度的，用起来感觉还可以~,2018-02-24 15:04:06,0,0,5
F***3,PLUS会员,买给父母用的，过年带回去用一下?,2018-01-29 09:19:16,1,0,5
j***0,铜牌会员,手机没有耳机，也没钢化膜，只有充电器和线。与说明不付。,2018-01-26 11:33:35,1,0,5
用***辰,金牌会员,给家里老人买的手机，非常不错。华为，中国人的骄傲,2018-03-10 07:49:01,0,0,5
j***w,银牌会员,效果不错，我妈很喜欢，有喜欢的朋友赶快行动起来哟,2018-03-04 13:59:52,0,0,5
j***拉,钻石会员,好用，孩子以前就是华为手机，喜欢用华为，支持国产,2018-02-05 11:12:54,0,0,5
j***w,银牌会员,运行速度快，质量很好，物流快，总的看来还是不错,2018-02-13 22:09:11,0,0,5
j***5,PLUS会员[试用],可以，得劲，买了三部了,2018-03-09 10:41:11,0,0,5
j***0,银牌会员,冰天雪地的，快递小哥送货的速度那真是杠杠滴！,2018-02-01 07:46:26,0,0,5
j***b,银牌会员,不错，质量还算可以呀，一直用这个品牌还好,2018-02-06 09:33:24,0,0,5
l***c,银牌会员,和实物无差，华为的就是好用，好满意,2018-03-04 20:48:01,0,0,5
f***y,银牌会员,京东真的快！昨晚下单、今天就收到货,2018-02-08 18:44:56,0,0,5
c***6,银牌会员,手机欢喜的，耳机随即被黑色的了,2018-02-22 15:21:13,0,0,5
j***1,金牌会员,物流快，手机好。京东就是棒。,2018-03-03 16:43:14,0,0,5
t***n,金牌会员,华为品牌，值得拥有，物有所值,2018-02-24 16:15:31,0,0,5
W***刚,银牌会员,很好用，性价比高，外观很漂亮,2018-02-16 20:46:50,0,0,5
j***v,银牌会员,手机好用，支持国产手机华为,2018-02-25 12:29:41,0,0,5
j***o,银牌会员,屏幕大小适中，机身轻薄。,2018-02-22 16:52:52,0,0,5
f***b,银牌会员,京东物流很快的，质量还不错,2018-02-04 16:41:02,0,0,5
j***9,银牌会员,华为荣耀畅玩6非常给力,2018-03-02 18:25:49,0,0,5
j***9,铜牌会员,快递小哥很好，手机也可以,2018-02-13 01:49:59,0,0,5
j***v,铜牌会员,物流很迅速，宝贝很完整。,2018-02-06 16:36:55,0,0,5
m***5,银牌会员,送给妈妈的，很喜欢,2018-03-08 13:41:51,0,0,5
j***o,银牌会员,还仔，物流比较慢。,2018-03-01 08:22:35,0,0,5
j***h,银牌会员,很流畅。妹妹很喜欢,2018-02-21 10:37:12,0,0,5
j***q,铜牌会员,物有所值，非常好,2018-03-08 18:50:18,0,2,5
小***5,钻石会员,送人的，还可以的,2018-02-21 20:35:24,0,0,5
j***k,银牌会员,手机一切都很完美,2018-02-09 07:52:29,0,0,5
铁***h,钻石会员,物美价廉好家伙。,2018-02-08 13:11:43,0,0,5
w***w,铜牌会员,看着可以，小巧女儿喜欢? ? ? ?,2018-03-05 19:04:29,0,0,5
j***e,金牌会员,这个价钱，这个东西，值，给老人使用，不错！,2018-03-05 20:24:10,0,0,5
安***8,铜牌会员,刚开包，还没试，看着还不错,2018-02-02 11:51:21,2,0,5
朲***夢,银牌会员,帮人买的！还可以！手感一般！,2018-02-04 12:46:06,1,0,5
T***C,银牌会员,手机收到了? ，外观不错，性能稳定,2018-01-31 20:13:39,0,0,5
j***5,铜牌会员,手机外观还可以，还算满意,2018-02-04 11:29:19,0,0,5
j***5,金牌会员,好用，支持国产,2018-02-11 13:38:16,0,0,5
D***6,银牌会员,给爸爸买的，爸爸很喜欢，应该可以吧,2017-11-04 15:07:41,1,0,5
i***L,金牌会员,刚收到，很快的，下单一天，第二天就到了，我很喜欢华为荣耀的，全家七八个手机都是这个牌子，连京东的送货员都惊呀，：又买一个手机。呵呵我乐意！,2017-10-29 13:56:50,1,0,5
v***d,银牌会员,价格比较实惠…还有赠品 买给爸的 还不错,2018-02-22 19:08:18,0,0,5
j***e,铜牌会员,不错，还可以,2018-02-08 17:20:52,0,0,5
蜗***伟,钻石会员,买给老人家用的，配件也可以，买回来时也有贴膜，也轻，好拿,2018-02-21 14:56:24,0,0,5
j***鸟,银牌会员,京东购物就是快，昨天晚上买的，今天就收到了，，,2018-02-10 11:26:43,1,0,5
j***8,铜牌会员,外观设计大方，和实体店一样，比实体店便宜很多……,2018-03-08 12:38:10,0,0,5
j***u,金牌会员,什么东西背部及按键色差一个朝天一个朝地要求退货,2018-02-02 20:13:46,0,0,5
那***色,金牌会员,手机做工很好 反应速度 值得购买,2018-03-08 12:02:28,0,0,5
糊***蟹,铜牌会员,发货很快，收货也快，就是那个手机支架有点，准备烂的样子，而且耳机也不是原配。就随随便便给了个烂耳机,2018-02-26 17:13:42,0,0,4
j***u,铜牌会员,还可以，就是感觉拿起来有点轻而已,2018-02-08 16:52:43,0,0,4
冯***坤,金牌会员,手机到了很好,2018-02-25 10:23:34,0,0,5
j***w,铜牌会员,不错，手感很好，很清晰,2018-02-04 15:33:12,0,0,4
小***琳,PLUS会员,运行速度很快，给妈妈买的，一只手正好合适，一贯的华为风格，推荐。,2018-02-13 23:22:56,0,0,5
U***n,铜牌会员,手机现在用的还行，主玩一个游戏，听音乐，听书就可以了，希望自己保护好手机多用几年,2018-02-12 21:31:37,0,0,5
j***5,银牌会员,买给老人的，老人非常喜欢，字大，声音响。。以后会一如既往的支持国产,2018-02-17 17:40:32,0,0,5
j***7,银牌会员,买个爸爸的，机子挺好的，爸爸拿到好开心，24小时到货，物流棒棒的,2018-02-18 14:18:04,0,0,5
0***瑶,PLUS会员,东西到了。还没试试。应该可以。物流挺快的,2018-03-05 22:21:35,0,0,5
z***8,金牌会员,手机续航能力还可以，外观耐看、漂亮。使用应手，值得购买。,2018-02-28 10:10:52,0,0,5
j***6,铜牌会员,不错，给我哥哥买的，反应很快，一直用华为手机，赠品也不错。,2018-02-04 10:20:20,0,0,5
j***a,银牌会员,用起来还不错，妹妹挺喜欢的。拍照也还行，关键是价位不错,2018-02-25 07:11:55,0,0,5
j***f,金牌会员,手机不错呦 用着一点都不卡 给妹妹买的  她特别喜欢,2018-03-08 20:41:42,0,0,5
j***d,银牌会员,手机还可以吧，反正几百块钱，中国人还是要买中国货，,2018-02-14 08:09:23,0,0,5
j***c,银牌会员,"荣耀畅玩6A这款手机挺好用的,真给力便宜好用",2018-03-08 13:25:43,0,0,5
大***生,金牌会员,京东物流给力，东西还可以！,2018-02-18 19:31:50,0,0,5
好***柿,PLUS会员,不错～～办公使用，基本满足吧,2018-02-03 18:09:17,0,0,5
t***a,金牌会员,物流很快，手机还不错，性价比高。老妈很喜欢。,2018-02-26 18:11:42,0,0,5
s***1,PLUS会员,这款手机不错，我很满意！,2018-02-26 14:56:37,0,0,5
j***u,银牌会员,给力，早上十点下单下午到，速度抉。物成正比。,2018-02-24 19:48:18,0,0,5
j***b,银牌会员,手机不错，不知用着怎么样，给老婆买的还没用，。,2018-02-07 21:27:40,0,0,5
江***城,金牌会员,手机貌似还不错，但是赠品太劣质了，不敢恭维,2018-03-08 13:29:11,0,0,5
j***水,钻石会员,给爸爸买的，华为的产品用着还是比较放心的。,2018-03-05 13:30:04,0,0,5
j***1,铜牌会员,不错，又经济又实惠，反应快，顶上了,2018-02-09 09:32:35,1,0,5
U***F,银牌会员,买给老爸用的，总体感觉还可以，老人用足够了。,2018-02-09 10:04:39,0,0,5
l***8,金牌会员,又一次在京东购物，物流超快，下次再来光临。,2018-02-12 19:51:22,0,0,5
睡***熊,铜牌会员,还可以，为啥应用不能移进sd卡,2018-02-25 12:12:33,1,0,5
志***摩,金牌会员,给老爸买的 感觉还不错,2018-02-05 21:41:04,0,0,5
l***1,PLUS会员,非常不错，送货也及时,2018-02-08 23:51:46,0,0,5
j***f,铜牌会员,不错，刚买回来，试了一下，目前没什么问题~,2018-01-31 18:12:49,0,0,5
j***9,钻石会员,物超所值，值得购买，对的起价格,2018-03-02 20:25:02,0,0,5
薛定谔莫比斯,银牌会员,蛮好的，老人家用用够了，价廉物美,2018-02-15 17:04:07,0,0,5
郭壮GZ,钻石会员,产品已经使用，正品，物流很快,2018-03-09 20:11:46,0,0,5
l***6,金牌会员,屏幕分辨率一般般，其他的还好,2018-03-02 08:47:29,0,0,5
a***5,金牌会员,产品一般，触摸屏不是很灵敏.,2018-02-16 16:01:45,0,0,5
j***v,银牌会员,宝贝己收到，快递很给力，?,2018-02-03 15:07:11,0,0,5
j***d,银牌会员,手机是正品可惜声音太小了。,2018-02-06 14:06:47,0,0,5
d***e,钻石会员,确实很流畅  八百太值了,2018-02-19 23:58:40,0,0,5
热***茶,金牌会员,给家人买的很好用，很喜欢,2018-02-07 23:58:27,0,0,5
w***伟,钻石会员,给妈妈买的，反应挺快的。,2018-02-04 08:25:54,0,0,5
这是怎么了,金牌会员,用起来不错，以后再看,2018-03-02 15:22:56,0,0,5
