名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
帝***皇,PLUS会员[试用],送妈妈生日的，很好(?▽?),2018-02-12 17:12:51,0,0,5
科***c,PLUS会员,"荣耀6A,手机颜色我选择金色的，买来商家还送了一些配件",2017-08-01 22:45:34,11,24,5
j***c,银牌会员,颜色漂亮适合男性，感觉铃声音量不大，新手机灵敏度还是不错的，内存大小不能安装太多很容易满。相素也很好，待机时长一天，这个价格买到这部手机目前还是很满意的！,2018-02-03 12:07:33,0,0,5
j***0,铜牌会员,给妈妈买的，很漂亮，妈妈也很喜欢。没毛病。,2017-09-14 15:39:25,2,0,5
j***v,PLUS会员,是给我母亲买的，还是不错的，这个价格还有指纹解锁，很好，我也一直都用华为的机子，用之价格不贵，老人用也不错！好评！！好评！好评！！好评！好评！！好评！好评！,2018-03-03 09:14:15,0,0,5
j***1,银牌会员,不错的手机，孩子非常喜欢，赞,2018-03-04 22:00:05,0,0,5
由***豆,PLUS会员,华为荣耀真的不错，简单易懂，京东快递很快手机寄过来包装很好没有损坏。买手机还是京东,2017-09-10 23:12:04,1,0,5
w***5,钻石会员,快递给力，包装完整，给老妈买的，还行,2018-02-02 15:24:19,0,0,5
爱***哒,铜牌会员,手机给老妈买的，她喜欢就好,2018-02-09 22:33:31,0,0,5
j***2,金牌会员,手机收到，外观漂亮，运行挺快的，老妈比较满意，赞一个！,2018-01-10 15:44:49,1,0,5
最***3,PLUS会员,手感很好，屏幕比较清晰。像素也不错,2018-02-24 18:41:46,0,0,5
偶***想,钻石会员,给妈妈买的，看着质量很好，性价比高，物流快，好评,2018-02-12 08:32:31,0,0,5
j***h,铜牌会员,刚收到，屏幕手感还可以，毕竟是几百的手机,2018-02-26 19:40:00,0,0,5
J***5,银牌会员,今天才买回来，还不错，用段时间在评价,2018-03-05 17:17:10,0,0,5
l***i,PLUS会员,一直在用华为，这次给爸妈买了两个，感觉很不错，除了客服态度差其他一切都还好,2018-03-03 20:30:53,0,0,5
h***l,银牌会员,很好用，给妈妈买的，电池蛮久的，一直在玩也有一天多，但是这个玫瑰金比图上还深，可能还是金色更好看,2018-03-02 16:03:14,0,0,5
j***d,银牌会员,买给老妈用的，指纹识别很快。妈妈用着也很喜欢，京东真的是不错的选择。华为大品牌值得信奈。,2018-02-22 23:33:51,0,0,5
丶***沙,金牌会员,给父母买的，百元指纹手机，照相很不错，使用流畅，这个价位很满意了，支持国产，支持华为！,2018-02-22 16:39:58,0,0,5
紫***子,PLUS会员,"东西还不错 可是买完之后发现为什么比华为官网贵
物流速度也好慢",2018-03-04 14:58:20,0,0,5
媛***u,银牌会员,给妹妹买的，她说还可以，挺不错的。就是内存有点小。可以插储存卡。,2018-02-23 20:07:35,0,0,5
周***涵,PLUS会员[试用],发货速度很快，手机全新，卖家服务态度很好！,2018-03-04 16:50:14,0,0,5
j***v,PLUS会员,手机很实惠，很好用啊，嗯，推荐朋友买一下。,2018-03-01 16:38:28,0,0,5
w***j,PLUS会员,非常好的手机，买来送给父母很适合！,2018-02-23 00:18:22,0,0,5
d***x,铜牌会员,商品与描述不一样.我买得是公开全网通你们给我的是移动版,2018-02-13 17:25:34,0,0,5
j***3,金牌会员,手机外观时尚漂亮，系统运行流畅，性价比蛮高的！,2018-02-27 08:56:38,0,0,5
水***0,银牌会员,给婆婆买的，挺喜欢的，朋友介绍的这款还不错,2018-03-06 22:23:44,0,0,5
j***b,PLUS会员,还行，妹妹自己挑的。,2018-03-01 18:08:44,0,0,5
j***1,铜牌会员,手机外观挺好看的，功能不错，值得拥有。,2018-03-08 18:46:17,0,0,5
l***3,PLUS会员,粉红色的手机，好可爱，买来送给女朋友刚刚好,2017-10-08 11:33:03,1,0,5
1***p,银牌会员,买给父母用的，大小适合老人用。很好。,2018-03-04 11:11:39,0,0,5
1***d,金牌会员,电饭锅噶hiI经常防腐剂还把不把哈哈,2018-02-07 00:20:51,0,0,5
j***a,钻石会员,侄女超级喜欢，拿住之后就一直在玩,2018-03-03 09:48:38,0,0,5
j***r,铜牌会员,手机还可以，快递非常快，值得购买。,2018-02-15 14:44:51,0,0,5
K***6,银牌会员,手机很漂亮，很好用，给小姨子买的,2018-02-26 21:59:14,0,0,5
唯***安,钻石会员,不错?，买回来送的母亲的，喜欢！,2018-02-02 14:18:30,0,0,5
j***华,铜牌会员,**的，玩不了王者的，没用,2018-02-27 13:50:22,0,0,5
j***d,银牌会员,手机收到了，和照片上的一样，,2018-02-04 20:33:04,0,0,5
y***5,银牌会员,手机还可以，不过快递挺糟心的，买了几次第一次见这么糟心的快递卖家还不送外壳和钢化膜,2018-03-06 17:54:07,0,0,5
j***0,钻石会员,给老人用的暂时没毛病,2018-02-26 19:53:24,0,0,5
j***1,铜牌会员,很好，不错，是正品,2018-02-25 18:35:32,0,0,5
浅***染,钻石会员,不错，挺好的，帮朋友老爸买的，就是送的贴膜不是钢化膜，希望商家能够改善一下！,2018-02-04 08:35:59,0,0,5
j***n,PLUS会员,机子漂亮，价格美丽，物流也快！！,2018-02-11 12:44:57,0,0,5
逸***雨,PLUS会员,机器用起来还不错，先体验一下吧,2018-02-13 14:27:36,0,0,5
七***8,银牌会员,二手货，但是没等我回家，妈妈已经拆开已经在用了，没退的必要了，她第一次用大屏手机兴奋的很，更不愿去扫兴，背部能找到细微的划痕，背部的原厂薄膜都是歪的，还有几粒水泡，以前喜欢玩手机买水货接触电子产品多，所以这个一看就知道怎么回事，机子怎么样使用了才知道，但是机子非全新，是所谓的98-99新,2018-03-10 01:09:43,0,0,5
j***7,金牌会员,整机质感不错，在这个价位算上等！,2018-03-06 20:39:53,0,0,5
江***华,银牌会员,手机正品，质量保证，放心购买。,2018-03-07 21:00:17,0,0,5
花***寒,银牌会员,手机还是可以的,2018-02-07 19:49:06,0,0,5
j***k,PLUS会员,信赖华为品牌，之前用了多部小米，总是容易出现问题，还解决不了，干脆换华为试试，买个爸爸用的，功能足够，价格实惠,2018-02-06 22:23:10,0,0,5
j***u,PLUS会员,是全新未拆封正品，华为的手机品控还是可以，目前正常没啥问题，这个价位的手机老人用足够了,2018-03-03 15:39:44,0,0,5
Q***夏,铜牌会员,物流在春节期间速度仍特别快，运送方式十分安全可靠避免破损，手机拿在手里小巧玲珑，十分轻便快捷~,2018-02-20 09:37:44,0,0,5
好***树,银牌会员,不错，可以吧,2018-02-21 14:25:19,0,0,5
a***8,银牌会员,之前买过两个，这次是给舅舅家弟弟买的，手机没得说就是这物流简直了！,2018-02-04 09:47:49,0,0,5
s***衤,PLUS会员,商品质量很好，很满意，配送速度快啊，而且配送员态度也非常好。,2018-02-27 16:09:07,0,0,5
h***t,铜牌会员,手机用着还可以。但是我要说的是客服态度问题，不管问什么都是官方用语，就那一句，真是呵呵了。连个准话都没有，什么都问不出来，是怕担不起责任么，物流慢的想骂人，半个多月吧才到真是够了,2018-03-05 15:49:00,0,0,5
