名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
古***地,银牌会员,耳机?试戴了，跟华为手机一样，高品质，好音质，挺舒服的，不错，值得一用,2017-09-12 09:11:20,1,1,5
j***h,PLUS会员,好评满意。音质可以，如果有L头的更好了，希望耐用。,2017-10-26 11:02:37,1,0,5
l***u,钻石会员,好用不贵，价格实惠，物美价廉，物有所值，惊喜连连，物超所值，品质保证，货票同行，真心不错，值得推荐，货真价实，童叟无欺，超人图图，值得信赖，值得拥有，非常完美，干湿两用，冲插两用，方便实惠，功能齐全，赶超飞科，秒杀奔腾，世界无敌，举世无双，私人订制，科技十足，老少皆宜，功率强劲，质量优良，经久耐用，造型新颖，美观大方，字幕显示，很是喜欢，爱不释手，五星级的态度，五星级的质量，五星级的服务，五星级的店铺，很给力，超赞，你也不不相信，这么棒的东西，价格这么优惠，真正的物有所值，赶紧下手吧，你值得拥有，送亲人，送朋友，送老师，送孩子，都很体面,2018-03-07 21:09:34,0,0,5
S***哥,金牌会员,终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！,2018-03-08 21:16:19,0,0,5
幂***二,金牌会员,这次购物挺折腾的，手机因为外形有问题处理起来特别麻烦，时间也很长，所以不满意，给老人买的手机，不知道是不是别人退的货，手机外形是弯曲的，不明显，但是贴名贴不平整，然后说不能换货，寄回去维修了，耽误了好几天，凑合用吧，新手机就维修谁也不会高兴，以后买500以上的东西还是去店里看到实物再买，总之很失望的一次购物，耳机是赠送的,2018-03-09 16:43:58,0,0,5
许***虎,PLUS会员,非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验,2018-03-09 10:39:48,0,0,5
-***-,金牌会员,买的东西第一次发错货，早上联系客服，中午就给解决了，京东的服务还真是不一般，晚上就收到快递哥哥的耳机了，么么哒！,2015-11-24 00:29:51,1,0,5
y***2,PLUS会员,店已经收藏了很久，不过是第一次下手。应该说还不错。 第二次来买了，货比我想像中要好！！老板人表扬下。。 包装看起来很好，包得很用心，相信货一定很好，谢谢了！,2018-03-07 23:03:08,0,0,5
蔡***蔡,PLUS会员,手机各方面都不错，颜值高，四摄像头，双2.5d玻璃，16:9屏幕看视频很给力，对于没有什么游戏要求的我来说足够用了、很好。力挺,2018-03-09 13:24:15,0,0,5
j***p,PLUS会员,音质效果很好，手机续航能力长，普通使用一天没有问题，现在手机的电池能力都是差不多的，能满足就行了！系统运行流畅，整体不错！,2018-03-08 09:15:26,0,0,5
文***奇,银牌会员,东西收到以后马上查看，发现与图片描述一致，超级喜欢，卖家发货速度很快，，服务也很到位，给老板点个赞，下次还会来购买.........。。？,2018-03-07 10:01:28,0,0,5
梦***夜,银牌会员,这个耳机声音听歌，每次听歌都沉没在音乐享受中，那种感觉肚子饿了，听了都不想吃饭，只想听音乐，这款耳机我对它爱不释手！值得拥有一辈子！,2018-03-09 17:48:17,0,0,5
极***虫,金牌会员,外观很漂亮，屏幕大，运行流畅！外放音质一般。没有Mate9的音质好（当然了，价格在那摆着呢，还要什么自行车）。送的耳机也不错呦！,2018-03-08 22:32:19,0,0,5
1***y,钻石会员,样式设计风格上不错，声音、音质不错，老公看了很久，才下定决心买的，价格不贵，还领了优惠劵，内存大，运行速度快，总体而言满意。,2018-03-09 08:51:52,0,0,5
木***礼,PLUS会员,是京东的老顾客，东西非常好，快递送货也很快，买了好多东西了，都非常满意。以后还会继续光顾哦。,2018-03-08 14:06:31,0,0,5
d***j,PLUS会员,手机和耳机一起拍得照，耳机么，毕竟是送的，不用多说，也就那样吧，对儿理由要求的还是自己买的好,2018-03-08 19:17:58,0,0,5
屋***石,银牌会员,挺好的，不错，很喜欢，第二天就送达了，虽然快递有些波折，但都愉快的解决了，快递小哥也很耐心，嗯送来了谢谢卖家,2018-03-07 16:32:50,0,0,5
九***Y,PLUS会员[试用],耳机的颜值很高 虽然是赠品但是感觉很值啊～用了 音质不错 正好还缺个耳机 就不再买啦,2018-03-08 22:11:05,0,0,5
天***9,银牌会员,买荣耀9青春版赠送的，虽然到货晚了几天，好像是从另外一个地方邮寄过来的，不过这款耳机总体感觉不错的哈！,2018-03-08 20:06:57,0,0,5
J***e,PLUS会员,不太适应我的耳朵，老掉，音色还行，毕竟送的，也不贵，支持小米和华为的国货，加油,2018-03-09 19:54:50,0,0,5
v***0,PLUS会员,随手机赠送的赠品，老公还没有使用，不过华为的耳机应该也还不错，用过再追评,2018-03-10 02:08:49,0,0,5
晓***轩,PLUS会员,非常好很好用，产品设计很到位，使用技巧也有商家的小技巧，用起来方便，值了,2018-03-09 21:36:00,0,0,5
流***河,银牌会员,这个产品感觉很萌，与耳朵的贴合度也很好，音质也还是不错。因为当时缺货，所以晚了点，无所谓的。,2018-03-08 18:58:36,0,0,5
二***孟,金牌会员,赠送的礼品，感谢，整体看着不错，使用起来跟预想还是有差别，先继续使用一段时间以后再来评价吧。,2018-03-08 09:21:16,0,0,5
j***0,钻石会员,是京东的老顾客，东西非常好，快递送货也很快，买了好多东西了，都非常满意。以后还会继续光顾哦。,2018-03-07 11:38:54,0,0,5
o***丶,PLUS会员,买手机送耳机，音质感人，做工一般，凑合用，卖99？我觉得也就49的货！,2018-03-09 22:56:50,0,0,5
JD刘团长,PLUS会员,购买手机还送了一个耳机，感觉有点不好意思啊，哈哈东西挺好的，谢谢京东,2018-03-09 18:36:10,0,0,5
j***s,PLUS会员,宝贝很好，好看又好用，谢谢商家，快递也很给力速度很快，赞一个，好评！,2018-03-08 16:50:03,0,0,5
j***h,金牌会员,挺好的，耳机子是正品，音效也挺棒的，都试用了，不错，不错下次还选荣耀，就是，能不能再优惠,2018-03-08 23:42:16,0,0,5
请***称,PLUS会员,耳机是买荣耀7x送的，还可以吧，平时也不怎么用，有赠品总比没有强。,2018-03-09 17:30:09,0,0,5
w***5,PLUS会员,质量很好 音质也很好 送货速度很快 正品 值得信赖 下次还会购买,2018-03-09 19:20:23,0,0,5
长***士,PLUS会员,送的小礼物不错原价还要109，比较良心啦，好多手机现在都没有送了……,2018-03-08 13:32:22,0,0,5
z***m,企业会员,手机已收到，家人特喜欢，手机各方面都不错，颜值高，京东物流值得表扬，快递小哥辛苦了！,2018-03-07 09:29:43,0,0,5
D***K,PLUS会员,挺好的，反正是送的，还没拆呢，不过华为的东西，质量还是信得过的。,2018-03-07 10:54:51,0,0,5
自***涛,PLUS会员,宝贝收到，京东快递给力，发货速度快，全五分好评！支持国产华为！,2018-03-09 21:35:23,0,0,5
燕***岱,钻石会员,因提示送完即止，本来已不报希望。后又补发，很欣喜。质量尚佳，音质较好。非常满意。,2018-03-09 20:34:17,0,0,5
j***x,PLUS会员,特别喜欢在京东购物，又快又省而且质量有保证售后也非常不错！！,2018-03-09 17:33:53,0,0,5
j***3,PLUS会员,耳机非常的好用而且是半入耳的，长时间戴的话，耳朵也不会痛哦。,2018-03-09 13:34:44,0,0,5
X***e,银牌会员,先后买了两个荣耀7x，第一次没送耳机，第二次买送的，过了五六天才有货，相信京东。,2018-03-07 19:39:32,0,0,5
开***乐,PLUS会员,东西挺好的，京东值得信赖。。。。。。。。。。。。。。。。。,2018-03-08 09:34:33,0,0,5
j***c,金牌会员,好用，虽然这次是买手机送耳机的，音质好，老板大方，送个一百多元的耳机，谢老板。,2018-03-08 20:15:06,0,0,5
l***0,金牌会员,外观美观大方，而且这么便宜就能买到全面屏的手机，这也是我的第一次购物，真心不错,2018-03-08 11:09:44,0,0,5
j***h,银牌会员,免费送的耳机挺好，保护壳，数据线以及插头都有了，只是还差一张保护膜就完美了！,2018-03-09 13:13:16,0,0,5
c***h,金牌会员,买手机送的耳机，看着还不错，还没开始用，不知道效果怎么样。等用了之后再说吧。,2018-03-08 17:30:38,0,0,5
w***t,PLUS会员,华为品质，一贯好评。音质效果好，使用方便，可以听音乐。,2018-03-09 13:32:59,0,0,5
j***t,PLUS会员,价位太高，音效一般，性价比不高，不推荐购买，就说这么多,2018-03-07 15:40:33,0,1,5
醉***a,PLUS会员,买手机送的呢。耳机太多了 用不上。应该不会很差。赞一个,2018-03-07 13:32:14,0,0,5
j***x,金牌会员,耳机?效果不错，送的耳机?，但是没有跟手机一起送到这个不好?整体不错,2018-03-07 16:10:14,0,0,5
