名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
A***i,PLUS会员[试用],手机还是不错的，先用着，有问题了再说,2018-03-06 12:22:24,0,0,5
司***浪,PLUS会员,手机很好，很满意，卖家挺好，感谢提供这么好的商品,2017-12-09 14:15:36,2,0,5
布***鞋,银牌会员,手机是真品，跑分都是13w多，送了好的东西，挺喜欢 ，送了两个保护套，一个透明一个黑色，快递还是挺快的，从北京到佛山一天多就到了,2017-12-15 01:14:19,0,1,5
j***d,银牌会员,宝贝已收到，物流非常给力，从拍下到拿到手不到24小时，顺丰就是快，没得说！手机很漂亮，外观也很流畅，速度也很快。用了几部小米了，一直支持小米。,2018-03-01 16:55:31,1,0,5
j***2,银牌会员,"手机很好用  颜值高  运行流畅  拍照好  性价比高  
物流也快的很
商家服务态度也很好
京东的买东西放心",2018-01-16 07:00:55,1,5,5
无***0,银牌会员,"东西包装严实，内包装也不错。赠品到不咋地。说一下性能。6G运行内存，绝对主流，堪比小米6,照相确实比小米6好一点，硬件性能绝对 OK。拿到机器第一时间升级到miui9新版本优化很好。非常不错。",2018-01-15 14:37:11,2,1,5
新***仔,银牌会员,"宝贝很好用，不愧是6g+128g，运行快到无伦，一点都不卡(但，本人不玩游戏，对玩游戏卡不卡无从评价)。另一大优点，是电池续航持久，正常使用状态(看微信炒股看行情上网听电台股评)，亮屏好几个小时，电量也能轻松撑24小时，基本出门一天不用带充电宝。赞！赞！赞！?
唯一美中不足，系对Google一系列软件的封锁，很费周折才能安装。但就算安装了上，Google搜索也不能正常显示在桌面，只能在常用软件里找。犯得着吗？???",2018-02-05 04:04:43,1,0,5
带***猪,PLUS会员,不错，很喜欢。。。。。,2018-03-06 12:35:23,0,0,5
9***糖,银牌会员,"正品，送了钢化膜和指环支架
不建议贴钢化膜，因为屏幕的原因钢化膜贴上去不能贴合边缘，建议贴薄的软膜，不贴膜视觉效果最好?",2018-01-08 18:01:25,3,0,5
j***4,银牌会员,非常好用，反应快不错是6G运行，我一下连两部，我一部老婆一部小米note3值得拥有,2018-01-03 12:43:57,3,0,5
未来weilai112,银牌会员,"续航能力非常棒，一般用两天没问题，手机很好，反应很快，价格很实惠！性价比很高，关注了好久，果断下单！照相很清晰，特别用了一段时间才评价的，十分不错的全面屏！支持国产，支持小米note3，大爱！,6+128的反应很快，无任何卡顿，顺畅切换。握感很好！这是一部战斗的机！十分满意！相机很优秀 信号强大，满意！ 充电速度快，电池很耐用！",2018-01-18 15:53:32,2,0,5
I***r,银牌会员,手机真的好，快得我都有点不适应了！哈哈� ！孩子玩王者荣耀说比派快！大小正好！满意！京东购物放心，送货快！昨天拍的今天就到了，感谢顺丰！感谢快递小哥，态度非常好！卖家客服也好，耐心解答问题！一次满意的购物，下次还上京东买！,2018-02-25 19:35:38,0,0,5
暴***胖,银牌会员,"手机没问题，正品未拆封，运行不卡。电池待机时间还好，下午2点出门 正常打电话和偶尔玩一下 到晚上12点还有30%电量。
就是送的钢化膜是烂的 不过手机没问题 而且过年下的单 配送也很快 所以还是给5星吧",2018-02-28 07:22:52,0,0,5
张***嵘,钻石会员,发货很快，包装非常好，手机是原封没有拆开的，价格比官网和自营的都便宜，推荐购买,2018-01-25 13:53:18,0,0,5
似***追,PLUS会员,东西包装严实，内包装也不错。赠品实惠。最后说一下性能。6G运行内存，绝对主流。照相硬件性能绝对OK。但是优化有待提高。拿到机器第一时间升级到miui9新版本优化很好。,2017-12-25 16:33:01,1,0,5
s***u,PLUS会员,双十二入手，价格很好。目前没什么问题，样式很漂亮，就是玻璃机身，好担心碰坏。满分好评吧。,2017-12-22 11:01:24,2,0,5
j***m,银牌会员,正品，原装未拆封,2018-01-16 13:22:57,0,0,5
j***1,银牌会员,不好意思评晚了，用了十多天才评，我一直很信赖小米，这次拍下小米Note3这款，手机像素还挺清晰的，手感和音质不错，对这次网购很满意！快递哥也很给力晚上下单第二天上午就收到货了，小米note3已经强烈推荐给同事.这次购物很愉快。,2018-01-19 11:34:57,1,0,5
f***M,银牌会员,以往都是买白色的手机，第一次觉得黑色的手机原来可以这么的高大尚！拍照很赞，这个我最爱！开始时怕660的CPU会不给力，上手玩游戏非常流畅，游戏特效非常棒！电量还耐用，并没有网上流传的发热严重现象，长时间游戏会正常程度发热，散热很好很快。,2018-01-20 12:24:04,0,0,5
