名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
l***9,银牌会员,给老妈买的，就为了春节期间让她抢红包，外观挺漂亮的。电池说是大毫安，待机时间长短的无所谓了，老妈也够用了。关键是5.0的屏老妈用着也不大，刚刚好。一直都很支持小米，又给了亲戚买了红米5A。愿小米一如既往的好。给老妈买的4A没顾上拍照，拍个红米5A的吧.,2018-02-19 20:10:28,3,0,5
j***旭,PLUS会员,给老爸买的老年机，因为给他弄了张每月22G流量的卡，家里没有网，就当宽带用，随时都可以接受宝宝的视频。首先说开机，比我的4X慢点，不过老人也不用什么app，容量和速度都足够了，手感比较轻，对得起价位，性价比比较高，最实用的是双卡双待，老爸原来的号一样可以用，流量走我弄的卡就好，字体真的可以大到离谱，小米的好多黑科技还真是赞！感觉买对了，现在我的iPhone完全沦落为接打电话的工具，其他的都用小米！大爱！以后家里再有人换手机就给他们推荐小米！,2017-10-01 10:33:36,9,4,5
齐***衍,PLUS会员,很好用，很轻巧，给妈妈买的，还不错,2017-10-02 19:09:13,4,1,5
j***i,PLUS会员,买过一个了，不错，使用很方便,2017-12-14 12:03:48,2,0,5
j***i,银牌会员,我很相信小米，这是我第4次买小米，这次买给我妈妈用的，我妈妈收到货了，我妹妹跟我说这手机触屏反应很慢，而且我还怕假货。特意在京东买的，这能告诉我什么情况吗,2017-10-01 21:23:52,7,1,5
t***2,PLUS会员,1月29号下单，2月2号还没有物流消息，给京东客服联系，第二天就到了，怎么可以这样健忘，订单都忘了，这个手机还是挺不错的，手感也蛮好，给长辈用的，这个价格这个配置足够了，去官网核对一下，是正品，希望京东不要再忘记订单了！,2018-02-05 16:56:33,0,0,5
思***3,金牌会员,质量OK赞一个。快递神速。,2018-03-04 15:54:40,0,0,5
1***9,PLUS会员,"很喜欢在东东上网购 真的不错的 比其他网店实在 服务好 好喜欢 还会介绍朋友来
非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。
Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience",2018-02-04 12:24:32,0,0,5
j***眠,PLUS会员,物流给力、手机轻便、三网通还是双卡双待、用来放家里电信电视的卡用着也方便,2018-02-21 15:45:47,0,0,5
j***m,金牌会员,物流很快，昨天中午下的单，今天上午就拿到手里了，和心里想象的一样，无论外观还是功能都挺不错，反应挺快的！支持小米，像素一流,2017-05-12 11:55:17,6,6,5
j***i,银牌会员,物流很给力，昨晚下单今天中午就到，给婆婆买的，适合老人用！,2018-02-09 15:37:27,0,0,5
j***d,金牌会员,越来越信任京东，买了两部，都非常满意,2018-03-08 22:05:30,0,0,5
v***7,PLUS会员,给老妈买的，非常不错，还买了一大堆配件！！！！！老妈已经开始把玩起来了，一直拉着我教她玩！！！！！真心挺好的！,2018-03-02 21:35:42,0,0,5
