名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
秋***好,金牌会员,讲真，手感不错，miui优化也不错，装了不少软件，还是挺流畅的，没有明显卡顿。,2017-07-02 11:32:49,2,4,5
j***4,银牌会员,大家好，我2018年2月9号买的手机，11号晚上收到货，打开一看我好无语，2017年生产的手机，上面居然有2016年的短信，大家说说我买的是新机还是旧机？我发照片给你们看看。,2018-02-12 07:59:16,3,3,1
J***S,PLUS会员,小米手机，质量好，性价比高，重点是电池大，该有的功能都有，给家人用够了。,2017-08-26 00:25:08,1,0,5
w***5,PLUS会员,什么都好，物流快，产品对\(^o^)/得起这个价钱，但太不经碰了，掉到地板一下屏就碎了，屏就碎了，屏就碎了~要买一定要保屏碎险~最后说一句，第一次遇到手机这样，倒霉呀~~~~,2017-10-02 12:06:14,6,6,3
l***1,银牌会员,非常棒！全家都是米粉，本人用的是红米NOTE4x也是刚买的。,2017-08-31 14:02:04,0,1,5
奥***饰,PLUS会员,收到东西了，已经买了这是六次了，这次买了三台，非常好，特别优惠，下次还会再来的，全五星。,2017-08-26 08:01:50,0,0,5
z***1,银牌会员,送货速度超赞，上午下单下午到，几百元的手机拍照不能抱什么希望，一般情况下续航一天半无问题。,2018-03-07 21:16:02,0,0,5
j***3,金牌会员,收到了跟小米官网上买到的外包装好像有点不同，更方面还可以，就是感觉拍照不好看，特别是视频的时候效果奇差，不想说，没有对比就没有伤害视频时完全看不清这是什么菜，最后后面一张是我用原来的手机拍的,2018-03-05 13:18:33,0,1,3
j***j,铜牌会员,"我特意用了几天才来评价，说最真实的感受。
我算是第一批用小米的人了，米1和米2s都是刚出就买了，现在是一名果粉了。
当然红米算是低端产品，价格摆在这里。2G的运存减去自带的MIUI8系统和其他自带程序能用的就800M运存左右。
这就意味着想要流畅的话就不能打开超过2个APP。
相机的拍照效果极其一般，还略微有些卡顿。
16G的版本到手可用是10G，减去自带可用是7G左右，再加个微信，QQ,某付宝等常用软件就剩5G，就单单这几个应用用一段时间之后就会占用2到3个G的空间。
处理器最高频率1.4HZ，当初12年的2S的1.7要低
发热的情况是比较常见的，特别是玩游戏的时候。
系统的易用性是没差的，和小米旗舰产品没有差多少，可以说MIUI系统在安卓阵营里是前三的。
屏幕和手机大小，比苹果6S稍微大一点。电池4100毫安，看视频能玩一天不到，只打开微信，浏览网页的话，可以用一天多。
其他就不细说了。
做个总结吧，这部机子适合当备用机，老年机，还有一些手头不太宽裕的朋友。
假如你想要性能更好一点的话，还是多加一点钱买其他的机型吧，999到1499之间的机型性能会更好一些，毕竟一分钱一分货。",2018-03-07 15:09:15,1,1,4
j***7,金牌会员,刚开机还可以升级了miui9，可以说不卡，照相中规中矩，rom太小了，软件一多就提示了。多花点钱买32G的吧,2018-03-07 21:22:30,0,0,5
j***r,银牌会员,京东的物流就是赞！昨晚下单今天到，商品很好，外观很好看，希望电池耐用，喜欢,2018-03-08 23:39:02,0,0,5
c***8,PLUS会员,收到手机了，和网上图像一样美观，很不错，用后再追加评论……,2018-03-06 11:23:00,0,0,5
失***点,PLUS会员,很好用，外观还行，价格合适。,2018-02-07 09:01:16,0,0,5
j***j,银牌会员,这款手机外形非常满意，反应速度挺快，总之比我意料的要好。朋友都说我买的物超所值啦。,2018-03-08 17:22:52,0,0,5
在***上,PLUS会员,包装可以，一次点亮，自己设置好后，就可以使用了，唯一不爽的地方就是预装软件太多了，好多都用不到。。。,2018-03-08 07:26:19,0,0,5
