名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***w,PLUS会员,本来也犹豫过魅族s6但是等来的却是720p、电量缩小、双摄兑水（同比魅蓝note6）、无聊的屏内小圆圈（画蛇添足）。除了卖成白菜价的金属后盖，魅族已经没有什么吸引力了。一番失望后转到小米。蓝色的红米5P 很好看。购买了活塞耳机和透明硅胶套。用了几天了整体都很满意。18:9的屏幕是该机最大的看点看宽银幕电影视觉效果不错，比16:9宽松许多。虽然是单摄像头但是成像效果不错，比小米MAX2要好很多。前置摄像头拍人像特别优化化过，能接受。外放的音量也大声音清晰。用了送的活塞耳机打开米音后音乐播放调教讨喜。虽然不是全金属后壳，两端的塑料也没太大的廉价感。总的来说是目前性价比高的手机。,2018-02-03 14:29:00,37,32,5
s***g,PLUS会员,这是给老公买的新手机，旧红米让儿子的口水给弄坏了，我们家几年来用的手机都是小米，从2s开始已经换了好几部了，目前看着还行，还没发现什么毛病，电池也比以前的经用，还送一个手机套，质量不错，本来想买黑色但是看照片觉得制作的不上档次，看来看去还是选了金色。。送货快，13号晚上买，14号早上收到的，还冻着冰碴呢，在屋里暖和暖和才开机的，新鲜的图片给你们做个参考吧,2017-12-15 11:44:01,367,281,5
j***1,金牌会员,"不得不说京东发货超级快！昨晚凌晨12点下的单，今天下午4点多就到了！手机到手后，最大的遗憾就是没耳机送！
买了给老爸用的，主要看中的是电池够大，老人家最烦就是天天充电了。屏幕也够大，希望老人家喜欢吧！我手掌不算大，但单手控制改还是没难度的，就跟平常的5.5手机一般大小吧。看着还不错",2017-12-28 16:29:59,44,19,5
j***a,银牌会员,手机到的挺快的，物流依旧给力，红米5plus是小米头一款全屏千元机，虽然要7X差晚了一些，还好赶上了双12的发布，在****，没想到在京东才抢到的，不过感觉到手以后有点大还，嗯有点后悔了,2017-12-13 16:39:07,119,78,5
j***6,PLUS会员,"红米5p还不错，运行流畅，没有卡顿，4+64够用，骁龙625！之前一直纠结红米note4x跟5x，前者电池大，不支持微信指纹支付，后者双摄，外观好看！结果红米5p发布，没有犹豫，一下子抢了一部，不后悔。王者荣耀无卡顿！可以微信支宝等指纹支付，没有nfc，电池4000够用，不发热！摄像头就那么回事吧。备用机而已，单手操作有点难度，毕竟屏幕尺寸在那放着呢。送的耳机也可以接受。快充可以！还送了保护套！
总体满意度高，用了各种券，如果是前置指纹就完美了哈！要注意的事儿，不是超窄边，只能算大屏幕，支持小米，平民手机！照片是水果6拍的，机器带着原厂磨砂膜！具体清晰度如何，后续跟上！外放也可以，不用喷，用后感觉而已！希望给大家分享，
快递超级给力，上午十点抢到的，下午就送店里了哈哈！京东的物流速度，无人能比！",2018-01-13 14:28:41,722,114,5
j***3,钻石会员,这个手机挺不错的，同时还在京东下单了一台360n6，退了，屏幕素质真的不如这台，同等亮度，可视角度差这台太多，而且那个手机给人感觉很廉价。不过这台手机也有缺点，外放特别闷，比我的红米4和红米note4x差远了，而且这个版本电量显示不准确，六七十的电掉的特别快，到三四十的时候掉电特别慢，希望赶快升级优化,2017-12-29 17:06:16,114,52,5
B***C,金牌会员,外观好看，屏幕够大，电池容量也可以，小米手机性价比高，确实不错,2018-01-09 19:36:12,26,9,5
w***n,钻石会员,棒极了！给丈母娘买的，双12拍下的今天才到货，上手了一会儿有点爱不释手了！音质也超级棒！接在车上听起来三段均衡，低音强劲有弹性！比我的s7edge声音好多了，提升不止一个档次！大爱小米大法！,2017-12-16 15:11:37,46,24,5
w***1,PLUS会员,"我是卖手机修手机的，我手上有6p，note 4x，对比一下
外观：千元机这个价位算很好看的，比起note 4x更薄，机子四角比较圆滑不割手，屏幕显示不错，背后两边有弧度适合掌握。
运行速度：不错，运行各种应用和游戏没感觉卡
续航能力：因为屏幕略大，比note 4x略差，完爆iPhone 系列，充电略慢吧，没有9v2A
内存：可用22g
拍照功能：差的我想吐，后摄像跟我的6p一比简直被虐出翔，还1300w？前摄与note 4x齐平强于6p
音乐播放：不管耳机还是外放都强于另外两台手机。
录歌质量：很差，跟iPhone 没得比，本人喜欢唱歌
还有个问题屏幕有时会误触，没点到那里却自动点，不知道是不是保护膜的原因，很坑
总结：就是放大版的note 4x，外观更好看了，屏幕更大了
缺点：拍照功能，充电略慢，声音录入不好，下巴比较大，虚拟导航键做的不好，在屏幕下方中间，看第二图，不习惯也不好用。
不适合人群：喜欢旅游拍景色的，喜欢唱歌的。
其实我想给4星的",2017-12-14 10:38:11,373,136,5
陶***清,银牌会员,抢了两天终于抢到了黑色的，然后一个多小时地区就没货了，很幸运，三天内到发货，隔天到手。手机轻重刚刚好，像素当然不比了我的X20。总体来说一千块买的挺值的。放心购买吧。,2017-12-30 12:45:03,47,7,5
