名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***n,金牌会员,手感很好，一千不到的手机性价比很高，运行流畅。小米的产品越做越好，让国民受益。,2018-01-07 10:06:25,6,7,5
j***7,钻石会员,双十二下的单，第二天就收到了，现在的小米已经不比往年了，这次是真备足了货的，基本不用抢的节奏啊，大赞！手机外观非常漂亮，圆角矩形的图标搭配圆角的屏幕还有圆润的机身，金属后盖上下还有两条亮线，真有点旗舰机的感觉，或许这就是小米说的旗舰机的做工用在千元机上吧。手机黑边也很小，屏幕18：9，看视频那叫一个爽，虚拟健可以设置隐藏的，需要时候从屏幕下面往上划即可呼出，系统直接预装MIUI9.1.2稳定版，昨天又升级MIUI9.1.7，操作流畅，反应极速，安卓版本7.1.2，更多性能等待深入体验后追评，在千元又想体验18:9宽屏（我不叫他全面屏）的用户完全可以入手了，相比以前的红米，无论外观手感性能，可说是震撼。可是呢，相机模组能不能不要做的那么大，不要像某某某厂家学习行不行，希望红米像小米一样，一直保持着无论多牛的相机都把它做的跟机身一样平，不过还好，官方赠送了一个保护套，还是起到了一定的保护作用的，也省的再买个套套了，赠送了耳机，好评好评！,2017-12-16 21:41:27,29,25,5
S***1,PLUS会员,小米是非常值得信赖的品牌，已经买了好多台了，觉得非常的好。中国超级品牌，希望继续加油，继续努力。,2017-12-31 11:47:08,32,28,5
j***9,金牌会员,手机确实挺不错，等这么久也值了，给父亲用完全够了，买这个手机，你就完全不要指望玩游戏了，只能说这个处理器不适合玩游戏，第一次用这种号称全面屏的手机，确实是比一般的屏幕用起来更爽一些，但其实我心里是不承认这类强行称自己为全面屏的手机的，所以用着舒服就行，也不吐槽了。,2018-01-14 12:04:51,10,4,5
j***l,金牌会员,"呵呵 第一批开卖就买到了 京东好给力哦 京东物流也更加杠杠的 小哥晚上九点多了还送 
 首先手机包装很好 送了耳朵  手机里还自带磨砂膜 及软壳在这里给小米个大赞，
18:9全面屏很惊艳，四角经圆角处理视觉很好 屏幕黑边框很窄，想不到现在小米滴百元机都做得如此精致 
miui9全新功能很多很实用 大爱
高通450处理器确实很好 省电 而且不发热 适合对大型游戏不感冒滴人",2017-12-16 13:49:25,16,5,5
海***城,金牌会员,可能是小米的产品用的比较久了，感觉还是小米的好用，给妈妈买的，希望不要像我上次给妈妈买的魅蓝s6那样垃圾就好。妈妈只玩微信，全民K歌和今日头条，我个人觉得这个配置完全够用了，接下来使用好坏都会上来追加的。,2018-03-01 15:54:32,0,0,5
l***l,金牌会员,红米2换成红米5，屏幕大了好多，很不错，红米5性价比很高。,2017-12-13 17:41:03,50,29,5
w***4,PLUS会员,给老妈买的，声音很大，照相也比较清楚，老妈很喜欢，因为是头一次用智能机还在适应中。千元一以下的全面屏，建议入手。,2018-03-01 17:07:43,0,0,5
酷***K,银牌会员,第一次买红米手机，之前用oppo这款手机很好用早上拍下下午就送到了京东物流很快，个人比较喜欢这款玩游戏不卡很流畅。性价比赞,2018-03-09 13:57:53,0,0,5
曾***永,银牌会员,运行速度挺快的，手机很漂亮，家人很喜欢。,2018-02-08 19:16:28,5,0,5
