名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
柳***舟,金牌会员,599元红米5A特供机，价格的确不错，优缺点分析下，优点就是便宜，miui的确不错。缺点5.0的屏幕放在手里感觉有点沉甸甸的感觉。其它方面整体都不错。毕竟599买来当备用机还是很好的，如果是经常玩手机就不要买了，这种廉价手机屏幕看多了眼疼。推荐经常想玩手机的还想便宜的，买京东自营的899的红米note5a。整体来说599能买到如此手机，除了小米还真的没有其他厂商能做到。便宜，实用。性价比没得黑。手机收到了，也没问题。买给小孩子，老人。备用机挺划算的。,2017-11-17 17:45:46,81,13,5
青***风,PLUS会员,小巧精致，运行流畅，性价比超高的一款手机，支持国产，信赖京东！,2017-10-31 03:21:06,20,6,5
j***h,银牌会员,春节期间下的单，因为过年所以晚送了几天但是隔天就到了，很快。拍照只能说很一般，但是老妈也不怎么用，也能凑合，至于屏幕很平，有些菈手，贴个钢化膜好多了。2g运行16g内存够用了。还用了优惠券可以说很划算了，支持红米手机！,2018-03-06 20:16:54,0,0,5
三***水,PLUS会员,给老人家买的，手机系统运行流畅，安装程序方便，自带的小米程度很好用，也比较容易上手，这个价位在实体店是买不到的，屏幕分辨率一般吧，比不上高端机，毕竟不到600元，已经比较走心了，?！,2017-11-18 11:31:15,43,6,5
J***D,银牌会员,在京东买东西物流倒是挺快的，不过手机这款浅蓝色的屏幕又黑屏，果断退货，之后咨询了下官网，确定手机就是有黑边的。反应速度还行拍照效果不咋滴，毕竟一分钱一分货。灰色珀银灰的版本没有黑边，都是一个厂家生产出来的，不知道咋会这样呢，，，最后再给快递员一个赞,2017-12-01 13:16:42,29,11,5
j***1,银牌会员,手机非常棒，送的壳还是3D镶钻的。我还中了台笔记本电脑，用着很好很OK。,2017-12-29 12:34:25,121,20,5
乐***4,钻石会员,刚刚收到货，还没来得及试用哈。样子不错。,2017-10-21 11:41:48,14,1,5
天涯HONC,PLUS会员,发货神速当天到家～ 用了一下感觉不错 性价比高～后续持续关注!,2017-10-20 21:32:46,13,8,5
r***1,金牌会员,普通使用，运行比较流畅，给老妈用，就微信，接打电话，够用了，大小也合适，不会太小看不清，也不会太大不好抓，电量也经用，老人用和备用皆宜。,2018-03-07 20:46:33,1,0,5
j***r,银牌会员,刚拿到给老爸买的。用着还可以。,2018-02-28 17:54:53,1,0,5
