名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
威***7,银牌会员,真好用啊，高米迪尽量,2018-02-20 15:46:01,0,0,5
郝***倩,银牌会员,系统很好很流畅不卡，屏幕很大打王者荣耀很爽。卖家服务态度很好。,2018-01-02 14:28:46,4,0,5
j***f,银牌会员,小米忠实粉啊,2018-02-15 16:51:35,0,0,5
j***b,铜牌会员,"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度也非常快  手机用起来手感好   速度非常快 打王者吃鸡速度杠杠的  送的钢化膜不是全屏的就有点不好了  下次买过钢化膜   总体来说非常不错   给老板点个赞！！！！",2018-02-24 12:28:46,0,0,5
j***q,银牌会员,"手机刚入手几天，给家人用的，非常满意，我家第二部小米手机，在市面上也看了几款，最终还是选择了小米，小米，支持国货，支持亲民的好产品！好的性价比，好的手机！小米加油↖(^ω^)↗↖(^ω^)↗↖(^ω^)↗↖(^ω^)↗↖(^ω^)↗加油！希望小米，希望华为，OPPO,VIVO…………，所有的民族品牌都起来，把缺一口的苹果，爱爆炸的三星踩在脚下！",2018-02-25 23:18:33,0,0,5
y***2,PLUS会员,使用了几天.目前感觉还可以.不错.,2018-02-26 08:25:55,0,0,5
j***o,银牌会员,手机网速很快，电量充足，手机各方面功能都好，原装密封，一看就是正品，商家态度很好，不会装卡，能及时解决，耐心好，准备二次购买！物流很快！快递哥很好！,2018-03-09 14:02:43,0,0,5
j***u,PLUS会员,帮朋友买的，她还是很满意的，这款手机性价比高，款式又漂亮！,2018-02-05 22:44:21,0,0,5
w***n,铜牌会员,包装好，手机很好用，质量好，老板很客气，服务好，快递很快，快递员也很客气,2018-03-05 14:12:56,0,0,5
下***雨,PLUS会员[试用],插入SIM卡才能允许未知来源，不然下载不了应用，不过还好我知道原因了到小米商城下载才能安装起来！这手段过分啊！手机玩王者倒是蛮流畅的，没出现什么触屏失灵，看来我买了正版，屏幕光滑而不失舒适，整体还是不错的！快递还行吧，三天到了，毕竟我也能理解从北京发往南京的货已经够快了！,2018-02-25 17:55:09,2,1,5
