名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***b,金牌会员,白条买的，用了快两个月了，没毛病，给个五星吧！就是没有我的LGG3用起来习惯，也没有LGG3的NFC功能，拍照还凑合，拍照有黄屏的感觉!,2016-12-26 13:11:58,8,3,5
横***索,金牌会员,岳父的红米note2被偷了，熟悉的系统一样的屏幕尺寸这个性价比不错。吐槽一下小偷用了一年多的红米你也偷！,2016-12-27 11:35:12,7,5,5
w***n,PLUS会员,不错不错，像素清晰，尤其是拍近景，远景差了点，但是这个价位已经很不错了，屏幕很大，看起视频来不错，就是没有耳机和手机膜，总之还不赖！！！！！！！！！,2016-12-26 10:44:32,6,0,5
A***茹,金牌会员,手机收到几天了，现在才来评价，还可以吧，就是我买大了一点尺寸，手机速度还是蛮快的,2018-01-11 17:08:56,0,0,5
j***a,银牌会员,还可以挺好用的,2018-01-07 09:22:58,0,1,5
苏***1,银牌会员,看着还不错，电池不怎么耐用 ，买了个新的手机壳,2018-01-05 22:52:45,0,0,4
我***望,银牌会员,小米Note4用着还不错，通话质量好，就又买了一个。,2018-03-05 19:19:25,0,0,5
最***疼,PLUS会员,价格不错，给老人用的，很实在,2018-01-24 22:09:18,0,0,5
j***p,金牌会员,京东配送真心棒，手机速度还行。但是 但是 但是 小米设计士真他* nc。居然拍照声音不能消除 多尴尬。。无论什么想法理由 都不能原谅！太傻 太傻 还有拍照 或者单手操作时 经常碰到其他功能。不符合人体工程学。设计者 无语！！！,2017-11-03 14:08:14,1,0,5
刘***丹,PLUS会员,公司做软件开发 买这款手机做测试使用 质量不错,2018-02-28 12:11:17,0,0,5
C***M,银牌会员,指纹反应还可以，配置满足中年不玩游戏的人。,2018-02-23 15:10:06,0,0,5
j***f,PLUS会员,手机外观漂浪，屏幕大，较重，目前还没发现什么问题，电池也挺好的。没有耳机，装卡那里要用盒子里面的小针小先把卡槽勾出来。物流很快，当天下单，下午就收到货了。,2018-02-28 08:22:56,0,0,5
j***i,铜牌会员,首先物流速度是快，手机用十分钟没电了，然后手机发热，冲电居然要6个小时，现在用半天电己去一半，不知手机有没有问题？,2018-02-21 15:02:47,0,0,5
j***a,银牌会员,还没用用后再评,2018-02-01 11:36:49,0,0,5
青***树,金牌会员,垃圾牌子就是垃圾牌子，做这么多年手机没有一点改变，相机还是那么渣拍人模糊不清，屏幕还有点小失灵，电池那么大容量也只能用半天，一个千元手机搞那么多核，系统Ui设计跟个老人机一样，把价值用在有用的地方，会有人买个千元手机玩游戏嘛？还说性价比最高，是高，但是高错地方了！低中高端分区清楚！别想样样占一点！,2016-12-05 16:32:49,410,187,1
袋***米,PLUS会员,春节物流还是看京东，出了缺少快充，其他都很满意。,2018-02-19 16:17:35,0,0,5
y***9,金牌会员,不错！价格实惠经济适用，到货及时，手机的容量大电池也大希望好用,2018-02-09 11:05:08,0,0,5
元***意,金牌会员,拿回来第二天屏幕就失灵，需要重启，虚惊一场，几个手机都是小米的,2018-01-21 23:14:28,0,0,5
6***o,金牌会员,给老爸买的，外观不错，充电很快，京东快递，就是快！,2018-02-20 18:19:29,0,0,5
瑄***爱,钻石会员,非常非常满意，五分好评。买过多次了，还会再次光临。,2018-02-13 18:50:53,0,0,5
天***长,银牌会员,用来用去都是小米2.3.4，红米3，红米note2.3，现在用4。挺好看的，用去来很好吧！,2018-01-11 15:54:07,2,0,5
丁***秀,PLUS会员,宝贝收到了，还未使用看着还不错,2018-01-07 17:09:39,0,0,5
j***k,钻石会员,给儿子买的，速度快，很好，儿子也非常喜欢,2018-01-21 09:09:32,0,0,5
j***j,银牌会员,很好用，一直用小米的产品，好用超值,2018-01-26 18:09:07,0,0,5
s***6,铜牌会员,物流很快，手机很喜欢，好评！,2018-02-23 10:48:42,0,0,5
j***f,铜牌会员,拿到手上手感超好，绝对的正品，手机反应速度超级快，手机配置就不用说了！相信京东自营，给京东自营一百个赞，给手机一千个赞！大爱小米！哈哈,2018-02-25 10:33:39,0,0,5
d***0,PLUS会员,此用户未及时评价，系统默认好评。,2018-01-22 11:08:29,0,0,5
海***火,PLUS会员,此用户未及时评价，系统默认好评。,2018-01-06 20:41:15,0,0,5
惜***9,银牌会员,手机是帮朋友买的，我自己用的也是这样的，感觉还可以,2018-01-13 09:13:02,0,0,5
E***y,铜牌会员,小米家的忠实粉丝，自己用的红米note2.这次给老公买的note4，屏幕大，反应快，机身薄，他很喜欢。,2018-02-22 11:22:34,0,0,5
F***-,银牌会员,给朋友买的，被告知有损伤开始时我还不信。找了客服了，被告知的自己付运费还的经检验不是人为才给换，让人感觉好麻烦好亏还是不折腾了，就这样是不是人为？是谁弄的还真不好说。买了几个机子了就这个让人最是失望，麻烦出厂前也做好检查行不？？？？？失望……,2017-09-23 17:47:50,0,1,3
懒***麦,银牌会员,买亲戚买的的移动合约版，感觉在各方面还行。电池目前还不知道能用多久，像素拍照也蛮可以的，老人用，也不太讲究，等过几天看电池续航能力怎么样在来追加。,2018-02-25 10:16:51,0,0,5
想吃奶酪的鼠,PLUS会员,帮别人定的，因为那个人只喜欢小米，挺喜欢的！快递也很快！很喜欢,2018-02-08 09:07:02,0,0,5
单***舞,银牌会员,还可以，就是下完一些软件后，按屏幕键，亮屏没有刚收到手机的时候快了。,2018-03-06 15:38:03,0,0,5
瞌***果,PLUS会员,一直以来采购的都是这个型号 自己没有用过 同事在用,2018-02-05 14:15:06,0,0,5
A***U,银牌会员,很好，十核处理器，4100毫安电量。颜值好。支持国产支持小米.,2018-02-23 12:31:21,0,0,5
j***8,银牌会员,第二次买这个型号的手机了，一直很好用，这次买送给家人的，大爱,2018-02-23 19:35:19,0,0,5
青***a,PLUS会员,东西不错，挺好用的，京东快递真的快，好评！,2018-01-26 11:28:23,0,0,5
海***飞,钻石会员,上次卖了一部觉还行，刚才家人的手机坏了，就帮他卖多一部,2018-02-16 19:09:17,0,0,5
j***g,银牌会员,刚买回来给老爸的，以前一直用小米，性价比高没得话讲,2018-03-04 21:37:03,0,0,5
j***丶,金牌会员,手机物流虽然是在过年期间 但是也不错 挺快的 好评,2018-02-27 11:48:50,0,0,5
无***心,金牌会员,很不错的，这已经是第二次购买了，买了两个，爸妈很喜欢,2018-02-05 00:16:14,0,0,5
s***0,PLUS会员,不错的京东，正品价格还便宜,2018-02-20 11:25:55,0,0,5
唐***丑,PLUS会员,帮人买的，不知道好不好，呵呵,2018-01-20 19:02:25,0,0,5
