名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***x,PLUS会员,不说别的我们就说说小米的防水。上次我的小米，掉马里亚纳海沟里了，我以为手机肯定完了，不是进水就是被水压压爆了。结果令我没想到的是，我的小米用徕卡镜头当眼睛，自动开启了手电筒照亮海底，以手机GPS当导航，凭借着金属机身的流线感，靠着手机震动不断划水，竟然又找到了我！骁龙625处理器散发的温暖，使我拿到我的华为的时候不是冰冷的触感，而是略带温热。这一刻，我真的感受到了祖国的温暖。此生入小米，来世还做中国人 接下来说说小米的闪光灯，我下矿现在都不带头灯了，手机一拿出来，整个矿都亮。信号超给力，记得有一次当时我们矿透水踏了，地下6000多米，500多个工友手机都没信号，我拿出我的小米打通了求救电话。而且小米的电池特**，当搜救员工找到我们时，由于塌方，电全断了，他们用绳索吊上去200多人。可是突然发生二次塌方，如果不快点救人，那就全完了。我拆下我小米的电池搭通升降机，当时全矿居然都通电了。升降机轰隆隆的，以前一次拉10个人就不行，用小米电池一次拉了50多个，5分钟就救出了所有人。 等救完人，把电池还我，装上,2017-11-10 11:14:02,880,245,5
程***雨,PLUS会员,不说别的我们就说说小米的防水。上次我的小米，掉马里亚纳海沟里了，我以为手机肯定完了，不是进水就是被水压压爆了。结果令我没想到的是，我的小米用徕卡镜头当眼睛，自动开启了手电筒照亮海底，以手机GPS当导航，凭借着金属机身的流线感，靠着手机震动不断划水，竟然又找到了我！骁龙625处理器散发的温暖，使我拿到我的华为的时候不是冰冷的触感，而是略带温热。这一刻，我真的感受到了祖国的温暖。此生入小米，来世还做中国人 接下来说说小米的闪光灯，我下矿现在都不带头灯了，手机一拿出来，整个矿都亮。信号超给力，记得有一次当时我们矿透水踏了，地下6000多米，500多个工友手机都没信号，我拿出我的小米打通了求救电话。而且小米的电池特**，当搜救员工找到我们时，由于塌方，电全断了，他们用绳索吊上去200多人。可是突然发生二次塌方，如果不快点救人，那就全完了。我拆下我小米的电池搭通升降机，当时全矿居然都通电了。升降机轰隆隆的，以前一次拉10个人就不行，用小米电池一次拉了50多个，5分钟就救出了所有人。 等救完人，把电池还我，装上电池还有98%。,2017-10-22 20:44:39,1849,521,5
G***n,银牌会员,"刚到货就迫不及待的拿来用了，手机外观十分漂亮，
目前使用很流畅，手机存储空间大约剩余23G,
没有运行任何应用的情况下，内存剩余1.5g。
批量安装应用时会有少许发热，
不过4G的网速比较慢，明明信号满格，我用电信4G还不如30兆的宽带快，这手机4G太慢了。",2017-10-28 15:45:43,45,20,5
小薇微微微,银牌会员,汽车?碾压后一切正常，真结实，下次还买京东自营，绝对正品,2017-11-17 23:22:48,488,79,5
达***梨,PLUS会员,红米Note的手机一直在我视角里是性价比很好的代表，双十一前夕无意中看到老妈在看手机，都是看几百元，立马推荐老妈买小米的，老人机不需要很高的配置，老妈基本只用微信和看看电视，拍拍照片什么的，这款红米手机完全够用，看到有一定优惠力度，果断购买，收货这次稍微有点慢，可能是很多地方缺货严重，我去门店看也是没货，总体对京东快递满意，手机也很不错…希望可以用的久，不要出什么问题，毕竟我是在华为和小米之间推荐了小米。,2017-11-18 17:33:15,14,8,5
j***u,银牌会员,"1、购买过程:买的高通的，差点买错。买之前各种对比，觉得note4x还可以，决定拍下，一开始想选个黑的，结果没货，就选了个香槟金的，还打了个3期的白条，拍下后才知道，原来高配版只有浅蓝色是高通的，其他都是联发科，看到网上各种评论给联发科，瞬间手抖了。上午立马拒收，重拍，拍了浅蓝色。当天晚上拿到了就。白条额度也是2天就给退了回来。
2、使用体验:没放手机卡，只是联网玩了玩游戏王者荣耀，待机时间蛮长的，连输了3把排位也不热，反应也比较灵敏。其他功能还没深究。但是有两个地方还是很渣的，音量和像素。音量，50%以下基本听不到，50%以上每＋一点声音变化就很大，这不合理。像素，忽悠人，这个像素绝对忽悠人，什么拍照手机，都比不过999的红米note3，发黄还像素低。
3、配件:买手机壳的要注意了，很多网店对浅蓝色4+64的定义为标准版，其他颜色的定义为高配版。因为手机上方的开孔位置布局不一样，买手机壳的时候要注意。之所以说这个，是因为我觉得，买这个价位的手机的，都不肯花冤枉钱，买回来不能用，多尴尬。
4、我觉得这款浅蓝色高配手机，适合不在乎像素和音质的朋友。比如运行、内存、联网稳定还蛮好。新机吧。",2017-11-10 09:29:45,110,34,5
b***g,PLUS会员,非常满意的一次购物，4x高配版，怎么都够用了，反正一般一年换一次手机嘛！待机时间长，运行速度也比较快，这个价位挺划算的！,2017-09-25 21:35:46,76,24,5
Nakupendawe,金牌会员,给妈妈买的，其它什么都好，就是12月20号下午下的单，发货时间说好昨天到的，结果今天中午才到、这点京东得注意了。明知道到不了的货提前和我们这些消费者打电话说下好吗！害得我让我眼巴巴期待一整天。这款手机亮点我有几个点说几个关键词：1、指纹解锁飞快，2、屏幕大、单手操作怕摔，3、电量充满电能随你玩一整天、无压力！看看用段时间之后再发表一下用之体验吧！总体很满意！,2017-12-22 17:14:20,11,6,5
泼***水,PLUS会员,"给外婆买的。初音未来版本好看。卡槽会动？
快递包装还是一如既往的辣ejfnwkskc鸡，直接放纸盒过来！",2018-02-11 10:23:49,2,0,5
j***o,PLUS会员,"已使用4天，效果不错！
苹果转小米，因为苹果进步越来越小，已没啥新鲜感，还敢卖死贵；用过小米电视盒子、插座、水质仪、移动电源等产品，质量不错，且销量大，所以选择它。此机骁龙8核、4G内存，优惠下来llso，性价比无敌！
优点：1、待机时间长，中度用机2天不成问题；2、触摸灵敏，很顺滑，与苹果没啥区别（之前使用过4S、5S、6、7P）；3、骁龙8核系统流畅、64G空间够用，早就忍受不了小气的苹果了。4、红外遥控是个小亮点。5、认可小米品牌。
可改善：1、相机太差了，比5S差远了，特别是运动拍照效果，自带马赛克，相比其它方面，这点太差；2、小米应用商店中无“山姆会员店”APP；3、UI图标欠精致感；4、自带软件太多了，好在大部分可以卸载；5、卡槽松动（见视频）、双卡一张为micro-sim，不是很方便，现在基本上用nano卡了。以上缺点，对于千元机可理解，但是相机相机相机，真得改善！扣一颗星星、免得骄傲！
希望对大家有用，也希望小米越来越好！",2017-10-07 17:01:21,69,26,4
