名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
M***n,PLUS会员,"小米手机二百优穗卷：【 ynh.在线/5a 】复￥制括号内内容。到浏￥览器中￥打开领取，不错，首先感谢快递员同志，都晚上7点多快8点了，我都躺下了，他居然过来了，国庆节就是忙啊！我又穿上衣服去那这手机，其次手机非常不错，比以前的好用不少，比手里一千多的努比亚也不错，介绍里面说屏幕NTSC70%,但是使用时看不出来，和我这努比亚90%多的真的没有区别，不过看电影时就看出来了，还是NTSC越高越好，屏幕越清楚，就是有2点不太满意，没有键盘灯，没有前置闪光灯，系统非常流畅，虽然2G＋16G,也就是11年的旗舰配置吧！699买个5.5的不算贵，那个红米4A是5.0的屏幕不是还要599嘛！真是第二个红米手机了，16年过年的时候买过一个红米note,也是5.5的屏幕，放褂子兜里面太大，掉出来，居然把屏幕摔坏了，买了才几天啊！后来有事情让我生气就把手机摔坏了，不过系统比努比亚，魅族感觉好用多了，个人见解，勿喷，现在手里面还有一个魅族NOTE3,一个努比亚小牛5一个6，一个zuk z2pro,都是j..d入手的，挣的钱都买了手机了，就没钱干别的了，打算过些日子把note和zuk当掉，换钱花",2018-02-06 14:17:30,13,8,5
唐剑平,银牌会员,一直用雷军产品红米系列，主要经济易接受，红米手机系列适合要求不高不玩游戏只作联络工具或上一下网看看新闻普通家庭穷人家使用。,2017-11-11 12:29:40,197,66,5
j***6,PLUS会员,"不错，首先感谢快递员同志，都晚上7点多快8点了，我都躺下了，他居然过来了，国庆节就是忙啊！我又穿上衣服去那这手机，其次手机非常不错，比以前的好用不少，比手里一千多的努比亚也不错，介绍里面说屏幕NTSC70%,但是使用时看不出来，和我这努比亚90%多的真的没有区别，不过看电影时就看出来了，还是NTSC越高越好，屏幕越清楚，就是有2点不太满意，没有键盘灯，没有前置闪光灯，系统非常流畅，虽然2G＋16G,也就是11年的旗舰配置吧！699买个5.5的不算贵，那个红米4A是5.0的屏幕不是还要599嘛！真是第二个红米手机了，16年过年的时候买过一个红米note,也是5.5的屏幕，放褂子兜里面太大，掉出来，居然把屏幕摔坏了，买了才几天啊！后来有事情让我生气就把手机摔坏了，不过系统比努比亚，魅族感觉好用多了，个人见解，勿喷，现在手里面还有一个魅族NOTE3,一个努比亚小牛5一个6，一个zuk z2pro,都是j..d入手的，挣的钱都买了手机了，就没钱干别的了，打算过些日子把note和zuk当掉，换钱花",2017-11-10 15:03:37,94,34,5
固***府,PLUS会员,红米5高配版，比原来的2G×16G确实好多了。8核运行速度快，相机效果更好了。,2018-01-02 16:26:02,21,10,5
考***爱,金牌会员,用了一周多了，双十一719买到的，包装盒很精致，前置摄像头配合柔光灯，拍的照片也很好，屏幕显示还凑合，看视频听歌声音也很大，比之前的红米3音量大，指纹解锁很快，触摸即开，最后说说电池吧，看视频玩游戏一天足够用了。,2017-11-21 22:35:26,39,12,5
一***草,PLUS会员,900快很超值了，给长辈用很满意。小米忠实拥护者，买过的的小米太多了，自己的mix2也真心不错，以前的小note要不是16g内存不够也还可以用一两年。,2017-10-27 14:30:14,110,75,5
J***北,金牌会员,给父亲买的第三部手机了（突然发现他换手机的频率比我还高 /捂脸），他挺满意的，毕竟是他自己挑的，哈哈,2017-11-02 00:45:15,72,8,5
j***3,钻石会员,比红米Note4x要轻一些，手感温暖些，不放在一起，正面是看不出什么Note的，很容易拿错，系统比4x卡，不知道是不是用TF卡造成的，正面补光灯没什么卵甬，可以用4x的贴膜，有些许误差，不明显，又省了10块钱……,2017-11-19 16:00:14,12,3,5
j***极,金牌会员,一家子米粉。给老人买的，不错，5.5寸大屏加上大字体，大音量，3g+32g的储存足够了。续航非常好，1300万像素，清晰度还可以。,2017-11-11 18:34:32,16,4,5
y***j,银牌会员,送妈妈的，很好，也很漂亮，一直用小米，很好用，天气冷时朋友用其他品牌手机怕冷会冻关机，但是小米不会，所以一直信赖小米,2018-03-08 10:12:28,0,0,5
仁***烈,PLUS会员,收到后对比以前用的红米Note3，感觉完全不同，虽然这机电量d确强差人意了点，但4g加64g的配置依旧在千元机中首屈一指，尤其在旧系统移植到新系统的时候，只需一小时不到就搞掂了，所有电话短信软件里面的账号密码完全不用再重置，这也是喔信赖小米这个品牌的唯一标准。至于网上有的人买到的手机出现什么这样那样的问题，其实我用了那么小米机，还真没试过这么倒霉，强力推荐各位选择，只要雷军思想不滑坡，小米品牌是你值得拥有一辈子的国产高端品牌,2017-12-18 21:41:40,16,8,5
j***福,金牌会员,手机收到了，小米手机还是一贯的好用！虽然这红米note5a为塑料材质，但是工艺的提升，让这手感不亚于金属的层次。高配版还拥有1600万柔光自拍+柔光灯，真是良心到家，秒杀同行价有木有！！这次趁着双十一果断在京东入手它，优惠多多，哈哈！,2017-11-13 14:32:44,5,2,5
半***会,银牌会员,给老爸用，用了还不错，5V2A,2018-01-05 23:15:21,20,2,5
你***拥,PLUS会员,这个价格，非常流程，真的很不错，喜欢，给老人用合适。,2018-03-08 20:51:50,0,0,5
j***9,铜牌会员,感觉手机还不错用了第一天，玩游戏不卡，拍照一般般吧。感觉没有1600万像素，内存也是22.几g没有30。打电话说话也还好，音乐播放还行。感觉不太好的是屏幕分辨率不够高清。,2018-03-07 23:41:52,0,0,5
z***J,铜牌会员,手机收到了不错手感很好。第一次用小米手机。给老婆买的备用机。京东的快递真是一流。全五星好评,2017-10-13 13:31:25,10,3,5
7***o,金牌会员,2月23号买了一个樱花粉给老爸，前两天又买了一台土豪金给老妈（本来还是想买樱花粉的，可惜无货），手感及外观我都很满意，希望这款手机不会让我失望,2018-03-09 19:32:37,0,0,5
j***d,PLUS会员,外观很棒，电池超级续航，小米良心品质，值得大家购买，货真价实，良心品质，小米！,2018-03-07 10:54:13,0,0,5
G***西,银牌会员,第一次用小米手机，感觉还不错。性价比很高。内存大还能扩展，真的是棒棒哒！关键是我年前买时还有优惠，还有三十天保价。京东购物真心的好。???,2018-03-08 23:58:53,0,0,5
贱***丿,PLUS会员,很满意，发货相当快，昨天买，今天就到了，非常棒。很满意,2018-03-08 13:14:31,0,0,5
帅***少,金牌会员,第二次购买了，非常666,2018-03-09 21:09:38,0,0,5
老汪家的喵,金牌会员,挺好用的，性价比高。。,2018-03-09 15:28:31,0,0,5
舟***J,银牌会员,因为是买个妈妈用的，字体调的比较大，这样方便看。再者不怎么用，也可以坚持个2-3天。不怎么玩手机的这个配置足够了。不错不错。,2018-03-07 11:46:27,0,0,5
2***w,金牌会员,比官网上还便宜200块！所以果断下手！京东自营值得信赖！手机很轻！用起来很顺手！清晰度很高！照相音乐效果都满意！好评,2018-01-05 17:21:58,2,3,5
活***i,金牌会员,京东自营快递速度没的说，但是手机外面只有一个塑料袋装着，里面手机盒子被磨损了，假如我想在卖掉，这盒子也影响价格啊，既然你京东卖几成新！几成新的东西！那你给客户邮快递就需要保证“快递”是百分百新的呀，包括盒子等附属东西，建议塑料袋子里面加一些泡棉增加缓冲！！！！,2018-03-09 13:23:22,0,0,5
