名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
龙***1,金牌会员,"这是买的小米的第二部5x了,第一部是自己用，用的相当好，深深的被小米系统所吸引了，自从小米手机除了5x主打线下，再也不用抢了，你老板真是做了一件大好事儿，其实早就应该攻打线下了。最近准备给爸爸买一部手机一直在犹豫，是买红米not4x还是小米5x。其实我心里一直有这样的想法，小米手机再次也比红米手机强，毕竟是本部的，但是考虑到300元的价格差，还是有点小纠结。双11真是给了我一个大大的惊喜，晚上突然发现5x降价了，这会果断出手，买了小米5x.小米5x的优点很多，首先，他的外观很漂亮很符合大众的审美观，无论是尺寸，手感与苹果手机很相像。其次它的性能也很好，王者荣耀一点也不卡，而且摄像头是双射，效果很好。自从换了mui9，手机速度刷刷的,所以这会回手机一拿到手果断升级系统，真的太值了，这次。还要说一下京东的配送，真是给力，凌晨一点下的单，十点就送到手了，真是令我惊喜",2017-11-12 17:28:35,240,179,5
z***g,金牌会员,当天到货，速度非常地块，感谢小米，感谢京东，手机使用了一天还不错，没有网上说的那些问题，外观很漂亮很像是旗舰机，音质还行对得起价格，WiFi信号稳定，拍照还可以，中规中矩普通拍照不错，玩了几局王者荣耀，没有卡顿现象，有分屏功能和红外遥控，电池还是挺耐操的，48的电玩了五小时农药还有17，充电大概两个小时从0充满，不算慢。总体来说值这个价格4+64  ￥1199    不满意的就是包装就用一个纸箱，里面没有减震包装，盒子都有点变形，上图，大家可以参考。用一个月再来追吧,2017-11-12 00:41:58,225,82,5
jd_飘渺146,银牌会员,"购物时间：双十二1399入手，附送耳机和软贴膜。在魅蓝E2和小米5X对比良久，最后选了5X，毕竟是小米第一个主打线下的，算是良心作品。

物流：很快，京东自营物流确实快，12号下午下单，13号下午送到，虽然是小购物节，但是速度依旧给力。

外观：Nice，拿出来装个逼足够。

尺寸：以前用惯了小屏幕的手机，咋一开始用不大适应，不过用了3天就适应了。

系统：小米MIUI系统反应还是挺快的，开启软件基本是秒启，高通625处理速度确实不错。


发热：我不玩游戏，不好说手机玩游戏发热情况，不过同时开几个软件，比如今日头条，微信，微博，QQ，后盖轻微变热，这是正常的情况。
存储：4+64G，安卓还是比较吃硬件的，而且现在的应用功能越来越强，占内存越来越大。不开启任何应用时，我的运行内存能剩余1.9G-2.4G，正常使用没有问题；机身存储被系统占了10G左右，自带应用占了3G，剩余在51G，本人足够用。

个人建议：我拿到手机后，把不需要的应用全部关闭或者卸载，更新和软件也改为只提醒而不自动下载。建议大家拿到手机后不要上来就用，看看哪些用不着的就关闭。这样加快反应速度，也增加电池续航和寿命",2017-12-18 09:56:40,207,78,5
黎***洪,钻石会员,感觉miui系统也不怎么样嘛！有点臃肿，感觉国产系统也就魅族的flyme好一点，miui只能排第二，emui没用过不知道，尤其是miui的通知栏滑下来真的很难看，miui9好像通知栏也和miui8差不多，还有一个就是感觉miui内置广告有点多，总是在不经意间出现广告。不过快递员服务很好。,2017-10-29 17:13:32,336,261,5
韩***8,银牌会员,"昨天晚上9点多下的订单，今天12号上午10点半就收到了，京东送货特快，而且快递小哥服务态度很好，等了我20几分钟，再次表示敬佩！
这是我第三次买小米手机，上次使用了2年一点毛病都没有，这次毫不犹豫的期待双十一的到来，更毫不犹豫的选择了这部手机，现在已经全部从旧手机把所有信息都转过来了，京东商城自营店产品杠杠好。",2017-11-12 14:45:35,71,23,5
封锁冰心,PLUS会员[试用],第一次用小米手机，就是想体验小米系统才买的。之前用的魅族手机，所以此视频是用魅族手机拍的。  我感觉这手机不错，玩游戏不卡，我玩的穿越火线真的没卡过（除了网络卡成狗）。电池的话，玩游戏几个小时，还有好多电，就是可惜没快充，双十一那天本想买  魅蓝note6   的（因为flyme系统我也喜欢）。 内存很大，够我玩一年。好吧，我想不出来怎么继续分享了，等我过几礼拜再来说说看法吧！(～￣▽￣)→))*￣▽￣*)o,2017-11-18 22:28:51,142,29,5
j***k,银牌会员,东西是双十一当天中午下的单，64g1199元，比小米官网便宜三百块钱，但是手机的第一次不是给了我，被开箱过，照片中可以看到手机的听筒上有个小白点，这就是二次贴膜造成的，还有手机盒子里送的膜，原装应该是没有的，不过还好手机外观没什么瑕疵，将就着用把，,2017-11-12 19:59:32,30,9,4
妮***0,银牌会员,非常漂亮，我很喜欢，颜色很正，拍照也不错。握在手里很轻巧，非常适合妹纸。,2017-11-15 21:22:46,66,30,5
j***2,钻石会员,京东物流?小米简直绝配，京东值得信赖，小米依然很?逼，手机颜值到位，很流畅！1500以内性价比最高！,2017-10-29 00:50:19,80,32,5
j***o,金牌会员,京东买手机必须得好！昨天买今天中午就拿到了。小米5X用起来很流畅4＋64G版的给了55G的内存。嗯，很好,2017-12-13 16:05:44,20,7,5
寻***言,PLUS会员,小米现在工艺感觉还不错，这款式看起来跟水果7p差不多，帮别人买的，自己也上手玩了下挺不错，不过买这台手机有点背，左下角空隙挺大的，其他三个角就没问题，这手机前摄像头的美颜真心美到无话可说，哈哈，后摄像头拍照看起来一般，至于手机流畅度要看后期的时间才能说明啦！,2017-11-13 22:21:55,21,8,5
t***6,银牌会员,手机还可以，应该是真的吧，哈哈，说点重要的，装卡那里有点松，玩梦幻有点卡，看高清一点的岛国视频卡的一逼，综合起来还不如去年买的X7，音质相机我就不说话了，一分价钱一分货，别再说蓝绿大厂低配高价了，实话实说，不喜勿喷???,2017-10-30 06:28:04,67,32,5
j***8,钻石会员,信赖小米！做工精细系统流畅！！！,2017-10-01 18:22:17,17,4,5
兰***2,PLUS会员,这款手机果然很不错，反应速度比我的4x强一点。最明显的就是表现在打开相册。看几百张图片的时候显示出来的速度都挺快。4x的话就要缓冲缓冲一样。其他各方面整体手感都挺不错，但是手机好滑呀。看来得买个保护壳。屏幕也是比较靓丽的，没有那些人说的什么颗粒感，说有颗粒感的，我估计是他连那个原厂的膜都没撕掉那种。也不看看人家40吋电视也才这种分辨率。手机暂时各方面都不错。要不是我嫌手机5.5寸的大的话，我都想用这个。但是为什么系统还没有升到miui9。希望可以尽快更新。暂时就能想到那么多。还有这个移动的4G+网络，有的地方有，确实还是挺快的。其他的还没试过。要说一点这个手机热量控制真的特别好，比我的4x强多了。一直浏览网络聊天什么的根本就不会热。可以看一下图片。其实买这手机都可以，在评论里面互相交流一下比较真实一点。因为很多买手机的，只是敷衍一下，随便评论几句。没有特别有意思的和有用的评论。不过我也是随手写的，没有什么头绪。大家高兴就随意看看罢了。,2017-09-28 18:00:12,178,36,5
会***豆,PLUS会员,双十一买的真是便宜啊。后置摄像头人像真是漂亮。手机挺薄的。摄像头有突出，但是带个套就好了。整天感觉大小有点大了，不过还好，拿起来挺轻的。非常喜欢。这个黑色也是超级漂亮啊，用起来也挺流畅的，整体好评。,2017-11-23 13:06:27,7,1,5
j***9,银牌会员,第一次网购手机，也是第一次用小米手机，之前还担心手机质量，和售后，但从接到手机那一刻，那之前的担心都是多余的，说一下手机，小米5X，双摄，骁龙625，很惊艳性价比很高∽一款手机，笫一次接触小米手机，家人感觉很满意，以后会继续关注……,2017-10-16 16:19:46,11,4,5
jd_渐行渐远,银牌会员,半个月前给老爸买了一个黑色的，巧了老妈手机也坏了，正好有红色的。。就顺便给老妈也买了一个。。一直用小米。。确实不错。。,2017-11-10 11:51:53,27,2,5
j***u,金牌会员,一直都在京东商城购物，货品包装完好无损，送货快，前后买了四个。,2017-11-03 14:04:33,20,5,5
山***鸟,PLUS会员,上午下单，下午下班前就收到了，很给力。加会班捯饬下手机，后期继续评论,2018-03-07 17:38:57,0,0,5
