名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
蜗***财,PLUS会员,还可以吧。稍微有点沉。主要拿来做备用机来用。没什么大要求。小米的系统还是不错的,2017-10-12 18:53:26,5,2,5
垃***宝,金牌会员,"哈哈哈，当一把土豪。。。。嘎嘎。。
话说两台电视，六部手机（两部以前买的，找不到包装了），
我只想说，好生活，小米造！",2017-08-01 11:38:29,9,2,5
q***0,银牌会员,这是我用京东一来最快的一次，早上下单下午就到了…手机正面可以，背面感觉不好看，然后性价比挺高的，确实只有1.2G运行内存，有点少，这是我第一次在网上买手机…感觉能还可以，关键是我不玩游戏…用一段时间在追加评价吧…,2017-07-14 00:28:59,1,0,5
s***S,PLUS会员,帮同事买的……对比小米note2跑分,2016-12-18 07:40:27,2,2,5
k***d,金牌会员,商品已经收到，试玩了一下，很好很流畅，相信京东自营，质量有保障。,2018-01-22 19:40:42,1,0,5
k***g,金牌会员,送货快捷。那个包装很好，手机使用不错。就是有点小贵。,2018-02-06 14:06:37,1,0,5
s***l,钻石会员,手机还不错，就是待机时间短，声音小，速度还是挺快的，挺国产小米，用料厚道，且良心产品；,2017-07-23 18:56:38,1,0,5
z***k,钻石会员,东西还是不错的，但是小米5标准版因为屏幕供货商的关系，有的带3dtouch，有的不带，我买的这款不带，十分不爽，我觉得小米应该说清楚,2018-01-29 15:45:17,2,2,5
儒***然,银牌会员,我老公是小米的忠实粉丝，这是他用的第四部小米手机了，质量很好相信老公的选择。,2018-02-25 20:35:04,0,0,5
w***6,金牌会员,送货不用说，飞快，质量也不错，现在用的挺好，希望能用的继续给力！,2017-12-20 19:40:24,1,0,5
L***子,银牌会员,不好意思，原谅我只能给一颗星。表示很生气。5月1日下的单，当天拿到的晚上，正下载软件，手机屏幕开始闪屏了，一直闪着开机小米的标志。于是申请换货，终于在5号换到了。嗯，新的手机，打开用，暂时没有发现问题，直到快没电时，准备充电，呵呵，充不了电。拔掉小米充电器的插头，换了我原来vivo手机的插头，才充的了电。???已经在京东买过很多次东西了，但这种情况真是第一次。对京东越来越失望?。很失望。很失望。下次买，我还是在官网买好了。真是非常失望的一次购物。下面白色的是vivo的插头，数据线是小米的，黑色的是小米充电器 无法使用。开始质疑京东的货物是否正品。目前用原来手机充电插头。?再见，京东。,2017-05-05 16:08:18,35,19,1
韭***1,PLUS会员,买给老婆的，不错，但是偏贵，还是信赖自营，不敢买第三方。,2018-02-17 11:58:41,0,0,5
j***行,金牌会员,昨天下单，上午就到了，真方便。刚拿出来，还没用呢,2018-01-14 11:01:09,0,0,5
d***1,钻石会员,手机买给家里人，寄来后没有立即拆封，两天后拆封贴膜时发现屏幕有裂痕，小米和京东客服统一口径，认为没有在签收时立即拆封，故出现裂痕肯定是顾客自己造成，一切后果自己承担，投诉后无任何鉴别措施，一口咬定顾客付费换屏，真心觉购买货物的京东无法保障。,2017-03-22 16:09:31,169,80,1
t***p,钻石会员,整体外观向苹果靠拢，5s没有5分辨率高。,2017-12-18 13:17:15,1,1,5
j***e,银牌会员,挺好的，很喜欢，很轻，很好，很爱。不后悔购买。关键是这个快递，太给力了。,2017-02-27 15:21:11,0,1,5
归***c,金牌会员,刚刚充满电，还在用，发热有点严重，照片的细节处理效果不如苹果，大小比较合适，现在大屏流行，单手不爽，这个还可以，总的来说，对得起价钱，用用再说，有问题再追评吧，谢谢,2017-09-16 17:47:35,0,0,5
天***落,PLUS会员,同事推荐的，说是耐摔，还可以吧，图便宜，买那么贵的摔的心疼，这个还不错，摔了好几次了，没碎，赞一个,2018-01-22 09:22:45,1,0,5
未***暗,金牌会员,外形不错很好看。价格也超值，还会再来的。,2017-08-28 20:15:38,0,0,5
j***3,金牌会员,东西不错物流很快,2018-02-11 11:59:48,0,0,5
无***子,钻石会员,很好的小米手机，不知为什么网上手机商店比京东的便宜500元，相信京东不卖假货才还是卖这贵500元的。,2018-02-23 20:08:27,0,0,5
紫***吉,PLUS会员,京东出品，必属精品。已经是第四还是第五台手机了，用起来不错。,2018-01-16 18:38:09,0,0,5
z***8,PLUS会员,京东自营的送货速度简直逆天了，半夜拍早上起来就到货了！,2018-02-12 11:53:12,0,0,5
h***a,PLUS会员,手感不错 黑边感人。做工相对于其他小米手机来说还是不错的。超声波指纹确实不太快，但也绝对是在能用的范围内。性能就不用说了，尊享版性价比很高，还有3D touch功能。,2017-02-05 16:06:45,1,0,5
封***护,PLUS会员,电池续航很不错，做工也挺好外观好看，使用的也很顺畅。,2018-02-22 11:12:26,0,0,5
s***9,金牌会员,京东快递就是快！给老公买的，他特别喜欢！家里人都用小米，支持国产手机！,2018-02-13 14:25:30,0,0,5
j***5,银牌会员,总体还不错！快递也很给力！可手机有些买错了！不很理想！退也没法退了！,2018-01-04 15:42:23,0,0,5
j***b,银牌会员,送货速度超级快，一天就送到了。宝贝包装虽然比较简陋，但确实挺好的了,2018-01-18 12:17:28,0,0,5
h***g,PLUS会员,信赖京东，信赖小米，一直是米粉，小米加油！,2018-01-15 20:39:11,0,0,5
K***0,PLUS会员,送货快，好装很完整，东西也很不错！好评！,2018-01-17 09:34:55,0,0,5
H***7,银牌会员,挺好的   纠结了很久终于买了      不会后悔的啦,2018-02-27 13:42:57,0,0,5
z***1,PLUS会员,此用户未及时评价，系统默认好评。,2018-03-02 13:13:45,0,0,5
龙***璇,PLUS会员,此用户未及时评价，系统默认好评。,2018-02-03 15:52:43,0,0,5
我***_,PLUS会员,此用户未及时评价，系统默认好评。,2018-01-27 16:14:34,0,0,5
j***9,PLUS会员,此用户未及时评价，系统默认好评。,2018-01-18 15:12:14,0,0,5
l***9,银牌会员,外观不错哟，骁龙821很稳，只是指纹识别不太好识别,2018-01-30 18:52:13,0,0,5
j***l,PLUS会员,第3个小米手机了，操作系统习惯,2018-01-27 16:00:07,0,0,5
j***0,PLUS会员,此用户未及时评价，系统默认好评。,2018-01-06 11:59:06,0,0,5
y***g,钻石会员,用了很久以后才来评价，质量好，价格也非常优惠！,2018-02-11 21:45:02,0,0,5
j***l,PLUS会员,小米手机质量不错???,2018-01-24 20:23:57,0,0,5
g***n,PLUS会员,我点不好使，老是自动就卡住了,2018-01-17 21:35:04,0,0,5
L***_,银牌会员,此用户未及时评价，系统默认好评。,2018-02-21 00:15:58,1,0,5
白***d,银牌会员,此用户未及时评价，系统默认好评。,2018-01-26 18:08:46,1,0,5
t***9,PLUS会员,第N次购买，值得拥有,2018-02-08 23:18:27,0,0,5
547600436,银牌会员,此用户未及时评价，系统默认好评。,2018-01-17 14:32:58,1,0,5
j***o,金牌会员,品相很好，网络也可以就是拍照片不怎么清楚,2018-01-25 21:09:08,0,0,5
X***8,钻石会员,CPU很霸道火力全开，3D全开没压力。,2018-01-01 12:43:44,0,0,5
j***p,银牌会员,此用户未及时评价，系统默认好评。,2018-02-13 03:29:31,0,0,5
a***8,金牌会员,此用户未及时评价，系统默认好评。,2018-02-03 10:43:01,0,0,5
s***儿,PLUS会员,老妈很喜欢～,2018-01-18 22:58:04,1,0,5
天***王,银牌会员,手机还好，就是指纹识别不灵敏,2018-03-01 10:00:18,0,0,5
白***号,银牌会员,此用户未及时评价，系统默认好评。,2018-01-30 15:08:49,0,0,5
j***u,银牌会员,新手机都是顺畅的，看不出啥问题,2018-02-07 11:54:02,0,0,5
何***艳,银牌会员,此用户未及时评价，系统默认好评。,2018-01-11 15:45:59,0,0,5
小***儿,钻石会员,第一次买这个，看起来来不错的哦,2018-01-24 10:04:46,0,0,5
漫***8,金牌会员,此用户未及时评价，系统默认好评。,2018-01-09 10:28:27,0,0,5
Y***8,金牌会员,此用户未及时评价，系统默认好评。,2018-01-07 23:06:09,0,0,5
