名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
d***J,PLUS会员,小米手机二百优穗卷：【 ynh.在线/6m  】复￥制括号内内容。到浏￥览器中￥打开领取，先说坏的，很容易沾指纹不过也非常容易擦掉，有点偏重(看参数大概四百多克?)比一般的重，不过我个人喜欢稍微重点的，感觉有质感，后壳的缝试过，的确能把纸插进去但是也没那么夸张，不仔细特意去看也不到什么，拍照还没感受，不过随便拍了下，夜景的确不咋样，白天还好，毕竟不是主打拍照的，另外预存软件有点多二三十几个，再说好的方面，陶瓷机身手感真的好，不过如果手很干的话也真的很滑，6G运存指纹解锁和运行速度很快(可以看视频感受下)，十几个后台都不卡也不会刷新，玩了下狂野飙车8 王者荣耀 纪念碑谷和暗影格斗，一点也不卡很流畅，不怎么发热可能也就高了那么度把两度吧还不错，外放音的话不是专业听歌的，感觉还不错了，如果更多想要自拍不建议买米6，如果玩游戏或者娱乐，那么这款值得推荐，总体来说，真的是物有所值，不要再跟五六千的手机比了，这只有三千！一分钱一分货！米6总体感觉不错，100分我给80分，这是我使用后的感想以及感受，剩下的看你们自己考虑和了解了，希望能帮到你们,2018-02-23 12:42:21,23,9,5
S***M,银牌会员,先说坏的，很容易沾指纹不过也非常容易擦掉，有点偏重(看参数大概四百多克?)比一般的重，不过我个人喜欢稍微重点的，感觉有质感，后壳的缝试过，的确能把纸插进去但是也没那么夸张，不仔细特意去看也不到什么，拍照还没感受，不过随便拍了下，夜景的确不咋样，白天还好，毕竟不是主打拍照的，另外预存软件有点多二三十几个，再说好的方面，陶瓷机身手感真的好，不过如果手很干的话也真的很滑，6G运存指纹解锁和运行速度很快(可以看视频感受下)，十几个后台都不卡也不会刷新，玩了下狂野飙车8  王者荣耀 纪念碑谷和暗影格斗，一点也不卡很流畅，不怎么发热可能也就高了那么度把两度吧还不错，外放音的话不是专业听歌的，感觉还不错了，如果更多想要自拍不建议买米6，如果玩游戏或者娱乐，那么这款值得推荐，总体来说，真的是物有所值，不要再跟五六千的手机比了，这只有三千！一分钱一分货！米6总体感觉不错，100分我给80分，这是我使用后的感想以及感受，剩下的看你们自己考虑和了解了，希望能帮到你们,2017-10-21 11:17:11,927,463,4
潇***海,钻石会员,京东品质向来有保证！我非常信赖！这又是一次完美的购物体验！期待继续哦！,2017-09-23 14:23:57,54,12,5
兰***2,PLUS会员,"米6摄像头双摄是个噱头，三星摄像头光圈太小，没什么用，夜拍肯定比5S差远了，也没米5好。
屏幕应该是护眼屏设定泛红，比起泛红喜欢米5护眼模式泛黄，泛黄看习惯就不觉着黄了，泛红一直泛红，屏幕小米一直不算好，以前米5抢到2个一个泛红还阴阳屏，另一个相对白，但是都没老iuni U2白正。
m6多点触控不好，最多8个点，3个点都不老好按了，好在我就玩点益智游戏割绳子鳄鱼洗澡之类够用，米5，a8，U2都是10点触控。
再说品控，小米性价比高外观瑕疵小问题，要性能，外观就要次点。
性能呵呵看图吧。
存储三星ufo，2.1吧，存储最高722，不是东芝的mlc好，如果买到超值。
屏幕最右边点不到，选择一行最后一个字按不到，最右手指位置。
米6安兔兔时摄像头下面一点热，米5 加边框很热，边框帮助散热降温更好吧。
续航，m6亮屏十小时，待机费电，米5新机也是10，差不多，M5MIUI7省电亮屏10，一夜待机还是100电，10个月后变99，续航8小时，更新系统MIUI8。16，续航血崩续航4小时，升到8。2。2好一点6小",2017-09-28 18:15:41,246,52,5
z***n,金牌会员,先说坏的，很容易沾指纹不过也非常容易擦掉，有点偏重(看参数大概四百多克?)比一般的重，不过我个人喜欢稍微重点的，感觉有质感，后壳的缝试过，的确能把纸插进去但是也没那么夸张，不仔细特意去看也不到什么，拍照还没感受，不过随便拍了下，夜景的确不咋样，白天还好，毕竟不是主打拍照的，另外预存软件有点多二三十几个，再说好的方面，陶瓷机身手感真的好，不过如果手很干的话也真的很滑，6G运存指纹解锁和运行速度很快(可以看视频感受下)，十几个后台都不卡也不会刷新，玩了下狂野飙车8 王者荣耀 纪念碑谷和暗影格斗，一点也不卡很流畅，不怎么发热可能也就高了那么度把两度吧还不错，外放音的话不是专业听歌的，感觉还不错了，如果更多想要自拍不建议买米6，如果玩游戏或者娱乐，那么这款值得推荐，总体来说，真的是物有所值，不要再跟五六千的手机比了，这只有三千！一分钱一分货！米6总体感觉不错，100分我给80分，这是我使用后的感想以及感受，剩下的看你们自己考虑和了解了，希望能帮到你们,2017-11-24 16:00:35,516,40,5
下***琪,金牌会员,不错的手机，支持小米,2018-03-05 23:19:09,2,1,5
傲***丶,银牌会员,"东哥的速度就是快，送你一首歌。《我们不一样》
小米6，按照杰伦哥的话说，哎哟，不错哦。
秒开应用。",2017-12-04 14:00:37,67,17,5
Y***k,银牌会员,"本来想买6+64的，没货了，好气呀，就只有4+64的，2099买的，还行，跑分201995，是第一次验机，看来应该是全新的，嗯，没问题，运存还剩2.0g左右，一般般吧，我又不喜欢多开(低端机玩习惯了233)
第一次用小米，玩游戏不卡，很流畅，目前体验很好！
话说小米7啥时候出来？？？",2018-03-09 10:53:20,2,2,5
j***淡,PLUS会员,很好用，反应也很快。支持京东，当天0点买的，下午就到货了，必须赞一个！,2018-01-02 22:16:47,21,14,5
撒***节,PLUS会员,质量不知道怎么样，但是缝隙真的挺大的，毕竟第一次用小米系列的手机。先用段时间看看。物流是挺快的。京东客服也不错,2018-02-08 13:56:38,18,5,4
