名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
j***长,金牌会员,手机是正品，没得说！然后说一下网上说的那些缺点吧！在视觉上看着那个边框比较突出吧，其实是和第一代是一样的，第一代是四四方方的边框，第二代的边框给做圆了，所以说会变的比较宽一点还有就是加了一个小型听筒 摄像头凸出  但是，握感  舒适度  摄像 通话质量提升上去了  这些牺牲都是值得的   拍照方面白天还可以  晚上就不咋滴了   但硬件在那放着  和小米6主摄像头一样的  希望后面会优化吧！(反正拍照不多，够用?)  屏幕下方发黄  仔细看了看  没看到  可能有一点吧  反正无所谓    唯一不好的就是手机震动了  有点差  有点像几百块钱手机的震动感觉  就没有那种很沉稳的感觉  希望后面修复。  还有就是小型听筒很容易 进灰尘  要好好保护   其他的就没啥了   满血835   京东  微博啥的 MIUI9都是秒开   各种吃鸡游戏通吃  卡？  根本不存在！发热也控制的很好  温温的   这是第三个小米手机了   小米2s  小米note顶配版  小米国货的骄傲！还有送的小爱同学很好用！一说雷军就唱are you ok?  小米探索黑科技！为发烧而生！加油！国货当自强！！,2017-12-16 22:56:18,430,110,5
s***9,PLUS会员,等了好久才抢到的*，手机隔夜定的，一早就到了，看见手机里面有余电大概百分之八十多的电（不知道是不是新机带的），用了一天，到晚下班还有30的电左右，说明电池还可以，基本一天中度使用是没问题，打开手机给我的感觉是屏幕边框比较小，整体的感觉不错，玩王者不卡，很流畅，但是MIUI9不知道在哪里才能升级，手机里面自带的软件还是很多，占用内存也比较大，手机拍照效果比较上一代有大步的提升，效果不错。,2017-12-19 09:46:26,474,90,5
j***8,PLUS会员,快递非常快，当天就拿到了包装还比较好。看到11月1号当天有活动送小米感应灯和手机套什么的才买的。本来想等到双11的，结果发现mix2和小米6基本上都没有什么活动，购物卷也不能用。骁龙835加全系标配的6g内存，使用无压力，性能很强劲。屏幕尺寸几乎比我的6s整机一样大。唯一的不足就是没有双摄，背面的陶瓷背盖比较容易粘指纹。现在就坐等小米的MIUI9系统升级了，美滋滋~,2017-11-02 10:29:04,360,131,5
冷丶箭,金牌会员,等了好久才抢到的3299，手机隔夜定的，一早就到了，看见手机里面有余电大概百分之八十多的电（不知道是不是新机带的），用了一天，到晚下班还有30的电左右，说明电池还可以，基本一天中度使用是没问题，打开手机给我的感觉是屏幕边框比较小，整体的感觉不错，玩王者不卡，很流畅，但是MIUI9不知道在哪里才能升级，手机里面自带的软件还是很多，占用内存也比较大，手机拍照效果比较上一代有大步的提升，效果不错。,2017-10-17 09:37:15,461,200,5
f***w,PLUS会员,一直想买，犹豫不决，第一次用小米手机，希望能满意！,2017-10-26 11:27:55,191,49,5
江***夜,钻石会员,很好的手机，漂亮，高大上，气质，音质好，就是声音小了点，加油↖(^ω^)↗,2017-09-25 21:14:19,91,42,5
鱼***宸,金牌会员,"纠结了好久终在元旦当天用210的券下单了，目前使用一天半，说下感受
作为一个ios死忠，陆续用过4,4s,5,5s,6plus,中间有过用用安卓的想法，在推出三星9300那年买了一个用了用，就彻底对安卓失望了，新机顺畅，但但凡用一段时间，短则两三个月，长则半年，绝对会卡的飞起，朋友当时的旗舰机也是一样,所以在那几年在网络上一直是一个安卓黑?
随着这几年安卓的进步，随着处理器陆续的更新，安卓机器已经不是那种用一用就卡的受不了的手机了
换手机原因：用了两年的iphone 6 plus，一直完美运行，前段时间没忍住升了ios11，立马卡的亲妈都不认识，感觉手机没有缓存了，随便切个app再进微信都要重新读，巨慢
优先考虑的还是x，但奈何现在ip越来越贵，虽然目前国行已经掉到了7600左右，但还是觉得对一个手机接受的最大价位不能超过6500，钱都不是大风刮来的，手机毕竟是个工具，小一万有点贵。
说下优缺点
优点：反应很快，各种软件都是秒读，全面屏看着也很上档次，手机拿着也有质感
缺点：相机太垃圾，失真太严重，还好对拍照需求不高；app细腻程度还是和ios差的远
真实感受，跪迎喷子，喷子司马",2018-01-02 18:27:27,37,17,5
j***9,金牌会员,第一次使用小米，以前米5，米6都没抢到，现在轻松购买到MIX2，好意外！原封包装，手感真心不错！手机尺寸大小正合适！系统很流畅，屏幕真的很惊艳！等使用一段时间后，再补发使用感吧！,2017-11-07 17:10:32,63,19,5
梦幻九龙,PLUS会员,中国精髓MIX2真是陶瓷和玻璃的完美结合！整体使用非常流畅得心应手！关键它的全面屏真是与众不同，小米是用实际行动和高新技术给客户带来最好体验的好企业！?加油小米！?加油京东！?加油中国！,2017-12-08 09:50:05,247,113,5
怒***豆,PLUS会员,21号凌晨下单，26号早上收到，等了几天终于到了，机器很美，六寸屏拿上手觉得刚刚好，晚点跑个分,2017-09-26 11:21:01,51,5,5
