名字,会员级别,评论内容,评论时间,点赞数,评论数,评价星级
陈雨东,银牌会员,"决定买手机的时候，我连小米官网一块看了，但是后来还是决定在京东买，京东的商品服务好售后也好，虽然同样价钱的手机，小米官网比就能多给两样东西，分期也多六个月，但是想来想去还是决定在京东买，京东我信赖，我支持。
新出的黑色小米max2使用上和感官上感觉上很不错，没有小米max1土豪金那种俗色，毕竟黑色看上去很稳重很大气的，电池不仅比以前大了待机久了，就连充电口都改成type-c的了，无论是使用上还是待机上，又或者是外观和手感上，及重量上感觉都很不错。只是不知道什么时候小米也能换上京东方的屏。",2017-11-24 17:51:03,62,61,5
b***o,钻石会员,"新机上手，第一次用小米，印象不错。国产手机越来越好用了，用过华为，努比亚，相比较而言，小米的系统优化做的最好，这次就想换个大屏，大电量的，比较了几款，最终还是选择了小米max2，6.44寸的大屏幕体验确实不错，不过天马屏显示效果还是差了些，系统比较流畅，信号不错，本人很少玩手游，所以骁龙625的处理器感觉也够用，拍摄方面一般般，虽然和小米6用了同款摄像头，白天光线充足时还行，夜摄效果就呵呵了，不过这个不是主要需求。
最满意的就是续航，拿到手轻度使用玩了两天，还剩30%电量，5300高安电池确实给力，其它方面以后再追加评论。",2017-10-01 10:48:46,34,14,5
j***1,银牌会员,还可以，物流快，就是手机背面有点花，干来其他都可以。,2018-01-27 13:13:28,9,4,5
j***c,PLUS会员,手机超大，妈妈很喜欢，老人眼睛看不清稀都喜欢要个大屏幕手机，这个很合心意，而且手机很薄，很漂亮特意选的玫瑰金，总之很满意,2017-11-15 07:47:48,30,5,5
m***i,银牌会员,0-0一到手感觉大...真的大，对手小的来说单手模式操作是不可能的，还是双手来吧，屏幕分辨率看起来还好吖，有点嫌弃手上的5.5了，仔细看细腻程度才有差别吧，啥也没开剩余可用内存2.1，还好还好...手机声音也是挺大的，跟手上的s7e比较，这个价位相当不错了，再感叹下这大屏真的好，平时家人只用来微信看视频足够了,2017-09-28 11:35:36,35,10,5
j***q,铜牌会员,物流真的快啊！11日凌晨两点下单，晚上6点就送到了！！！特意用了三天才来评价，总体还算满意，关注了好长时间，出了黑色的才买，电话很大，真心大！看视频，玩游戏挺酷，配置来说，这个价位的也可以啦。主要想体验大屏，大电量还值得买。系统自带MIUI9，速度快！买了几台小米手机了！红米1，红米note、红米note2、小米2、小米5……*来后给老人还都在用，小米还是质量不错，值得信赖！希望小米一如既往，不忘初心的做国民好手机……,2017-11-14 10:54:58,32,10,5
过***y,PLUS会员,小米nax2屏幕很大，升级mlul9.0稳定版本后，上网打开网页和视频非常流畅，小米系统优化很好，高通晓龙625处理器有点低，但很少出现卡顿情况，屏幕颜色成色像素不是很清晰，双11优惠购买，五星好评,2017-12-13 12:57:50,4,2,5
无***R,PLUS会员,"小米手机二百优穗卷：【 ynh.在线/m2 】复￥制括号内内容。到浏￥览器中￥打开领取，决定买手机的时候，我连小米官网一块看了，但是后来还是决定在京东买，京东的商品服务好售后也好，虽然同样价钱的手机，小米官网比就能多给两样东西，分期也多六个月，但是想来想去还是决定在京东买，京东我信赖，我支持。
新出的黑色小米max2使用上和感官上感觉上很不错，没有小米max1土豪金那种俗色，毕竟黑色看上去很稳重很大气的，电池不仅比以前大了待机久了，就连充电口都改成type-c的了，无论是使用上还是待机上，又或者是外观和手感上，及重量上感觉都很不错。只是不知道什么时候小米也能换上京东方的屏。",2018-02-10 12:08:45,165,17,5
j***5,银牌会员,这是我买的第三部小米手机了（这次买的是MIMAX2）外观漂亮的、高性能、特别定大屏大内存、放一段视频非常清晰、太喜欢了也算米粉了吧！再说一句，送货非常快，上午下的定单，傍晚就到家了，不到一天的时间，体现了商家高服务的水淮。我非常满意！,2018-03-09 09:18:31,0,0,5
胖胖熊小浣,银牌会员,选了很久，第一次购买小米手机，超过6的大英寸屏看着就是爽。快递包装很好，送货速度快。手机?手感很棒，屏幕触感灵敏细滑，64GB的存储空间对于一个父亲来说绝对够用。手机的运行速度很快，自带的应用除小米自家的以外不是很多，但是很实用，系统自带的小工具功能超全，我喜欢。手机色彩度很漂亮，拍照效果也不错，虽然比不上专门的拍照手机像素高，但实际效果还是很不错的。因为屏幕很大，对于女孩还说单手操作有点困难，还是两只手拿着比较稳哦！电池容量果然超大，到货后开机电亮在80%左右，用了一天一宿还有电，超长待机效果我是绝对相信的。从性价比来讲，还是一款值得推荐的手机?,2017-06-21 19:12:25,5,1,5
C***8,钻石会员,大屏幕就是爽，超值！必须赞赞赞！,2018-03-08 22:30:09,0,0,5
一***泥,金牌会员,蛮喜欢的，比狗苹果实际多了（评论水果发的），看电影小说再也不用一天冲几次了，娱乐专机配无限流量，大爱,2017-11-02 15:11:47,14,3,5
赵***a,PLUS会员,我买了两部，一部给老公用了，一部给妹妹用了，电量耐用，就是充电时有点发热，其他还好，这个价位值得购买,2017-10-10 22:48:08,7,9,5
j***2,PLUS会员,速度还可以，玩游戏看电视爽，给力，赞,2018-03-07 10:50:35,0,0,5
j***c,银牌会员,昨晚下单今天上午就收到了，辛苦快递小哥了，忙的关系，先拍个照，用过后再追评小米是国人的偶像了，相信小米，相信京东。,2018-03-09 13:47:59,0,0,5
小***8,PLUS会员,东西不不错！高端大气上档次！物有所值！相机效果也可以，见到同事在用，一口气买了两台！只是我照视频的机像素不好！真机更靓！,2018-03-06 20:52:10,0,0,5
米***2,PLUS会员,一直用小米，这回依然选择小米，京东快递给力上午下单下午就用上了！666,2018-03-07 18:05:07,0,0,5
刘***宸,银牌会员,超薄，非常好，一直用小米，米粉，一如既往地支持。,2018-03-09 20:06:11,0,0,5
